,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),heuristic time(ms),OutOfMem,algorithm,heuristic,problem,n,k
0,5.0,5.0,6.0,6.0,172.0,1.0,0.0,1.0,0.0,11.95,11.0,True,new,experiments/results/BW_2_2/pytorch2/1.onnx,BW,1,1
1,5.0,5.0,6.0,6.0,171.0,1.0,0.0,1.0,0.0,12.03,9.0,True,new,experiments/results/BW_2_2/pytorch2/1.onnx,BW,1,2
2,5.0,5.0,6.0,6.0,183.0,1.0,0.0,1.0,0.0,12.03,10.0,True,new,experiments/results/BW_2_2/pytorch2/1.onnx,BW,1,3
3,5.0,5.0,6.0,6.0,170.0,1.0,0.0,1.0,0.0,12.03,10.0,True,new,experiments/results/BW_2_2/pytorch2/1.onnx,BW,1,4
4,5.0,5.0,6.0,6.0,153.0,1.0,0.0,1.0,0.0,12.03,11.0,True,new,experiments/results/BW_2_2/pytorch2/1.onnx,BW,1,5
5,5.0,5.0,6.0,6.0,172.0,1.0,0.0,1.0,0.0,12.03,11.0,True,new,experiments/results/BW_2_2/pytorch2/1.onnx,BW,1,6
6,5.0,5.0,6.0,6.0,150.0,1.0,0.0,1.0,0.0,12.03,10.0,True,new,experiments/results/BW_2_2/pytorch2/1.onnx,BW,1,7
7,5.0,5.0,6.0,6.0,173.0,1.0,0.0,1.0,0.0,12.03,12.0,True,new,experiments/results/BW_2_2/pytorch2/1.onnx,BW,1,8
8,5.0,5.0,6.0,6.0,153.0,1.0,0.0,1.0,0.0,12.03,11.0,True,new,experiments/results/BW_2_2/pytorch2/1.onnx,BW,1,9
9,5.0,5.0,6.0,6.0,171.0,1.0,0.0,1.0,0.0,12.03,10.0,True,new,experiments/results/BW_2_2/pytorch2/1.onnx,BW,1,10
10,5.0,5.0,6.0,6.0,185.0,1.0,0.0,1.0,0.0,12.03,12.0,True,new,experiments/results/BW_2_2/pytorch2/1.onnx,BW,1,11
11,5.0,5.0,6.0,6.0,154.0,1.0,0.0,1.0,0.0,12.03,10.0,True,new,experiments/results/BW_2_2/pytorch2/1.onnx,BW,1,12
12,5.0,5.0,6.0,6.0,171.0,1.0,0.0,1.0,0.0,12.03,10.0,True,new,experiments/results/BW_2_2/pytorch2/1.onnx,BW,1,13
13,5.0,5.0,6.0,6.0,154.0,1.0,0.0,1.0,0.0,12.03,9.0,True,new,experiments/results/BW_2_2/pytorch2/1.onnx,BW,1,14
14,5.0,5.0,6.0,6.0,188.0,1.0,0.0,1.0,0.0,12.03,16.0,True,new,experiments/results/BW_2_2/pytorch2/1.onnx,BW,1,15
15,15.0,11.0,21.0,14.0,161.0,4.0,0.0,1.0,0.0,14.99,17.0,True,new,experiments/results/BW_2_2/pytorch2/1.onnx,BW,2,1
16,23.0,15.0,34.0,20.0,186.0,8.0,0.0,1.0,0.0,14.99,21.0,True,new,experiments/results/BW_2_2/pytorch2/1.onnx,BW,2,2
17,49.0,34.0,104.0,65.0,222.0,47.0,0.0,1.0,0.0,17.92,56.0,True,new,experiments/results/BW_2_2/pytorch2/1.onnx,BW,2,3
