,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),heuristic time(ms),algorithm,heuristic,problem,n,k,training time,training steps,eta,nnsize,epsilon,avg q,idx,ra 1,ra 2,controllable,depth,state unexplorability,state marked,child marked,child goal,child error,child none,child deadlock,uncontrollability child,unexplorability child
0,66,18,97,29,168,1,0,1,29,19.62,27.0,new,e,BW,2,2,2.628721237182617,2000,1e-06,20,0.1,0.19284092,0,-0.04234267,0.012582123,-0.10350853,-0.16909237,0.63110125,-0.09517426,-0.593783,0.0,-2.2331655,0.50447136,0.7960522,-2.0941923,1.3469065
1,867,46,1614,69,1191,1,0,1,354,58.59,832.0,new,e,BW,3,3,2.628721237182617,2000,1e-06,20,0.1,0.19284092,0,-0.04234267,0.012582123,-0.10350853,-0.16909237,0.63110125,-0.09517426,-0.593783,0.0,-2.2331655,0.50447136,0.7960522,-2.0941923,1.3469065
2,66,19,103,30,211,1,0,1,29,20.19,27.0,new,e,BW,2,2,5.109744310379028,4000,1e-06,20,0.1,0.12101784,1,-0.12746772,0.2458815,-0.021936744,-0.15057814,0.592113,-0.17134316,-0.84674025,0.0,-2.2907174,0.45006716,0.838897,-2.2429612,1.2124069
3,864,147,1652,281,1566,1,0,1,354,129.24,1128.0,new,e,BW,3,3,5.109744310379028,4000,1e-06,20,0.1,0.12101784,1,-0.12746772,0.2458815,-0.021936744,-0.15057814,0.592113,-0.17134316,-0.84674025,0.0,-2.2907174,0.45006716,0.838897,-2.2429612,1.2124069
4,66,19,103,30,194,1,0,1,29,20.18,31.0,new,e,BW,2,2,7.546466588973999,6000,1e-06,20,0.1,0.0512321,2,-0.22016197,0.5841476,0.1187641,-0.16959137,0.5284621,-0.26348826,-1.2001271,0.0,-2.357664,0.367809,0.87817717,-2.3914008,1.04418
5,861,51,1726,76,1881,1,0,1,351,116.39,1396.0,new,e,BW,3,3,7.546466588973999,6000,1e-06,20,0.1,0.0512321,2,-0.22016197,0.5841476,0.1187641,-0.16959137,0.5284621,-0.26348826,-1.2001271,0.0,-2.357664,0.367809,0.87817717,-2.3914008,1.04418
6,57,19,96,30,182,1,0,1,20,19.62,29.0,new,e,BW,2,2,9.937509536743164,8000,1e-06,20,0.1,-0.014875161,3,-0.3192306,0.94030505,0.28620166,-0.22171283,0.42451835,-0.37360108,-1.557213,2.3841858e-07,-2.4277294,0.26666975,0.9195359,-2.5134401,0.8584526
7,858,123,1710,233,1621,1,0,1,345,123.32,1243.0,new,e,BW,3,3,9.937509536743164,8000,1e-06,20,0.1,-0.014875161,3,-0.3192306,0.94030505,0.28620166,-0.22171283,0.42451835,-0.37360108,-1.557213,2.3841858e-07,-2.4277294,0.26666975,0.9195359,-2.5134401,0.8584526
8,48,19,87,30,191,1,0,1,11,19.14,26.0,new,e,BW,2,2,12.366000890731812,10000,1e-06,20,0.1,-0.079504594,4,-0.39806417,1.2232671,0.45271164,-0.2856845,0.29367793,-0.47785288,-1.8451871,2.3841858e-07,-2.5418842,0.15348804,0.9573003,-2.6578796,0.6633006
9,842,117,1739,234,1701,1,0,1,329,105.41,1235.0,new,e,BW,3,3,12.366000890731812,10000,1e-06,20,0.1,-0.079504594,4,-0.39806417,1.2232671,0.45271164,-0.2856845,0.29367793,-0.47785288,-1.8451871,2.3841858e-07,-2.5418842,0.15348804,0.9573003,-2.6578796,0.6633006
