,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),heuristic time(ms),algorithm,heuristic,problem,n,k,training time,training steps,eta,nnsize,epsilon,nfeatures,ra feature,idx
0,57,15,77,20,163,16,0,1,25,18.66,22.0,new,experiments/results/BW_2_2/ra_feature2_2h/0.onnx,BW,2,2,0.02398085594177246,0,1e-05,20,0.1,17,True,0
1,44,35,83,68,197,22,0,3,9,19.62,33.0,new,experiments/results/BW_2_2/ra_feature2_2h/1.onnx,BW,2,2,69.77719521522522,50000,1e-05,20,0.1,17,True,1
2,47,15,82,20,193,27,0,1,10,19.14,26.0,new,experiments/results/BW_2_2/ra_feature2_2h/2.onnx,BW,2,2,137.32025265693665,100000,1e-05,20,0.1,17,True,2
3,46,15,78,20,198,18,0,1,12,19.14,31.0,new,experiments/results/BW_2_2/ra_feature2_2h/3.onnx,BW,2,2,204.8378028869629,150000,1e-05,20,0.1,17,True,3
4,34,30,71,60,187,37,0,1,2,18.66,21.0,new,experiments/results/BW_2_2/ra_feature2_2h/4.onnx,BW,2,2,272.83661222457886,200000,1e-05,20,0.1,17,True,4
5,26,15,37,20,161,10,0,1,6,17.14,13.0,new,experiments/results/BW_2_2/ra_feature2_2h/5.onnx,BW,2,2,340.5902545452118,250000,1e-05,20,0.1,17,True,5
6,17,15,23,20,141,7,0,1,0,16.66,13.0,new,experiments/results/BW_2_2/ra_feature2_2h/6.onnx,BW,2,2,408.2116539478302,300000,1e-05,20,0.1,17,True,6
7,36,15,57,20,149,15,0,1,10,17.62,16.0,new,experiments/results/BW_2_2/ra_feature2_2h/7.onnx,BW,2,2,475.7374517917633,350000,1e-05,20,0.1,17,True,7
8,30,15,47,20,174,17,0,1,3,17.62,18.0,new,experiments/results/BW_2_2/ra_feature2_2h/8.onnx,BW,2,2,543.2459225654602,400000,1e-05,20,0.1,17,True,8
9,36,15,57,20,167,17,0,1,4,18.18,24.0,new,experiments/results/BW_2_2/ra_feature2_2h/9.onnx,BW,2,2,610.865487575531,450000,1e-05,20,0.1,17,True,9
10,39,17,51,23,179,4,0,1,14,17.62,17.0,new,experiments/results/BW_2_2/ra_feature2_2h/10.onnx,BW,2,2,678.6523759365082,500000,1e-05,20,0.1,17,True,10
11,25,15,44,20,177,19,0,1,0,17.14,15.0,new,experiments/results/BW_2_2/ra_feature2_2h/11.onnx,BW,2,2,746.101019859314,550000,1e-05,20,0.1,17,True,11
12,29,15,47,20,167,14,0,1,5,17.62,19.0,new,experiments/results/BW_2_2/ra_feature2_2h/12.onnx,BW,2,2,814.011118888855,600000,1e-05,20,0.1,17,True,12
13,27,15,42,20,166,14,0,1,2,17.14,17.0,new,experiments/results/BW_2_2/ra_feature2_2h/13.onnx,BW,2,2,881.5497279167175,650000,1e-05,20,0.1,17,True,13
14,32,15,48,20,153,13,0,1,8,17.62,16.0,new,experiments/results/BW_2_2/ra_feature2_2h/14.onnx,BW,2,2,949.3677177429199,700000,1e-05,20,0.1,17,True,14
15,55,22,90,39,186,7,0,1,35,18.66,22.0,new,experiments/results/BW_2_2/ra_feature2_2h/15.onnx,BW,2,2,1017.118753194809,750000,1e-05,20,0.1,17,True,15
16,51,18,84,29,168,7,0,1,31,18.66,19.0,new,experiments/results/BW_2_2/ra_feature2_2h/16.onnx,BW,2,2,1087.5037715435028,800000,1e-05,20,0.1,17,True,16
17,35,15,54,20,149,13,0,1,10,17.62,12.0,new,experiments/results/BW_2_2/ra_feature2_2h/17.onnx,BW,2,2,1169.9769604206085,850000,1e-05,20,0.1,17,True,17
18,30,15,36,20,145,4,0,1,11,17.14,10.0,new,experiments/results/BW_2_2/ra_feature2_2h/18.onnx,BW,2,2,1247.734536409378,900000,1e-05,20,0.1,17,True,18
19,32,15,47,20,149,13,0,3,7,17.62,13.0,new,experiments/results/BW_2_2/ra_feature2_2h/19.onnx,BW,2,2,1331.2581431865692,950000,1e-05,20,0.1,17,True,19
20,40,15,63,20,162,16,0,1,20,18.18,18.0,new,experiments/results/BW_2_2/ra_feature2_2h/20.onnx,BW,2,2,1404.8955519199371,1000000,1e-05,20,0.1,17,True,20
21,22,15,31,20,143,6,0,1,11,16.66,16.0,new,experiments/results/BW_2_2/ra_feature2_2h/21.onnx,BW,2,2,1485.3906466960907,1050000,1e-05,20,0.1,17,True,21
22,36,15,52,20,176,16,0,2,10,17.62,21.0,new,experiments/results/BW_2_2/ra_feature2_2h/22.onnx,BW,2,2,1575.1697545051575,1100000,1e-05,20,0.1,17,True,22
23,39,18,66,29,177,20,0,1,16,18.18,20.0,new,experiments/results/BW_2_2/ra_feature2_2h/23.onnx,BW,2,2,1645.5308039188385,1150000,1e-05,20,0.1,17,True,23
24,22,15,27,20,160,6,0,1,7,16.66,11.0,new,experiments/results/BW_2_2/ra_feature2_2h/24.onnx,BW,2,2,1718.9066376686096,1200000,1e-05,20,0.1,17,True,24
25,42,15,73,20,181,1,0,1,32,17.7,20.0,new,experiments/results/BW_2_2/ra_feature2_2h/25.onnx,BW,2,2,1807.3738300800323,1250000,1e-05,20,0.1,17,True,25
26,21,15,28,20,140,4,0,1,6,16.66,11.0,new,experiments/results/BW_2_2/ra_feature2_2h/26.onnx,BW,2,2,1886.8199038505554,1300000,1e-05,20,0.1,17,True,26
27,46,23,70,32,177,15,0,1,26,18.18,19.0,new,experiments/results/BW_2_2/ra_feature2_2h/27.onnx,BW,2,2,1954.2994937896729,1350000,1e-05,20,0.1,17,True,27
