,training time,training steps,eta,nnsize,epsilon,nfeatures,ra feature,avg q,idx
0,0.0034224987030029297,0,1e-05,20,0.1,15,True,-0.011185623,0
1,60.98566198348999,50000,1e-05,20,0.1,15,True,-28.237629,1
2,122.4444785118103,100000,1e-05,20,0.1,15,True,-16.317932,2
3,185.33795046806335,150000,1e-05,20,0.1,15,True,-15.312384,3
4,247.29630756378174,200000,1e-05,20,0.1,15,True,-23.415709,4
5,308.7452485561371,250000,1e-05,20,0.1,15,True,-20.45563,5
6,371.24489092826843,300000,1e-05,20,0.1,15,True,-20.80686,6
7,432.82917308807373,350000,1e-05,20,0.1,15,True,-21.651228,7
8,494.1775047779083,400000,1e-05,20,0.1,15,True,-21.656136,8
9,557.2263078689575,450000,1e-05,20,0.1,15,True,-20.241325,9
10,618.9697859287262,500000,1e-05,20,0.1,15,True,-20.778212,10
11,680.9075193405151,550000,1e-05,20,0.1,15,True,-20.955034,11
12,743.0325219631195,600000,1e-05,20,0.1,15,True,-22.395859,12
13,804.4501688480377,650000,1e-05,20,0.1,15,True,-20.19116,13
14,866.8058989048004,700000,1e-05,20,0.1,15,True,-27.142223,14
15,928.7577545642853,750000,1e-05,20,0.1,15,True,-26.854742,15
16,989.9386401176453,800000,1e-05,20,0.1,15,True,-28.264608,16
17,1051.4137876033783,850000,1e-05,20,0.1,15,True,-25.89482,17
18,1113.909337759018,900000,1e-05,20,0.1,15,True,-22.773954,18
19,1175.2428984642029,950000,1e-05,20,0.1,15,True,-24.045969,19
20,1236.5539865493774,1000000,1e-05,20,0.1,15,True,-26.32433,20
21,1298.483514547348,1050000,1e-05,20,0.1,15,True,-24.941246,21
22,1359.793562412262,1100000,1e-05,20,0.1,15,True,-21.112446,22
23,1421.9267802238464,1150000,1e-05,20,0.1,15,True,-23.385393,23
24,1483.4105727672577,1200000,1e-05,20,0.1,15,True,-21.69141,24
25,1544.3854849338531,1250000,1e-05,20,0.1,15,True,-21.29816,25
26,1606.151911497116,1300000,1e-05,20,0.1,15,True,-23.787395,26
27,1668.4194946289062,1350000,1e-05,20,0.1,15,True,-24.636915,27
28,1729.522534608841,1400000,1e-05,20,0.1,15,True,-25.913298,28
29,1790.5905108451843,1450000,1e-05,20,0.1,15,True,-23.73664,29
30,1851.8474559783936,1500000,1e-05,20,0.1,15,True,-26.818624,30
31,1913.4313950538635,1550000,1e-05,20,0.1,15,True,-19.963747,31
32,1974.6653850078583,1600000,1e-05,20,0.1,15,True,-20.157331,32
33,2036.1380758285522,1650000,1e-05,20,0.1,15,True,-19.370092,33
34,2097.322112083435,1700000,1e-05,20,0.1,15,True,-24.20245,34
35,2162.0890278816223,1750000,1e-05,20,0.1,15,True,-25.034433,35
36,2222.9904878139496,1800000,1e-05,20,0.1,15,True,-22.3312,36
37,2283.94513630867,1850000,1e-05,20,0.1,15,True,-24.413845,37
38,2346.2253324985504,1900000,1e-05,20,0.1,15,True,-20.027115,38
39,2407.715650320053,1950000,1e-05,20,0.1,15,True,-21.801708,39
40,2468.5041093826294,2000000,1e-05,20,0.1,15,True,-19.981232,40
41,2528.9263586997986,2050000,1e-05,20,0.1,15,True,-22.096262,41
42,2590.977399110794,2100000,1e-05,20,0.1,15,True,-22.599781,42
43,2652.24302816391,2150000,1e-05,20,0.1,15,True,-24.083675,43
44,2713.3537015914917,2200000,1e-05,20,0.1,15,True,-25.506033,44
45,2918.7177641391754,2250000,1e-05,20,0.1,15,True,-23.586912,45
46,3205.541081428528,2300000,1e-05,20,0.1,15,True,-22.786018,46
47,3484.7197604179382,2350000,1e-05,20,0.1,15,True,-24.18196,47
48,3698.3140213489532,2400000,1e-05,20,0.1,15,True,-23.459173,48
49,4012.5478291511536,2450000,1e-05,20,0.1,15,True,-25.997095,49
50,4272.907525539398,2500000,1e-05,20,0.1,15,True,-22.313274,50
51,4531.551314353943,2550000,1e-05,20,0.1,15,True,-26.30486,51
52,4602.394476890564,2600000,1e-05,20,0.1,15,True,-25.857355,52
53,4802.621937036514,2650000,1e-05,20,0.1,15,True,-21.07191,53
54,5052.489911556244,2700000,1e-05,20,0.1,15,True,-26.8172,54
55,5310.392375469208,2750000,1e-05,20,0.1,15,True,-24.113562,55
56,5555.709685325623,2800000,1e-05,20,0.1,15,True,-26.004696,56
57,5678.483926296234,2850000,1e-05,20,0.1,15,True,-24.99424,57
58,6029.593076705933,2900000,1e-05,20,0.1,15,True,-24.092766,58
59,6176.440809965134,2950000,1e-05,20,0.1,15,True,-23.793354,59
60,6499.860889434814,3000000,1e-05,20,0.1,15,True,-25.364307,60
61,6768.3255779743195,3050000,1e-05,20,0.1,15,True,-24.635492,61
62,7018.815464258194,3100000,1e-05,20,0.1,15,True,-23.533667,62
