,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),heuristic time(ms),OutOfMem,algorithm,heuristic,problem,n,k
0,5.0,5.0,6.0,6.0,22.0,1.0,0.0,1.0,0.0,10.0,1.0,True,new,mock,BW,1,1
1,5.0,5.0,6.0,6.0,22.0,1.0,0.0,1.0,0.0,9.7,0.0,True,new,mock,BW,1,2
2,5.0,5.0,6.0,6.0,22.0,1.0,0.0,1.0,0.0,9.71,1.0,True,new,mock,BW,1,3
3,5.0,5.0,6.0,6.0,22.0,1.0,0.0,1.0,0.0,9.72,1.0,True,new,mock,BW,1,4
4,5.0,5.0,6.0,6.0,22.0,1.0,0.0,1.0,0.0,10.0,1.0,True,new,mock,BW,1,5
5,5.0,5.0,6.0,6.0,22.0,1.0,0.0,1.0,0.0,10.0,1.0,True,new,mock,BW,1,6
6,5.0,5.0,6.0,6.0,22.0,1.0,0.0,1.0,0.0,10.0,1.0,True,new,mock,BW,1,7
7,5.0,5.0,6.0,6.0,22.0,1.0,0.0,1.0,0.0,10.0,1.0,True,new,mock,BW,1,8
8,5.0,5.0,6.0,6.0,23.0,1.0,0.0,1.0,0.0,10.0,1.0,True,new,mock,BW,1,9
9,5.0,5.0,6.0,6.0,23.0,1.0,0.0,1.0,0.0,10.0,1.0,True,new,mock,BW,1,10
10,5.0,5.0,6.0,6.0,23.0,1.0,0.0,1.0,0.0,10.0,1.0,True,new,mock,BW,1,11
11,5.0,5.0,6.0,6.0,22.0,1.0,0.0,1.0,0.0,10.0,1.0,True,new,mock,BW,1,12
12,5.0,5.0,6.0,6.0,23.0,1.0,0.0,1.0,0.0,10.0,1.0,True,new,mock,BW,1,13
13,5.0,5.0,6.0,6.0,23.0,1.0,0.0,1.0,0.0,10.0,1.0,True,new,mock,BW,1,14
14,5.0,5.0,6.0,6.0,23.0,1.0,0.0,1.0,0.0,10.0,2.0,True,new,mock,BW,1,15
15,16.0,14.0,28.0,23.0,26.0,11.0,0.0,1.0,0.0,10.0,3.0,True,new,mock,BW,2,1
16,37.0,23.0,75.0,40.0,34.0,38.0,0.0,1.0,0.0,11.44,4.0,True,new,mock,BW,2,2
17,65.0,43.0,152.0,88.0,48.0,82.0,0.0,1.0,0.0,14.48,7.0,True,new,mock,BW,2,3
18,101.0,71.0,255.0,158.0,86.0,149.0,0.0,1.0,0.0,21.92,9.0,True,new,mock,BW,2,4
19,145.0,107.0,384.0,250.0,122.0,229.0,0.0,1.0,0.0,13.84,11.0,True,new,mock,BW,2,5
20,197.0,151.0,539.0,364.0,157.0,336.0,0.0,1.0,0.0,35.85,17.0,True,new,mock,BW,2,6
21,257.0,203.0,720.0,500.0,186.0,457.0,0.0,1.0,0.0,68.81,11.0,True,new,mock,BW,2,7
22,325.0,263.0,927.0,658.0,266.0,597.0,0.0,1.0,0.0,119.89,6.0,True,new,mock,BW,2,8
23,401.0,331.0,1160.0,838.0,352.0,757.0,0.0,1.0,0.0,39.93,18.0,True,new,mock,BW,2,9
24,468.0,446.0,1380.0,1148.0,435.0,911.0,0.0,1.0,0.0,125.85,20.0,True,new,mock,BW,2,10
25,577.0,534.0,1708.0,1383.0,590.0,1130.0,0.0,1.0,0.0,121.49,19.0,True,new,mock,BW,2,11
26,677.0,630.0,2019.0,1640.0,829.0,1335.0,0.0,1.0,0.0,135.98,23.0,True,new,mock,BW,2,12
27,785.0,734.0,2356.0,1919.0,959.0,1555.0,0.0,1.0,0.0,52.59,25.0,True,new,mock,BW,2,13
28,901.0,846.0,2719.0,2220.0,1254.0,1797.0,0.0,1.0,0.0,138.95,29.0,True,new,mock,BW,2,14
29,1025.0,966.0,3108.0,2543.0,1529.0,2047.0,0.0,1.0,0.0,68.01,23.0,True,new,mock,BW,2,15
30,60.0,53.0,131.0,116.0,44.0,62.0,0.0,8.0,0.0,13.44,5.0,True,new,mock,BW,3,1
31,213.0,181.0,633.0,492.0,146.0,357.0,0.0,64.0,0.0,40.86,21.0,True,new,mock,BW,3,2
32,507.0,427.0,1718.0,1305.0,532.0,1027.0,0.0,168.0,0.0,37.29,23.0,True,new,mock,BW,3,3
33,977.0,848.0,3549.0,2758.0,1297.0,1919.0,0.0,625.0,0.0,145.24,33.0,True,new,mock,BW,3,4
34,1715.0,1572.0,6498.0,5256.0,4179.0,3728.0,0.0,1010.0,0.0,145.19,47.0,True,new,mock,BW,3,5
35,,,,,,,,,,,,False,new,mock,BW,3,6
36,252.0,165.0,739.0,431.0,164.0,401.0,0.0,68.0,0.0,54.91,20.0,True,new,mock,BW,4,1
37,1286.0,952.0,5156.0,3324.0,3925.0,3605.0,0.0,252.0,0.0,192.67,43.0,True,new,mock,BW,4,2
38,,,,,,,,,,,,False,new,mock,BW,4,3
39,1006.0,689.0,3709.0,2168.0,1634.0,2171.0,0.0,504.0,0.0,60.24,32.0,True,new,mock,BW,5,1
40,,,,,,,,,,,,False,new,mock,BW,5,2
41,,,,,,,,,,,,False,new,mock,BW,6,1
42,5.0,5.0,6.0,6.0,22.0,1.0,0.0,1.0,0.0,10.0,1.0,True,new,mock,BW,1,1
43,5.0,5.0,6.0,6.0,22.0,1.0,0.0,1.0,0.0,9.7,1.0,True,new,mock,BW,1,2
44,5.0,5.0,6.0,6.0,21.0,1.0,0.0,1.0,0.0,10.0,2.0,True,new,mock,BW,1,3
45,5.0,5.0,6.0,6.0,22.0,1.0,0.0,1.0,0.0,9.72,1.0,True,new,mock,BW,1,4
46,5.0,5.0,6.0,6.0,22.0,1.0,0.0,1.0,0.0,10.0,1.0,True,new,mock,BW,1,5
47,5.0,5.0,6.0,6.0,23.0,1.0,0.0,1.0,0.0,10.0,2.0,True,new,mock,BW,1,6
48,5.0,5.0,6.0,6.0,22.0,1.0,0.0,1.0,0.0,10.0,1.0,True,new,mock,BW,1,7
49,5.0,5.0,6.0,6.0,22.0,1.0,0.0,1.0,0.0,10.0,2.0,True,new,mock,BW,1,8
50,5.0,5.0,6.0,6.0,22.0,1.0,0.0,1.0,0.0,10.0,1.0,True,new,mock,BW,1,9
51,5.0,5.0,6.0,6.0,23.0,1.0,0.0,1.0,0.0,10.0,0.0,True,new,mock,BW,1,10
52,5.0,5.0,6.0,6.0,22.0,1.0,0.0,1.0,0.0,10.0,1.0,True,new,mock,BW,1,11
53,5.0,5.0,6.0,6.0,23.0,1.0,0.0,1.0,0.0,10.0,2.0,True,new,mock,BW,1,12
54,5.0,5.0,6.0,6.0,23.0,1.0,0.0,1.0,0.0,10.0,1.0,True,new,mock,BW,1,13
55,5.0,5.0,6.0,6.0,22.0,1.0,0.0,1.0,0.0,10.0,1.0,True,new,mock,BW,1,14
56,5.0,5.0,6.0,6.0,23.0,1.0,0.0,1.0,0.0,10.0,1.0,True,new,mock,BW,1,15
57,16.0,14.0,28.0,23.0,27.0,11.0,0.0,1.0,0.0,10.0,2.0,True,new,mock,BW,2,1
58,37.0,23.0,75.0,40.0,34.0,38.0,0.0,1.0,0.0,11.44,5.0,True,new,mock,BW,2,2
59,65.0,43.0,152.0,88.0,49.0,82.0,0.0,1.0,0.0,14.48,10.0,True,new,mock,BW,2,3
60,101.0,71.0,255.0,158.0,69.0,149.0,0.0,1.0,0.0,21.92,8.0,True,new,mock,BW,2,4
61,145.0,107.0,384.0,250.0,98.0,229.0,0.0,1.0,0.0,13.85,6.0,True,new,mock,BW,2,5
62,197.0,151.0,539.0,364.0,158.0,336.0,0.0,1.0,0.0,36.86,19.0,True,new,mock,BW,2,6
63,257.0,203.0,720.0,500.0,182.0,457.0,0.0,1.0,0.0,68.81,17.0,True,new,mock,BW,2,7
64,325.0,263.0,927.0,658.0,259.0,597.0,0.0,1.0,0.0,120.9,11.0,True,new,mock,BW,2,8
65,401.0,331.0,1160.0,838.0,350.0,757.0,0.0,1.0,0.0,42.73,17.0,True,new,mock,BW,2,9
66,468.0,446.0,1380.0,1148.0,431.0,911.0,0.0,1.0,0.0,125.85,19.0,True,new,mock,BW,2,10
67,577.0,534.0,1708.0,1383.0,562.0,1130.0,0.0,1.0,0.0,121.45,25.0,True,new,mock,BW,2,11
68,677.0,630.0,2019.0,1640.0,734.0,1335.0,0.0,1.0,0.0,126.84,28.0,True,new,mock,BW,2,12
69,785.0,734.0,2356.0,1919.0,1042.0,1555.0,0.0,1.0,0.0,51.59,28.0,True,new,mock,BW,2,13
70,901.0,846.0,2719.0,2220.0,1229.0,1797.0,0.0,1.0,0.0,109.1,29.0,True,new,mock,BW,2,14
71,1025.0,966.0,3108.0,2543.0,1536.0,2047.0,0.0,1.0,0.0,125.26,27.0,True,new,mock,BW,2,15
72,60.0,53.0,131.0,116.0,44.0,62.0,0.0,8.0,0.0,13.44,6.0,True,new,mock,BW,3,1
73,213.0,181.0,633.0,492.0,140.0,357.0,0.0,64.0,0.0,40.87,14.0,True,new,mock,BW,3,2
74,507.0,427.0,1718.0,1305.0,521.0,1027.0,0.0,168.0,0.0,36.31,36.0,True,new,mock,BW,3,3
75,977.0,848.0,3549.0,2758.0,1307.0,1919.0,0.0,625.0,0.0,162.47,33.0,True,new,mock,BW,3,4
76,1715.0,1572.0,6498.0,5256.0,4299.0,3728.0,0.0,1010.0,0.0,110.7,41.0,True,new,mock,BW,3,5
77,,,,,,,,,,,,False,new,mock,BW,3,6
78,252.0,165.0,739.0,431.0,211.0,401.0,0.0,68.0,0.0,55.91,17.0,True,new,mock,BW,4,1
79,1286.0,952.0,5156.0,3324.0,3972.0,3605.0,0.0,252.0,0.0,230.45,40.0,True,new,mock,BW,4,2
80,,,,,,,,,,,,False,new,mock,BW,4,3
81,1006.0,689.0,3709.0,2168.0,1628.0,2171.0,0.0,504.0,0.0,93.08,22.0,True,new,mock,BW,5,1
82,,,,,,,,,,,,False,new,mock,BW,5,2
83,,,,,,,,,,,,False,new,mock,BW,6,1
84,5.0,5.0,6.0,6.0,22.0,1.0,0.0,1.0,0.0,10.0,1.0,True,new,mock,BW,1,1
85,5.0,5.0,6.0,6.0,22.0,1.0,0.0,1.0,0.0,9.7,1.0,True,new,mock,BW,1,2
86,5.0,5.0,6.0,6.0,22.0,1.0,0.0,1.0,0.0,10.0,1.0,True,new,mock,BW,1,3
87,5.0,5.0,6.0,6.0,21.0,1.0,0.0,1.0,0.0,9.72,1.0,True,new,mock,BW,1,4
88,5.0,5.0,6.0,6.0,22.0,1.0,0.0,1.0,0.0,10.0,1.0,True,new,mock,BW,1,5
89,5.0,5.0,6.0,6.0,22.0,1.0,0.0,1.0,0.0,10.0,1.0,True,new,mock,BW,1,6
90,5.0,5.0,6.0,6.0,22.0,1.0,0.0,1.0,0.0,10.0,1.0,True,new,mock,BW,1,7
91,5.0,5.0,6.0,6.0,22.0,1.0,0.0,1.0,0.0,10.0,1.0,True,new,mock,BW,1,8
92,5.0,5.0,6.0,6.0,22.0,1.0,0.0,1.0,0.0,10.0,1.0,True,new,mock,BW,1,9
93,5.0,5.0,6.0,6.0,23.0,1.0,0.0,1.0,0.0,10.0,1.0,True,new,mock,BW,1,10
94,5.0,5.0,6.0,6.0,23.0,1.0,0.0,1.0,0.0,10.0,2.0,True,new,mock,BW,1,11
95,5.0,5.0,6.0,6.0,22.0,1.0,0.0,1.0,0.0,10.0,2.0,True,new,mock,BW,1,12
96,5.0,5.0,6.0,6.0,23.0,1.0,0.0,1.0,0.0,10.0,1.0,True,new,mock,BW,1,13
97,5.0,5.0,6.0,6.0,23.0,1.0,0.0,1.0,0.0,10.0,0.0,True,new,mock,BW,1,14
98,5.0,5.0,6.0,6.0,23.0,1.0,0.0,1.0,0.0,10.0,1.0,True,new,mock,BW,1,15
99,16.0,14.0,28.0,23.0,31.0,11.0,0.0,1.0,0.0,10.0,3.0,True,new,mock,BW,2,1
100,37.0,23.0,75.0,40.0,35.0,38.0,0.0,1.0,0.0,11.44,4.0,True,new,mock,BW,2,2
101,65.0,43.0,152.0,88.0,62.0,82.0,0.0,1.0,0.0,14.48,7.0,True,new,mock,BW,2,3
102,101.0,71.0,255.0,158.0,69.0,149.0,0.0,1.0,0.0,21.92,4.0,True,new,mock,BW,2,4
103,145.0,107.0,384.0,250.0,97.0,229.0,0.0,1.0,0.0,13.85,9.0,True,new,mock,BW,2,5
104,197.0,151.0,539.0,364.0,151.0,336.0,0.0,1.0,0.0,36.86,13.0,True,new,mock,BW,2,6
105,257.0,203.0,720.0,500.0,193.0,457.0,0.0,1.0,0.0,68.8,12.0,True,new,mock,BW,2,7
106,325.0,263.0,927.0,658.0,267.0,597.0,0.0,1.0,0.0,119.9,16.0,True,new,mock,BW,2,8
107,401.0,331.0,1160.0,838.0,397.0,757.0,0.0,1.0,0.0,40.92,18.0,True,new,mock,BW,2,9
108,468.0,446.0,1380.0,1148.0,443.0,911.0,0.0,1.0,0.0,120.84,24.0,True,new,mock,BW,2,10
109,577.0,534.0,1708.0,1383.0,599.0,1130.0,0.0,1.0,0.0,115.48,26.0,True,new,mock,BW,2,11
110,677.0,630.0,2019.0,1640.0,767.0,1335.0,0.0,1.0,0.0,136.71,18.0,True,new,mock,BW,2,12
111,785.0,734.0,2356.0,1919.0,980.0,1555.0,0.0,1.0,0.0,52.23,32.0,True,new,mock,BW,2,13
112,901.0,846.0,2719.0,2220.0,1261.0,1797.0,0.0,1.0,0.0,170.95,25.0,True,new,mock,BW,2,14
113,1025.0,966.0,3108.0,2543.0,1550.0,2047.0,0.0,1.0,0.0,65.4,28.0,True,new,mock,BW,2,15
114,60.0,53.0,131.0,116.0,43.0,62.0,0.0,8.0,0.0,13.44,5.0,True,new,mock,BW,3,1
115,213.0,181.0,633.0,492.0,141.0,357.0,0.0,64.0,0.0,40.86,12.0,True,new,mock,BW,3,2
116,507.0,427.0,1718.0,1305.0,529.0,1027.0,0.0,168.0,0.0,41.14,25.0,True,new,mock,BW,3,3
117,977.0,848.0,3549.0,2758.0,1290.0,1919.0,0.0,625.0,0.0,85.61,31.0,True,new,mock,BW,3,4
118,1715.0,1572.0,6498.0,5256.0,4238.0,3728.0,0.0,1010.0,0.0,84.52,55.0,True,new,mock,BW,3,5
119,,,,,,,,,,,,False,new,mock,BW,3,6
120,252.0,165.0,739.0,431.0,213.0,401.0,0.0,68.0,0.0,55.91,15.0,True,new,mock,BW,4,1
