,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),heuristic time(ms),expansion_budget_exceeded,OutOfMem,algorithm,heuristic,problem,n,k,transitions/ms,idx
0,5,5,6,6,216,2,0,1,0,17.21,27.0,false,False,new,experiments/results/BW_2_2/testSampleName/0.onnx,BW,1,1,0.027777777777777776,0
1,5,5,6,6,220,2,0,1,0,17.2,13.0,false,False,new,experiments/results/BW_2_2/testSampleName/0.onnx,BW,1,2,0.02727272727272727,0
2,17,14,29,23,238,4,0,1,0,20.18,48.0,false,False,new,experiments/results/BW_2_2/testSampleName/0.onnx,BW,2,1,0.12184873949579832,0
3,33,29,69,54,345,27,0,1,0,21.62,120.0,false,False,new,experiments/results/BW_2_2/testSampleName/0.onnx,BW,2,2,0.2,0
4,5,5,6,6,240,2,0,1,0,15.7,29.0,false,False,new,experiments/results/BW_2_2/testSampleName/1.onnx,BW,1,1,0.025,1
5,5,5,6,6,187,2,0,1,0,17.2,11.0,false,False,new,experiments/results/BW_2_2/testSampleName/1.onnx,BW,1,2,0.03208556149732621,1
6,17,14,29,23,239,4,0,1,0,19.2,36.0,false,False,new,experiments/results/BW_2_2/testSampleName/1.onnx,BW,2,1,0.12133891213389121,1
7,33,29,69,54,302,27,0,1,0,20.66,99.0,false,False,new,experiments/results/BW_2_2/testSampleName/1.onnx,BW,2,2,0.22847682119205298,1
8,5,5,6,6,200,2,0,1,0,16.69,15.0,false,False,new,experiments/results/BW_2_2/testSampleName/2.onnx,BW,1,1,0.03,2
9,5,5,6,6,217,2,0,1,0,15.7,25.0,false,False,new,experiments/results/BW_2_2/testSampleName/2.onnx,BW,1,2,0.027649769585253458,2
10,17,14,29,23,245,4,0,1,0,20.18,49.0,false,False,new,experiments/results/BW_2_2/testSampleName/2.onnx,BW,2,1,0.11836734693877551,2
11,33,29,69,54,247,27,0,1,0,21.62,62.0,false,False,new,experiments/results/BW_2_2/testSampleName/2.onnx,BW,2,2,0.2793522267206478,2
12,5,5,6,6,206,2,0,1,0,16.69,14.0,false,False,new,experiments/results/BW_2_2/testSampleName/3.onnx,BW,1,1,0.02912621359223301,3
13,5,5,6,6,241,2,0,1,0,17.2,19.0,false,False,new,experiments/results/BW_2_2/testSampleName/3.onnx,BW,1,2,0.024896265560165973,3
14,17,14,29,23,236,4,0,1,0,19.7,55.0,false,False,new,experiments/results/BW_2_2/testSampleName/3.onnx,BW,2,1,0.1228813559322034,3
15,33,29,69,54,277,27,0,1,0,21.62,69.0,false,False,new,experiments/results/BW_2_2/testSampleName/3.onnx,BW,2,2,0.2490974729241877,3
16,5,5,6,6,193,2,0,1,0,16.69,14.0,false,False,new,experiments/results/BW_2_2/testSampleName/4.onnx,BW,1,1,0.031088082901554404,4
