,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),heuristic time(ms),OutOfMem,algorithm,heuristic,problem,n,k
0,5.0,5.0,6.0,6.0,181.0,2.0,0.0,1.0,0.0,11.95,10.0,True,new,experiments/results/BW_2_2/visits6432/5.onnx,BW,1,1
1,5.0,5.0,6.0,6.0,179.0,2.0,0.0,1.0,0.0,11.96,10.0,True,new,experiments/results/BW_2_2/visits6432/5.onnx,BW,1,2
2,5.0,5.0,6.0,6.0,160.0,2.0,0.0,1.0,0.0,11.96,8.0,True,new,experiments/results/BW_2_2/visits6432/5.onnx,BW,1,3
3,5.0,5.0,6.0,6.0,183.0,2.0,0.0,1.0,0.0,11.95,10.0,True,new,experiments/results/BW_2_2/visits6432/5.onnx,BW,1,4
4,5.0,5.0,6.0,6.0,183.0,2.0,0.0,1.0,0.0,11.95,11.0,True,new,experiments/results/BW_2_2/visits6432/5.onnx,BW,1,5
5,5.0,5.0,6.0,6.0,191.0,2.0,0.0,1.0,0.0,11.97,10.0,True,new,experiments/results/BW_2_2/visits6432/5.onnx,BW,1,6
6,5.0,5.0,6.0,6.0,181.0,2.0,0.0,1.0,0.0,11.97,8.0,True,new,experiments/results/BW_2_2/visits6432/5.onnx,BW,1,7
7,5.0,5.0,6.0,6.0,179.0,2.0,0.0,1.0,0.0,11.96,9.0,True,new,experiments/results/BW_2_2/visits6432/5.onnx,BW,1,8
8,5.0,5.0,6.0,6.0,159.0,2.0,0.0,1.0,0.0,11.95,9.0,True,new,experiments/results/BW_2_2/visits6432/5.onnx,BW,1,9
9,5.0,5.0,6.0,6.0,175.0,2.0,0.0,1.0,0.0,11.96,9.0,True,new,experiments/results/BW_2_2/visits6432/5.onnx,BW,1,10
10,5.0,5.0,6.0,6.0,161.0,2.0,0.0,1.0,0.0,11.97,10.0,True,new,experiments/results/BW_2_2/visits6432/5.onnx,BW,1,11
11,5.0,5.0,6.0,6.0,197.0,2.0,0.0,1.0,0.0,11.96,10.0,True,new,experiments/results/BW_2_2/visits6432/5.onnx,BW,1,12
12,5.0,5.0,6.0,6.0,181.0,2.0,0.0,1.0,0.0,11.95,9.0,True,new,experiments/results/BW_2_2/visits6432/5.onnx,BW,1,13
13,5.0,5.0,6.0,6.0,179.0,2.0,0.0,1.0,0.0,11.95,10.0,True,new,experiments/results/BW_2_2/visits6432/5.onnx,BW,1,14
14,5.0,5.0,6.0,6.0,179.0,2.0,0.0,1.0,0.0,11.97,11.0,True,new,experiments/results/BW_2_2/visits6432/5.onnx,BW,1,15
15,16.0,14.0,28.0,23.0,196.0,12.0,0.0,1.0,0.0,14.99,21.0,True,new,experiments/results/BW_2_2/visits6432/5.onnx,BW,2,1
16,21.0,15.0,35.0,20.0,179.0,14.0,0.0,1.0,0.0,14.99,22.0,True,new,experiments/results/BW_2_2/visits6432/5.onnx,BW,2,2
17,25.0,22.0,42.0,35.0,203.0,16.0,0.0,1.0,0.0,15.47,27.0,True,new,experiments/results/BW_2_2/visits6432/5.onnx,BW,2,3
18,29.0,29.0,48.0,46.0,229.0,19.0,0.0,1.0,0.0,15.98,50.0,True,new,experiments/results/BW_2_2/visits6432/5.onnx,BW,2,4
19,33.0,30.0,54.0,47.0,212.0,21.0,0.0,1.0,0.0,15.95,27.0,True,new,experiments/results/BW_2_2/visits6432/5.onnx,BW,2,5
20,37.0,34.0,60.0,53.0,195.0,23.0,0.0,1.0,0.0,15.95,32.0,True,new,experiments/results/BW_2_2/visits6432/5.onnx,BW,2,6
21,41.0,41.0,66.0,64.0,224.0,25.0,0.0,1.0,0.0,16.96,45.0,True,new,experiments/results/BW_2_2/visits6432/5.onnx,BW,2,7
22,45.0,45.0,72.0,70.0,227.0,27.0,0.0,1.0,0.0,17.44,48.0,True,new,experiments/results/BW_2_2/visits6432/5.onnx,BW,2,8
23,49.0,49.0,78.0,76.0,220.0,29.0,0.0,1.0,0.0,17.44,34.0,True,new,experiments/results/BW_2_2/visits6432/5.onnx,BW,2,9
24,53.0,50.0,84.0,77.0,243.0,31.0,0.0,1.0,0.0,17.92,55.0,True,new,experiments/results/BW_2_2/visits6432/5.onnx,BW,2,10
25,57.0,54.0,90.0,83.0,210.0,32.0,0.0,1.0,0.0,18.48,41.0,True,new,experiments/results/BW_2_2/visits6432/5.onnx,BW,2,11
26,61.0,61.0,96.0,94.0,230.0,34.0,0.0,1.0,0.0,18.96,39.0,True,new,experiments/results/BW_2_2/visits6432/5.onnx,BW,2,12
27,65.0,65.0,102.0,100.0,260.0,36.0,0.0,1.0,0.0,19.92,44.0,True,new,experiments/results/BW_2_2/visits6432/5.onnx,BW,2,13
28,81.0,69.0,126.0,106.0,254.0,45.0,0.0,1.0,0.0,21.92,56.0,True,new,experiments/results/BW_2_2/visits6432/5.onnx,BW,2,14
29,73.0,70.0,114.0,107.0,238.0,40.0,0.0,1.0,0.0,20.48,55.0,True,new,experiments/results/BW_2_2/visits6432/5.onnx,BW,2,15
30,57.0,26.0,105.0,39.0,232.0,41.0,0.0,1.0,0.0,17.44,48.0,True,new,experiments/results/BW_2_2/visits6432/5.onnx,BW,3,1
31,90.0,47.0,181.0,84.0,336.0,68.0,0.0,1.0,0.0,21.92,122.0,True,new,experiments/results/BW_2_2/visits6432/5.onnx,BW,3,2
32,99.0,54.0,200.0,89.0,337.0,79.0,0.0,1.0,0.0,23.92,110.0,True,new,experiments/results/BW_2_2/visits6432/5.onnx,BW,3,3
33,126.0,95.0,264.0,191.0,399.0,107.0,0.0,1.0,0.0,18.55,164.0,True,new,experiments/results/BW_2_2/visits6432/5.onnx,BW,3,4
34,153.0,117.0,305.0,228.0,361.0,118.0,0.0,1.0,0.0,22.65,122.0,True,new,experiments/results/BW_2_2/visits6432/5.onnx,BW,3,5
35,157.0,152.0,293.0,277.0,396.0,102.0,0.0,1.0,0.0,22.67,156.0,True,new,experiments/results/BW_2_2/visits6432/5.onnx,BW,3,6
36,177.0,174.0,309.0,298.0,385.0,97.0,0.0,1.0,0.0,23.73,139.0,True,new,experiments/results/BW_2_2/visits6432/5.onnx,BW,3,7
37,177.0,174.0,308.0,296.0,412.0,106.0,0.0,1.0,0.0,24.74,152.0,True,new,experiments/results/BW_2_2/visits6432/5.onnx,BW,3,8
38,253.0,141.0,445.0,224.0,504.0,150.0,0.0,1.0,0.0,41.74,210.0,True,new,experiments/results/BW_2_2/visits6432/5.onnx,BW,3,9
39,238.0,170.0,408.0,278.0,490.0,143.0,0.0,1.0,0.0,50.78,188.0,True,new,experiments/results/BW_2_2/visits6432/5.onnx,BW,3,10
40,205.0,195.0,352.0,323.0,422.0,126.0,0.0,1.0,0.0,33.8,170.0,True,new,experiments/results/BW_2_2/visits6432/5.onnx,BW,3,11
41,205.0,190.0,337.0,302.0,412.0,115.0,0.0,1.0,0.0,34.71,150.0,True,new,experiments/results/BW_2_2/visits6432/5.onnx,BW,3,12
