,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),heuristic time(ms),algorithm,heuristic,problem,n,k,idx
0,31.0,17.0,42.0,21.0,228.0,7.0,2.0,1.0,4.0,20.18,46.0,new,experiments/results/CM_2_2/5mill_JE/0.onnx,CM,1,1,0
1,85.0,33.0,126.0,42.0,287.0,16.0,9.0,2.0,14.0,24.18,87.0,new,experiments/results/CM_2_2/5mill_JE/0.onnx,CM,1,2,0
2,175.0,71.0,273.0,91.0,338.0,25.0,21.0,5.0,32.0,17.78,125.0,new,experiments/results/CM_2_2/5mill_JE/0.onnx,CM,1,3,0
3,297.0,93.0,489.0,123.0,447.0,51.0,38.0,2.0,61.0,37.05,197.0,new,experiments/results/CM_2_2/5mill_JE/0.onnx,CM,1,4,0
4,451.0,136.0,760.0,182.0,669.0,69.0,70.0,5.0,92.0,62.29,373.0,new,experiments/results/CM_2_2/5mill_JE/0.onnx,CM,1,5,0
5,637.0,145.0,1101.0,198.0,883.0,114.0,98.0,11.0,130.0,118.52,389.0,new,experiments/results/CM_2_2/5mill_JE/0.onnx,CM,1,6,0
6,855.0,187.0,1505.0,255.0,1280.0,150.0,152.0,13.0,177.0,56.82,646.0,new,experiments/results/CM_2_2/5mill_JE/0.onnx,CM,1,7,0
7,1105.0,237.0,1973.0,326.0,1829.0,203.0,224.0,17.0,212.0,43.12,803.0,new,experiments/results/CM_2_2/5mill_JE/0.onnx,CM,1,8,0
8,1387.0,315.0,2492.0,434.0,2227.0,215.0,313.0,23.0,275.0,186.27,1052.0,new,experiments/results/CM_2_2/5mill_JE/0.onnx,CM,1,9,0
9,1701.0,307.0,3095.0,420.0,2282.0,244.0,423.0,16.0,334.0,71.0,999.0,new,experiments/results/CM_2_2/5mill_JE/0.onnx,CM,1,10,0
10,2047.0,357.0,3755.0,493.0,2790.0,240.0,713.0,18.0,392.0,218.3,1092.0,new,experiments/results/CM_2_2/5mill_JE/0.onnx,CM,1,11,0
11,2425.0,445.0,4474.0,622.0,4113.0,319.0,860.0,35.0,430.0,271.93,1554.0,new,experiments/results/CM_2_2/5mill_JE/0.onnx,CM,1,12,0
12,,,,,,,,,,,,new,experiments/results/CM_2_2/5mill_JE/0.onnx,CM,1,13,0
13,189.0,75.0,315.0,132.0,369.0,47.0,0.0,1.0,74.0,25.49,158.0,new,experiments/results/CM_2_2/5mill_JE/0.onnx,CM,2,1,0
14,1139.0,283.0,2248.0,516.0,1828.0,242.0,34.0,3.0,635.0,67.49,974.0,new,experiments/results/CM_2_2/5mill_JE/0.onnx,CM,2,2,0
15,,,,,,,,,,,,new,experiments/results/CM_2_2/5mill_JE/0.onnx,CM,2,3,0
