,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),heuristic time(ms),algorithm,heuristic,problem,n,k,idx
0,21.0,17.0,26.0,21.0,384.0,5.0,0.0,1.0,0.0,20.18,31.0,new,experiments/results/CM_2_2/5mill_JE20/0.onnx,CM,1,1,0
1,56.0,33.0,79.0,42.0,254.0,9.0,3.0,8.0,4.0,22.66,55.0,new,experiments/results/CM_2_2/5mill_JE20/0.onnx,CM,1,2,0
2,124.0,53.0,186.0,69.0,272.0,19.0,8.0,22.0,10.0,27.62,91.0,new,experiments/results/CM_2_2/5mill_JE20/0.onnx,CM,1,3,0
3,190.0,77.0,306.0,102.0,384.0,28.0,23.0,39.0,11.0,22.94,137.0,new,experiments/results/CM_2_2/5mill_JE20/0.onnx,CM,1,4,0
4,259.0,99.0,415.0,132.0,459.0,41.0,41.0,32.0,8.0,32.22,212.0,new,experiments/results/CM_2_2/5mill_JE20/0.onnx,CM,1,5,0
5,360.0,137.0,619.0,181.0,563.0,105.0,43.0,34.0,17.0,76.52,225.0,new,experiments/results/CM_2_2/5mill_JE20/0.onnx,CM,1,6,0
6,463.0,175.0,814.0,238.0,717.0,123.0,66.0,52.0,22.0,112.91,285.0,new,experiments/results/CM_2_2/5mill_JE20/0.onnx,CM,1,7,0
7,577.0,213.0,1027.0,291.0,856.0,162.0,82.0,62.0,23.0,35.15,362.0,new,experiments/results/CM_2_2/5mill_JE20/0.onnx,CM,1,8,0
8,700.0,251.0,1247.0,348.0,1272.0,154.0,115.0,100.0,21.0,146.55,485.0,new,experiments/results/CM_2_2/5mill_JE20/0.onnx,CM,1,9,0
9,840.0,303.0,1524.0,423.0,1413.0,229.0,121.0,107.0,29.0,102.09,431.0,new,experiments/results/CM_2_2/5mill_JE20/0.onnx,CM,1,10,0
10,989.0,351.0,1808.0,486.0,1870.0,319.0,129.0,109.0,28.0,35.53,557.0,new,experiments/results/CM_2_2/5mill_JE20/0.onnx,CM,1,11,0
11,1153.0,393.0,2120.0,541.0,2472.0,369.0,177.0,107.0,28.0,221.9,602.0,new,experiments/results/CM_2_2/5mill_JE20/0.onnx,CM,1,12,0
12,1321.0,453.0,2439.0,629.0,2301.0,243.0,328.0,168.0,30.0,207.57,718.0,new,experiments/results/CM_2_2/5mill_JE20/0.onnx,CM,1,13,0
13,1509.0,491.0,2796.0,686.0,2587.0,205.0,451.0,195.0,35.0,105.26,894.0,new,experiments/results/CM_2_2/5mill_JE20/0.onnx,CM,1,14,0
14,,,,,,,,,,,,new,experiments/results/CM_2_2/5mill_JE20/0.onnx,CM,1,15,0
15,183.0,75.0,308.0,132.0,382.0,55.0,2.0,1.0,56.0,23.49,146.0,new,experiments/results/CM_2_2/5mill_JE20/0.onnx,CM,2,1,0
16,1153.0,247.0,2202.0,461.0,1931.0,397.0,7.0,2.0,412.0,77.41,846.0,new,experiments/results/CM_2_2/5mill_JE20/0.onnx,CM,2,2,0
17,,,,,,,,,,,,new,experiments/results/CM_2_2/5mill_JE20/0.onnx,CM,2,3,0
18,1134.0,355.0,2729.0,922.0,2250.0,395.0,0.0,1.0,576.0,80.66,844.0,new,experiments/results/CM_2_2/5mill_JE20/0.onnx,CM,3,1,0
19,,,,,,,,,,,,new,experiments/results/CM_2_2/5mill_JE20/0.onnx,CM,3,2,0
20,,,,,,,,,,,,new,experiments/results/CM_2_2/5mill_JE20/0.onnx,CM,4,1,0
21,29.0,20.0,37.0,24.0,203.0,5.0,1.0,1.0,3.0,20.69,34.0,new,experiments/results/CM_2_2/5mill_JE20/1.onnx,CM,1,1,1
22,85.0,44.0,123.0,55.0,258.0,17.0,4.0,3.0,12.0,24.18,70.0,new,experiments/results/CM_2_2/5mill_JE20/1.onnx,CM,1,2,1
23,175.0,59.0,260.0,77.0,372.0,24.0,20.0,2.0,30.0,19.74,165.0,new,experiments/results/CM_2_2/5mill_JE20/1.onnx,CM,1,3,1
24,297.0,85.0,464.0,113.0,560.0,44.0,36.0,2.0,51.0,40.04,230.0,new,experiments/results/CM_2_2/5mill_JE20/1.onnx,CM,1,4,1
25,451.0,100.0,733.0,130.0,661.0,85.0,45.0,3.0,76.0,74.25,300.0,new,experiments/results/CM_2_2/5mill_JE20/1.onnx,CM,1,5,1
26,637.0,134.0,1078.0,168.0,771.0,106.0,85.0,21.0,108.0,113.51,367.0,new,experiments/results/CM_2_2/5mill_JE20/1.onnx,CM,1,6,1
27,855.0,157.0,1473.0,198.0,1183.0,130.0,133.0,16.0,151.0,45.92,607.0,new,experiments/results/CM_2_2/5mill_JE20/1.onnx,CM,1,7,1
28,1105.0,197.0,1928.0,264.0,1469.0,175.0,204.0,3.0,188.0,101.87,679.0,new,experiments/results/CM_2_2/5mill_JE20/1.onnx,CM,1,8,1
29,1387.0,204.0,2466.0,270.0,1878.0,184.0,267.0,3.0,269.0,73.2,767.0,new,experiments/results/CM_2_2/5mill_JE20/1.onnx,CM,1,9,1
30,1701.0,287.0,3022.0,386.0,2596.0,267.0,367.0,3.0,249.0,197.13,1104.0,new,experiments/results/CM_2_2/5mill_JE20/1.onnx,CM,1,10,1
31,2047.0,371.0,3662.0,497.0,2977.0,385.0,386.0,11.0,265.0,169.36,1220.0,new,experiments/results/CM_2_2/5mill_JE20/1.onnx,CM,1,11,1
32,2425.0,428.0,4376.0,579.0,3639.0,443.0,421.0,12.0,387.0,145.27,1602.0,new,experiments/results/CM_2_2/5mill_JE20/1.onnx,CM,1,12,1
33,2835.0,385.0,5139.0,515.0,4473.0,485.0,616.0,13.0,357.0,37.72,1925.0,new,experiments/results/CM_2_2/5mill_JE20/1.onnx,CM,1,13,1
34,,,,,,,,,,,,new,experiments/results/CM_2_2/5mill_JE20/1.onnx,CM,1,14,1
35,189.0,90.0,350.0,154.0,513.0,48.0,5.0,7.0,91.0,24.49,241.0,new,experiments/results/CM_2_2/5mill_JE20/1.onnx,CM,2,1,1
36,1161.0,221.0,2366.0,413.0,1775.0,161.0,203.0,14.0,655.0,97.5,848.0,new,experiments/results/CM_2_2/5mill_JE20/1.onnx,CM,2,2,1
