,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),heuristic time(ms),algorithm,heuristic,problem,n,k,idx
0,22.0,18.0,27.0,22.0,240.0,4.0,1.0,1.0,3.0,20.18,38.0,new,experiments/results/CM_2_2/5mill_JEadam/0.onnx,CM,1,1,0
1,52.0,30.0,75.0,38.0,231.0,13.0,7.0,1.0,7.0,23.14,50.0,new,experiments/results/CM_2_2/5mill_JEadam/0.onnx,CM,1,2,0
2,110.0,56.0,171.0,72.0,272.0,20.0,32.0,1.0,14.0,29.7,90.0,new,experiments/results/CM_2_2/5mill_JEadam/0.onnx,CM,1,3,0
3,200.0,67.0,314.0,86.0,365.0,45.0,57.0,1.0,17.0,32.96,128.0,new,experiments/results/CM_2_2/5mill_JEadam/0.onnx,CM,1,4,0
4,312.0,114.0,514.0,150.0,536.0,68.0,117.0,1.0,22.0,71.22,210.0,new,experiments/results/CM_2_2/5mill_JEadam/0.onnx,CM,1,5,0
5,466.0,120.0,777.0,158.0,809.0,126.0,163.0,1.0,30.0,23.92,245.0,new,experiments/results/CM_2_2/5mill_JEadam/0.onnx,CM,1,6,0
6,627.0,188.0,1090.0,252.0,1112.0,186.0,247.0,1.0,36.0,58.24,312.0,new,experiments/results/CM_2_2/5mill_JEadam/0.onnx,CM,1,7,0
7,927.0,237.0,1653.0,318.0,1633.0,299.0,327.0,1.0,91.0,29.57,435.0,new,experiments/results/CM_2_2/5mill_JEadam/0.onnx,CM,1,8,0
8,1164.0,157.0,2130.0,208.0,2140.0,535.0,366.0,1.0,80.0,201.3,544.0,new,experiments/results/CM_2_2/5mill_JEadam/0.onnx,CM,1,9,0
9,1289.0,219.0,2341.0,279.0,2722.0,413.0,507.0,1.0,97.0,192.62,611.0,new,experiments/results/CM_2_2/5mill_JEadam/0.onnx,CM,1,10,0
10,1623.0,387.0,2983.0,531.0,3529.0,536.0,658.0,1.0,140.0,72.38,692.0,new,experiments/results/CM_2_2/5mill_JEadam/0.onnx,CM,1,11,0
11,,,,,,,,,,,,new,experiments/results/CM_2_2/5mill_JEadam/0.onnx,CM,1,12,0
12,143.0,75.0,243.0,132.0,374.0,39.0,3.0,1.0,46.0,18.38,161.0,new,experiments/results/CM_2_2/5mill_JEadam/0.onnx,CM,2,1,0
13,1096.0,232.0,2205.0,433.0,1882.0,262.0,171.0,6.0,551.0,88.32,738.0,new,experiments/results/CM_2_2/5mill_JEadam/0.onnx,CM,2,2,0
14,,,,,,,,,,,,new,experiments/results/CM_2_2/5mill_JEadam/0.onnx,CM,2,3,0
15,1099.0,355.0,2695.0,922.0,2256.0,400.0,14.0,13.0,628.0,55.57,1120.0,new,experiments/results/CM_2_2/5mill_JEadam/0.onnx,CM,3,1,0
16,,,,,,,,,,,,new,experiments/results/CM_2_2/5mill_JEadam/0.onnx,CM,3,2,0
17,,,,,,,,,,,,new,experiments/results/CM_2_2/5mill_JEadam/0.onnx,CM,4,1,0
18,29.0,17.0,37.0,21.0,183.0,6.0,2.0,1.0,3.0,20.69,36.0,new,experiments/results/CM_2_2/5mill_JEadam/1.onnx,CM,1,1,1
19,85.0,37.0,127.0,48.0,251.0,16.0,17.0,1.0,11.0,24.66,78.0,new,experiments/results/CM_2_2/5mill_JEadam/1.onnx,CM,1,2,1
20,175.0,61.0,273.0,79.0,332.0,23.0,45.0,1.0,24.0,19.71,154.0,new,experiments/results/CM_2_2/5mill_JEadam/1.onnx,CM,1,3,1
21,297.0,90.0,487.0,117.0,433.0,35.0,103.0,1.0,38.0,39.98,196.0,new,experiments/results/CM_2_2/5mill_JEadam/1.onnx,CM,1,4,1
22,451.0,109.0,776.0,147.0,644.0,53.0,167.0,1.0,62.0,74.27,272.0,new,experiments/results/CM_2_2/5mill_JEadam/1.onnx,CM,1,5,1
23,637.0,119.0,1110.0,157.0,813.0,63.0,244.0,1.0,89.0,130.52,356.0,new,experiments/results/CM_2_2/5mill_JEadam/1.onnx,CM,1,6,1
24,855.0,169.0,1526.0,230.0,1182.0,85.0,383.0,1.0,90.0,118.69,443.0,new,experiments/results/CM_2_2/5mill_JEadam/1.onnx,CM,1,7,1
25,1105.0,225.0,1973.0,305.0,1364.0,81.0,512.0,10.0,114.0,144.23,506.0,new,experiments/results/CM_2_2/5mill_JEadam/1.onnx,CM,1,8,1
26,1387.0,239.0,2523.0,328.0,1753.0,115.0,605.0,1.0,197.0,19.52,615.0,new,experiments/results/CM_2_2/5mill_JEadam/1.onnx,CM,1,9,1
27,1701.0,331.0,3108.0,453.0,2354.0,122.0,787.0,3.0,178.0,171.55,856.0,new,experiments/results/CM_2_2/5mill_JEadam/1.onnx,CM,1,10,1
28,2047.0,295.0,3787.0,402.0,2817.0,143.0,929.0,1.0,277.0,78.39,1043.0,new,experiments/results/CM_2_2/5mill_JEadam/1.onnx,CM,1,11,1
29,2425.0,441.0,4502.0,607.0,3953.0,139.0,1210.0,4.0,262.0,303.47,1125.0,new,experiments/results/CM_2_2/5mill_JEadam/1.onnx,CM,1,12,1
30,2835.0,542.0,5280.0,748.0,4416.0,109.0,1477.0,6.0,285.0,70.92,1391.0,new,experiments/results/CM_2_2/5mill_JEadam/1.onnx,CM,1,13,1
31,,,,,,,,,,,,new,experiments/results/CM_2_2/5mill_JEadam/1.onnx,CM,1,14,1
32,187.0,90.0,344.0,154.0,349.0,33.0,5.0,8.0,89.0,21.47,134.0,new,experiments/results/CM_2_2/5mill_JEadam/1.onnx,CM,2,1,1
33,1113.0,221.0,2229.0,413.0,1404.0,193.0,182.0,3.0,651.0,28.45,653.0,new,experiments/results/CM_2_2/5mill_JEadam/1.onnx,CM,2,2,1
34,,,,,,,,,,,,new,experiments/results/CM_2_2/5mill_JEadam/1.onnx,CM,2,3,1
35,1146.0,403.0,2838.0,1005.0,1746.0,346.0,14.0,9.0,739.0,101.63,904.0,new,experiments/results/CM_2_2/5mill_JEadam/1.onnx,CM,3,1,1
36,,,,,,,,,,,,new,experiments/results/CM_2_2/5mill_JEadam/1.onnx,CM,3,2,1
37,,,,,,,,,,,,new,experiments/results/CM_2_2/5mill_JEadam/1.onnx,CM,4,1,1
38,30.0,17.0,38.0,21.0,215.0,6.0,2.0,1.0,3.0,20.18,37.0,new,experiments/results/CM_2_2/5mill_JEadam/2.onnx,CM,1,1,2
39,85.0,37.0,125.0,48.0,277.0,14.0,14.0,2.0,12.0,25.14,71.0,new,experiments/results/CM_2_2/5mill_JEadam/2.onnx,CM,1,2,2
40,153.0,46.0,235.0,59.0,318.0,17.0,33.0,1.0,17.0,15.71,112.0,new,experiments/results/CM_2_2/5mill_JEadam/2.onnx,CM,1,3,2
41,258.0,63.0,423.0,82.0,391.0,33.0,78.0,1.0,26.0,35.99,152.0,new,experiments/results/CM_2_2/5mill_JEadam/2.onnx,CM,1,4,2
42,451.0,107.0,750.0,142.0,657.0,61.0,150.0,1.0,40.0,82.25,262.0,new,experiments/results/CM_2_2/5mill_JEadam/2.onnx,CM,1,5,2
43,637.0,141.0,1105.0,190.0,848.0,84.0,255.0,1.0,48.0,155.52,328.0,new,experiments/results/CM_2_2/5mill_JEadam/2.onnx,CM,1,6,2
44,855.0,195.0,1506.0,267.0,1171.0,110.0,376.0,1.0,58.0,142.46,435.0,new,experiments/results/CM_2_2/5mill_JEadam/2.onnx,CM,1,7,2
45,965.0,166.0,1736.0,222.0,1420.0,88.0,498.0,1.0,61.0,128.22,621.0,new,experiments/results/CM_2_2/5mill_JEadam/2.onnx,CM,1,8,2
46,1387.0,253.0,2517.0,342.0,1915.0,147.0,740.0,1.0,73.0,179.66,671.0,new,experiments/results/CM_2_2/5mill_JEadam/2.onnx,CM,1,9,2
47,1701.0,251.0,3122.0,343.0,2527.0,181.0,935.0,1.0,82.0,193.19,799.0,new,experiments/results/CM_2_2/5mill_JEadam/2.onnx,CM,1,10,2
48,2047.0,343.0,3767.0,474.0,3163.0,175.0,1185.0,1.0,89.0,140.06,944.0,new,experiments/results/CM_2_2/5mill_JEadam/2.onnx,CM,1,11,2
49,2423.0,301.0,4516.0,409.0,4263.0,241.0,1441.0,2.0,97.0,114.28,1171.0,new,experiments/results/CM_2_2/5mill_JEadam/2.onnx,CM,1,12,2
50,2470.0,373.0,4651.0,498.0,4338.0,142.0,1585.0,1.0,85.0,151.16,1236.0,new,experiments/results/CM_2_2/5mill_JEadam/2.onnx,CM,1,13,2
51,,,,,,,,,,,,new,experiments/results/CM_2_2/5mill_JEadam/2.onnx,CM,1,14,2
52,187.0,90.0,342.0,154.0,361.0,42.0,4.0,1.0,88.0,23.52,168.0,new,experiments/results/CM_2_2/5mill_JEadam/2.onnx,CM,2,1,2
53,1161.0,265.0,2342.0,491.0,1467.0,204.0,153.0,17.0,656.0,40.63,707.0,new,experiments/results/CM_2_2/5mill_JEadam/2.onnx,CM,2,2,2
54,,,,,,,,,,,,new,experiments/results/CM_2_2/5mill_JEadam/2.onnx,CM,2,3,2
55,1146.0,403.0,2839.0,1005.0,1856.0,300.0,14.0,9.0,726.0,44.12,1058.0,new,experiments/results/CM_2_2/5mill_JEadam/2.onnx,CM,3,1,2
56,,,,,,,,,,,,new,experiments/results/CM_2_2/5mill_JEadam/2.onnx,CM,3,2,2
57,,,,,,,,,,,,new,experiments/results/CM_2_2/5mill_JEadam/2.onnx,CM,4,1,2
58,31.0,21.0,42.0,26.0,196.0,6.0,2.0,1.0,4.0,20.69,33.0,new,experiments/results/CM_2_2/5mill_JEadam/3.onnx,CM,1,1,3
59,85.0,39.0,124.0,50.0,250.0,11.0,11.0,4.0,12.0,24.66,69.0,new,experiments/results/CM_2_2/5mill_JEadam/3.onnx,CM,1,2,3
60,173.0,56.0,269.0,72.0,326.0,21.0,36.0,4.0,22.0,19.7,146.0,new,experiments/results/CM_2_2/5mill_JEadam/3.onnx,CM,1,3,3
61,297.0,81.0,477.0,106.0,452.0,38.0,72.0,5.0,30.0,39.98,188.0,new,experiments/results/CM_2_2/5mill_JEadam/3.onnx,CM,1,4,3
62,451.0,107.0,751.0,142.0,592.0,71.0,130.0,5.0,37.0,82.22,247.0,new,experiments/results/CM_2_2/5mill_JEadam/3.onnx,CM,1,5,3
63,552.0,101.0,952.0,132.0,727.0,82.0,189.0,1.0,37.0,125.51,290.0,new,experiments/results/CM_2_2/5mill_JEadam/3.onnx,CM,1,6,3
64,855.0,169.0,1500.0,228.0,1178.0,123.0,333.0,1.0,55.0,139.7,460.0,new,experiments/results/CM_2_2/5mill_JEadam/3.onnx,CM,1,7,3
65,1103.0,186.0,1969.0,248.0,1512.0,175.0,425.0,1.0,67.0,52.09,618.0,new,experiments/results/CM_2_2/5mill_JEadam/3.onnx,CM,1,8,3
66,1387.0,255.0,2502.0,341.0,1804.0,179.0,598.0,3.0,73.0,174.52,681.0,new,experiments/results/CM_2_2/5mill_JEadam/3.onnx,CM,1,9,3
67,1701.0,281.0,3120.0,383.0,2541.0,200.0,831.0,11.0,79.0,28.51,749.0,new,experiments/results/CM_2_2/5mill_JEadam/3.onnx,CM,1,10,3
68,2047.0,309.0,3765.0,422.0,2983.0,215.0,976.0,16.0,89.0,192.03,916.0,new,experiments/results/CM_2_2/5mill_JEadam/3.onnx,CM,1,11,3
