,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),heuristic time(ms),algorithm,heuristic,problem,n,k,idx
0,31.0,21.0,37.0,25.0,142.0,3.0,2.0,1.0,3.0,17.14,11.0,new,experiments/results/CM_2_2/5mill_SL/0.onnx,CM,1,1,0
1,85.0,33.0,126.0,42.0,210.0,19.0,9.0,1.0,12.0,23.62,33.0,new,experiments/results/CM_2_2/5mill_SL/0.onnx,CM,1,2,0
2,175.0,50.0,275.0,64.0,255.0,40.0,27.0,1.0,22.0,20.27,57.0,new,experiments/results/CM_2_2/5mill_SL/0.onnx,CM,1,3,0
3,297.0,75.0,490.0,98.0,397.0,72.0,60.0,1.0,31.0,67.68,104.0,new,experiments/results/CM_2_2/5mill_SL/0.onnx,CM,1,4,0
4,451.0,99.0,775.0,131.0,606.0,126.0,100.0,1.0,41.0,21.39,164.0,new,experiments/results/CM_2_2/5mill_SL/0.onnx,CM,1,5,0
5,637.0,118.0,1117.0,155.0,863.0,135.0,200.0,1.0,50.0,30.7,247.0,new,experiments/results/CM_2_2/5mill_SL/0.onnx,CM,1,6,0
6,853.0,181.0,1524.0,241.0,1093.0,257.0,223.0,1.0,57.0,105.49,324.0,new,experiments/results/CM_2_2/5mill_SL/0.onnx,CM,1,7,0
7,1103.0,179.0,1995.0,242.0,2142.0,350.0,288.0,1.0,65.0,170.18,525.0,new,experiments/results/CM_2_2/5mill_SL/0.onnx,CM,1,8,0
8,1383.0,251.0,2528.0,341.0,2257.0,470.0,355.0,1.0,71.0,32.65,733.0,new,experiments/results/CM_2_2/5mill_SL/0.onnx,CM,1,9,0
9,1699.0,306.0,3108.0,423.0,4019.0,536.0,475.0,1.0,84.0,238.84,1037.0,new,experiments/results/CM_2_2/5mill_SL/0.onnx,CM,1,10,0
10,2043.0,367.0,3756.0,507.0,4326.0,500.0,733.0,1.0,88.0,72.65,1319.0,new,experiments/results/CM_2_2/5mill_SL/0.onnx,CM,1,11,0
11,,,,,,,,,,,,new,experiments/results/CM_2_2/5mill_SL/0.onnx,CM,1,12,0
12,189.0,75.0,352.0,132.0,348.0,42.0,4.0,1.0,92.0,48.9,117.0,new,experiments/results/CM_2_2/5mill_SL/0.onnx,CM,2,1,0
13,1161.0,232.0,2223.0,433.0,2149.0,115.0,309.0,1.0,458.0,173.07,1378.0,new,experiments/results/CM_2_2/5mill_SL/0.onnx,CM,2,2,0
14,,,,,,,,,,,,new,experiments/results/CM_2_2/5mill_SL/0.onnx,CM,2,3,0
15,1159.0,355.0,2869.0,922.0,3868.0,180.0,4.0,1.0,696.0,158.38,2615.0,new,experiments/results/CM_2_2/5mill_SL/0.onnx,CM,3,1,0
16,,,,,,,,,,,,new,experiments/results/CM_2_2/5mill_SL/0.onnx,CM,3,2,0
17,,,,,,,,,,,,new,experiments/results/CM_2_2/5mill_SL/0.onnx,CM,4,1,0
18,31.0,17.0,42.0,21.0,153.0,7.0,1.0,2.0,4.0,17.62,18.0,new,experiments/results/CM_2_2/5mill_SL/1.onnx,CM,1,1,1
19,85.0,33.0,112.0,41.0,229.0,6.0,10.0,1.0,10.0,23.62,40.0,new,experiments/results/CM_2_2/5mill_SL/1.onnx,CM,1,2,1
20,175.0,53.0,251.0,65.0,266.0,23.0,20.0,1.0,18.0,27.23,83.0,new,experiments/results/CM_2_2/5mill_SL/1.onnx,CM,1,3,1
21,297.0,64.0,445.0,80.0,387.0,46.0,35.0,1.0,28.0,95.63,139.0,new,experiments/results/CM_2_2/5mill_SL/1.onnx,CM,1,4,1
22,451.0,81.0,706.0,101.0,635.0,74.0,76.0,1.0,33.0,95.09,296.0,new,experiments/results/CM_2_2/5mill_SL/1.onnx,CM,1,5,1
23,637.0,153.0,1112.0,206.0,1072.0,165.0,120.0,18.0,50.0,131.7,498.0,new,experiments/results/CM_2_2/5mill_SL/1.onnx,CM,1,6,1
24,855.0,167.0,1515.0,223.0,1853.0,232.0,170.0,18.0,59.0,126.38,927.0,new,experiments/results/CM_2_2/5mill_SL/1.onnx,CM,1,7,1
25,1105.0,215.0,1981.0,290.0,2697.0,312.0,217.0,22.0,66.0,299.82,1600.0,new,experiments/results/CM_2_2/5mill_SL/1.onnx,CM,1,8,1
26,1387.0,232.0,2509.0,316.0,3882.0,399.0,278.0,30.0,77.0,156.26,2023.0,new,experiments/results/CM_2_2/5mill_SL/1.onnx,CM,1,9,1
27,,,,,,,,,,,,new,experiments/results/CM_2_2/5mill_SL/1.onnx,CM,1,10,1
28,189.0,75.0,341.0,132.0,453.0,57.0,3.0,1.0,82.0,61.9,177.0,new,experiments/results/CM_2_2/5mill_SL/1.onnx,CM,2,1,1
29,1161.0,221.0,2321.0,413.0,3214.0,268.0,102.0,3.0,579.0,257.34,2308.0,new,experiments/results/CM_2_2/5mill_SL/1.onnx,CM,2,2,1
30,,,,,,,,,,,,new,experiments/results/CM_2_2/5mill_SL/1.onnx,CM,2,3,1
31,1159.0,355.0,2796.0,922.0,4610.0,378.0,5.0,1.0,621.0,44.61,3408.0,new,experiments/results/CM_2_2/5mill_SL/1.onnx,CM,3,1,1
32,,,,,,,,,,,,new,experiments/results/CM_2_2/5mill_SL/1.onnx,CM,3,2,1
33,,,,,,,,,,,,new,experiments/results/CM_2_2/5mill_SL/1.onnx,CM,4,1,1
34,31.0,17.0,42.0,21.0,154.0,6.0,1.0,2.0,4.0,17.62,17.0,new,experiments/results/CM_2_2/5mill_SL/2.onnx,CM,1,1,2
35,85.0,31.0,120.0,39.0,218.0,16.0,10.0,1.0,13.0,24.66,49.0,new,experiments/results/CM_2_2/5mill_SL/2.onnx,CM,1,2,2
36,175.0,53.0,272.0,69.0,268.0,41.0,23.0,7.0,23.0,30.25,67.0,new,experiments/results/CM_2_2/5mill_SL/2.onnx,CM,1,3,2
37,297.0,79.0,478.0,104.0,445.0,64.0,46.0,10.0,35.0,91.63,145.0,new,experiments/results/CM_2_2/5mill_SL/2.onnx,CM,1,4,2
38,451.0,77.0,726.0,97.0,620.0,89.0,71.0,2.0,48.0,59.09,279.0,new,experiments/results/CM_2_2/5mill_SL/2.onnx,CM,1,5,2
39,637.0,98.0,1043.0,125.0,1014.0,100.0,113.0,12.0,64.0,136.46,434.0,new,experiments/results/CM_2_2/5mill_SL/2.onnx,CM,1,6,2
40,855.0,187.0,1488.0,256.0,1774.0,206.0,147.0,20.0,85.0,75.0,836.0,new,experiments/results/CM_2_2/5mill_SL/2.onnx,CM,1,7,2
41,1105.0,189.0,1942.0,254.0,2161.0,261.0,203.0,21.0,108.0,84.78,1113.0,new,experiments/results/CM_2_2/5mill_SL/2.onnx,CM,1,8,2
42,1387.0,175.0,2476.0,228.0,2988.0,318.0,265.0,73.0,111.0,273.23,1550.0,new,experiments/results/CM_2_2/5mill_SL/2.onnx,CM,1,9,2
43,1701.0,320.0,3037.0,419.0,4241.0,350.0,362.0,59.0,152.0,371.82,2297.0,new,experiments/results/CM_2_2/5mill_SL/2.onnx,CM,1,10,2
44,,,,,,,,,,,,new,experiments/results/CM_2_2/5mill_SL/2.onnx,CM,1,11,2
45,189.0,90.0,347.0,154.0,341.0,61.0,5.0,1.0,84.0,50.93,126.0,new,experiments/results/CM_2_2/5mill_SL/2.onnx,CM,2,1,2
46,1161.0,221.0,2335.0,413.0,3321.0,389.0,19.0,1.0,594.0,219.2,2211.0,new,experiments/results/CM_2_2/5mill_SL/2.onnx,CM,2,2,2
47,,,,,,,,,,,,new,experiments/results/CM_2_2/5mill_SL/2.onnx,CM,2,3,2
48,1159.0,355.0,2886.0,922.0,4598.0,422.0,3.0,1.0,700.0,373.08,3291.0,new,experiments/results/CM_2_2/5mill_SL/2.onnx,CM,3,1,2
49,,,,,,,,,,,,new,experiments/results/CM_2_2/5mill_SL/2.onnx,CM,3,2,2
50,,,,,,,,,,,,new,experiments/results/CM_2_2/5mill_SL/2.onnx,CM,4,1,2
51,31.0,24.0,41.0,29.0,146.0,6.0,2.0,1.0,4.0,17.62,19.0,new,experiments/results/CM_2_2/5mill_SL/3.onnx,CM,1,1,3
52,85.0,33.0,124.0,42.0,205.0,15.0,10.0,4.0,13.0,23.14,38.0,new,experiments/results/CM_2_2/5mill_SL/3.onnx,CM,1,2,3
