,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),heuristic time(ms),algorithm,heuristic,problem,n,k
0,25.0,20.0,30.0,24.0,139.0,5.0,0.0,1.0,2.0,17.14,12.0,new,experiments/results/CM_2_2/5mill_SL20/99.onnx,CM,1,1
1,52.0,36.0,69.0,45.0,212.0,14.0,2.0,1.0,4.0,20.18,31.0,new,experiments/results/CM_2_2/5mill_SL20/99.onnx,CM,1,2
2,73.0,53.0,99.0,68.0,194.0,21.0,2.0,1.0,3.0,25.14,34.0,new,experiments/results/CM_2_2/5mill_SL20/99.onnx,CM,1,3
3,106.0,71.0,145.0,92.0,269.0,35.0,3.0,1.0,2.0,16.62,68.0,new,experiments/results/CM_2_2/5mill_SL20/99.onnx,CM,1,4
4,146.0,89.0,209.0,116.0,343.0,57.0,5.0,1.0,3.0,39.13,64.0,new,experiments/results/CM_2_2/5mill_SL20/99.onnx,CM,1,5
5,173.0,106.0,254.0,139.0,370.0,69.0,8.0,1.0,3.0,60.52,68.0,new,experiments/results/CM_2_2/5mill_SL20/99.onnx,CM,1,6
6,217.0,130.0,320.0,169.0,468.0,89.0,10.0,1.0,3.0,103.91,97.0,new,experiments/results/CM_2_2/5mill_SL20/99.onnx,CM,1,7
7,260.0,143.0,403.0,188.0,624.0,120.0,18.0,1.0,6.0,30.89,133.0,new,experiments/results/CM_2_2/5mill_SL20/99.onnx,CM,1,8
8,307.0,175.0,456.0,226.0,654.0,120.0,24.0,1.0,1.0,71.39,131.0,new,experiments/results/CM_2_2/5mill_SL20/99.onnx,CM,1,9
9,331.0,182.0,521.0,239.0,862.0,161.0,26.0,1.0,4.0,97.02,146.0,new,experiments/results/CM_2_2/5mill_SL20/99.onnx,CM,1,10
10,327.0,204.0,493.0,267.0,965.0,126.0,33.0,1.0,6.0,49.55,146.0,new,experiments/results/CM_2_2/5mill_SL20/99.onnx,CM,1,11
11,387.0,216.0,590.0,285.0,1200.0,160.0,35.0,1.0,6.0,154.11,177.0,new,experiments/results/CM_2_2/5mill_SL20/99.onnx,CM,1,12
12,389.0,236.0,595.0,311.0,1220.0,156.0,41.0,1.0,6.0,109.61,158.0,new,experiments/results/CM_2_2/5mill_SL20/99.onnx,CM,1,13
13,479.0,264.0,728.0,345.0,1491.0,192.0,43.0,1.0,4.0,224.58,226.0,new,experiments/results/CM_2_2/5mill_SL20/99.onnx,CM,1,14
14,704.0,345.0,1100.0,450.0,2043.0,321.0,45.0,1.0,6.0,118.14,438.0,new,experiments/results/CM_2_2/5mill_SL20/99.onnx,CM,1,15
15,131.0,75.0,215.0,132.0,319.0,44.0,2.0,1.0,34.0,16.93,79.0,new,experiments/results/CM_2_2/5mill_SL20/99.onnx,CM,2,1
16,539.0,221.0,950.0,413.0,964.0,222.0,5.0,1.0,169.0,79.53,419.0,new,experiments/results/CM_2_2/5mill_SL20/99.onnx,CM,2,2
17,1498.0,460.0,2767.0,886.0,4017.0,656.0,4.0,4.0,510.0,173.11,1922.0,new,experiments/results/CM_2_2/5mill_SL20/99.onnx,CM,2,3
18,6456.0,806.0,13853.0,1583.0,35257.0,3888.0,15.0,259.0,2109.0,611.0,18164.0,new,experiments/results/CM_2_2/5mill_SL20/99.onnx,CM,2,4
19,14572.0,1616.0,32891.0,3170.0,199756.0,9315.0,71.0,773.0,4451.0,473.81,98677.0,new,experiments/results/CM_2_2/5mill_SL20/99.onnx,CM,2,5
20,,,,,,,,,,,,new,experiments/results/CM_2_2/5mill_SL20/99.onnx,CM,2,6
21,705.0,355.0,1597.0,922.0,1403.0,414.0,6.0,1.0,239.0,17.41,641.0,new,experiments/results/CM_2_2/5mill_SL20/99.onnx,CM,3,1
22,8986.0,1681.0,22442.0,4741.0,188510.0,4419.0,24.0,1.0,4360.0,437.76,104643.0,new,experiments/results/CM_2_2/5mill_SL20/99.onnx,CM,3,2
23,,,,,,,,,,,,new,experiments/results/CM_2_2/5mill_SL20/99.onnx,CM,3,3
24,3578.0,1787.0,10636.0,6620.0,35647.0,3296.0,17.0,1.0,1126.0,158.2,21649.0,new,experiments/results/CM_2_2/5mill_SL20/99.onnx,CM,4,1
25,,,,,,,,,,,,new,experiments/results/CM_2_2/5mill_SL20/99.onnx,CM,4,2
26,,,,,,,,,,,,new,experiments/results/CM_2_2/5mill_SL20/99.onnx,CM,5,1
