,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),heuristic time(ms),algorithm,heuristic,problem,n,k,idx
0,31.0,23.0,41.0,28.0,210.0,7.0,0.0,1.0,4.0,17.62,19.0,new,experiments/results/CM_2_2/5mill_SL20/0.onnx,CM,1,1,0
1,83.0,43.0,118.0,55.0,255.0,16.0,3.0,3.0,14.0,23.14,51.0,new,experiments/results/CM_2_2/5mill_SL20/0.onnx,CM,1,2,0
2,173.0,65.0,263.0,85.0,275.0,39.0,14.0,3.0,31.0,25.21,76.0,new,experiments/results/CM_2_2/5mill_SL20/0.onnx,CM,1,3,0
3,295.0,101.0,471.0,134.0,405.0,72.0,30.0,6.0,57.0,81.61,113.0,new,experiments/results/CM_2_2/5mill_SL20/0.onnx,CM,1,4,0
4,337.0,139.0,548.0,184.0,564.0,96.0,54.0,6.0,34.0,28.09,179.0,new,experiments/results/CM_2_2/5mill_SL20/0.onnx,CM,1,5,0
5,635.0,131.0,1108.0,176.0,851.0,165.0,155.0,4.0,99.0,125.45,274.0,new,experiments/results/CM_2_2/5mill_SL20/0.onnx,CM,1,6,0
6,849.0,218.0,1469.0,297.0,1537.0,169.0,232.0,24.0,146.0,180.91,703.0,new,experiments/results/CM_2_2/5mill_SL20/0.onnx,CM,1,7,0
7,1083.0,217.0,1936.0,294.0,2630.0,338.0,257.0,8.0,184.0,65.95,924.0,new,experiments/results/CM_2_2/5mill_SL20/0.onnx,CM,1,8,0
8,1343.0,227.0,2423.0,309.0,2685.0,365.0,379.0,13.0,227.0,125.35,946.0,new,experiments/results/CM_2_2/5mill_SL20/0.onnx,CM,1,9,0
9,1687.0,297.0,3089.0,406.0,3644.0,403.0,598.0,12.0,273.0,338.22,1838.0,new,experiments/results/CM_2_2/5mill_SL20/0.onnx,CM,1,10,0
10,,,,,,,,,,,,new,experiments/results/CM_2_2/5mill_SL20/0.onnx,CM,1,11,0
11,143.0,75.0,251.0,132.0,262.0,42.0,3.0,1.0,52.0,18.94,67.0,new,experiments/results/CM_2_2/5mill_SL20/0.onnx,CM,2,1,0
12,1075.0,221.0,2170.0,413.0,1692.0,321.0,210.0,1.0,474.0,84.49,634.0,new,experiments/results/CM_2_2/5mill_SL20/0.onnx,CM,2,2,0
13,,,,,,,,,,,,new,experiments/results/CM_2_2/5mill_SL20/0.onnx,CM,2,3,0
14,863.0,355.0,2052.0,922.0,1398.0,378.0,6.0,1.0,502.0,12.89,566.0,new,experiments/results/CM_2_2/5mill_SL20/0.onnx,CM,3,1,0
15,,,,,,,,,,,,new,experiments/results/CM_2_2/5mill_SL20/0.onnx,CM,3,2,0
16,,,,,,,,,,,,new,experiments/results/CM_2_2/5mill_SL20/0.onnx,CM,4,1,0
17,31.0,20.0,41.0,24.0,177.0,7.0,1.0,1.0,4.0,17.62,17.0,new,experiments/results/CM_2_2/5mill_SL20/1.onnx,CM,1,1,1
18,84.0,39.0,121.0,50.0,192.0,18.0,4.0,3.0,13.0,23.7,42.0,new,experiments/results/CM_2_2/5mill_SL20/1.onnx,CM,1,2,1
19,175.0,63.0,264.0,83.0,277.0,33.0,17.0,9.0,31.0,20.27,80.0,new,experiments/results/CM_2_2/5mill_SL20/1.onnx,CM,1,3,1
20,297.0,77.0,467.0,102.0,398.0,48.0,35.0,9.0,61.0,60.62,117.0,new,experiments/results/CM_2_2/5mill_SL20/1.onnx,CM,1,4,1
21,451.0,137.0,725.0,185.0,575.0,62.0,61.0,15.0,94.0,147.12,245.0,new,experiments/results/CM_2_2/5mill_SL20/1.onnx,CM,1,5,1
22,637.0,153.0,1049.0,207.0,800.0,90.0,96.0,8.0,139.0,150.14,337.0,new,experiments/results/CM_2_2/5mill_SL20/1.onnx,CM,1,6,1
23,855.0,241.0,1418.0,330.0,1105.0,113.0,141.0,23.0,194.0,99.7,517.0,new,experiments/results/CM_2_2/5mill_SL20/1.onnx,CM,1,7,1
24,1105.0,279.0,1857.0,386.0,1562.0,126.0,223.0,29.0,254.0,70.69,828.0,new,experiments/results/CM_2_2/5mill_SL20/1.onnx,CM,1,8,1
25,1387.0,360.0,2342.0,496.0,2333.0,227.0,220.0,35.0,323.0,403.51,1201.0,new,experiments/results/CM_2_2/5mill_SL20/1.onnx,CM,1,9,1
26,1701.0,391.0,2863.0,540.0,3088.0,181.0,393.0,32.0,398.0,167.31,1872.0,new,experiments/results/CM_2_2/5mill_SL20/1.onnx,CM,1,10,1
27,2047.0,385.0,3524.0,538.0,3428.0,199.0,518.0,45.0,480.0,115.9,2066.0,new,experiments/results/CM_2_2/5mill_SL20/1.onnx,CM,1,11,1
28,,,,,,,,,,,,new,experiments/results/CM_2_2/5mill_SL20/1.onnx,CM,1,12,1
29,189.0,75.0,308.0,132.0,340.0,55.0,5.0,1.0,54.0,45.91,112.0,new,experiments/results/CM_2_2/5mill_SL20/1.onnx,CM,2,1,1
30,1161.0,286.0,2140.0,519.0,2768.0,175.0,107.0,20.0,551.0,84.22,1980.0,new,experiments/results/CM_2_2/5mill_SL20/1.onnx,CM,2,2,1
31,,,,,,,,,,,,new,experiments/results/CM_2_2/5mill_SL20/1.onnx,CM,2,3,1
32,1113.0,355.0,2193.0,922.0,4006.0,371.0,8.0,1.0,503.0,109.29,3036.0,new,experiments/results/CM_2_2/5mill_SL20/1.onnx,CM,3,1,1
33,,,,,,,,,,,,new,experiments/results/CM_2_2/5mill_SL20/1.onnx,CM,3,2,1
34,,,,,,,,,,,,new,experiments/results/CM_2_2/5mill_SL20/1.onnx,CM,4,1,1
35,31.0,21.0,42.0,26.0,147.0,5.0,2.0,1.0,4.0,17.62,18.0,new,experiments/results/CM_2_2/5mill_SL20/2.onnx,CM,1,1,2
36,85.0,39.0,124.0,50.0,191.0,15.0,9.0,3.0,14.0,23.14,30.0,new,experiments/results/CM_2_2/5mill_SL20/2.onnx,CM,1,2,2
37,175.0,53.0,270.0,69.0,273.0,27.0,32.0,8.0,24.0,20.27,72.0,new,experiments/results/CM_2_2/5mill_SL20/2.onnx,CM,1,3,2
38,297.0,85.0,474.0,112.0,378.0,51.0,61.0,15.0,38.0,62.65,123.0,new,experiments/results/CM_2_2/5mill_SL20/2.onnx,CM,1,4,2
39,451.0,110.0,741.0,146.0,530.0,68.0,111.0,27.0,52.0,139.13,185.0,new,experiments/results/CM_2_2/5mill_SL20/2.onnx,CM,1,5,2
40,637.0,167.0,1065.0,225.0,802.0,98.0,160.0,34.0,65.0,136.26,298.0,new,experiments/results/CM_2_2/5mill_SL20/2.onnx,CM,1,6,2
41,855.0,178.0,1446.0,242.0,1056.0,141.0,238.0,38.0,78.0,65.28,391.0,new,experiments/results/CM_2_2/5mill_SL20/2.onnx,CM,1,7,2
42,1105.0,283.0,1890.0,390.0,1362.0,180.0,335.0,56.0,99.0,175.54,585.0,new,experiments/results/CM_2_2/5mill_SL20/2.onnx,CM,1,8,2
43,1387.0,262.0,2393.0,362.0,2026.0,210.0,447.0,65.0,123.0,260.97,870.0,new,experiments/results/CM_2_2/5mill_SL20/2.onnx,CM,1,9,2
44,1701.0,363.0,2966.0,504.0,2811.0,265.0,551.0,85.0,165.0,179.7,1475.0,new,experiments/results/CM_2_2/5mill_SL20/2.onnx,CM,1,10,2
45,2047.0,389.0,3596.0,548.0,3609.0,373.0,668.0,105.0,147.0,49.07,1756.0,new,experiments/results/CM_2_2/5mill_SL20/2.onnx,CM,1,11,2
46,,,,,,,,,,,,new,experiments/results/CM_2_2/5mill_SL20/2.onnx,CM,1,12,2
47,189.0,90.0,347.0,154.0,329.0,66.0,5.0,4.0,90.0,49.92,104.0,new,experiments/results/CM_2_2/5mill_SL20/2.onnx,CM,2,1,2
48,1161.0,221.0,2324.0,413.0,1969.0,209.0,205.0,17.0,671.0,193.95,1162.0,new,experiments/results/CM_2_2/5mill_SL20/2.onnx,CM,2,2,2
49,,,,,,,,,,,,new,experiments/results/CM_2_2/5mill_SL20/2.onnx,CM,2,3,2
50,1159.0,355.0,2847.0,922.0,4250.0,525.0,10.0,22.0,946.0,152.63,3029.0,new,experiments/results/CM_2_2/5mill_SL20/2.onnx,CM,3,1,2
51,,,,,,,,,,,,new,experiments/results/CM_2_2/5mill_SL20/2.onnx,CM,3,2,2
52,,,,,,,,,,,,new,experiments/results/CM_2_2/5mill_SL20/2.onnx,CM,4,1,2
53,31.0,17.0,43.0,21.0,147.0,7.0,2.0,1.0,4.0,17.62,17.0,new,experiments/results/CM_2_2/5mill_SL20/3.onnx,CM,1,1,3
54,85.0,33.0,124.0,42.0,237.0,15.0,11.0,4.0,13.0,23.62,41.0,new,experiments/results/CM_2_2/5mill_SL20/3.onnx,CM,1,2,3
55,175.0,61.0,268.0,79.0,282.0,28.0,33.0,9.0,24.0,20.25,54.0,new,experiments/results/CM_2_2/5mill_SL20/3.onnx,CM,1,3,3
56,297.0,77.0,468.0,102.0,456.0,49.0,66.0,13.0,37.0,58.64,138.0,new,experiments/results/CM_2_2/5mill_SL20/3.onnx,CM,1,4,3
57,451.0,103.0,730.0,137.0,545.0,74.0,115.0,21.0,48.0,131.13,163.0,new,experiments/results/CM_2_2/5mill_SL20/3.onnx,CM,1,5,3
58,637.0,167.0,1052.0,227.0,755.0,112.0,183.0,31.0,57.0,139.25,257.0,new,experiments/results/CM_2_2/5mill_SL20/3.onnx,CM,1,6,3
59,855.0,193.0,1440.0,264.0,1054.0,176.0,274.0,35.0,70.0,48.28,404.0,new,experiments/results/CM_2_2/5mill_SL20/3.onnx,CM,1,7,3
60,1105.0,287.0,1872.0,396.0,1501.0,215.0,342.0,47.0,91.0,152.51,613.0,new,experiments/results/CM_2_2/5mill_SL20/3.onnx,CM,1,8,3
61,1387.0,279.0,2367.0,385.0,2084.0,227.0,510.0,52.0,103.0,193.69,862.0,new,experiments/results/CM_2_2/5mill_SL20/3.onnx,CM,1,9,3
62,1701.0,415.0,2917.0,577.0,2639.0,289.0,623.0,68.0,121.0,146.15,1176.0,new,experiments/results/CM_2_2/5mill_SL20/3.onnx,CM,1,10,3
63,2047.0,385.0,3521.0,538.0,3751.0,397.0,727.0,74.0,139.0,336.95,1612.0,new,experiments/results/CM_2_2/5mill_SL20/3.onnx,CM,1,11,3
64,,,,,,,,,,,,new,experiments/results/CM_2_2/5mill_SL20/3.onnx,CM,1,12,3
65,189.0,75.0,353.0,132.0,324.0,64.0,5.0,1.0,87.0,45.93,117.0,new,experiments/results/CM_2_2/5mill_SL20/3.onnx,CM,2,1,3
