,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),heuristic time(ms),OutOfMem,algorithm,heuristic,problem,n,k,idx
0,29.0,20.0,38.0,24.0,185.0,5.0,2.0,1.0,3.0,18.69,25.0,False,new,experiments/results/CM_2_2/pathLabels/0.onnx,CM,1,1,0
1,75.0,35.0,107.0,44.0,219.0,8.0,9.0,1.0,10.0,22.18,49.0,False,new,experiments/results/CM_2_2/pathLabels/0.onnx,CM,1,2,0
2,136.0,54.0,206.0,70.0,271.0,13.0,28.0,1.0,14.0,25.62,85.0,False,new,experiments/results/CM_2_2/pathLabels/0.onnx,CM,1,3,0
3,205.0,77.0,327.0,102.0,318.0,19.0,57.0,1.0,18.0,18.31,104.0,False,new,experiments/results/CM_2_2/pathLabels/0.onnx,CM,1,4,0
4,290.0,104.0,480.0,140.0,399.0,30.0,88.0,1.0,22.0,31.45,153.0,False,new,experiments/results/CM_2_2/pathLabels/0.onnx,CM,1,5,0
5,391.0,135.0,665.0,184.0,495.0,43.0,133.0,1.0,26.0,56.55,178.0,False,new,experiments/results/CM_2_2/pathLabels/0.onnx,CM,1,6,0
6,508.0,170.0,883.0,234.0,616.0,57.0,183.0,1.0,30.0,95.72,218.0,False,new,experiments/results/CM_2_2/pathLabels/0.onnx,CM,1,7,0
7,641.0,209.0,1132.0,290.0,734.0,73.0,246.0,1.0,34.0,154.82,258.0,False,new,experiments/results/CM_2_2/pathLabels/0.onnx,CM,1,8,0
8,869.0,252.0,1538.0,352.0,947.0,94.0,332.0,1.0,38.0,125.86,267.0,False,new,experiments/results/CM_2_2/pathLabels/0.onnx,CM,1,9,0
9,955.0,299.0,1726.0,420.0,1218.0,109.0,398.0,1.0,42.0,106.83,336.0,False,new,experiments/results/CM_2_2/pathLabels/0.onnx,CM,1,10,0
10,1158.0,354.0,2113.0,498.0,1430.0,140.0,463.0,1.0,47.0,28.39,356.0,False,new,experiments/results/CM_2_2/pathLabels/0.onnx,CM,1,11,0
11,1333.0,405.0,2448.0,574.0,1735.0,162.0,552.0,1.0,50.0,80.62,406.0,False,new,experiments/results/CM_2_2/pathLabels/0.onnx,CM,1,12,0
12,1572.0,468.0,2907.0,664.0,2082.0,175.0,677.0,1.0,55.0,57.51,437.0,False,new,experiments/results/CM_2_2/pathLabels/0.onnx,CM,1,13,0
13,1775.0,527.0,3298.0,752.0,2832.0,235.0,761.0,1.0,58.0,175.67,539.0,False,new,experiments/results/CM_2_2/pathLabels/0.onnx,CM,1,14,0
14,2020.0,594.0,3771.0,850.0,3184.0,233.0,903.0,1.0,62.0,208.52,573.0,False,new,experiments/results/CM_2_2/pathLabels/0.onnx,CM,1,15,0
15,187.0,75.0,303.0,132.0,357.0,45.0,3.0,1.0,38.0,18.29,130.0,False,new,experiments/results/CM_2_2/pathLabels/0.onnx,CM,2,1,0
16,746.0,221.0,1420.0,413.0,957.0,128.0,83.0,1.0,244.0,22.4,344.0,False,new,experiments/results/CM_2_2/pathLabels/0.onnx,CM,2,2,0
17,,,,,,,,,,,,False,new,experiments/results/CM_2_2/pathLabels/0.onnx,CM,2,3,0
