,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),algorithm,heuristic,problem,n,k
0,17.0,17.0,21.0,21.0,25.0,5.0,0.0,1.0,0.0,15.68,new,r,CM,1,1
1,33.0,33.0,42.0,42.0,42.0,9.0,0.0,2.0,0.0,17.62,new,r,CM,1,2
2,53.0,53.0,69.0,69.0,59.0,13.0,0.0,5.0,0.0,21.14,new,r,CM,1,3
3,77.0,77.0,102.0,102.0,79.0,17.0,0.0,10.0,0.0,26.18,new,r,CM,1,4
4,213.0,105.0,323.0,141.0,141.0,65.0,5.0,33.0,7.0,25.91,new,r,CM,1,5
5,83.0,75.0,148.0,132.0,75.0,47.0,0.0,1.0,0.0,24.18,new,r,CM,2,1
6,246.0,221.0,463.0,413.0,298.0,144.0,0.0,6.0,0.0,56.27,new,r,CM,2,2
7,627.0,460.0,1170.0,886.0,609.0,299.0,0.0,67.0,0.0,90.39,new,r,CM,2,3
8,3197.0,918.0,6356.0,1780.0,2652.0,1271.0,155.0,359.0,495.0,30.81,new,r,CM,2,4
9,8540.0,1849.0,19412.0,3572.0,46055.0,5930.0,417.0,822.0,1518.0,355.41,new,r,CM,2,5
10,456.0,355.0,1148.0,922.0,557.0,487.0,0.0,1.0,0.0,98.05,new,r,CM,3,1
11,3327.0,1681.0,8114.0,4741.0,8159.0,2421.0,94.0,104.0,444.0,146.94,new,r,CM,3,2
12,32485.0,4729.0,82051.0,13812.0,550236.0,19986.0,141.0,1085.0,12555.0,502.59,new,r,CM,3,3
13,,,,,,,,,,,new,r,CM,3,4
14,,,,,,,,,,,new,r,CM,3,5
15,2660.0,1787.0,8831.0,6620.0,13854.0,4174.0,0.0,1.0,0.0,190.99,new,r,CM,4,1
16,,,,,,,,,,,new,r,CM,4,2
17,,,,,,,,,,,new,r,CM,4,3
18,,,,,,,,,,,new,r,CM,4,4
19,,,,,,,,,,,new,r,CM,4,5
20,,,,,,,,,,,new,r,CM,5,1
21,,,,,,,,,,,new,r,CM,5,2
22,,,,,,,,,,,new,r,CM,5,3
23,,,,,,,,,,,new,r,CM,5,4
24,,,,,,,,,,,new,r,CM,5,5
