,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),heuristic time(ms),algorithm,heuristic,problem,n,k
0,17.0,17.0,21.0,21.0,26.0,5.0,0.0,1.0,0.0,11.44,6.0,OpenSet RA,r,CM,1,1
1,33.0,33.0,42.0,42.0,53.0,9.0,0.0,2.0,0.0,12.96,19.0,OpenSet RA,r,CM,1,2
2,53.0,53.0,69.0,69.0,55.0,13.0,0.0,5.0,0.0,15.92,21.0,OpenSet RA,r,CM,1,3
3,77.0,77.0,102.0,102.0,76.0,17.0,0.0,10.0,0.0,20.96,26.0,OpenSet RA,r,CM,1,4
4,213.0,105.0,323.0,141.0,140.0,65.0,5.0,33.0,7.0,18.38,47.0,OpenSet RA,r,CM,1,5
5,137.0,137.0,186.0,186.0,147.0,25.0,0.0,26.0,0.0,18.89,52.0,OpenSet RA,r,CM,1,6
6,173.0,173.0,237.0,237.0,227.0,29.0,0.0,36.0,0.0,34.3,81.0,OpenSet RA,r,CM,1,7
7,485.0,213.0,776.0,294.0,473.0,188.0,6.0,73.0,14.0,149.9,138.0,OpenSet RA,r,CM,1,8
8,285.0,257.0,404.0,357.0,318.0,47.0,4.0,59.0,0.0,49.36,103.0,OpenSet RA,r,CM,1,9
9,475.0,305.0,701.0,426.0,403.0,80.0,19.0,97.0,7.0,29.01,144.0,OpenSet RA,r,CM,1,10
10,863.0,357.0,1449.0,501.0,1323.0,421.0,8.0,126.0,20.0,173.6,186.0,OpenSet RA,r,CM,1,11
11,831.0,413.0,1332.0,582.0,934.0,305.0,12.0,145.0,17.0,180.14,198.0,OpenSet RA,r,CM,1,12
12,1175.0,473.0,2013.0,669.0,2872.0,610.0,8.0,154.0,25.0,147.85,257.0,OpenSet RA,r,CM,1,13
13,1345.0,499.0,2335.0,694.0,3960.0,757.0,24.0,145.0,27.0,41.36,272.0,OpenSet RA,r,CM,1,14
14,1529.0,593.0,2639.0,833.0,4276.0,798.0,47.0,166.0,27.0,84.75,314.0,OpenSet RA,r,CM,1,15
15,81.0,75.0,144.0,132.0,71.0,42.0,0.0,1.0,0.0,18.48,31.0,OpenSet RA,r,CM,2,1
16,244.0,221.0,459.0,413.0,203.0,140.0,0.0,6.0,0.0,45.8,84.0,OpenSet RA,r,CM,2,2
17,562.0,460.0,1051.0,886.0,619.0,290.0,0.0,36.0,2.0,103.85,196.0,OpenSet RA,r,CM,2,3
18,1853.0,806.0,3365.0,1583.0,1642.0,515.0,161.0,229.0,76.0,86.12,517.0,OpenSet RA,r,CM,2,4
19,,,,,,,,,,,,OpenSet RA,r,CM,2,5
20,,,,,,,,,,,,OpenSet RA,r,CM,2,6
21,,,,,,,,,,,,OpenSet RA,r,CM,2,7
22,,,,,,,,,,,,OpenSet RA,r,CM,2,8
23,,,,,,,,,,,,OpenSet RA,r,CM,2,9
24,,,,,,,,,,,,OpenSet RA,r,CM,2,10
25,,,,,,,,,,,,OpenSet RA,r,CM,2,11
26,,,,,,,,,,,,OpenSet RA,r,CM,2,12
27,,,,,,,,,,,,OpenSet RA,r,CM,2,13
28,,,,,,,,,,,,OpenSet RA,r,CM,2,14
29,,,,,,,,,,,,OpenSet RA,r,CM,2,15
30,451.0,355.0,1135.0,922.0,484.0,447.0,0.0,1.0,0.0,66.62,132.0,OpenSet RA,r,CM,3,1
31,,,,,,,,,,,,OpenSet RA,r,CM,3,2
32,,,,,,,,,,,,OpenSet RA,r,CM,3,3
33,,,,,,,,,,,,OpenSet RA,r,CM,3,4
34,,,,,,,,,,,,OpenSet RA,r,CM,4,1
35,,,,,,,,,,,,OpenSet RA,r,CM,5,1
36,,,,,,,,,,,,OpenSet RA,r,CM,6,1
37,,,,,,,,,,,,OpenSet RA,r,CM,7,1
38,,,,,,,,,,,,OpenSet RA,r,CM,8,1
39,,,,,,,,,,,,OpenSet RA,r,CM,9,1
40,,,,,,,,,,,,OpenSet RA,r,CM,10,1
41,,,,,,,,,,,,OpenSet RA,r,CM,11,1
42,,,,,,,,,,,,OpenSet RA,r,CM,12,1
43,,,,,,,,,,,,OpenSet RA,r,CM,13,1
44,,,,,,,,,,,,OpenSet RA,r,CM,14,1
45,,,,,,,,,,,,OpenSet RA,r,CM,15,1
