,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),heuristic time(ms),algorithm,heuristic,problem,n,k,training time,training steps,eta,nnsize,epsilon,nfeatures,target q,reset target freq,experience replay,buffer size,ra feature,idx
0,1161,244,2252,453,1952,216,12,15,707,169.84,1264.0,new,experiments/results/CM_2_2/TB_5mill/0.onnx,CM,2,2,4.038828372955322,0,1e-05,20,0.1,15,True,10000,True,10000,True,0
1,1161,250,2351,469,2438,213,61,1,735,60.24,1578.0,new,experiments/results/CM_2_2/TB_5mill/1.onnx,CM,2,2,528.2348775863647,50000,1e-05,20,0.1,15,True,10000,True,10000,True,1
2,1161,221,2325,413,2119,213,73,1,666,53.22,1422.0,new,experiments/results/CM_2_2/TB_5mill/2.onnx,CM,2,2,1032.7572116851807,100000,1e-05,20,0.1,15,True,10000,True,10000,True,2
3,1161,221,2350,413,2313,343,90,1,636,138.3,1172.0,new,experiments/results/CM_2_2/TB_5mill/3.onnx,CM,2,2,1513.37881565094,150000,1e-05,20,0.1,15,True,10000,True,10000,True,3
4,1161,221,2350,413,2174,407,113,1,606,79.25,1079.0,new,experiments/results/CM_2_2/TB_5mill/4.onnx,CM,2,2,1917.065182685852,200000,1e-05,20,0.1,15,True,10000,True,10000,True,4
5,1161,221,2339,413,1748,335,191,1,587,92.15,832.0,new,experiments/results/CM_2_2/TB_5mill/5.onnx,CM,2,2,2299.2359702587128,250000,1e-05,20,0.1,15,True,10000,True,10000,True,5
6,1161,221,2341,413,1444,236,234,1,606,116.79,597.0,new,experiments/results/CM_2_2/TB_5mill/6.onnx,CM,2,2,2599.5950832366943,300000,1e-05,20,0.1,15,True,10000,True,10000,True,6
7,1161,221,2360,413,1420,232,251,1,625,109.96,565.0,new,experiments/results/CM_2_2/TB_5mill/7.onnx,CM,2,2,2835.7870285511017,350000,1e-05,20,0.1,15,True,10000,True,10000,True,7
8,1160,221,2370,413,1505,196,248,1,636,49.36,561.0,new,experiments/results/CM_2_2/TB_5mill/8.onnx,CM,2,2,2978.3014240264893,400000,1e-05,20,0.1,15,True,10000,True,10000,True,8
9,1161,221,2366,413,1433,212,218,1,655,68.33,566.0,new,experiments/results/CM_2_2/TB_5mill/9.onnx,CM,2,2,3123.2706089019775,450000,1e-05,20,0.1,15,True,10000,True,10000,True,9
10,1159,221,2363,413,1218,186,243,1,646,140.92,364.0,new,experiments/results/CM_2_2/TB_5mill/10.onnx,CM,2,2,3245.032597064972,500000,1e-05,20,0.1,15,True,10000,True,10000,True,10
11,1160,268,2372,494,1123,168,217,1,653,89.17,430.0,new,experiments/results/CM_2_2/TB_5mill/11.onnx,CM,2,2,3352.581899166107,550000,1e-05,20,0.1,15,True,10000,True,10000,True,11
