,expanded transitions,synthesis time(ms),algorithm,heuristic,problem,n,k,training time,training steps,eta,nnsize,epsilon,nfeatures,target q,reset target freq,experience replay,buffer size,ra feature,idx,expanded states,used states,used transitions,findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),heuristic time(ms)
0,,,new,experiments/results/CM_2_2/TB_5mill/0.onnx,CM,3,3,4.038828372955322,0,1e-05,20,0.1,15,True,10000,True,10000,True,0,,,,,,,,,
1,,,new,experiments/results/CM_2_2/TB_5mill/5.onnx,CM,3,3,2299.2359702587128,250000,1e-05,20,0.1,15,True,10000,True,10000,True,5,,,,,,,,,
2,,,new,experiments/results/CM_2_2/TB_5mill/10.onnx,CM,3,3,3245.032597064972,500000,1e-05,20,0.1,15,True,10000,True,10000,True,10,,,,,,,,,
3,,,new,experiments/results/CM_2_2/TB_5mill/15.onnx,CM,3,3,3840.653102874756,750000,1e-05,20,0.1,15,True,10000,True,10000,True,15,,,,,,,,,
4,,,new,experiments/results/CM_2_2/TB_5mill/20.onnx,CM,3,3,4520.639963388443,1000000,1e-05,20,0.1,15,True,10000,True,10000,True,20,,,,,,,,,
5,36635.0,298692.0,new,experiments/results/CM_2_2/TB_5mill/25.onnx,CM,3,3,5154.465048074722,1250000,1e-05,20,0.1,15,True,10000,True,10000,True,25,17971.0,4729.0,13812.0,7305.0,0.0,3196.0,8606.0,505.47,183901.0
6,50651.0,588531.0,new,experiments/results/CM_2_2/TB_5mill/30.onnx,CM,3,3,5806.165500879288,1500000,1e-05,20,0.1,15,True,10000,True,10000,True,30,23556.0,4729.0,13812.0,6313.0,6.0,2973.0,13708.0,451.51,414338.0
7,,,new,experiments/results/CM_2_2/TB_5mill/35.onnx,CM,3,3,6419.9418687820435,1750000,1e-05,20,0.1,15,True,10000,True,10000,True,35,,,,,,,,,
8,,,new,experiments/results/CM_2_2/TB_5mill/40.onnx,CM,3,3,6990.614557981491,2000000,1e-05,20,0.1,15,True,10000,True,10000,True,40,,,,,,,,,
9,,,new,experiments/results/CM_2_2/TB_5mill/45.onnx,CM,3,3,7554.779976129532,2250000,1e-05,20,0.1,15,True,10000,True,10000,True,45,,,,,,,,,
10,,,new,experiments/results/CM_2_2/TB_5mill/50.onnx,CM,3,3,8215.96242761612,2500000,1e-05,20,0.1,15,True,10000,True,10000,True,50,,,,,,,,,
11,,,new,experiments/results/CM_2_2/TB_5mill/55.onnx,CM,3,3,8871.80725979805,2750000,1e-05,20,0.1,15,True,10000,True,10000,True,55,,,,,,,,,
12,,,new,experiments/results/CM_2_2/TB_5mill/60.onnx,CM,3,3,9535.990254878998,3000000,1e-05,20,0.1,15,True,10000,True,10000,True,60,,,,,,,,,
13,,,new,experiments/results/CM_2_2/TB_5mill/65.onnx,CM,3,3,10149.085476398468,3250000,1e-05,20,0.1,15,True,10000,True,10000,True,65,,,,,,,,,
14,,,new,experiments/results/CM_2_2/TB_5mill/70.onnx,CM,3,3,10736.287685394287,3500000,1e-05,20,0.1,15,True,10000,True,10000,True,70,,,,,,,,,
15,,,new,experiments/results/CM_2_2/TB_5mill/75.onnx,CM,3,3,11341.38836479187,3750000,1e-05,20,0.1,15,True,10000,True,10000,True,75,,,,,,,,,
16,,,new,experiments/results/CM_2_2/TB_5mill/80.onnx,CM,3,3,12002.293708562851,4000000,1e-05,20,0.1,15,True,10000,True,10000,True,80,,,,,,,,,
17,,,new,experiments/results/CM_2_2/TB_5mill/85.onnx,CM,3,3,12633.105066776276,4250000,1e-05,20,0.1,15,True,10000,True,10000,True,85,,,,,,,,,
18,,,new,experiments/results/CM_2_2/TB_5mill/90.onnx,CM,3,3,13291.458380937576,4500000,1e-05,20,0.1,15,True,10000,True,10000,True,90,,,,,,,,,
19,,,new,experiments/results/CM_2_2/TB_5mill/95.onnx,CM,3,3,13997.206528902054,4750000,1e-05,20,0.1,15,True,10000,True,10000,True,95,,,,,,,,,
20,,,new,experiments/results/CM_2_2/TB_5mill/100.onnx,CM,3,3,14685.2297706604,5000000,1e-05,20,0.1,15,True,10000,True,10000,True,100,,,,,,,,,
