,training time,training steps,eta,nnsize,epsilon,nfeatures,target q,reset target freq,experience replay,buffer size,ra feature,avg q,idx
0,4.038828372955322,0,1e-05,20,0.1,15,True,10000,True,10000,True,0.429905,0
1,528.2348775863647,50000,1e-05,20,0.1,15,True,10000,True,10000,True,-3.097608,1
2,1032.7572116851807,100000,1e-05,20,0.1,15,True,10000,True,10000,True,-7.204748,2
3,1513.37881565094,150000,1e-05,20,0.1,15,True,10000,True,10000,True,-11.714444,3
4,1917.065182685852,200000,1e-05,20,0.1,15,True,10000,True,10000,True,-16.46613,4
5,2299.2359702587128,250000,1e-05,20,0.1,15,True,10000,True,10000,True,-21.387693,5
6,2599.5950832366943,300000,1e-05,20,0.1,15,True,10000,True,10000,True,-26.336737,6
7,2835.7870285511017,350000,1e-05,20,0.1,15,True,10000,True,10000,True,-31.198435,7
8,2978.3014240264893,400000,1e-05,20,0.1,15,True,10000,True,10000,True,-35.99774,8
9,3123.2706089019775,450000,1e-05,20,0.1,15,True,10000,True,10000,True,-40.815826,9
10,3245.032597064972,500000,1e-05,20,0.1,15,True,10000,True,10000,True,-45.522293,10
11,3352.581899166107,550000,1e-05,20,0.1,15,True,10000,True,10000,True,-50.335766,11
12,3455.9113743305206,600000,1e-05,20,0.1,15,True,10000,True,10000,True,-54.980812,12
13,3569.9377222061157,650000,1e-05,20,0.1,15,True,10000,True,10000,True,-59.70938,13
14,3696.3051550388336,700000,1e-05,20,0.1,15,True,10000,True,10000,True,-64.53508,14
15,3840.653102874756,750000,1e-05,20,0.1,15,True,10000,True,10000,True,-69.10945,15
16,3986.720544576645,800000,1e-05,20,0.1,15,True,10000,True,10000,True,-73.82362,16
17,4097.336578607559,850000,1e-05,20,0.1,15,True,10000,True,10000,True,-78.14026,17
18,4208.797640800476,900000,1e-05,20,0.1,15,True,10000,True,10000,True,-82.90684,18
19,4383.552531480789,950000,1e-05,20,0.1,15,True,10000,True,10000,True,-87.49274,19
20,4520.639963388443,1000000,1e-05,20,0.1,15,True,10000,True,10000,True,-91.76053,20
21,4641.187281131744,1050000,1e-05,20,0.1,15,True,10000,True,10000,True,-96.03793,21
22,4771.3248953819275,1100000,1e-05,20,0.1,15,True,10000,True,10000,True,-100.250244,22
23,4923.946571350098,1150000,1e-05,20,0.1,15,True,10000,True,10000,True,-104.85831,23
24,5029.271303892136,1200000,1e-05,20,0.1,15,True,10000,True,10000,True,-109.47559,24
25,5154.465048074722,1250000,1e-05,20,0.1,15,True,10000,True,10000,True,-113.65302,25
26,5317.89097237587,1300000,1e-05,20,0.1,15,True,10000,True,10000,True,-118.29426,26
27,5428.561769247055,1350000,1e-05,20,0.1,15,True,10000,True,10000,True,-122.477234,27
28,5551.319571733475,1400000,1e-05,20,0.1,15,True,10000,True,10000,True,-126.07061,28
29,5676.268332958221,1450000,1e-05,20,0.1,15,True,10000,True,10000,True,-129.191,29
30,5806.165500879288,1500000,1e-05,20,0.1,15,True,10000,True,10000,True,-133.83192,30
31,5916.283879995346,1550000,1e-05,20,0.1,15,True,10000,True,10000,True,-135.03252,31
32,6020.601464509964,1600000,1e-05,20,0.1,15,True,10000,True,10000,True,-139.49352,32
33,6126.944621324539,1650000,1e-05,20,0.1,15,True,10000,True,10000,True,-143.10243,33
34,6240.256011247635,1700000,1e-05,20,0.1,15,True,10000,True,10000,True,-147.21693,34
35,6419.9418687820435,1750000,1e-05,20,0.1,15,True,10000,True,10000,True,-151.01717,35
36,6527.056823015213,1800000,1e-05,20,0.1,15,True,10000,True,10000,True,-154.79526,36
37,6629.3750212192535,1850000,1e-05,20,0.1,15,True,10000,True,10000,True,-158.27898,37
38,6744.7171766757965,1900000,1e-05,20,0.1,15,True,10000,True,10000,True,-161.85535,38
39,6855.545663356781,1950000,1e-05,20,0.1,15,True,10000,True,10000,True,-166.23676,39
40,6990.614557981491,2000000,1e-05,20,0.1,15,True,10000,True,10000,True,-169.7698,40
41,7093.022472143173,2050000,1e-05,20,0.1,15,True,10000,True,10000,True,-173.41151,41
42,7203.283367156982,2100000,1e-05,20,0.1,15,True,10000,True,10000,True,-177.8591,42
43,7334.932160377502,2150000,1e-05,20,0.1,15,True,10000,True,10000,True,-181.04587,43
44,7443.527118444443,2200000,1e-05,20,0.1,15,True,10000,True,10000,True,-185.33086,44
45,7554.779976129532,2250000,1e-05,20,0.1,15,True,10000,True,10000,True,-187.91365,45
46,7726.649302721024,2300000,1e-05,20,0.1,15,True,10000,True,10000,True,-191.20757,46
47,7847.468478679657,2350000,1e-05,20,0.1,15,True,10000,True,10000,True,-195.54642,47
48,7969.597511053085,2400000,1e-05,20,0.1,15,True,10000,True,10000,True,-197.80368,48
49,8097.416259527206,2450000,1e-05,20,0.1,15,True,10000,True,10000,True,-202.07397,49
50,8215.96242761612,2500000,1e-05,20,0.1,15,True,10000,True,10000,True,-205.36821,50
51,8397.600466251373,2550000,1e-05,20,0.1,15,True,10000,True,10000,True,-207.55806,51
52,8507.90561413765,2600000,1e-05,20,0.1,15,True,10000,True,10000,True,-211.51796,52
53,8611.27687907219,2650000,1e-05,20,0.1,15,True,10000,True,10000,True,-214.83774,53
54,8731.757970809937,2700000,1e-05,20,0.1,15,True,10000,True,10000,True,-216.23041,54
55,8871.80725979805,2750000,1e-05,20,0.1,15,True,10000,True,10000,True,-220.7345,55
56,9017.384940385818,2800000,1e-05,20,0.1,15,True,10000,True,10000,True,-224.19098,56
