,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),heuristic time(ms),algorithm,heuristic,problem,n,k
0,17.0,17.0,21.0,21.0,23.0,5.0,0.0,1.0,0.0,15.62,,old,r,CM,1,1
1,33.0,33.0,42.0,42.0,38.0,9.0,0.0,2.0,0.0,17.62,,old,r,CM,1,2
2,53.0,53.0,69.0,69.0,67.0,13.0,0.0,5.0,0.0,21.14,,old,r,CM,1,3
3,77.0,77.0,102.0,102.0,85.0,17.0,0.0,10.0,0.0,26.18,,old,r,CM,1,4
4,141.0,105.0,195.0,141.0,122.0,21.0,5.0,27.0,0.0,14.97,,old,r,CM,1,5
5,239.0,137.0,340.0,186.0,167.0,39.0,14.0,41.0,6.0,33.38,,old,r,CM,1,6
6,361.0,175.0,538.0,239.0,291.0,61.0,34.0,42.0,11.0,67.79,,old,r,CM,1,7
7,345.0,213.0,507.0,294.0,282.0,33.0,45.0,73.0,7.0,72.42,,old,r,CM,1,8
8,403.0,257.0,577.0,357.0,352.0,47.0,30.0,72.0,7.0,101.18,,old,r,CM,1,9
9,385.0,305.0,557.0,426.0,424.0,57.0,11.0,90.0,0.0,80.25,,old,r,CM,1,10
10,685.0,347.0,1088.0,483.0,722.0,206.0,46.0,116.0,15.0,128.18,,old,r,CM,1,11
11,821.0,393.0,1321.0,552.0,701.0,129.0,160.0,126.0,15.0,80.07,,old,r,CM,1,12
12,525.0,451.0,760.0,635.0,662.0,60.0,12.0,145.0,0.0,54.77,,old,r,CM,1,13
13,1029.0,475.0,1668.0,669.0,986.0,99.0,287.0,180.0,17.0,103.93,,old,r,CM,1,14
14,1535.0,553.0,2656.0,774.0,3753.0,770.0,53.0,184.0,33.0,143.42,,old,r,CM,1,15
15,81.0,75.0,144.0,132.0,104.0,42.0,0.0,1.0,0.0,24.18,,old,r,CM,2,1
16,242.0,221.0,455.0,413.0,214.0,136.0,0.0,6.0,0.0,55.31,,old,r,CM,2,2
17,557.0,460.0,1042.0,886.0,590.0,289.0,0.0,35.0,1.0,83.3,,old,r,CM,2,3
18,3228.0,973.0,6392.0,1900.0,2709.0,1352.0,65.0,417.0,464.0,114.03,,old,r,CM,2,4
19,10631.0,1682.0,25181.0,3297.0,111978.0,7912.0,524.0,943.0,2241.0,366.84,,old,r,CM,2,5
20,,,,,,,,,,,,old,r,CM,2,6
21,454.0,355.0,1144.0,922.0,554.0,442.0,0.0,1.0,0.0,96.06,,old,r,CM,3,1
22,7011.0,1681.0,19438.0,4741.0,20432.0,2394.0,2199.0,103.0,4476.0,310.29,,old,r,CM,3,2
23,,,,,,,,,,,,old,r,CM,3,3
24,2655.0,1787.0,8828.0,6620.0,14953.0,4205.0,0.0,1.0,0.0,281.38,,old,r,CM,4,1
25,,,,,,,,,,,,old,r,CM,4,2
26,,,,,,,,,,,,old,r,CM,5,1
