,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),heuristic time(ms),algorithm,heuristic,problem,n,k,training time,training steps,eta,nnsize,epsilon,nfeatures,ra feature,idx
0,1655,221,2597,413,2528,267,35,1,596,159.24,2059.0,new,experiments/results/CM_2_2/base_features_2h/0.onnx,CM,2,2,217.30030989646912,50000,1e-05,20,0.1,12,False,0
1,1654,266,2453,489,2912,110,198,1,544,129.35,2440.0,new,experiments/results/CM_2_2/base_features_2h/1.onnx,CM,2,2,387.26384377479553,100000,1e-05,20,0.1,12,False,1
2,1622,221,2420,413,2225,394,21,1,393,113.48,1497.0,new,experiments/results/CM_2_2/base_features_2h/2.onnx,CM,2,2,537.8540463447571,150000,1e-05,20,0.1,12,False,2
3,1677,221,3285,413,784,142,275,1,886,140.75,228.0,new,experiments/results/CM_2_2/base_features_2h/3.onnx,CM,2,2,707.0092086791992,200000,1e-05,20,0.1,12,False,3
4,1632,221,2435,413,2126,360,34,1,406,77.71,1481.0,new,experiments/results/CM_2_2/base_features_2h/4.onnx,CM,2,2,867.6635162830353,250000,1e-05,20,0.1,12,False,4
5,1664,221,2999,413,2888,210,104,1,1016,182.49,2301.0,new,experiments/results/CM_2_2/base_features_2h/5.onnx,CM,2,2,1037.7194066047668,300000,1e-05,20,0.1,12,False,5
6,1621,221,2806,413,2711,474,8,1,755,112.49,1841.0,new,experiments/results/CM_2_2/base_features_2h/6.onnx,CM,2,2,1208.6303119659424,350000,1e-05,20,0.1,12,False,6
7,1581,221,2791,413,2737,476,59,1,720,162.76,1737.0,new,experiments/results/CM_2_2/base_features_2h/7.onnx,CM,2,2,1382.6893332004547,400000,1e-05,20,0.1,12,False,7
8,1620,221,2563,413,2575,432,13,1,504,63.89,1893.0,new,experiments/results/CM_2_2/base_features_2h/8.onnx,CM,2,2,1558.1515896320343,450000,1e-05,20,0.1,12,False,8
9,1657,221,2826,413,2826,437,19,1,746,31.92,2014.0,new,experiments/results/CM_2_2/base_features_2h/9.onnx,CM,2,2,1741.2203297615051,500000,1e-05,20,0.1,12,False,9
10,1621,221,2420,413,2462,443,8,1,393,185.36,1774.0,new,experiments/results/CM_2_2/base_features_2h/10.onnx,CM,2,2,1921.6710476875305,550000,1e-05,20,0.1,12,False,10
11,1539,221,2392,413,2276,470,23,1,348,149.0,1554.0,new,experiments/results/CM_2_2/base_features_2h/11.onnx,CM,2,2,2101.1297211647034,600000,1e-05,20,0.1,12,False,11
12,1683,221,2672,413,2400,438,71,1,408,116.54,1672.0,new,experiments/results/CM_2_2/base_features_2h/12.onnx,CM,2,2,2285.1559982299805,650000,1e-05,20,0.1,12,False,12
13,1615,221,2750,413,2736,470,22,1,751,20.66,1758.0,new,experiments/results/CM_2_2/base_features_2h/13.onnx,CM,2,2,2471.3924226760864,700000,1e-05,20,0.1,12,False,13
14,1522,254,2839,460,2429,403,11,1,869,149.31,1754.0,new,experiments/results/CM_2_2/base_features_2h/14.onnx,CM,2,2,2654.97785115242,750000,1e-05,20,0.1,12,False,14
15,1602,221,2655,413,2887,439,14,1,693,26.48,1962.0,new,experiments/results/CM_2_2/base_features_2h/15.onnx,CM,2,2,2832.9262523651123,800000,1e-05,20,0.1,12,False,15
16,1551,239,2452,438,2396,409,40,1,544,24.66,1618.0,new,experiments/results/CM_2_2/base_features_2h/16.onnx,CM,2,2,3016.839817762375,850000,1e-05,20,0.1,12,False,16
17,1646,221,2460,413,2383,209,82,1,548,110.56,2031.0,new,experiments/results/CM_2_2/base_features_2h/17.onnx,CM,2,2,3193.3453114032745,900000,1e-05,20,0.1,12,False,17
18,1357,221,2699,413,1177,277,104,1,644,97.89,414.0,new,experiments/results/CM_2_2/base_features_2h/18.onnx,CM,2,2,3372.6136236190796,950000,1e-05,20,0.1,12,False,18
19,1486,221,2607,413,2095,201,72,1,768,13.55,1326.0,new,experiments/results/CM_2_2/base_features_2h/19.onnx,CM,2,2,3531.26087474823,1000000,1e-05,20,0.1,12,False,19
20,1663,221,2476,413,2825,252,76,1,566,179.25,2363.0,new,experiments/results/CM_2_2/base_features_2h/20.onnx,CM,2,2,3700.3948283195496,1050000,1e-05,20,0.1,12,False,20
21,1478,221,2362,413,2189,384,5,1,500,144.19,1493.0,new,experiments/results/CM_2_2/base_features_2h/21.onnx,CM,2,2,3861.5067694187164,1100000,1e-05,20,0.1,12,False,21
22,1531,221,2286,413,2112,223,17,12,532,176.09,1702.0,new,experiments/results/CM_2_2/base_features_2h/22.onnx,CM,2,2,4026.6746940612793,1150000,1e-05,20,0.1,12,False,22
23,1409,221,2697,413,1598,262,80,1,733,76.24,860.0,new,experiments/results/CM_2_2/base_features_2h/23.onnx,CM,2,2,4190.707973957062,1200000,1e-05,20,0.1,12,False,23
24,1572,221,2215,413,2298,241,57,4,373,115.18,1884.0,new,experiments/results/CM_2_2/base_features_2h/24.onnx,CM,2,2,4348.858198642731,1250000,1e-05,20,0.1,12,False,24
25,1489,221,2574,413,1862,345,90,1,656,156.08,1024.0,new,experiments/results/CM_2_2/base_features_2h/25.onnx,CM,2,2,4498.914537906647,1300000,1e-05,20,0.1,12,False,25
26,1484,253,2633,459,2184,310,87,1,764,172.39,1306.0,new,experiments/results/CM_2_2/base_features_2h/26.onnx,CM,2,2,4653.410919427872,1350000,1e-05,20,0.1,12,False,26
27,1666,221,2583,413,2581,212,56,4,651,172.34,2172.0,new,experiments/results/CM_2_2/base_features_2h/27.onnx,CM,2,2,4799.829459190369,1400000,1e-05,20,0.1,12,False,27
28,1601,221,2860,413,1645,291,29,1,828,128.04,1044.0,new,experiments/results/CM_2_2/base_features_2h/28.onnx,CM,2,2,4947.409198522568,1450000,1e-05,20,0.1,12,False,28
29,1432,221,2844,413,1464,275,76,1,679,152.1,567.0,new,experiments/results/CM_2_2/base_features_2h/29.onnx,CM,2,2,5090.6129591465,1500000,1e-05,20,0.1,12,False,29
30,1566,221,2544,413,2883,271,39,6,699,180.33,2209.0,new,experiments/results/CM_2_2/base_features_2h/30.onnx,CM,2,2,5226.190103530884,1550000,1e-05,20,0.1,12,False,30
