,training time,training steps,eta,nnsize,epsilon,nfeatures,ra feature,avg q,idx
0,217.30030989646912,50000,1e-05,20,0.1,12,False,-182.31595,0
1,387.26384377479553,100000,1e-05,20,0.1,12,False,-700.3154,1
2,537.8540463447571,150000,1e-05,20,0.1,12,False,-600.1456,2
3,707.0092086791992,200000,1e-05,20,0.1,12,False,-566.9153,3
4,867.6635162830353,250000,1e-05,20,0.1,12,False,-617.50073,4
5,1037.7194066047668,300000,1e-05,20,0.1,12,False,-878.37524,5
6,1208.6303119659424,350000,1e-05,20,0.1,12,False,-813.533,6
7,1382.6893332004547,400000,1e-05,20,0.1,12,False,-724.2801,7
8,1558.1515896320343,450000,1e-05,20,0.1,12,False,-641.1006,8
9,1741.2203297615051,500000,1e-05,20,0.1,12,False,-686.2234,9
10,1921.6710476875305,550000,1e-05,20,0.1,12,False,-654.80676,10
11,2101.1297211647034,600000,1e-05,20,0.1,12,False,-627.6305,11
12,2285.1559982299805,650000,1e-05,20,0.1,12,False,-547.5411,12
13,2471.3924226760864,700000,1e-05,20,0.1,12,False,-759.8007,13
14,2654.97785115242,750000,1e-05,20,0.1,12,False,-713.5791,14
15,2832.9262523651123,800000,1e-05,20,0.1,12,False,-799.2507,15
16,3016.839817762375,850000,1e-05,20,0.1,12,False,-844.27,16
17,3193.3453114032745,900000,1e-05,20,0.1,12,False,-897.06744,17
18,3372.6136236190796,950000,1e-05,20,0.1,12,False,-657.405,18
19,3531.26087474823,1000000,1e-05,20,0.1,12,False,-779.726,19
20,3700.3948283195496,1050000,1e-05,20,0.1,12,False,-843.2023,20
21,3861.5067694187164,1100000,1e-05,20,0.1,12,False,-681.05096,21
22,4026.6746940612793,1150000,1e-05,20,0.1,12,False,-876.2704,22
23,4190.707973957062,1200000,1e-05,20,0.1,12,False,-624.5346,23
24,4348.858198642731,1250000,1e-05,20,0.1,12,False,-863.3273,24
25,4498.914537906647,1300000,1e-05,20,0.1,12,False,-801.13965,25
26,4653.410919427872,1350000,1e-05,20,0.1,12,False,-760.73627,26
27,4799.829459190369,1400000,1e-05,20,0.1,12,False,-905.5663,27
28,4947.409198522568,1450000,1e-05,20,0.1,12,False,-607.10486,28
29,5090.6129591465,1500000,1e-05,20,0.1,12,False,-665.6014,29
30,5226.190103530884,1550000,1e-05,20,0.1,12,False,-885.68085,30
31,5356.729574203491,1600000,1e-05,20,0.1,12,False,-648.7483,31
32,5484.053674459457,1650000,1e-05,20,0.1,12,False,-743.62524,32
33,5606.982957601547,1700000,1e-05,20,0.1,12,False,-708.3256,33
34,5718.951338768005,1750000,1e-05,20,0.1,12,False,-767.2394,34
35,5837.06826543808,1800000,1e-05,20,0.1,12,False,-743.53534,35
36,5948.194130897522,1850000,1e-05,20,0.1,12,False,-663.04834,36
37,6061.733396053314,1900000,1e-05,20,0.1,12,False,-638.07574,37
38,6177.5220193862915,1950000,1e-05,20,0.1,12,False,-800.2975,38
39,6277.709055423737,2000000,1e-05,20,0.1,12,False,-226.10591,39
40,6389.722926855087,2050000,1e-05,20,0.1,12,False,-719.95776,40
41,6503.573970317841,2100000,1e-05,20,0.1,12,False,-552.59906,41
42,6625.182770490646,2150000,1e-05,20,0.1,12,False,-736.8298,42
43,6740.527740955353,2200000,1e-05,20,0.1,12,False,-721.02295,43
44,6862.299679279327,2250000,1e-05,20,0.1,12,False,-753.62646,44
45,6979.342730283737,2300000,1e-05,20,0.1,12,False,-623.3137,45
46,7091.584159374237,2350000,1e-05,20,0.1,12,False,-937.45044,46
