,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),heuristic time(ms),OutOfMem,algorithm,heuristic,problem,n,k
0,26.0,17.0,33.0,21.0,182.0,5.0,1.0,1.0,2.0,15.5,21.0,False,new,experiments/results/CM_2_2/boolean/90.onnx,CM,1,1
1,50.0,31.0,68.0,39.0,215.0,8.0,8.0,1.0,0.0,16.48,54.0,False,new,experiments/results/CM_2_2/boolean/90.onnx,CM,1,2
2,86.0,53.0,120.0,69.0,237.0,18.0,14.0,1.0,2.0,19.44,57.0,False,new,experiments/results/CM_2_2/boolean/90.onnx,CM,1,3
3,171.0,77.0,269.0,102.0,338.0,32.0,55.0,1.0,5.0,21.75,99.0,False,new,experiments/results/CM_2_2/boolean/90.onnx,CM,1,4
4,238.0,105.0,388.0,141.0,402.0,33.0,103.0,1.0,5.0,36.9,132.0,False,new,experiments/results/CM_2_2/boolean/90.onnx,CM,1,5
5,275.0,137.0,455.0,186.0,439.0,57.0,93.0,1.0,1.0,55.06,138.0,False,new,experiments/results/CM_2_2/boolean/90.onnx,CM,1,6
6,465.0,173.0,774.0,237.0,671.0,83.0,141.0,31.0,7.0,9.08,190.0,False,new,experiments/results/CM_2_2/boolean/90.onnx,CM,1,7
7,752.0,203.0,1198.0,275.0,940.0,157.0,189.0,31.0,10.0,138.17,261.0,False,new,experiments/results/CM_2_2/boolean/90.onnx,CM,1,8
8,690.0,239.0,1194.0,328.0,1076.0,158.0,198.0,76.0,10.0,134.69,246.0,False,new,experiments/results/CM_2_2/boolean/90.onnx,CM,1,9
9,782.0,297.0,1368.0,411.0,1196.0,95.0,440.0,1.0,10.0,135.66,256.0,False,new,experiments/results/CM_2_2/boolean/90.onnx,CM,1,10
10,955.0,307.0,1681.0,416.0,1810.0,148.0,432.0,60.0,13.0,99.17,352.0,False,new,experiments/results/CM_2_2/boolean/90.onnx,CM,1,11
11,1199.0,287.0,1997.0,390.0,1994.0,230.0,446.0,32.0,16.0,104.76,382.0,False,new,experiments/results/CM_2_2/boolean/90.onnx,CM,1,12
12,1210.0,389.0,2130.0,537.0,2292.0,163.0,615.0,47.0,8.0,153.42,394.0,False,new,experiments/results/CM_2_2/boolean/90.onnx,CM,1,13
13,1467.0,526.0,2622.0,732.0,4327.0,290.0,592.0,98.0,15.0,263.53,480.0,False,new,experiments/results/CM_2_2/boolean/90.onnx,CM,1,14
14,2042.0,517.0,3629.0,714.0,6246.0,408.0,789.0,221.0,29.0,231.0,611.0,False,new,experiments/results/CM_2_2/boolean/90.onnx,CM,1,15
15,162.0,75.0,248.0,132.0,310.0,41.0,2.0,1.0,29.0,26.48,112.0,False,new,experiments/results/CM_2_2/boolean/90.onnx,CM,2,1
16,784.0,221.0,1314.0,413.0,883.0,134.0,86.0,1.0,225.0,153.11,393.0,False,new,experiments/results/CM_2_2/boolean/90.onnx,CM,2,2
17,2466.0,460.0,4510.0,886.0,3312.0,275.0,527.0,1.0,703.0,28.48,1295.0,False,new,experiments/results/CM_2_2/boolean/90.onnx,CM,2,3
18,5878.0,806.0,11646.0,1583.0,14497.0,483.0,1984.0,1.0,1509.0,136.72,4852.0,False,new,experiments/results/CM_2_2/boolean/90.onnx,CM,2,4
19,13694.0,1813.0,28906.0,3558.0,86162.0,1192.0,5543.0,321.0,2840.0,71.35,23279.0,False,new,experiments/results/CM_2_2/boolean/90.onnx,CM,2,5
20,24660.0,2356.0,56423.0,4710.0,477642.0,1025.0,15036.0,1.0,4743.0,116.9,90484.0,False,new,experiments/results/CM_2_2/boolean/90.onnx,CM,2,6
21,,,,,,,,,,,,False,new,experiments/results/CM_2_2/boolean/90.onnx,CM,2,7
22,987.0,355.0,2037.0,922.0,1474.0,517.0,6.0,1.0,167.0,106.43,579.0,False,new,experiments/results/CM_2_2/boolean/90.onnx,CM,3,1
23,8142.0,1681.0,16199.0,4741.0,39319.0,2789.0,288.0,1.0,2514.0,115.19,15163.0,False,new,experiments/results/CM_2_2/boolean/90.onnx,CM,3,2
24,,,,,,,,,,,,False,new,experiments/results/CM_2_2/boolean/90.onnx,CM,3,3
25,6037.0,1787.0,16664.0,6620.0,41422.0,4436.0,18.0,1.0,859.0,251.37,10315.0,False,new,experiments/results/CM_2_2/boolean/90.onnx,CM,4,1
26,,,,,,,,,,,,False,new,experiments/results/CM_2_2/boolean/90.onnx,CM,4,2
27,,,,,,,,,,,,False,new,experiments/results/CM_2_2/boolean/90.onnx,CM,5,1
