,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),heuristic time(ms),expansion_budget_exceeded,OutOfMem,algorithm,heuristic,problem,n,k,transitions/ms
0,29,17,37,21,187,5,1,1,3,20.18,28.0,false,False,new,experiments/results/CM_2_2/boolean/46.onnx,CM,1,1,0.19786096256684493
1,85,37,121,48,226,17,8,1,6,22.66,54.0,false,False,new,experiments/results/CM_2_2/boolean/46.onnx,CM,1,2,0.5353982300884956
2,175,53,262,69,306,34,20,1,10,28.66,115.0,false,False,new,experiments/results/CM_2_2/boolean/46.onnx,CM,1,3,0.8562091503267973
3,297,81,454,108,442,50,43,1,14,26.54,171.0,false,False,new,experiments/results/CM_2_2/boolean/46.onnx,CM,1,4,1.0271493212669682
4,451,105,725,139,518,96,65,1,18,63.67,205.0,false,False,new,experiments/results/CM_2_2/boolean/46.onnx,CM,1,5,1.3996138996138996
5,153,75,236,132,314,47,2,1,19,9.18,109.0,false,False,new,experiments/results/CM_2_2/boolean/46.onnx,CM,2,1,0.7515923566878981
6,489,221,749,413,590,136,4,1,98,74.46,228.0,false,False,new,experiments/results/CM_2_2/boolean/46.onnx,CM,2,2,1.269491525423729
7,1428,458,2234,881,1480,341,14,41,215,90.85,705.0,false,False,new,experiments/results/CM_2_2/boolean/46.onnx,CM,2,3,1.5094594594594595
8,4672,806,7883,1583,5963,1101,41,366,565,91.28,2848.0,false,False,new,experiments/results/CM_2_2/boolean/46.onnx,CM,2,4,1.3219855777293308
9,8658,0,15001,0,30018,1390,1266,10,906,0.0,10871.0,true,False,new,experiments/results/CM_2_2/boolean/46.onnx,CM,2,5,0.4997334932373909
10,961,355,2026,922,1206,358,6,1,178,33.03,542.0,false,False,new,experiments/results/CM_2_2/boolean/46.onnx,CM,3,1,1.6799336650082919
11,5937,1681,11988,4741,17305,1779,26,1,1522,196.88,5574.0,false,False,new,experiments/results/CM_2_2/boolean/46.onnx,CM,3,2,0.6927477607627853
12,7242,0,15001,0,14509,0,340,0,2733,0.0,9387.0,true,False,new,experiments/results/CM_2_2/boolean/46.onnx,CM,3,3,1.03390998690468
13,7816,0,15001,0,15802,0,550,0,0,0.0,13063.0,true,False,new,experiments/results/CM_2_2/boolean/46.onnx,CM,3,4,0.9493102138969751
14,7246,0,15001,0,16091,0,723,0,0,0.0,12214.0,true,False,new,experiments/results/CM_2_2/boolean/46.onnx,CM,3,5,0.9322602697159903
15,5720,0,15001,0,11270,1422,15,0,1060,0.0,5816.0,true,False,new,experiments/results/CM_2_2/boolean/46.onnx,CM,4,1,1.331055900621118
16,5332,0,15001,0,11339,0,45,0,3633,0.0,9058.0,true,False,new,experiments/results/CM_2_2/boolean/46.onnx,CM,4,2,1.3229561689743363
17,6553,0,15001,0,10485,0,46,0,398,0.0,9431.0,true,False,new,experiments/results/CM_2_2/boolean/46.onnx,CM,4,3,1.4307105388650454
18,6636,0,15001,0,10208,0,59,0,0,0.0,9323.0,true,False,new,experiments/results/CM_2_2/boolean/46.onnx,CM,4,4,1.469533699059561
19,5924,0,15001,0,9411,0,126,0,0,0.0,8348.0,true,False,new,experiments/results/CM_2_2/boolean/46.onnx,CM,4,5,1.5939857613431092
20,4745,0,15001,0,5872,0,25,0,2804,0.0,4169.0,true,False,new,experiments/results/CM_2_2/boolean/46.onnx,CM,5,1,2.55466621253406
21,4913,0,15001,0,8006,0,0,0,547,0.0,7046.0,true,False,new,experiments/results/CM_2_2/boolean/46.onnx,CM,5,2,1.873719710217337
22,5258,0,15001,0,8394,0,6,0,0,0.0,7645.0,true,False,new,experiments/results/CM_2_2/boolean/46.onnx,CM,5,3,1.7871098403621635
23,5255,0,15001,0,8262,0,7,0,0,0.0,7527.0,true,False,new,experiments/results/CM_2_2/boolean/46.onnx,CM,5,4,1.8156620672960542
24,5180,0,15001,0,8580,0,0,0,0,0.0,7795.0,true,False,new,experiments/results/CM_2_2/boolean/46.onnx,CM,5,5,1.7483682983682984
