,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),heuristic time(ms),expansion_budget_exceeded,OutOfMem,algorithm,heuristic,problem,n,k,transitions/ms
0,26,20,33,24,186,6,1,1,1,14.48,25.0,false,False,new,experiments/results/CM_2_2/boolean_4/9.onnx,CM,1,1,0.1774193548387097
1,46,36,61,44,226,13,2,1,1,16.48,59.0,false,False,new,experiments/results/CM_2_2/boolean_4/9.onnx,CM,1,2,0.26991150442477874
2,66,52,89,64,226,20,3,1,1,18.48,53.0,false,False,new,experiments/results/CM_2_2/boolean_4/9.onnx,CM,1,3,0.3938053097345133
3,139,73,208,92,278,10,59,1,4,24.48,85.0,false,False,new,experiments/results/CM_2_2/boolean_4/9.onnx,CM,1,4,0.7482014388489209
4,94,72,133,92,282,30,9,1,1,22.48,86.0,false,False,new,experiments/results/CM_2_2/boolean_4/9.onnx,CM,1,5,0.4716312056737589
5,301,157,461,202,533,96,54,10,8,69.06,149.0,false,False,new,experiments/results/CM_2_2/boolean_4/9.onnx,CM,1,6,0.8649155722326454
6,470,192,769,251,853,223,58,13,13,97.9,206.0,false,False,new,experiments/results/CM_2_2/boolean_4/9.onnx,CM,1,7,0.9015240328253223
7,138,104,201,136,335,49,14,1,1,22.12,100.0,false,False,new,experiments/results/CM_2_2/boolean_4/9.onnx,CM,1,8,0.6
8,169,159,236,207,346,17,50,1,1,23.34,115.0,false,False,new,experiments/results/CM_2_2/boolean_4/9.onnx,CM,1,9,0.6820809248554913
9,691,281,1177,380,1511,330,122,34,10,34.11,266.0,false,False,new,experiments/results/CM_2_2/boolean_4/9.onnx,CM,1,10,0.7789543348775645
10,625,295,991,393,1103,83,264,13,10,99.18,267.0,false,False,new,experiments/results/CM_2_2/boolean_4/9.onnx,CM,1,11,0.898458748866727
11,1036,420,1791,556,1858,97,652,7,14,94.59,355.0,false,False,new,experiments/results/CM_2_2/boolean_4/9.onnx,CM,1,12,0.9639397201291712
12,218,164,321,216,448,78,25,1,1,70.91,120.0,false,False,new,experiments/results/CM_2_2/boolean_4/9.onnx,CM,1,13,0.7165178571428571
13,1702,582,3132,823,16730,1085,328,12,27,215.24,624.0,false,False,new,experiments/results/CM_2_2/boolean_4/9.onnx,CM,1,14,0.1872086072922893
14,1566,477,2708,630,7972,899,184,55,19,212.03,553.0,false,False,new,experiments/results/CM_2_2/boolean_4/9.onnx,CM,1,15,0.33968891118916206
15,177,75,304,132,333,61,3,1,64,15.77,109.0,false,False,new,experiments/results/CM_2_2/boolean_4/9.onnx,CM,2,1,0.9129129129129129
16,1152,221,2214,413,1590,603,58,1,410,120.93,453.0,false,False,new,experiments/results/CM_2_2/boolean_4/9.onnx,CM,2,2,1.3924528301886792
17,4935,460,10498,886,30587,3491,366,1,1577,63.33,3432.0,false,False,new,experiments/results/CM_2_2/boolean_4/9.onnx,CM,2,3,0.34321770686893127
18,8222,0,15001,0,55013,3979,697,0,1289,0.0,18285.0,true,False,new,experiments/results/CM_2_2/boolean_4/9.onnx,CM,2,4,0.27268100267209566
19,1159,355,2809,922,2021,667,4,1,615,24.52,680.0,false,False,new,experiments/results/CM_2_2/boolean_4/9.onnx,CM,3,1,1.3899059871350816
20,7734,0,15001,0,36411,461,1477,0,2910,0.0,18779.0,true,False,new,experiments/results/CM_2_2/boolean_4/9.onnx,CM,3,2,0.411990881876356
21,5523,0,15001,0,39275,2786,0,0,3941,0.0,10803.0,true,False,new,experiments/results/CM_2_2/boolean_4/9.onnx,CM,4,1,0.3819478039465309
