,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),heuristic time(ms),OutOfMem,algorithm,heuristic,problem,n,k
0,31.0,21.0,37.0,26.0,190.0,4.0,1.0,1.0,2.0,15.5,30.0,False,new,experiments/results/CM_2_2/boolean_4/33.onnx,CM,1,1
1,85.0,33.0,119.0,42.0,239.0,15.0,7.0,1.0,6.0,17.92,61.0,False,new,experiments/results/CM_2_2/boolean_4/33.onnx,CM,1,2
2,175.0,53.0,253.0,69.0,306.0,21.0,22.0,7.0,10.0,23.92,110.0,False,new,experiments/results/CM_2_2/boolean_4/33.onnx,CM,1,3
3,297.0,77.0,440.0,102.0,403.0,30.0,31.0,20.0,14.0,19.13,162.0,False,new,experiments/results/CM_2_2/boolean_4/33.onnx,CM,1,4
4,451.0,109.0,749.0,147.0,565.0,110.0,79.0,1.0,18.0,76.36,215.0,False,new,experiments/results/CM_2_2/boolean_4/33.onnx,CM,1,5
5,637.0,118.0,973.0,159.0,594.0,35.0,78.0,56.0,22.0,54.36,288.0,False,new,experiments/results/CM_2_2/boolean_4/33.onnx,CM,1,6
6,855.0,137.0,1328.0,183.0,762.0,70.0,116.0,55.0,26.0,117.52,381.0,False,new,experiments/results/CM_2_2/boolean_4/33.onnx,CM,1,7
7,1105.0,228.0,1768.0,309.0,1067.0,69.0,219.0,54.0,30.0,116.57,447.0,False,new,experiments/results/CM_2_2/boolean_4/33.onnx,CM,1,8
8,1387.0,257.0,2223.0,357.0,1181.0,53.0,272.0,92.0,34.0,27.66,609.0,False,new,experiments/results/CM_2_2/boolean_4/33.onnx,CM,1,9
9,1701.0,249.0,2563.0,342.0,1344.0,99.0,156.0,84.0,38.0,71.17,778.0,False,new,experiments/results/CM_2_2/boolean_4/33.onnx,CM,1,10
10,2047.0,327.0,3698.0,453.0,3934.0,560.0,427.0,20.0,42.0,172.36,1002.0,False,new,experiments/results/CM_2_2/boolean_4/33.onnx,CM,1,11
11,2425.0,389.0,3957.0,545.0,2360.0,82.0,555.0,98.0,46.0,138.6,1178.0,False,new,experiments/results/CM_2_2/boolean_4/33.onnx,CM,1,12
12,2835.0,370.0,4571.0,508.0,2716.0,152.0,458.0,217.0,50.0,142.16,1404.0,False,new,experiments/results/CM_2_2/boolean_4/33.onnx,CM,1,13
13,3277.0,361.0,5094.0,498.0,2890.0,69.0,618.0,85.0,54.0,59.77,1671.0,False,new,experiments/results/CM_2_2/boolean_4/33.onnx,CM,1,14
14,3751.0,525.0,6331.0,731.0,5774.0,184.0,944.0,169.0,58.0,60.54,2195.0,False,new,experiments/results/CM_2_2/boolean_4/33.onnx,CM,1,15
15,132.0,75.0,214.0,132.0,301.0,44.0,0.0,1.0,26.0,23.44,102.0,False,new,experiments/results/CM_2_2/boolean_4/33.onnx,CM,2,1
16,465.0,221.0,748.0,413.0,592.0,125.0,2.0,1.0,129.0,71.08,215.0,False,new,experiments/results/CM_2_2/boolean_4/33.onnx,CM,2,2
17,2666.0,460.0,5195.0,886.0,3147.0,842.0,12.0,82.0,534.0,178.96,1373.0,False,new,experiments/results/CM_2_2/boolean_4/33.onnx,CM,2,3
18,9355.0,817.0,20286.0,1603.0,31395.0,2944.0,1011.0,255.0,1256.0,77.7,9988.0,False,new,experiments/results/CM_2_2/boolean_4/33.onnx,CM,2,4
19,13223.0,1930.0,31949.0,3702.0,259299.0,8134.0,881.0,342.0,1776.0,244.96,27686.0,False,new,experiments/results/CM_2_2/boolean_4/33.onnx,CM,2,5
20,,,,,,,,,,,,False,new,experiments/results/CM_2_2/boolean_4/33.onnx,CM,2,6
21,828.0,355.0,1787.0,922.0,1083.0,404.0,0.0,1.0,208.0,26.93,412.0,False,new,experiments/results/CM_2_2/boolean_4/33.onnx,CM,3,1
22,5549.0,1681.0,11546.0,4741.0,20186.0,2046.0,6.0,1.0,1944.0,49.24,4853.0,False,new,experiments/results/CM_2_2/boolean_4/33.onnx,CM,3,2
23,33716.0,4727.0,82259.0,13805.0,587146.0,8034.0,2594.0,207.0,14086.0,338.07,188463.0,False,new,experiments/results/CM_2_2/boolean_4/33.onnx,CM,3,3
24,,,,,,,,,,,,False,new,experiments/results/CM_2_2/boolean_4/33.onnx,CM,3,4
25,4926.0,1787.0,14038.0,6620.0,23645.0,3427.0,0.0,1.0,918.0,323.57,4169.0,False,new,experiments/results/CM_2_2/boolean_4/33.onnx,CM,4,1
26,,,,,,,,,,,,False,new,experiments/results/CM_2_2/boolean_4/33.onnx,CM,4,2
27,,,,,,,,,,,,False,new,experiments/results/CM_2_2/boolean_4/33.onnx,CM,5,1
