,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),heuristic time(ms),OutOfMem,algorithm,heuristic,problem,n,k
0,23.0,17.0,30.0,21.0,183.0,4.0,1.0,1.0,0.0,14.99,23.0,False,new,experiments/results/CM_2_2/boolean_5kk/89.onnx,CM,1,1
1,58.0,33.0,76.0,42.0,213.0,12.0,1.0,1.0,2.0,16.48,43.0,False,new,experiments/results/CM_2_2/boolean_5kk/89.onnx,CM,1,2
2,98.0,53.0,138.0,69.0,244.0,22.0,7.0,1.0,2.0,19.92,65.0,False,new,experiments/results/CM_2_2/boolean_5kk/89.onnx,CM,1,3
3,146.0,77.0,217.0,102.0,299.0,37.0,14.0,1.0,2.0,26.48,84.0,False,new,experiments/results/CM_2_2/boolean_5kk/89.onnx,CM,1,4
4,225.0,95.0,343.0,127.0,363.0,44.0,28.0,2.0,5.0,22.92,134.0,False,new,experiments/results/CM_2_2/boolean_5kk/89.onnx,CM,1,5
5,308.0,126.0,511.0,169.0,522.0,87.0,47.0,1.0,6.0,77.14,172.0,False,new,experiments/results/CM_2_2/boolean_5kk/89.onnx,CM,1,6
6,394.0,139.0,598.0,188.0,495.0,57.0,48.0,19.0,8.0,48.38,183.0,False,new,experiments/results/CM_2_2/boolean_5kk/89.onnx,CM,1,7
7,515.0,221.0,817.0,305.0,726.0,99.0,70.0,32.0,9.0,152.49,220.0,False,new,experiments/results/CM_2_2/boolean_5kk/89.onnx,CM,1,8
8,637.0,265.0,1035.0,365.0,954.0,147.0,94.0,36.0,12.0,97.4,287.0,False,new,experiments/results/CM_2_2/boolean_5kk/89.onnx,CM,1,9
9,746.0,281.0,1284.0,384.0,1436.0,184.0,147.0,17.0,10.0,70.38,356.0,False,new,experiments/results/CM_2_2/boolean_5kk/89.onnx,CM,1,10
10,908.0,338.0,1517.0,474.0,1501.0,166.0,177.0,36.0,12.0,113.96,417.0,False,new,experiments/results/CM_2_2/boolean_5kk/89.onnx,CM,1,11
11,1054.0,373.0,1755.0,519.0,2383.0,278.0,149.0,57.0,14.0,103.71,366.0,False,new,experiments/results/CM_2_2/boolean_5kk/89.onnx,CM,1,12
12,1107.0,465.0,1831.0,653.0,2548.0,279.0,156.0,71.0,12.0,65.69,456.0,False,new,experiments/results/CM_2_2/boolean_5kk/89.onnx,CM,1,13
13,1399.0,527.0,2278.0,748.0,2509.0,177.0,264.0,61.0,15.0,64.55,671.0,False,new,experiments/results/CM_2_2/boolean_5kk/89.onnx,CM,1,14
14,1619.0,587.0,2735.0,831.0,5407.0,368.0,248.0,95.0,18.0,213.0,768.0,False,new,experiments/results/CM_2_2/boolean_5kk/89.onnx,CM,1,15
15,152.0,75.0,241.0,132.0,287.0,37.0,0.0,1.0,31.0,23.44,101.0,False,new,experiments/results/CM_2_2/boolean_5kk/89.onnx,CM,2,1
16,807.0,221.0,1422.0,413.0,1011.0,150.0,36.0,1.0,355.0,28.7,481.0,False,new,experiments/results/CM_2_2/boolean_5kk/89.onnx,CM,2,2
17,2547.0,460.0,4850.0,886.0,4341.0,317.0,329.0,64.0,974.0,210.76,1926.0,False,new,experiments/results/CM_2_2/boolean_5kk/89.onnx,CM,2,3
18,6111.0,897.0,11614.0,1737.0,18773.0,530.0,974.0,276.0,1333.0,223.15,8860.0,False,new,experiments/results/CM_2_2/boolean_5kk/89.onnx,CM,2,4
19,13381.0,1358.0,28942.0,2677.0,148589.0,4619.0,797.0,458.0,2373.0,160.14,48730.0,False,new,experiments/results/CM_2_2/boolean_5kk/89.onnx,CM,2,5
20,,,,,,,,,,,,False,new,experiments/results/CM_2_2/boolean_5kk/89.onnx,CM,2,6
21,823.0,355.0,1749.0,922.0,1159.0,338.0,0.0,1.0,289.0,147.8,533.0,False,new,experiments/results/CM_2_2/boolean_5kk/89.onnx,CM,3,1
22,9250.0,1895.0,20125.0,5232.0,55840.0,2186.0,58.0,1.0,4189.0,270.5,19274.0,False,new,experiments/results/CM_2_2/boolean_5kk/89.onnx,CM,3,2
23,,,,,,,,,,,,False,new,experiments/results/CM_2_2/boolean_5kk/89.onnx,CM,3,3
24,6029.0,1787.0,15767.0,6620.0,29881.0,2084.0,0.0,1.0,2033.0,134.72,9266.0,False,new,experiments/results/CM_2_2/boolean_5kk/89.onnx,CM,4,1
25,,,,,,,,,,,,False,new,experiments/results/CM_2_2/boolean_5kk/89.onnx,CM,4,2
26,,,,,,,,,,,,False,new,experiments/results/CM_2_2/boolean_5kk/89.onnx,CM,5,1
