,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),heuristic time(ms),OutOfMem,algorithm,heuristic,problem,n,k
0,26.0,21.0,32.0,26.0,163.0,3.0,1.0,1.0,1.0,19.23,17.0,True,new,experiments/results/CM_2_2/prop/30.onnx,CM,1,1
1,63.0,33.0,89.0,42.0,197.0,9.0,8.0,1.0,9.0,21.14,31.0,True,new,experiments/results/CM_2_2/prop/30.onnx,CM,1,2
2,110.0,53.0,162.0,69.0,225.0,13.0,17.0,1.0,17.0,23.62,50.0,True,new,experiments/results/CM_2_2/prop/30.onnx,CM,1,3
3,170.0,77.0,264.0,102.0,244.0,17.0,36.0,1.0,21.0,29.14,73.0,True,new,experiments/results/CM_2_2/prop/30.onnx,CM,1,4
4,242.0,105.0,390.0,141.0,296.0,21.0,61.0,1.0,25.0,23.32,106.0,True,new,experiments/results/CM_2_2/prop/30.onnx,CM,1,5
5,326.0,137.0,542.0,186.0,392.0,25.0,93.0,1.0,28.0,36.41,167.0,True,new,experiments/results/CM_2_2/prop/30.onnx,CM,1,6
6,422.0,173.0,716.0,237.0,438.0,29.0,130.0,1.0,32.0,59.49,140.0,True,new,experiments/results/CM_2_2/prop/30.onnx,CM,1,7
7,530.0,213.0,910.0,294.0,558.0,33.0,170.0,1.0,39.0,89.63,207.0,True,new,experiments/results/CM_2_2/prop/30.onnx,CM,1,8
8,649.0,257.0,1135.0,357.0,671.0,37.0,223.0,1.0,39.0,136.72,205.0,True,new,experiments/results/CM_2_2/prop/30.onnx,CM,1,9
9,752.0,227.0,1320.0,305.0,741.0,27.0,274.0,1.0,46.0,25.5,228.0,True,new,experiments/results/CM_2_2/prop/30.onnx,CM,1,10
10,926.0,357.0,1654.0,501.0,996.0,45.0,341.0,1.0,45.0,17.41,298.0,True,new,experiments/results/CM_2_2/prop/30.onnx,CM,1,11
11,1082.0,413.0,1948.0,582.0,1060.0,49.0,408.0,1.0,49.0,103.7,296.0,True,new,experiments/results/CM_2_2/prop/30.onnx,CM,1,12
12,1247.0,463.0,2259.0,655.0,1268.0,50.0,480.0,1.0,53.0,124.39,312.0,True,new,experiments/results/CM_2_2/prop/30.onnx,CM,1,13
13,1430.0,537.0,2604.0,762.0,1496.0,57.0,554.0,1.0,63.0,91.08,336.0,True,new,experiments/results/CM_2_2/prop/30.onnx,CM,1,14
14,1622.0,605.0,2972.0,861.0,1757.0,61.0,640.0,1.0,66.0,105.92,408.0,True,new,experiments/results/CM_2_2/prop/30.onnx,CM,1,15
15,139.0,75.0,238.0,132.0,280.0,47.0,0.0,1.0,52.0,29.14,93.0,True,new,experiments/results/CM_2_2/prop/30.onnx,CM,2,1
16,736.0,225.0,1386.0,418.0,808.0,158.0,95.0,1.0,371.0,154.31,270.0,True,new,experiments/results/CM_2_2/prop/30.onnx,CM,2,2
17,2204.0,460.0,4480.0,882.0,3193.0,329.0,545.0,1.0,1031.0,82.11,777.0,True,new,experiments/results/CM_2_2/prop/30.onnx,CM,2,3
18,11544.0,953.0,25278.0,1872.0,28733.0,2398.0,1663.0,796.0,3339.0,187.22,5209.0,True,new,experiments/results/CM_2_2/prop/30.onnx,CM,2,4
19,11851.0,1606.0,28157.0,3174.0,98922.0,859.0,7012.0,1.0,3708.0,262.43,7922.0,True,new,experiments/results/CM_2_2/prop/30.onnx,CM,2,5
20,22521.0,1854.0,55729.0,3719.0,469424.0,1188.0,14684.0,1.0,6784.0,421.36,23866.0,True,new,experiments/results/CM_2_2/prop/30.onnx,CM,2,6
21,,,,,,,,,,,,False,new,experiments/results/CM_2_2/prop/30.onnx,CM,2,7
22,823.0,355.0,1958.0,922.0,1286.0,549.0,0.0,1.0,524.0,74.4,331.0,True,new,experiments/results/CM_2_2/prop/30.onnx,CM,3,1
23,8801.0,1705.0,22676.0,4788.0,47053.0,2849.0,357.0,1.0,9303.0,349.31,3583.0,True,new,experiments/results/CM_2_2/prop/30.onnx,CM,3,2
24,,,,,,,,,,,,False,new,experiments/results/CM_2_2/prop/30.onnx,CM,3,3
25,4975.0,1787.0,15402.0,6620.0,42774.0,4854.0,0.0,1.0,4056.0,253.95,2297.0,True,new,experiments/results/CM_2_2/prop/30.onnx,CM,4,1
26,,,,,,,,,,,,False,new,experiments/results/CM_2_2/prop/30.onnx,CM,4,2
27,,,,,,,,,,,,False,new,experiments/results/CM_2_2/prop/30.onnx,CM,5,1
