,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),heuristic time(ms),OutOfMem,algorithm,heuristic,problem,n,k,idx
0,31.0,21.0,40.0,26.0,183.0,4.0,1.0,1.0,4.0,14.99,20.0,True,new,experiments/results/CM_2_2/focused_4/0.onnx,CM,1,1,0
1,85.0,33.0,126.0,42.0,232.0,14.0,5.0,1.0,14.0,16.96,58.0,True,new,experiments/results/CM_2_2/focused_4/0.onnx,CM,1,2,0
2,175.0,57.0,282.0,75.0,287.0,31.0,23.0,1.0,28.0,24.48,103.0,True,new,experiments/results/CM_2_2/focused_4/0.onnx,CM,1,3,0
3,297.0,77.0,498.0,102.0,378.0,71.0,27.0,1.0,50.0,27.02,136.0,True,new,experiments/results/CM_2_2/focused_4/0.onnx,CM,1,4,0
4,451.0,105.0,730.0,141.0,475.0,122.0,45.0,1.0,29.0,60.35,193.0,True,new,experiments/results/CM_2_2/focused_4/0.onnx,CM,1,5,0
5,637.0,122.0,1029.0,162.0,631.0,140.0,73.0,1.0,42.0,89.46,244.0,True,new,experiments/results/CM_2_2/focused_4/0.onnx,CM,1,6,0
6,855.0,178.0,1403.0,240.0,868.0,178.0,121.0,2.0,45.0,45.92,299.0,True,new,experiments/results/CM_2_2/focused_4/0.onnx,CM,1,7,0
7,1105.0,213.0,1795.0,294.0,1120.0,248.0,174.0,1.0,35.0,65.8,403.0,True,new,experiments/results/CM_2_2/focused_4/0.onnx,CM,1,8,0
8,1387.0,257.0,2391.0,357.0,2079.0,411.0,163.0,1.0,68.0,95.21,450.0,True,new,experiments/results/CM_2_2/focused_4/0.onnx,CM,1,9,0
9,1701.0,305.0,2879.0,426.0,2771.0,411.0,222.0,1.0,58.0,101.97,631.0,True,new,experiments/results/CM_2_2/focused_4/0.onnx,CM,1,10,0
10,2047.0,370.0,3397.0,514.0,2196.0,421.0,331.0,1.0,51.0,158.5,753.0,True,new,experiments/results/CM_2_2/focused_4/0.onnx,CM,1,11,0
11,2425.0,440.0,4080.0,614.0,3409.0,445.0,437.0,1.0,61.0,197.19,856.0,True,new,experiments/results/CM_2_2/focused_4/0.onnx,CM,1,12,0
12,2835.0,477.0,4786.0,675.0,4116.0,534.0,519.0,1.0,60.0,211.71,955.0,True,new,experiments/results/CM_2_2/focused_4/0.onnx,CM,1,13,0
13,,,,,,,,,,,,False,new,experiments/results/CM_2_2/focused_4/0.onnx,CM,1,14,0
14,188.0,75.0,332.0,132.0,365.0,60.0,3.0,1.0,73.0,17.7,122.0,True,new,experiments/results/CM_2_2/focused_4/0.onnx,CM,2,1,0
15,1140.0,243.0,2137.0,442.0,1267.0,331.0,5.0,1.0,392.0,135.52,426.0,True,new,experiments/results/CM_2_2/focused_4/0.onnx,CM,2,2,0
16,,,,,,,,,,,,False,new,experiments/results/CM_2_2/focused_4/0.onnx,CM,2,3,0
17,1153.0,355.0,2821.0,922.0,1517.0,251.0,8.0,1.0,763.0,146.58,579.0,True,new,experiments/results/CM_2_2/focused_4/0.onnx,CM,3,1,0
18,,,,,,,,,,,,False,new,experiments/results/CM_2_2/focused_4/0.onnx,CM,3,2,0
19,,,,,,,,,,,,False,new,experiments/results/CM_2_2/focused_4/0.onnx,CM,4,1,0
20,31.0,21.0,39.0,26.0,185.0,4.0,1.0,1.0,4.0,14.99,21.0,True,new,experiments/results/CM_2_2/focused_4/1.onnx,CM,1,1,1
21,85.0,35.0,119.0,44.0,224.0,10.0,5.0,1.0,14.0,17.44,52.0,True,new,experiments/results/CM_2_2/focused_4/1.onnx,CM,1,2,1
22,175.0,53.0,271.0,69.0,298.0,26.0,13.0,1.0,34.0,22.0,101.0,True,new,experiments/results/CM_2_2/focused_4/1.onnx,CM,1,3,1
23,297.0,83.0,486.0,110.0,361.0,45.0,27.0,1.0,62.0,19.01,143.0,True,new,experiments/results/CM_2_2/focused_4/1.onnx,CM,1,4,1
24,451.0,106.0,760.0,142.0,413.0,64.0,47.0,1.0,98.0,38.36,170.0,True,new,experiments/results/CM_2_2/focused_4/1.onnx,CM,1,5,1
25,637.0,146.0,1092.0,197.0,617.0,88.0,66.0,1.0,142.0,69.89,283.0,True,new,experiments/results/CM_2_2/focused_4/1.onnx,CM,1,6,1
26,855.0,188.0,1494.0,254.0,839.0,126.0,87.0,1.0,195.0,126.14,409.0,True,new,experiments/results/CM_2_2/focused_4/1.onnx,CM,1,7,1
27,1105.0,217.0,1975.0,300.0,943.0,172.0,118.0,1.0,255.0,92.58,388.0,True,new,experiments/results/CM_2_2/focused_4/1.onnx,CM,1,8,1
28,1387.0,265.0,2429.0,365.0,1228.0,196.0,158.0,1.0,353.0,17.73,563.0,True,new,experiments/results/CM_2_2/focused_4/1.onnx,CM,1,9,1
29,1701.0,303.0,2996.0,424.0,1611.0,239.0,199.0,1.0,449.0,22.51,778.0,True,new,experiments/results/CM_2_2/focused_4/1.onnx,CM,1,10,1
30,2047.0,362.0,3623.0,508.0,2035.0,293.0,236.0,1.0,550.0,99.43,975.0,True,new,experiments/results/CM_2_2/focused_4/1.onnx,CM,1,11,1
31,2425.0,411.0,4268.0,580.0,2512.0,329.0,274.0,1.0,645.0,70.93,1138.0,True,new,experiments/results/CM_2_2/focused_4/1.onnx,CM,1,12,1
32,2835.0,492.0,5018.0,692.0,3145.0,368.0,339.0,1.0,770.0,21.12,1369.0,True,new,experiments/results/CM_2_2/focused_4/1.onnx,CM,1,13,1
33,3277.0,547.0,5783.0,774.0,3873.0,401.0,415.0,1.0,895.0,127.26,1583.0,True,new,experiments/results/CM_2_2/focused_4/1.onnx,CM,1,14,1
34,3751.0,603.0,6604.0,861.0,4591.0,434.0,475.0,1.0,1027.0,143.41,1798.0,True,new,experiments/results/CM_2_2/focused_4/1.onnx,CM,1,15,1
35,189.0,90.0,332.0,154.0,318.0,20.0,3.0,1.0,92.0,24.48,126.0,True,new,experiments/results/CM_2_2/focused_4/1.onnx,CM,2,1,1
36,1161.0,239.0,2405.0,438.0,1333.0,157.0,87.0,1.0,660.0,140.22,589.0,True,new,experiments/results/CM_2_2/focused_4/1.onnx,CM,2,2,1
37,,,,,,,,,,,,False,new,experiments/results/CM_2_2/focused_4/1.onnx,CM,2,3,1
38,1159.0,355.0,2819.0,922.0,1488.0,209.0,6.0,1.0,749.0,126.52,811.0,True,new,experiments/results/CM_2_2/focused_4/1.onnx,CM,3,1,1
39,,,,,,,,,,,,False,new,experiments/results/CM_2_2/focused_4/1.onnx,CM,3,2,1
40,,,,,,,,,,,,False,new,experiments/results/CM_2_2/focused_4/1.onnx,CM,4,1,1
41,31.0,17.0,41.0,21.0,187.0,9.0,1.0,1.0,2.0,14.99,17.0,True,new,experiments/results/CM_2_2/focused_4/2.onnx,CM,1,1,2
42,85.0,38.0,121.0,47.0,241.0,24.0,4.0,1.0,8.0,17.92,65.0,True,new,experiments/results/CM_2_2/focused_4/2.onnx,CM,1,2,2
43,175.0,53.0,268.0,69.0,292.0,52.0,13.0,1.0,15.0,24.96,90.0,True,new,experiments/results/CM_2_2/focused_4/2.onnx,CM,1,3,2
44,297.0,82.0,470.0,107.0,388.0,86.0,22.0,1.0,23.0,25.98,131.0,True,new,experiments/results/CM_2_2/focused_4/2.onnx,CM,1,4,2
45,451.0,110.0,715.0,146.0,478.0,91.0,31.0,1.0,43.0,44.45,219.0,True,new,experiments/results/CM_2_2/focused_4/2.onnx,CM,1,5,2
46,637.0,147.0,1014.0,196.0,595.0,153.0,29.0,1.0,55.0,79.86,285.0,True,new,experiments/results/CM_2_2/focused_4/2.onnx,CM,1,6,2
47,855.0,177.0,1397.0,241.0,832.0,201.0,85.0,1.0,72.0,21.25,338.0,True,new,experiments/results/CM_2_2/focused_4/2.onnx,CM,1,7,2
48,1105.0,227.0,1812.0,308.0,987.0,207.0,74.0,1.0,90.0,75.66,417.0,True,new,experiments/results/CM_2_2/focused_4/2.onnx,CM,1,8,2
49,1387.0,269.0,2300.0,369.0,1274.0,287.0,105.0,1.0,102.0,121.47,516.0,True,new,experiments/results/CM_2_2/focused_4/2.onnx,CM,1,9,2
50,1701.0,329.0,2800.0,450.0,1452.0,353.0,115.0,1.0,123.0,93.18,659.0,True,new,experiments/results/CM_2_2/focused_4/2.onnx,CM,1,10,2
51,2047.0,418.0,3459.0,575.0,2053.0,431.0,171.0,11.0,143.0,42.68,783.0,True,new,experiments/results/CM_2_2/focused_4/2.onnx,CM,1,11,2
52,2425.0,441.0,4021.0,608.0,2312.0,447.0,134.0,1.0,155.0,114.42,1023.0,True,new,experiments/results/CM_2_2/focused_4/2.onnx,CM,1,12,2
53,2835.0,504.0,4701.0,700.0,2968.0,594.0,181.0,1.0,168.0,64.25,1162.0,True,new,experiments/results/CM_2_2/focused_4/2.onnx,CM,1,13,2
54,3277.0,569.0,5477.0,794.0,4043.0,657.0,255.0,1.0,200.0,43.43,1440.0,True,new,experiments/results/CM_2_2/focused_4/2.onnx,CM,1,14,2
55,,,,,,,,,,,,False,new,experiments/results/CM_2_2/focused_4/2.onnx,CM,1,15,2
56,189.0,75.0,353.0,132.0,377.0,52.0,2.0,1.0,92.0,14.7,144.0,True,new,experiments/results/CM_2_2/focused_4/2.onnx,CM,2,1,2
57,1161.0,221.0,2318.0,413.0,1357.0,303.0,28.0,1.0,679.0,18.52,619.0,True,new,experiments/results/CM_2_2/focused_4/2.onnx,CM,2,2,2
58,,,,,,,,,,,,False,new,experiments/results/CM_2_2/focused_4/2.onnx,CM,2,3,2
59,1159.0,355.0,2861.0,922.0,1793.0,363.0,0.0,1.0,862.0,93.0,765.0,True,new,experiments/results/CM_2_2/focused_4/2.onnx,CM,3,1,2
60,,,,,,,,,,,,False,new,experiments/results/CM_2_2/focused_4/2.onnx,CM,3,2,2
61,,,,,,,,,,,,False,new,experiments/results/CM_2_2/focused_4/2.onnx,CM,4,1,2
62,31.0,17.0,42.0,21.0,198.0,9.0,0.0,1.0,2.0,14.99,28.0,True,new,experiments/results/CM_2_2/focused_4/3.onnx,CM,1,1,3
63,85.0,38.0,119.0,47.0,222.0,19.0,4.0,1.0,6.0,17.92,49.0,True,new,experiments/results/CM_2_2/focused_4/3.onnx,CM,1,2,3
64,175.0,60.0,257.0,76.0,283.0,43.0,6.0,1.0,10.0,23.92,87.0,True,new,experiments/results/CM_2_2/focused_4/3.onnx,CM,1,3,3
65,297.0,82.0,470.0,107.0,426.0,89.0,15.0,1.0,14.0,32.09,172.0,True,new,experiments/results/CM_2_2/focused_4/3.onnx,CM,1,4,3
66,451.0,110.0,743.0,146.0,503.0,117.0,26.0,1.0,42.0,65.4,170.0,True,new,experiments/results/CM_2_2/focused_4/3.onnx,CM,1,5,3
67,637.0,147.0,1065.0,196.0,669.0,169.0,53.0,1.0,47.0,106.44,244.0,True,new,experiments/results/CM_2_2/focused_4/3.onnx,CM,1,6,3
68,855.0,188.0,1448.0,252.0,929.0,211.0,66.0,1.0,75.0,60.86,326.0,True,new,experiments/results/CM_2_2/focused_4/3.onnx,CM,1,7,3
