,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),heuristic time(ms),OutOfMem,algorithm,heuristic,problem,n,k,idx
0,21.0,17.0,26.0,21.0,187.0,4.0,0.0,1.0,0.0,15.5,23.0,False,new,experiments/results/CM_2_2/pathLabels/5.onnx,CM,1,1,5
1,45.0,33.0,56.0,42.0,225.0,8.0,2.0,1.0,0.0,16.48,55.0,False,new,experiments/results/CM_2_2/pathLabels/5.onnx,CM,1,2,5
2,94.0,53.0,131.0,69.0,246.0,20.0,6.0,5.0,2.0,18.96,76.0,False,new,experiments/results/CM_2_2/pathLabels/5.onnx,CM,1,3,5
3,193.0,75.0,267.0,98.0,317.0,23.0,26.0,12.0,7.0,24.0,126.0,False,new,experiments/results/CM_2_2/pathLabels/5.onnx,CM,1,4,5
4,312.0,117.0,444.0,155.0,389.0,66.0,26.0,18.0,11.0,25.1,165.0,False,new,experiments/results/CM_2_2/pathLabels/5.onnx,CM,1,5,5
5,249.0,111.0,342.0,147.0,363.0,34.0,31.0,4.0,1.0,17.4,157.0,False,new,experiments/results/CM_2_2/pathLabels/5.onnx,CM,1,6,5
6,484.0,159.0,705.0,212.0,536.0,126.0,29.0,31.0,5.0,69.49,253.0,False,new,experiments/results/CM_2_2/pathLabels/5.onnx,CM,1,7,5
7,866.0,225.0,1304.0,309.0,955.0,157.0,108.0,115.0,15.0,18.38,568.0,False,new,experiments/results/CM_2_2/pathLabels/5.onnx,CM,1,8,5
8,1383.0,231.0,2397.0,313.0,2546.0,547.0,120.0,243.0,34.0,94.56,1619.0,False,new,experiments/results/CM_2_2/pathLabels/5.onnx,CM,1,9,5
9,1688.0,285.0,2972.0,393.0,3629.0,587.0,376.0,145.0,37.0,129.0,2132.0,False,new,experiments/results/CM_2_2/pathLabels/5.onnx,CM,1,10,5
10,1612.0,315.0,2488.0,437.0,2466.0,311.0,314.0,133.0,23.0,124.96,1736.0,False,new,experiments/results/CM_2_2/pathLabels/5.onnx,CM,1,11,5
11,1732.0,375.0,2562.0,509.0,2969.0,330.0,239.0,176.0,14.0,61.16,1889.0,False,new,experiments/results/CM_2_2/pathLabels/5.onnx,CM,1,12,5
12,,,,,,,,,,,,False,new,experiments/results/CM_2_2/pathLabels/5.onnx,CM,1,13,5
13,152.0,90.0,264.0,154.0,326.0,23.0,3.0,1.0,48.0,22.96,139.0,False,new,experiments/results/CM_2_2/pathLabels/5.onnx,CM,2,1,5
14,489.0,221.0,817.0,413.0,619.0,116.0,7.0,1.0,160.0,66.39,322.0,False,new,experiments/results/CM_2_2/pathLabels/5.onnx,CM,2,2,5
15,,,,,,,,,,,,False,new,experiments/results/CM_2_2/pathLabels/5.onnx,CM,2,3,5
16,960.0,355.0,2340.0,922.0,1327.0,192.0,6.0,1.0,450.0,121.89,816.0,False,new,experiments/results/CM_2_2/pathLabels/5.onnx,CM,3,1,5
17,,,,,,,,,,,,False,new,experiments/results/CM_2_2/pathLabels/5.onnx,CM,3,2,5
18,,,,,,,,,,,,False,new,experiments/results/CM_2_2/pathLabels/5.onnx,CM,4,1,5
19,24.0,17.0,31.0,21.0,184.0,7.0,1.0,1.0,0.0,15.5,23.0,False,new,experiments/results/CM_2_2/pathLabels/7.onnx,CM,1,1,7
20,44.0,33.0,57.0,42.0,215.0,10.0,3.0,1.0,0.0,16.48,49.0,False,new,experiments/results/CM_2_2/pathLabels/7.onnx,CM,1,2,7
21,69.0,51.0,89.0,66.0,231.0,14.0,4.0,1.0,0.0,18.48,56.0,False,new,experiments/results/CM_2_2/pathLabels/7.onnx,CM,1,3,7
22,168.0,69.0,227.0,90.0,313.0,25.0,26.0,5.0,4.0,26.48,112.0,False,new,experiments/results/CM_2_2/pathLabels/7.onnx,CM,1,4,7
23,174.0,103.0,249.0,137.0,325.0,46.0,20.0,5.0,2.0,15.02,111.0,False,new,experiments/results/CM_2_2/pathLabels/7.onnx,CM,1,5,7
24,571.0,135.0,851.0,183.0,574.0,47.0,111.0,28.0,15.0,63.23,275.0,False,new,experiments/results/CM_2_2/pathLabels/7.onnx,CM,1,6,7
25,773.0,153.0,1174.0,203.0,899.0,99.0,120.0,43.0,16.0,17.8,418.0,False,new,experiments/results/CM_2_2/pathLabels/7.onnx,CM,1,7,7
26,845.0,199.0,1248.0,270.0,756.0,64.0,111.0,50.0,14.0,91.47,456.0,False,new,experiments/results/CM_2_2/pathLabels/7.onnx,CM,1,8,7
27,1051.0,249.0,1555.0,343.0,866.0,47.0,130.0,60.0,15.0,115.63,538.0,False,new,experiments/results/CM_2_2/pathLabels/7.onnx,CM,1,9,7
28,1535.0,307.0,2638.0,423.0,3053.0,436.0,237.0,158.0,29.0,81.57,1671.0,False,new,experiments/results/CM_2_2/pathLabels/7.onnx,CM,1,10,7
29,1605.0,269.0,2494.0,360.0,2883.0,229.0,309.0,92.0,24.0,150.61,1127.0,False,new,experiments/results/CM_2_2/pathLabels/7.onnx,CM,1,11,7
