,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),heuristic time(ms),algorithm,heuristic,problem,n,k,training time,training steps,eta,nnsize,epsilon,nfeatures,ra feature,avg q,idx,ra 1,ra 2,controllable,depth,state unexplorability,state marked,child marked,child goal,child error,child none,child deadlock,uncontrollability child,unexplorability child
0,1261.0,245.0,2454.0,446.0,1264.0,182.0,111.0,1.0,796.0,93.99,374.0,new,ra_feature0,CM,2,2,14.813656091690063,10000,1e-06,20,0.1,13,True,0.077504255,0,0.6102464,0.3555783,-1.9945726,3.410552,-1.042929,-0.22825427,0.86648285,9.890646e-07,0.89269423,0.37799186,0.06600455,-0.5702379,0.45937845
1,,,,,,,,,,,,new,ra_feature0,CM,3,3,14.813656091690063,10000,1e-06,20,0.1,13,True,0.077504255,0,0.6102464,0.3555783,-1.9945726,3.410552,-1.042929,-0.22825427,0.86648285,9.890646e-07,0.89269423,0.37799186,0.06600455,-0.5702379,0.45937845
2,1213.0,221.0,2386.0,413.0,1373.0,188.0,137.0,1.0,733.0,25.22,395.0,new,ra_feature1,CM,2,2,30.121365070343018,20000,1e-06,20,0.1,13,True,-0.45608094,1,0.22879003,0.16694617,-1.9719608,3.5447688,-1.4326702,-0.3577373,0.88330245,9.834766e-07,0.61382824,0.2431376,0.001997888,-0.93614644,0.048326492
3,,,,,,,,,,,,new,ra_feature1,CM,3,3,30.121365070343018,20000,1e-06,20,0.1,13,True,-0.45608094,1,0.22879003,0.16694617,-1.9719608,3.5447688,-1.4326702,-0.3577373,0.88330245,9.834766e-07,0.61382824,0.2431376,0.001997888,-0.93614644,0.048326492
4,1284.0,232.0,2486.0,433.0,1415.0,314.0,32.0,17.0,797.0,149.55,444.0,new,ra_feature2,CM,2,2,46.3064501285553,30000,1e-06,20,0.1,13,True,-1.0140966,2,-0.09709112,-0.077047706,-1.8203132,3.1765294,-1.7074984,-0.4203509,0.82903016,9.536743e-07,0.2684443,0.032616794,-0.025418865,-1.1605898,-0.37823734
5,,,,,,,,,,,,new,ra_feature2,CM,3,3,46.3064501285553,30000,1e-06,20,0.1,13,True,-1.0140966,2,-0.09709112,-0.077047706,-1.8203132,3.1765294,-1.7074984,-0.4203509,0.82903016,9.536743e-07,0.2684443,0.032616794,-0.025418865,-1.1605898,-0.37823734
6,1243.0,232.0,2398.0,433.0,1547.0,298.0,46.0,7.0,746.0,79.73,511.0,new,ra_feature3,CM,2,2,62.41770052909851,40000,1e-06,20,0.1,13,True,-1.6659142,3,-0.33937746,-0.2635132,-1.6371717,2.645671,-1.841598,-0.43717057,0.6658358,7.748604e-07,-0.0813417,-0.19645399,0.009218207,-1.2706063,-0.75561494
7,,,,,,,,,,,,new,ra_feature3,CM,3,3,62.41770052909851,40000,1e-06,20,0.1,13,True,-1.6659142,3,-0.33937746,-0.2635132,-1.6371717,2.645671,-1.841598,-0.43717057,0.6658358,7.748604e-07,-0.0813417,-0.19645399,0.009218207,-1.2706063,-0.75561494
8,1266.0,232.0,2470.0,433.0,1499.0,308.0,48.0,7.0,773.0,90.05,480.0,new,ra_feature4,CM,2,2,78.886399269104,50000,1e-06,20,0.1,13,True,-2.4640377,4,-0.47019285,-0.3449639,-1.5148913,2.0399036,-1.8898385,-0.41728434,0.5133353,5.9604645e-07,-0.29014736,-0.36275685,0.04712148,-1.3422431,-0.9866292
9,,,,,,,,,,,,new,ra_feature4,CM,3,3,78.886399269104,50000,1e-06,20,0.1,13,True,-2.4640377,4,-0.47019285,-0.3449639,-1.5148913,2.0399036,-1.8898385,-0.41728434,0.5133353,5.9604645e-07,-0.29014736,-0.36275685,0.04712148,-1.3422431,-0.9866292
10,1266.0,232.0,2468.0,433.0,1525.0,298.0,49.0,7.0,769.0,86.91,516.0,new,ra_feature5,CM,2,2,95.81880807876587,60000,1e-06,20,0.1,13,True,-3.4380915,5,-0.5336248,-0.3515997,-1.4668651,1.4760923,-1.891482,-0.39109817,0.37915385,3.5762787e-07,-0.4092421,-0.4930402,0.041993067,-1.4178982,-1.1290361
11,,,,,,,,,,,,new,ra_feature5,CM,3,3,95.81880807876587,60000,1e-06,20,0.1,13,True,-3.4380915,5,-0.5336248,-0.3515997,-1.4668651,1.4760923,-1.891482,-0.39109817,0.37915385,3.5762787e-07,-0.4092421,-0.4930402,0.041993067,-1.4178982,-1.1290361
12,1264.0,232.0,2461.0,433.0,1456.0,301.0,50.0,7.0,771.0,64.19,519.0,new,ra_feature6,CM,2,2,112.36593294143677,70000,1e-06,20,0.1,13,True,-4.6364493,6,-0.57166404,-0.35133785,-1.4470925,1.0978291,-1.9188105,-0.35245785,0.2906308,1.1920929e-07,-0.47523898,-0.59227425,0.0032723155,-1.4412311,-1.2084291
13,,,,,,,,,,,,new,ra_feature6,CM,3,3,112.36593294143677,70000,1e-06,20,0.1,13,True,-4.6364493,6,-0.57166404,-0.35133785,-1.4470925,1.0978291,-1.9188105,-0.35245785,0.2906308,1.1920929e-07,-0.47523898,-0.59227425,0.0032723155,-1.4412311,-1.2084291
14,1240.0,232.0,2387.0,433.0,1731.0,313.0,44.0,7.0,735.0,59.21,636.0,new,ra_feature7,CM,2,2,129.25992846488953,80000,1e-06,20,0.1,13,True,-6.1056657,7,-0.60229474,-0.36775607,-1.4493048,0.8416684,-1.9344269,-0.31437665,0.22752623,2.3841858e-07,-0.5264964,-0.6782993,-0.038076088,-1.4295682,-1.2585566
15,,,,,,,,,,,,new,ra_feature7,CM,3,3,129.25992846488953,80000,1e-06,20,0.1,13,True,-6.1056657,7,-0.60229474,-0.36775607,-1.4493048,0.8416684,-1.9344269,-0.31437665,0.22752623,2.3841858e-07,-0.5264964,-0.6782993,-0.038076088,-1.4295682,-1.2585566
16,1240.0,232.0,2387.0,433.0,1476.0,312.0,45.0,7.0,738.0,62.92,475.0,new,ra_feature8,CM,2,2,146.16263270378113,90000,1e-06,20,0.1,13,True,-7.7832,8,-0.5967066,-0.40583485,-1.46555,0.6090845,-1.9650551,-0.28893498,0.18356922,0.0,-0.5757868,-0.76807725,-0.07333791,-1.4406289,-1.3155282
17,,,,,,,,,,,,new,ra_feature8,CM,3,3,146.16263270378113,90000,1e-06,20,0.1,13,True,-7.7832,8,-0.5967066,-0.40583485,-1.46555,0.6090845,-1.9650551,-0.28893498,0.18356922,0.0,-0.5757868,-0.76807725,-0.07333791,-1.4406289,-1.3155282
18,1240.0,232.0,2383.0,433.0,1653.0,315.0,35.0,7.0,732.0,100.04,609.0,new,ra_feature9,CM,2,2,163.16434049606323,100000,1e-06,20,0.1,13,True,-9.689697,9,-0.5990559,-0.45293814,-1.4832864,0.37266257,-1.9836984,-0.26640084,0.14673032,2.3841858e-07,-0.62507063,-0.85482025,-0.113977686,-1.4627615,-1.3610866
19,,,,,,,,,,,,new,ra_feature9,CM,3,3,163.16434049606323,100000,1e-06,20,0.1,13,True,-9.689697,9,-0.5990559,-0.45293814,-1.4832864,0.37266257,-1.9836984,-0.26640084,0.14673032,2.3841858e-07,-0.62507063,-0.85482025,-0.113977686,-1.4627615,-1.3610866
20,1264.0,232.0,2453.0,433.0,1665.0,309.0,35.0,7.0,768.0,120.03,616.0,new,ra_feature10,CM,2,2,179.6188027858734,110000,1e-06,20,0.1,13,True,-11.85666,10,-0.5919074,-0.50678504,-1.5060949,0.17274961,-2.0063176,-0.24848151,0.1196987,1.1920929e-07,-0.6805417,-0.9431996,-0.15969545,-1.4947609,-1.4086725
21,,,,,,,,,,,,new,ra_feature10,CM,3,3,179.6188027858734,110000,1e-06,20,0.1,13,True,-11.85666,10,-0.5919074,-0.50678504,-1.5060949,0.17274961,-2.0063176,-0.24848151,0.1196987,1.1920929e-07,-0.6805417,-0.9431996,-0.15969545,-1.4947609,-1.4086725
22,1264.0,232.0,2453.0,433.0,1812.0,312.0,34.0,7.0,771.0,104.92,706.0,new,ra_feature11,CM,2,2,196.43420338630676,120000,1e-06,20,0.1,13,True,-14.339986,11,-0.59370005,-0.5607381,-1.5208123,0.029646639,-2.0170805,-0.23456189,0.097116575,-1.1920929e-07,-0.7364201,-1.0284375,-0.20876397,-1.5301812,-1.4588425
23,,,,,,,,,,,,new,ra_feature11,CM,3,3,196.43420338630676,120000,1e-06,20,0.1,13,True,-14.339986,11,-0.59370005,-0.5607381,-1.5208123,0.029646639,-2.0170805,-0.23456189,0.097116575,-1.1920929e-07,-0.7364201,-1.0284375,-0.20876397,-1.5301812,-1.4588425
24,1264.0,232.0,2453.0,433.0,1667.0,313.0,34.0,7.0,771.0,106.02,667.0,new,ra_feature12,CM,2,2,213.27046418190002,130000,1e-06,20,0.1,13,True,-16.979057,12,-0.6016937,-0.60531723,-1.5322092,-0.037541863,-2.022282,-0.22680064,0.07704992,-2.3841858e-07,-0.80217725,-1.1111919,-0.2638456,-1.5713236,-1.5086582
25,,,,,,,,,,,,new,ra_feature12,CM,3,3,213.27046418190002,130000,1e-06,20,0.1,13,True,-16.979057,12,-0.6016937,-0.60531723,-1.5322092,-0.037541863,-2.022282,-0.22680064,0.07704992,-2.3841858e-07,-0.80217725,-1.1111919,-0.2638456,-1.5713236,-1.5086582
26,1264.0,232.0,2453.0,433.0,1647.0,308.0,37.0,7.0,778.0,119.76,686.0,new,ra_feature13,CM,2,2,230.25335669517517,140000,1e-06,20,0.1,13,True,-19.700865,13,-0.5986958,-0.6635909,-1.5550079,-0.0849424,-2.057407,-0.22749096,0.0608034,0.0,-0.88943523,-1.2494621,-0.32947633,-1.6580846,-1.569414
27,,,,,,,,,,,,new,ra_feature13,CM,3,3,230.25335669517517,140000,1e-06,20,0.1,13,True,-19.700865,13,-0.5986958,-0.6635909,-1.5550079,-0.0849424,-2.057407,-0.22749096,0.0608034,0.0,-0.88943523,-1.2494621,-0.32947633,-1.6580846,-1.569414
28,1269.0,244.0,2468.0,453.0,1639.0,306.0,45.0,7.0,776.0,115.91,630.0,new,ra_feature14,CM,2,2,247.19862914085388,150000,1e-06,20,0.1,13,True,-22.52352,14,-0.58949,-0.728428,-1.5781415,-0.12628424,-2.0810418,-0.2298719,0.04616663,0.0,-0.98276347,-1.3867133,-0.39943746,-1.7529335,-1.6412799
29,,,,,,,,,,,,new,ra_feature14,CM,3,3,247.19862914085388,150000,1e-06,20,0.1,13,True,-22.52352,14,-0.58949,-0.728428,-1.5781415,-0.12628424,-2.0810418,-0.2298719,0.04616663,0.0,-0.98276347,-1.3867133,-0.39943746,-1.7529335,-1.6412799
30,1226.0,244.0,2379.0,453.0,1290.0,303.0,31.0,7.0,791.0,108.78,475.0,new,ra_feature15,CM,2,2,264.7374424934387,160000,1e-06,20,0.1,13,True,-25.262642,15,-0.5624037,-0.8131363,-1.6050878,-0.15915368,-2.1297815,-0.23962681,0.033291247,-2.3841858e-07,-1.1044196,-1.5764897,-0.48372546,-1.8948003,-1.7371098
31,,,,,,,,,,,,new,ra_feature15,CM,3,3,264.7374424934387,160000,1e-06,20,0.1,13,True,-25.262642,15,-0.5624037,-0.8131363,-1.6050878,-0.15915368,-2.1297815,-0.23962681,0.033291247,-2.3841858e-07,-1.1044196,-1.5764897,-0.48372546,-1.8948003,-1.7371098
32,1187.0,268.0,2278.0,494.0,1380.0,313.0,25.0,9.0,740.0,33.06,500.0,new,ra_feature16,CM,2,2,282.03621554374695,170000,1e-06,20,0.1,13,True,-28.106836,16,-0.564249,-0.8931248,-1.609737,-0.18409108,-2.151563,-0.24941163,0.0180173,-2.3841858e-07,-1.2251294,-1.7772912,-0.56340367,-2.0400906,-1.8321977
33,,,,,,,,,,,,new,ra_feature16,CM,3,3,282.03621554374695,170000,1e-06,20,0.1,13,True,-28.106836,16,-0.564249,-0.8931248,-1.609737,-0.18409108,-2.151563,-0.24941163,0.0180173,-2.3841858e-07,-1.2251294,-1.7772912,-0.56340367,-2.0400906,-1.8321977
34,1204.0,268.0,2295.0,494.0,1376.0,250.0,26.0,8.0,785.0,134.81,546.0,new,ra_feature17,CM,2,2,299.00456833839417,180000,1e-06,20,0.1,13,True,-31.25644,17,-0.55010927,-0.97876686,-1.6365334,-0.20533663,-2.1708484,-0.25840163,0.0034547932,0.0,-1.3575144,-2.0222127,-0.6508251,-2.186156,-1.8956602
35,,,,,,,,,,,,new,ra_feature17,CM,3,3,299.00456833839417,180000,1e-06,20,0.1,13,True,-31.25644,17,-0.55010927,-0.97876686,-1.6365334,-0.20533663,-2.1708484,-0.25840163,0.0034547932,0.0,-1.3575144,-2.0222127,-0.6508251,-2.186156,-1.8956602
36,1256.0,263.0,2380.0,486.0,1644.0,237.0,29.0,7.0,850.0,141.08,723.0,new,ra_feature18,CM,2,2,315.401602268219,190000,1e-06,20,0.1,13,True,-34.06165,18,-0.5313957,-1.0920367,-1.6252855,-0.23027095,-2.1898048,-0.27561355,-0.011211928,0.0,-1.517789,-2.3473916,-0.7571388,-2.3992,-1.9721566
37,,,,,,,,,,,,new,ra_feature18,CM,3,3,315.401602268219,190000,1e-06,20,0.1,13,True,-34.06165,18,-0.5313957,-1.0920367,-1.6252855,-0.23027095,-2.1898048,-0.27561355,-0.011211928,0.0,-1.517789,-2.3473916,-0.7571388,-2.3992,-1.9721566
38,1251.0,263.0,2363.0,486.0,1400.0,222.0,32.0,11.0,843.0,124.95,559.0,new,ra_feature19,CM,2,2,334.48322343826294,200000,1e-06,20,0.1,13,True,-37.619957,19,-0.5283194,-1.175766,-1.5963421,-0.2600234,-2.1642082,-0.28360692,-0.025838727,-4.7683716e-07,-1.6575162,-2.5669425,-0.84649837,-2.5692842,-2.0602555
39,,,,,,,,,,,,new,ra_feature19,CM,3,3,334.48322343826294,200000,1e-06,20,0.1,13,True,-37.619957,19,-0.5283194,-1.175766,-1.5963421,-0.2600234,-2.1642082,-0.28360692,-0.025838727,-4.7683716e-07,-1.6575162,-2.5669425,-0.84649837,-2.5692842,-2.0602555
40,1271.0,267.0,2399.0,493.0,1358.0,238.0,43.0,9.0,851.0,142.7,508.0,new,ra_feature20,CM,2,2,352.87435388565063,210000,1e-06,20,0.1,13,True,-41.389153,20,-0.5235005,-1.2579174,-1.5610774,-0.28376663,-2.1250038,-0.2910667,-0.0415472,2.3841858e-07,-1.8024437,-2.7706294,-0.9384418,-2.7333355,-2.1594107
41,,,,,,,,,,,,new,ra_feature20,CM,3,3,352.87435388565063,210000,1e-06,20,0.1,13,True,-41.389153,20,-0.5235005,-1.2579174,-1.5610774,-0.28376663,-2.1250038,-0.2910667,-0.0415472,2.3841858e-07,-1.8024437,-2.7706294,-0.9384418,-2.7333355,-2.1594107
42,1273.0,265.0,2393.0,488.0,1364.0,210.0,33.0,9.0,866.0,106.86,567.0,new,ra_feature21,CM,2,2,371.07183265686035,220000,1e-06,20,0.1,13,True,-45.791683,21,-0.5250203,-1.3351938,-1.5180861,-0.30691355,-2.0712948,-0.2956334,-0.057445794,0.0,-1.9386768,-2.9491506,-1.0248225,-2.8947287,-2.2869825
43,,,,,,,,,,,,new,ra_feature21,CM,3,3,371.07183265686035,220000,1e-06,20,0.1,13,True,-45.791683,21,-0.5250203,-1.3351938,-1.5180861,-0.30691355,-2.0712948,-0.2956334,-0.057445794,0.0,-1.9386768,-2.9491506,-1.0248225,-2.8947287,-2.2869825
44,1255.0,265.0,2377.0,488.0,1568.0,234.0,44.0,9.0,835.0,147.71,622.0,new,ra_feature22,CM,2,2,389.02906370162964,230000,1e-06,20,0.1,13,True,-50.491444,22,-0.5038588,-1.4245688,-1.4862251,-0.33160555,-2.0352936,-0.30197543,-0.073839135,-2.3841858e-07,-2.118196,-3.1277776,-1.128797,-3.0786018,-2.4436162
45,,,,,,,,,,,,new,ra_feature22,CM,3,3,389.02906370162964,230000,1e-06,20,0.1,13,True,-50.491444,22,-0.5038588,-1.4245688,-1.4862251,-0.33160555,-2.0352936,-0.30197543,-0.073839135,-2.3841858e-07,-2.118196,-3.1277776,-1.128797,-3.0786018,-2.4436162
46,1267.0,268.0,2386.0,494.0,1539.0,206.0,43.0,11.0,843.0,114.71,661.0,new,ra_feature23,CM,2,2,408.72186517715454,240000,1e-06,20,0.1,13,True,-55.814976,23,-0.4869143,-1.5054951,-1.4524724,-0.3561817,-1.9809375,-0.30498603,-0.09253593,-4.7683716e-07,-2.2742562,-3.2985988,-1.2198411,-3.2247324,-2.597176
47,,,,,,,,,,,,new,ra_feature23,CM,3,3,408.72186517715454,240000,1e-06,20,0.1,13,True,-55.814976,23,-0.4869143,-1.5054951,-1.4524724,-0.3561817,-1.9809375,-0.30498603,-0.09253593,-4.7683716e-07,-2.2742562,-3.2985988,-1.2198411,-3.2247324,-2.597176
48,1278.0,263.0,2408.0,486.0,1393.0,217.0,21.0,1.0,898.0,20.46,537.0,new,ra_feature24,CM,2,2,426.0102210044861,250000,1e-06,20,0.1,13,True,-60.684013,24,-0.44468454,-1.6128907,-1.3864167,-0.38485014,-1.9244142,-0.31346807,-0.11263789,-2.3841858e-07,-2.482686,-3.5243986,-1.3347722,-3.4584806,-2.8082702
49,,,,,,,,,,,,new,ra_feature24,CM,3,3,426.0102210044861,250000,1e-06,20,0.1,13,True,-60.684013,24,-0.44468454,-1.6128907,-1.3864167,-0.38485014,-1.9244142,-0.31346807,-0.11263789,-2.3841858e-07,-2.482686,-3.5243986,-1.3347722,-3.4584806,-2.8082702
50,1286.0,263.0,2415.0,486.0,1661.0,220.0,23.0,1.0,921.0,112.15,696.0,new,ra_feature25,CM,2,2,444.36923146247864,260000,1e-06,20,0.1,13,True,-66.526474,25,-0.40732753,-1.712406,-1.348112,-0.4084749,-1.8619019,-0.31677568,-0.13010967,-4.7683716e-07,-2.6898348,-3.7080867,-1.4483851,-3.6482642,-2.9987426
51,,,,,,,,,,,,new,ra_feature25,CM,3,3,444.36923146247864,260000,1e-06,20,0.1,13,True,-66.526474,25,-0.40732753,-1.712406,-1.348112,-0.4084749,-1.8619019,-0.31677568,-0.13010967,-4.7683716e-07,-2.6898348,-3.7080867,-1.4483851,-3.6482642,-2.9987426
52,1263.0,263.0,2389.0,486.0,1474.0,242.0,27.0,1.0,865.0,52.27,589.0,new,ra_feature26,CM,2,2,462.69325852394104,270000,1e-06,20,0.1,13,True,-73.306625,26,-0.41321403,-1.7829725,-1.3029912,-0.42973477,-1.7842511,-0.31494313,-0.14539509,-7.1525574e-07,-2.8472717,-3.8385634,-1.5327666,-3.7986867,-3.16808
53,,,,,,,,,,,,new,ra_feature26,CM,3,3,462.69325852394104,270000,1e-06,20,0.1,13,True,-73.306625,26,-0.41321403,-1.7829725,-1.3029912,-0.42973477,-1.7842511,-0.31494313,-0.14539509,-7.1525574e-07,-2.8472717,-3.8385634,-1.5327666,-3.7986867,-3.16808
54,1271.0,263.0,2411.0,486.0,1471.0,230.0,35.0,1.0,871.0,43.13,558.0,new,ra_feature27,CM,2,2,484.4713532924652,280000,1e-06,20,0.1,13,True,-80.11091,27,-0.41721308,-1.868749,-1.2408401,-0.4518003,-1.6914028,-0.3144944,-0.16234158,-9.536743e-07,-3.0362053,-3.9941173,-1.640104,-3.9698944,-3.3626196
55,,,,,,,,,,,,new,ra_feature27,CM,3,3,484.4713532924652,280000,1e-06,20,0.1,13,True,-80.11091,27,-0.41721308,-1.868749,-1.2408401,-0.4518003,-1.6914028,-0.3144944,-0.16234158,-9.536743e-07,-3.0362053,-3.9941173,-1.640104,-3.9698944,-3.3626196
