,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),heuristic time(ms),OutOfMem,algorithm,heuristic,problem,n,k
0,31.0,20.0,42.0,24.0,31.0,7.0,2.0,1.0,4.0,10.48,4.0,False,new,mock,CM,1,1
1,71.0,33.0,101.0,42.0,48.0,14.0,8.0,1.0,6.0,11.92,3.0,False,new,mock,CM,1,2
2,145.0,58.0,220.0,74.0,67.0,40.0,11.0,1.0,10.0,18.96,5.0,False,new,mock,CM,1,3
3,232.0,82.0,374.0,107.0,113.0,57.0,47.0,1.0,16.0,16.1,6.0,False,new,mock,CM,1,4
4,381.0,107.0,618.0,143.0,189.0,80.0,81.0,1.0,23.0,59.21,14.0,False,new,mock,CM,1,5
5,541.0,137.0,922.0,186.0,426.0,155.0,108.0,1.0,29.0,74.07,18.0,False,new,mock,CM,1,6
6,692.0,179.0,1191.0,243.0,723.0,234.0,118.0,1.0,31.0,13.99,15.0,False,new,mock,CM,1,7
7,1000.0,217.0,1770.0,298.0,1445.0,384.0,170.0,1.0,39.0,48.93,13.0,False,new,mock,CM,1,8
8,1132.0,260.0,2020.0,360.0,1892.0,416.0,215.0,1.0,43.0,79.22,12.0,False,new,mock,CM,1,9
9,1473.0,308.0,2654.0,429.0,3486.0,597.0,235.0,1.0,55.0,177.59,17.0,False,new,mock,CM,1,10
10,1573.0,357.0,2830.0,501.0,4377.0,583.0,323.0,1.0,57.0,299.99,19.0,False,new,mock,CM,1,11
11,2243.0,423.0,4107.0,592.0,8535.0,956.0,369.0,1.0,69.0,261.37,24.0,False,new,mock,CM,1,12
12,2434.0,481.0,4466.0,677.0,12228.0,1052.0,401.0,1.0,75.0,315.06,34.0,False,new,mock,CM,1,13
13,2786.0,550.0,5151.0,775.0,16999.0,1164.0,565.0,1.0,74.0,136.42,25.0,False,new,mock,CM,1,14
14,3227.0,620.0,6000.0,876.0,26065.0,1301.0,702.0,1.0,78.0,172.11,36.0,False,new,mock,CM,1,15
15,189.0,75.0,348.0,132.0,93.0,60.0,2.0,1.0,84.0,26.96,9.0,False,new,mock,CM,2,1
16,1155.0,243.0,2352.0,442.0,796.0,315.0,105.0,1.0,572.0,46.89,36.0,False,new,mock,CM,2,2
17,4866.0,504.0,10968.0,946.0,15315.0,2121.0,455.0,1.0,2200.0,237.55,133.0,False,new,mock,CM,2,3
18,14958.0,806.0,36103.0,1583.0,248646.0,7832.0,2054.0,1.0,6029.0,137.11,1141.0,False,new,mock,CM,2,4
19,,,,,,,,,,,,False,new,mock,CM,2,5
20,1146.0,355.0,2823.0,922.0,1100.0,474.0,3.0,1.0,764.0,101.32,43.0,False,new,mock,CM,3,1
21,14950.0,1681.0,42159.0,4741.0,152912.0,5107.0,1406.0,1.0,12517.0,115.83,1560.0,False,new,mock,CM,3,2
22,,,,,,,,,,,,False,new,mock,CM,3,3
23,7145.0,1787.0,22390.0,6620.0,43407.0,3689.0,19.0,1.0,5572.0,77.59,628.0,False,new,mock,CM,4,1
24,,,,,,,,,,,,False,new,mock,CM,4,2
25,,,,,,,,,,,,False,new,mock,CM,5,1
