,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),heuristic time(ms),OutOfMem,algorithm,heuristic,problem,n,k,idx
0,31.0,17.0,42.0,21.0,423.0,8.0,0.0,1.0,4.0,19.68,26.0,True,new,experiments/results/CM_2_2/rmsprop/0.onnx,CM,1,1,0
1,85.0,33.0,124.0,42.0,267.0,12.0,12.0,1.0,14.0,21.7,74.0,True,new,experiments/results/CM_2_2/rmsprop/0.onnx,CM,1,2,0
2,175.0,59.0,267.0,76.0,285.0,43.0,10.0,1.0,34.0,28.66,93.0,True,new,experiments/results/CM_2_2/rmsprop/0.onnx,CM,1,3,0
3,297.0,75.0,486.0,99.0,407.0,84.0,37.0,1.0,62.0,38.46,153.0,True,new,experiments/results/CM_2_2/rmsprop/0.onnx,CM,1,4,0
4,451.0,123.0,731.0,165.0,567.0,106.0,61.0,10.0,98.0,87.62,237.0,True,new,experiments/results/CM_2_2/rmsprop/0.onnx,CM,1,5,0
5,637.0,119.0,1112.0,159.0,774.0,158.0,137.0,2.0,142.0,153.66,276.0,True,new,experiments/results/CM_2_2/rmsprop/0.onnx,CM,1,6,0
6,855.0,187.0,1507.0,253.0,1065.0,185.0,220.0,1.0,194.0,122.15,387.0,True,new,experiments/results/CM_2_2/rmsprop/0.onnx,CM,1,7,0
7,1105.0,211.0,1944.0,283.0,1337.0,315.0,224.0,2.0,254.0,83.54,398.0,True,new,experiments/results/CM_2_2/rmsprop/0.onnx,CM,1,8,0
8,1387.0,205.0,2500.0,279.0,1987.0,317.0,401.0,2.0,322.0,103.34,628.0,True,new,experiments/results/CM_2_2/rmsprop/0.onnx,CM,1,9,0
9,1701.0,282.0,2954.0,382.0,2025.0,198.0,568.0,20.0,398.0,54.16,707.0,True,new,experiments/results/CM_2_2/rmsprop/0.onnx,CM,1,10,0
10,2047.0,367.0,3713.0,506.0,3112.0,448.0,664.0,5.0,482.0,195.31,869.0,True,new,experiments/results/CM_2_2/rmsprop/0.onnx,CM,1,11,0
11,2425.0,355.0,4471.0,483.0,3942.0,473.0,896.0,6.0,574.0,36.77,971.0,True,new,experiments/results/CM_2_2/rmsprop/0.onnx,CM,1,12,0
12,,,,,,,,,,,,False,new,experiments/results/CM_2_2/rmsprop/0.onnx,CM,1,13,0
13,189.0,90.0,290.0,154.0,335.0,52.0,0.0,1.0,44.0,14.16,110.0,True,new,experiments/results/CM_2_2/rmsprop/0.onnx,CM,2,1,0
14,1161.0,221.0,1909.0,413.0,1219.0,233.0,24.0,2.0,362.0,112.56,516.0,True,new,experiments/results/CM_2_2/rmsprop/0.onnx,CM,2,2,0
15,,,,,,,,,,,,False,new,experiments/results/CM_2_2/rmsprop/0.onnx,CM,2,3,0
16,1159.0,403.0,1926.0,1005.0,1298.0,359.0,0.0,1.0,204.0,149.24,553.0,True,new,experiments/results/CM_2_2/rmsprop/0.onnx,CM,3,1,0
17,,,,,,,,,,,,False,new,experiments/results/CM_2_2/rmsprop/0.onnx,CM,3,2,0
18,,,,,,,,,,,,False,new,experiments/results/CM_2_2/rmsprop/0.onnx,CM,4,1,0
19,31.0,17.0,41.0,21.0,193.0,6.0,1.0,1.0,3.0,19.17,18.0,True,new,experiments/results/CM_2_2/rmsprop/1.onnx,CM,1,1,1
20,85.0,33.0,129.0,42.0,210.0,13.0,16.0,1.0,10.0,22.18,48.0,True,new,experiments/results/CM_2_2/rmsprop/1.onnx,CM,1,2,1
21,175.0,57.0,266.0,75.0,267.0,13.0,38.0,1.0,15.0,27.62,78.0,True,new,experiments/results/CM_2_2/rmsprop/1.onnx,CM,1,3,1
22,297.0,77.0,470.0,102.0,347.0,16.0,81.0,1.0,20.0,26.3,129.0,True,new,experiments/results/CM_2_2/rmsprop/1.onnx,CM,1,4,1
23,451.0,131.0,734.0,176.0,445.0,20.0,137.0,1.0,27.0,51.27,181.0,True,new,experiments/results/CM_2_2/rmsprop/1.onnx,CM,1,5,1
24,637.0,137.0,1126.0,186.0,713.0,79.0,202.0,1.0,52.0,145.36,199.0,True,new,experiments/results/CM_2_2/rmsprop/1.onnx,CM,1,6,1
25,855.0,176.0,1426.0,239.0,716.0,24.0,291.0,1.0,36.0,148.51,234.0,True,new,experiments/results/CM_2_2/rmsprop/1.onnx,CM,1,7,1
26,1105.0,213.0,2013.0,294.0,1233.0,115.0,399.0,1.0,86.0,21.32,376.0,True,new,experiments/results/CM_2_2/rmsprop/1.onnx,CM,1,8,1
27,1387.0,257.0,2545.0,357.0,1609.0,172.0,511.0,1.0,101.0,181.44,392.0,True,new,experiments/results/CM_2_2/rmsprop/1.onnx,CM,1,9,1
28,1701.0,305.0,3143.0,426.0,3006.0,422.0,492.0,1.0,137.0,204.25,511.0,True,new,experiments/results/CM_2_2/rmsprop/1.onnx,CM,1,10,1
29,2047.0,365.0,3802.0,511.0,3046.0,238.0,770.0,1.0,146.0,85.07,566.0,True,new,experiments/results/CM_2_2/rmsprop/1.onnx,CM,1,11,1
30,2425.0,413.0,4530.0,582.0,3957.0,282.0,931.0,1.0,176.0,134.65,639.0,True,new,experiments/results/CM_2_2/rmsprop/1.onnx,CM,1,12,1
31,,,,,,,,,,,,False,new,experiments/results/CM_2_2/rmsprop/1.onnx,CM,1,13,1
32,189.0,75.0,314.0,132.0,350.0,54.0,2.0,1.0,50.0,17.15,114.0,True,new,experiments/results/CM_2_2/rmsprop/1.onnx,CM,2,1,1
33,1161.0,240.0,2110.0,443.0,1200.0,193.0,119.0,1.0,302.0,151.91,482.0,True,new,experiments/results/CM_2_2/rmsprop/1.onnx,CM,2,2,1
34,,,,,,,,,,,,False,new,experiments/results/CM_2_2/rmsprop/1.onnx,CM,2,3,1
