,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),heuristic time(ms),expansion_budget_exceeded,OutOfMem,algorithm,heuristic,problem,n,k,transitions/ms
0,31,21,40,26,193,8,0,1,2,20.69,28.0,false,False,new,experiments/results/CM_2_2/sample3NoFeature/158.onnx,CM,1,1,0.20725388601036268
1,85,33,113,42,224,8,12,6,6,22.66,58.0,false,False,new,experiments/results/CM_2_2/sample3NoFeature/158.onnx,CM,1,2,0.5044642857142857
2,175,65,244,84,317,14,39,10,10,28.66,122.0,false,False,new,experiments/results/CM_2_2/sample3NoFeature/158.onnx,CM,1,3,0.7697160883280757
3,297,89,467,120,445,36,119,1,14,46.62,182.0,false,False,new,experiments/results/CM_2_2/sample3NoFeature/158.onnx,CM,1,4,1.049438202247191
4,451,121,719,165,639,43,200,6,18,89.58,322.0,false,False,new,experiments/results/CM_2_2/sample3NoFeature/158.onnx,CM,1,5,1.1251956181533647
5,124,75,204,132,311,57,3,1,16,15.15,101.0,false,False,new,experiments/results/CM_2_2/sample3NoFeature/158.onnx,CM,2,1,0.6559485530546624
6,596,0,1001,0,945,161,116,0,82,0.0,494.0,true,False,new,experiments/results/CM_2_2/sample3NoFeature/158.onnx,CM,2,2,1.0592592592592593
7,673,0,1001,0,885,0,199,0,10,0.0,582.0,true,False,new,experiments/results/CM_2_2/sample3NoFeature/158.onnx,CM,2,3,1.1310734463276837
8,684,0,1001,0,791,0,194,0,0,0.0,524.0,true,False,new,experiments/results/CM_2_2/sample3NoFeature/158.onnx,CM,2,4,1.2654867256637168
9,658,0,1001,0,781,0,196,0,0,0.0,499.0,true,False,new,experiments/results/CM_2_2/sample3NoFeature/158.onnx,CM,2,5,1.2816901408450705
10,506,0,1001,0,980,291,0,0,79,0.0,550.0,true,False,new,experiments/results/CM_2_2/sample3NoFeature/158.onnx,CM,3,1,1.0214285714285714
11,669,0,1001,0,813,0,94,0,15,0.0,559.0,true,False,new,experiments/results/CM_2_2/sample3NoFeature/158.onnx,CM,3,2,1.2312423124231242
12,651,0,1001,0,924,0,169,0,0,0.0,661.0,true,False,new,experiments/results/CM_2_2/sample3NoFeature/158.onnx,CM,3,3,1.0833333333333333
13,533,0,1001,0,916,0,237,0,0,0.0,621.0,true,False,new,experiments/results/CM_2_2/sample3NoFeature/158.onnx,CM,3,4,1.0927947598253276
14,682,0,1001,0,821,0,75,0,0,0.0,584.0,true,False,new,experiments/results/CM_2_2/sample3NoFeature/158.onnx,CM,3,5,1.2192448233861144
15,587,0,1001,0,646,7,0,0,170,0.0,422.0,true,False,new,experiments/results/CM_2_2/sample3NoFeature/158.onnx,CM,4,1,1.5495356037151702
16,604,0,1001,0,828,0,41,0,7,0.0,610.0,true,False,new,experiments/results/CM_2_2/sample3NoFeature/158.onnx,CM,4,2,1.208937198067633
17,619,0,1001,0,807,0,10,0,0,0.0,592.0,true,False,new,experiments/results/CM_2_2/sample3NoFeature/158.onnx,CM,4,3,1.2403965303593556
18,620,0,1001,0,814,0,10,0,0,0.0,598.0,true,False,new,experiments/results/CM_2_2/sample3NoFeature/158.onnx,CM,4,4,1.2297297297297298
19,623,0,1001,0,808,0,25,0,0,0.0,578.0,true,False,new,experiments/results/CM_2_2/sample3NoFeature/158.onnx,CM,4,5,1.238861386138614
20,368,0,1001,0,620,0,0,0,295,0.0,382.0,true,False,new,experiments/results/CM_2_2/sample3NoFeature/158.onnx,CM,5,1,1.614516129032258
21,568,0,1001,0,1234,0,0,0,0,0.0,949.0,true,False,new,experiments/results/CM_2_2/sample3NoFeature/158.onnx,CM,5,2,0.8111831442463533
22,569,0,1001,0,1253,0,0,0,0,0.0,1038.0,true,False,new,experiments/results/CM_2_2/sample3NoFeature/158.onnx,CM,5,3,0.7988826815642458
23,569,0,1001,0,882,0,0,0,0,0.0,669.0,true,False,new,experiments/results/CM_2_2/sample3NoFeature/158.onnx,CM,5,4,1.1349206349206349
24,557,0,1001,0,851,0,0,0,0,0.0,643.0,true,False,new,experiments/results/CM_2_2/sample3NoFeature/158.onnx,CM,5,5,1.1762632197414806
