,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),heuristic time(ms),expansion_budget_exceeded,OutOfMem,algorithm,heuristic,problem,n,k,transitions/ms,idx
0,8,0,7,0,185,0,0,0,1,0.0,11.0,false,False,new,/home/marco/Desktop/Learning-Synthesis/experiments/results/COMPLETE_components_by_state_DP_2_k_over_boolean//COMPLETE_components_by_state_DP_2_5_over_boolean//0.onnx,DP,1,5,0.03783783783783784,0
1,328,97,573,164,481,88,8,1,64,41.35,186.0,false,False,new,/home/marco/Desktop/Learning-Synthesis/experiments/results/COMPLETE_components_by_state_DP_2_k_over_boolean//COMPLETE_components_by_state_DP_2_5_over_boolean//0.onnx,DP,2,5,1.1912681912681913,0
2,2807,0,5001,0,5918,1096,181,0,0,0.0,2990.0,true,False,new,/home/marco/Desktop/Learning-Synthesis/experiments/results/COMPLETE_components_by_state_DP_2_k_over_boolean//COMPLETE_components_by_state_DP_2_5_over_boolean//0.onnx,DP,3,5,0.845049003041568,0
3,8,0,7,0,186,0,0,0,1,0.0,12.0,false,False,new,/home/marco/Desktop/Learning-Synthesis/experiments/results/COMPLETE_components_by_state_DP_2_k_over_boolean//COMPLETE_components_by_state_DP_2_5_over_boolean//1.onnx,DP,1,5,0.03763440860215054,1
4,321,97,525,164,517,126,1,1,52,44.33,194.0,false,False,new,/home/marco/Desktop/Learning-Synthesis/experiments/results/COMPLETE_components_by_state_DP_2_k_over_boolean//COMPLETE_components_by_state_DP_2_5_over_boolean//1.onnx,DP,2,5,1.0154738878143132,1
5,2160,51,2970,64,2622,332,9,1,130,33.74,1596.0,false,False,new,/home/marco/Desktop/Learning-Synthesis/experiments/results/COMPLETE_components_by_state_DP_2_k_over_boolean//COMPLETE_components_by_state_DP_2_5_over_boolean//1.onnx,DP,3,5,1.1327231121281465,1
6,4169,0,5001,0,8028,248,6,0,4,0.0,7371.0,true,False,new,/home/marco/Desktop/Learning-Synthesis/experiments/results/COMPLETE_components_by_state_DP_2_k_over_boolean//COMPLETE_components_by_state_DP_2_5_over_boolean//1.onnx,DP,4,5,0.6229446935724963,1
7,8,0,7,0,185,0,0,0,1,0.0,12.0,false,False,new,/home/marco/Desktop/Learning-Synthesis/experiments/results/COMPLETE_components_by_state_DP_2_k_over_boolean//COMPLETE_components_by_state_DP_2_5_over_boolean//2.onnx,DP,1,5,0.03783783783783784,2
8,317,73,522,116,506,123,1,1,54,43.29,205.0,false,False,new,/home/marco/Desktop/Learning-Synthesis/experiments/results/COMPLETE_components_by_state_DP_2_k_over_boolean//COMPLETE_components_by_state_DP_2_5_over_boolean//2.onnx,DP,2,5,1.0316205533596838,2
9,2046,46,2814,54,2456,318,15,1,97,129.91,1471.0,false,False,new,/home/marco/Desktop/Learning-Synthesis/experiments/results/COMPLETE_components_by_state_DP_2_k_over_boolean//COMPLETE_components_by_state_DP_2_5_over_boolean//2.onnx,DP,3,5,1.1457654723127035,2
10,4184,0,5001,0,7400,135,10,0,12,0.0,6817.0,true,False,new,/home/marco/Desktop/Learning-Synthesis/experiments/results/COMPLETE_components_by_state_DP_2_k_over_boolean//COMPLETE_components_by_state_DP_2_5_over_boolean//2.onnx,DP,4,5,0.6758108108108108,2
11,8,0,7,0,187,0,0,0,1,0.0,11.0,false,False,new,/home/marco/Desktop/Learning-Synthesis/experiments/results/COMPLETE_components_by_state_DP_2_k_over_boolean//COMPLETE_components_by_state_DP_2_5_over_boolean//3.onnx,DP,1,5,0.0374331550802139,3
