,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),heuristic time(ms),OutOfMem,algorithm,heuristic,problem,n,k,idx
0,4.0,0.0,3.0,0.0,176.0,0.0,0.0,0.0,1.0,0.0,10.0,True,new,experiments/results/DP_2_2/3stepRRu4k/0.onnx,DP,1,1,0
1,5.0,0.0,4.0,0.0,165.0,0.0,0.0,0.0,1.0,0.0,7.0,True,new,experiments/results/DP_2_2/3stepRRu4k/0.onnx,DP,1,2,0
2,6.0,0.0,5.0,0.0,174.0,0.0,0.0,0.0,1.0,0.0,10.0,True,new,experiments/results/DP_2_2/3stepRRu4k/0.onnx,DP,1,3,0
3,7.0,0.0,6.0,0.0,169.0,0.0,0.0,0.0,1.0,0.0,9.0,True,new,experiments/results/DP_2_2/3stepRRu4k/0.onnx,DP,1,4,0
4,8.0,0.0,7.0,0.0,167.0,0.0,0.0,0.0,1.0,0.0,8.0,True,new,experiments/results/DP_2_2/3stepRRu4k/0.onnx,DP,1,5,0
5,9.0,0.0,8.0,0.0,180.0,0.0,0.0,0.0,1.0,0.0,11.0,True,new,experiments/results/DP_2_2/3stepRRu4k/0.onnx,DP,1,6,0
6,10.0,0.0,9.0,0.0,169.0,0.0,0.0,0.0,1.0,0.0,11.0,True,new,experiments/results/DP_2_2/3stepRRu4k/0.onnx,DP,1,7,0
7,11.0,0.0,10.0,0.0,170.0,0.0,0.0,0.0,1.0,0.0,10.0,True,new,experiments/results/DP_2_2/3stepRRu4k/0.onnx,DP,1,8,0
8,12.0,0.0,11.0,0.0,149.0,0.0,0.0,0.0,1.0,0.0,10.0,True,new,experiments/results/DP_2_2/3stepRRu4k/0.onnx,DP,1,9,0
9,13.0,0.0,12.0,0.0,152.0,0.0,0.0,0.0,1.0,0.0,10.0,True,new,experiments/results/DP_2_2/3stepRRu4k/0.onnx,DP,1,10,0
10,14.0,0.0,13.0,0.0,168.0,0.0,0.0,0.0,1.0,0.0,11.0,True,new,experiments/results/DP_2_2/3stepRRu4k/0.onnx,DP,1,11,0
11,15.0,0.0,14.0,0.0,178.0,0.0,0.0,0.0,1.0,0.0,11.0,True,new,experiments/results/DP_2_2/3stepRRu4k/0.onnx,DP,1,12,0
12,16.0,0.0,15.0,0.0,182.0,0.0,0.0,0.0,1.0,0.0,15.0,True,new,experiments/results/DP_2_2/3stepRRu4k/0.onnx,DP,1,13,0
13,17.0,0.0,16.0,0.0,173.0,0.0,0.0,0.0,1.0,0.0,12.0,True,new,experiments/results/DP_2_2/3stepRRu4k/0.onnx,DP,1,14,0
14,18.0,0.0,17.0,0.0,181.0,0.0,0.0,0.0,1.0,0.0,9.0,True,new,experiments/results/DP_2_2/3stepRRu4k/0.onnx,DP,1,15,0
15,122.0,44.0,213.0,68.0,305.0,33.0,1.0,1.0,23.0,22.48,101.0,True,new,experiments/results/DP_2_2/3stepRRu4k/0.onnx,DP,2,1,0
16,170.0,67.0,303.0,113.0,346.0,70.0,4.0,1.0,35.0,14.73,116.0,True,new,experiments/results/DP_2_2/3stepRRu4k/0.onnx,DP,2,2,0
17,208.0,66.0,353.0,106.0,426.0,57.0,4.0,1.0,51.0,17.76,214.0,True,new,experiments/results/DP_2_2/3stepRRu4k/0.onnx,DP,2,3,0
18,261.0,76.0,431.0,123.0,425.0,53.0,3.0,1.0,67.0,20.92,204.0,True,new,experiments/results/DP_2_2/3stepRRu4k/0.onnx,DP,2,4,0
19,317.0,86.0,515.0,140.0,411.0,60.0,3.0,1.0,82.0,27.08,168.0,True,new,experiments/results/DP_2_2/3stepRRu4k/0.onnx,DP,2,5,0
20,380.0,96.0,611.0,157.0,569.0,67.0,3.0,1.0,103.0,34.19,299.0,True,new,experiments/results/DP_2_2/3stepRRu4k/0.onnx,DP,2,6,0
21,450.0,106.0,716.0,174.0,470.0,73.0,3.0,1.0,123.0,41.34,203.0,True,new,experiments/results/DP_2_2/3stepRRu4k/0.onnx,DP,2,7,0
22,575.0,107.0,917.0,173.0,550.0,108.0,3.0,1.0,176.0,52.57,254.0,True,new,experiments/results/DP_2_2/3stepRRu4k/0.onnx,DP,2,8,0
23,668.0,116.0,1056.0,188.0,626.0,115.0,3.0,1.0,210.0,62.66,320.0,True,new,experiments/results/DP_2_2/3stepRRu4k/0.onnx,DP,2,9,0
24,773.0,125.0,1212.0,203.0,700.0,123.0,3.0,1.0,250.0,70.54,339.0,True,new,experiments/results/DP_2_2/3stepRRu4k/0.onnx,DP,2,10,0
25,884.0,134.0,1377.0,218.0,784.0,131.0,3.0,1.0,292.0,81.47,425.0,True,new,experiments/results/DP_2_2/3stepRRu4k/0.onnx,DP,2,11,0
26,1003.0,143.0,1545.0,233.0,770.0,140.0,3.0,1.0,326.0,94.37,402.0,True,new,experiments/results/DP_2_2/3stepRRu4k/0.onnx,DP,2,12,0
27,1130.0,152.0,1732.0,248.0,823.0,148.0,3.0,1.0,377.0,111.54,413.0,True,new,experiments/results/DP_2_2/3stepRRu4k/0.onnx,DP,2,13,0
28,1071.0,161.0,1666.0,263.0,991.0,124.0,4.0,1.0,356.0,105.58,531.0,True,new,experiments/results/DP_2_2/3stepRRu4k/0.onnx,DP,2,14,0
29,1185.0,186.0,1810.0,310.0,964.0,127.0,3.0,1.0,388.0,114.49,542.0,True,new,experiments/results/DP_2_2/3stepRRu4k/0.onnx,DP,2,15,0
30,1189.0,59.0,2781.0,89.0,2758.0,678.0,14.0,1.0,110.0,58.67,1429.0,True,new,experiments/results/DP_2_2/3stepRRu4k/0.onnx,DP,3,1,0
31,,,,,,,,,,,,False,new,experiments/results/DP_2_2/3stepRRu4k/0.onnx,DP,3,2,0
32,,,,,,,,,,,,False,new,experiments/results/DP_2_2/3stepRRu4k/0.onnx,DP,4,1,0
33,4.0,0.0,3.0,0.0,165.0,0.0,0.0,0.0,1.0,0.0,9.0,True,new,experiments/results/DP_2_2/3stepRRu4k/1.onnx,DP,1,1,1
34,5.0,0.0,4.0,0.0,165.0,0.0,0.0,0.0,1.0,0.0,8.0,True,new,experiments/results/DP_2_2/3stepRRu4k/1.onnx,DP,1,2,1
35,6.0,0.0,5.0,0.0,181.0,0.0,0.0,0.0,1.0,0.0,9.0,True,new,experiments/results/DP_2_2/3stepRRu4k/1.onnx,DP,1,3,1
36,7.0,0.0,6.0,0.0,167.0,0.0,0.0,0.0,1.0,0.0,8.0,True,new,experiments/results/DP_2_2/3stepRRu4k/1.onnx,DP,1,4,1
