,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),heuristic time(ms),algorithm,heuristic,problem,n,k,training time,training steps,eta,nnsize,epsilon,nfeatures,target q,reset target freq,experience replay,buffer size,ra feature,labels,context features,idx
0,2603,501,6519,1215,14172,1822,69,2,433,326.75,7796.0,new,experiments/results/DP_2_2/5mill_C/0.onnx,DP,3,3,3.3356308937072754,0,1e-05,20,0.1,25,True,10000,True,10000,True,True,True,0
1,2667,573,6309,1304,20759,2185,22,113,619,214.67,12992.0,new,experiments/results/DP_2_2/5mill_C/1.onnx,DP,3,3,107.6369276046753,50000,1e-05,20,0.1,25,True,10000,True,10000,True,True,True,1
2,2832,721,6300,1680,23592,1707,23,433,442,640.0,17311.0,new,experiments/results/DP_2_2/5mill_C/2.onnx,DP,3,3,214.5700056552887,100000,1e-05,20,0.1,25,True,10000,True,10000,True,True,True,2
3,2792,355,5924,692,24412,1779,22,136,237,618.89,17852.0,new,experiments/results/DP_2_2/5mill_C/3.onnx,DP,3,3,322.76665210723877,150000,1e-05,20,0.1,25,True,10000,True,10000,True,True,True,3
4,2548,250,4653,468,13573,1356,42,75,145,223.39,9904.0,new,experiments/results/DP_2_2/5mill_C/4.onnx,DP,3,3,428.2564470767975,200000,1e-05,20,0.1,25,True,10000,True,10000,True,True,True,4
5,2178,438,4134,754,11174,906,5,87,33,36.52,8957.0,new,experiments/results/DP_2_2/5mill_C/5.onnx,DP,3,3,530.7851479053497,250000,1e-05,20,0.1,25,True,10000,True,10000,True,True,True,5
6,1663,113,2857,182,5547,551,7,1,27,51.89,4355.0,new,experiments/results/DP_2_2/5mill_C/6.onnx,DP,3,3,630.4776127338409,300000,1e-05,20,0.1,25,True,10000,True,10000,True,True,True,6
7,1063,77,1738,106,2740,191,4,1,4,222.06,2159.0,new,experiments/results/DP_2_2/5mill_C/7.onnx,DP,3,3,729.722204208374,350000,1e-05,20,0.1,25,True,10000,True,10000,True,True,True,7
8,306,44,347,57,582,13,9,1,0,23.26,343.0,new,experiments/results/DP_2_2/5mill_C/8.onnx,DP,3,3,829.0876321792603,400000,1e-05,20,0.1,25,True,10000,True,10000,True,True,True,8
9,494,125,818,199,847,34,0,1,0,147.53,564.0,new,experiments/results/DP_2_2/5mill_C/9.onnx,DP,3,3,928.7046585083008,450000,1e-05,20,0.1,25,True,10000,True,10000,True,True,True,9
10,2793,620,6939,1419,25426,2147,42,1,325,241.3,16145.0,new,experiments/results/DP_2_2/5mill_C/10.onnx,DP,3,3,1027.7767007350922,500000,1e-05,20,0.1,25,True,10000,True,10000,True,True,True,10
11,2766,620,6910,1419,24114,2064,18,1,428,120.2,14702.0,new,experiments/results/DP_2_2/5mill_C/11.onnx,DP,3,3,1128.036137342453,550000,1e-05,20,0.1,25,True,10000,True,10000,True,True,True,11
12,2779,620,6980,1419,24133,1882,5,1,358,557.92,12670.0,new,experiments/results/DP_2_2/5mill_C/12.onnx,DP,3,3,1230.3826913833618,600000,1e-05,20,0.1,25,True,10000,True,10000,True,True,True,12
13,1992,774,4246,1484,9010,1323,22,1,102,505.72,5313.0,new,experiments/results/DP_2_2/5mill_C/13.onnx,DP,3,3,1332.525444984436,650000,1e-05,20,0.1,25,True,10000,True,10000,True,True,True,13
14,1961,103,3692,142,6750,800,4,1,82,262.67,4632.0,new,experiments/results/DP_2_2/5mill_C/14.onnx,DP,3,3,1433.0993547439575,700000,1e-05,20,0.1,25,True,10000,True,10000,True,True,True,14
15,1384,137,2674,230,4675,471,27,1,59,229.59,3292.0,new,experiments/results/DP_2_2/5mill_C/15.onnx,DP,3,3,1532.8946468830109,750000,1e-05,20,0.1,25,True,10000,True,10000,True,True,True,15
16,885,203,1743,390,2271,167,10,1,23,241.7,1796.0,new,experiments/results/DP_2_2/5mill_C/16.onnx,DP,3,3,1632.7712440490723,800000,1e-05,20,0.1,25,True,10000,True,10000,True,True,True,16
17,637,65,1142,103,1218,125,0,1,22,117.24,815.0,new,experiments/results/DP_2_2/5mill_C/17.onnx,DP,3,3,1733.8201549053192,850000,1e-05,20,0.1,25,True,10000,True,10000,True,True,True,17
18,949,48,1778,65,2396,332,7,1,22,23.96,1612.0,new,experiments/results/DP_2_2/5mill_C/18.onnx,DP,3,3,1837.1449797153473,900000,1e-05,20,0.1,25,True,10000,True,10000,True,True,True,18
19,2014,287,4331,543,8795,1325,27,1,155,190.68,4688.0,new,experiments/results/DP_2_2/5mill_C/19.onnx,DP,3,3,1944.095936536789,950000,1e-05,20,0.1,25,True,10000,True,10000,True,True,True,19
20,950,228,1897,477,1902,281,3,1,69,131.89,1261.0,new,experiments/results/DP_2_2/5mill_C/20.onnx,DP,3,3,2048.4652860164642,1000000,1e-05,20,0.1,25,True,10000,True,10000,True,True,True,20
21,794,168,1676,299,1907,208,2,1,69,106.59,1350.0,new,experiments/results/DP_2_2/5mill_C/21.onnx,DP,3,3,2152.719897031784,1050000,1e-05,20,0.1,25,True,10000,True,10000,True,True,True,21
22,581,52,1111,77,1170,188,3,1,42,16.14,746.0,new,experiments/results/DP_2_2/5mill_C/22.onnx,DP,3,3,2257.931475877762,1100000,1e-05,20,0.1,25,True,10000,True,10000,True,True,True,22
23,937,148,1790,253,1749,253,6,1,43,168.79,1172.0,new,experiments/results/DP_2_2/5mill_C/23.onnx,DP,3,3,2364.4285786151886,1150000,1e-05,20,0.1,25,True,10000,True,10000,True,True,True,23
24,613,123,1250,216,1158,220,0,1,32,135.13,743.0,new,experiments/results/DP_2_2/5mill_C/24.onnx,DP,3,3,2471.9093811511993,1200000,1e-05,20,0.1,25,True,10000,True,10000,True,True,True,24
25,508,162,1042,301,1033,233,1,1,43,100.84,561.0,new,experiments/results/DP_2_2/5mill_C/25.onnx,DP,3,3,2584.8376185894012,1250000,1e-05,20,0.1,25,True,10000,True,10000,True,True,True,25
26,971,188,1978,343,2113,220,13,1,66,141.21,1454.0,new,experiments/results/DP_2_2/5mill_C/26.onnx,DP,3,3,2704.030558347702,1300000,1e-05,20,0.1,25,True,10000,True,10000,True,True,True,26
27,293,81,508,132,576,111,0,1,13,34.42,290.0,new,experiments/results/DP_2_2/5mill_C/27.onnx,DP,3,3,2834.805776834488,1350000,1e-05,20,0.1,25,True,10000,True,10000,True,True,True,27
28,1484,397,2887,734,4063,130,5,386,0,117.46,3504.0,new,experiments/results/DP_2_2/5mill_C/28.onnx,DP,3,3,2966.0270326137543,1400000,1e-05,20,0.1,25,True,10000,True,10000,True,True,True,28
29,440,146,733,276,1047,127,1,1,0,16.65,686.0,new,experiments/results/DP_2_2/5mill_C/29.onnx,DP,3,3,3065.46670627594,1450000,1e-05,20,0.1,25,True,10000,True,10000,True,True,True,29
30,246,65,366,98,563,41,0,1,0,114.73,262.0,new,experiments/results/DP_2_2/5mill_C/30.onnx,DP,3,3,3163.9464526176453,1500000,1e-05,20,0.1,25,True,10000,True,10000,True,True,True,30
31,390,86,685,137,712,65,0,1,29,146.27,404.0,new,experiments/results/DP_2_2/5mill_C/31.onnx,DP,3,3,3262.3125636577606,1550000,1e-05,20,0.1,25,True,10000,True,10000,True,True,True,31
32,327,53,485,75,642,22,0,1,0,80.32,360.0,new,experiments/results/DP_2_2/5mill_C/32.onnx,DP,3,3,3361.0536234378815,1600000,1e-05,20,0.1,25,True,10000,True,10000,True,True,True,32
33,284,97,475,163,600,83,0,1,0,18.27,307.0,new,experiments/results/DP_2_2/5mill_C/33.onnx,DP,3,3,3459.1620111465454,1650000,1e-05,20,0.1,25,True,10000,True,10000,True,True,True,33
34,92,62,147,92,293,32,0,1,0,23.73,86.0,new,experiments/results/DP_2_2/5mill_C/34.onnx,DP,3,3,3557.9432055950165,1700000,1e-05,20,0.1,25,True,10000,True,10000,True,True,True,34
35,1805,431,3966,963,5458,354,62,1,37,192.8,4360.0,new,experiments/results/DP_2_2/5mill_C/35.onnx,DP,3,3,3657.54732131958,1750000,1e-05,20,0.1,25,True,10000,True,10000,True,True,True,35
36,1425,212,2721,402,4707,59,18,1,153,351.0,4117.0,new,experiments/results/DP_2_2/5mill_C/36.onnx,DP,3,3,3756.581647157669,1800000,1e-05,20,0.1,25,True,10000,True,10000,True,True,True,36
37,1496,209,2992,419,4311,492,5,1,76,54.6,3011.0,new,experiments/results/DP_2_2/5mill_C/37.onnx,DP,3,3,3857.218747138977,1850000,1e-05,20,0.1,25,True,10000,True,10000,True,True,True,37
38,1134,249,2110,494,4369,207,2,1,12,279.43,3728.0,new,experiments/results/DP_2_2/5mill_C/38.onnx,DP,3,3,3958.097023963928,1900000,1e-05,20,0.1,25,True,10000,True,10000,True,True,True,38
39,1322,269,2785,548,5074,373,6,1,70,223.23,4076.0,new,experiments/results/DP_2_2/5mill_C/39.onnx,DP,3,3,4059.0665442943573,1950000,1e-05,20,0.1,25,True,10000,True,10000,True,True,True,39
40,1770,287,3598,563,7664,390,5,1,0,431.24,6406.0,new,experiments/results/DP_2_2/5mill_C/40.onnx,DP,3,3,4160.830249786377,2000000,1e-05,20,0.1,25,True,10000,True,10000,True,True,True,40
41,136,73,235,114,392,26,0,1,0,43.73,150.0,new,experiments/results/DP_2_2/5mill_C/41.onnx,DP,3,3,4261.73312497139,2050000,1e-05,20,0.1,25,True,10000,True,10000,True,True,True,41
42,286,89,519,142,709,46,0,1,0,60.38,444.0,new,experiments/results/DP_2_2/5mill_C/42.onnx,DP,3,3,4362.458238840103,2100000,1e-05,20,0.1,25,True,10000,True,10000,True,True,True,42
43,240,93,456,161,681,74,0,1,0,151.74,337.0,new,experiments/results/DP_2_2/5mill_C/43.onnx,DP,3,3,4462.696762800217,2150000,1e-05,20,0.1,25,True,10000,True,10000,True,True,True,43
44,424,93,852,162,721,130,2,1,50,120.43,342.0,new,experiments/results/DP_2_2/5mill_C/44.onnx,DP,3,3,4563.453783273697,2200000,1e-05,20,0.1,25,True,10000,True,10000,True,True,True,44
45,1140,190,2428,367,3402,383,4,1,33,125.12,2485.0,new,experiments/results/DP_2_2/5mill_C/45.onnx,DP,3,3,4666.370210170746,2250000,1e-05,20,0.1,25,True,10000,True,10000,True,True,True,45
46,677,85,1240,134,1383,241,0,1,45,33.36,867.0,new,experiments/results/DP_2_2/5mill_C/46.onnx,DP,3,3,4771.203416585922,2300000,1e-05,20,0.1,25,True,10000,True,10000,True,True,True,46
47,961,314,1913,663,2612,552,0,1,12,90.39,1816.0,new,experiments/results/DP_2_2/5mill_C/47.onnx,DP,3,3,4874.819607496262,2350000,1e-05,20,0.1,25,True,10000,True,10000,True,True,True,47
48,293,77,538,118,691,81,0,1,11,152.73,356.0,new,experiments/results/DP_2_2/5mill_C/48.onnx,DP,3,3,4980.476897239685,2400000,1e-05,20,0.1,25,True,10000,True,10000,True,True,True,48
49,127,62,200,92,347,41,0,2,3,31.74,115.0,new,experiments/results/DP_2_2/5mill_C/49.onnx,DP,3,3,5088.627073049545,2450000,1e-05,20,0.1,25,True,10000,True,10000,True,True,True,49
50,121,61,184,91,367,37,0,2,1,29.74,138.0,new,experiments/results/DP_2_2/5mill_C/50.onnx,DP,3,3,5199.511387348175,2500000,1e-05,20,0.1,25,True,10000,True,10000,True,True,True,50
51,325,81,558,133,693,101,0,1,33,66.37,359.0,new,experiments/results/DP_2_2/5mill_C/51.onnx,DP,3,3,5315.516607761383,2550000,1e-05,20,0.1,25,True,10000,True,10000,True,True,True,51
52,297,69,476,107,592,64,0,1,22,28.32,332.0,new,experiments/results/DP_2_2/5mill_C/52.onnx,DP,3,3,5446.866510152817,2600000,1e-05,20,0.1,25,True,10000,True,10000,True,True,True,52
53,335,123,584,226,587,113,0,1,19,50.39,289.0,new,experiments/results/DP_2_2/5mill_C/53.onnx,DP,3,3,5575.34339427948,2650000,1e-05,20,0.1,25,True,10000,True,10000,True,True,True,53
54,166,55,267,81,370,67,0,1,0,58.73,145.0,new,experiments/results/DP_2_2/5mill_C/54.onnx,DP,3,3,5684.542671442032,2700000,1e-05,20,0.1,25,True,10000,True,10000,True,True,True,54
55,168,73,279,112,384,42,0,1,0,68.73,169.0,new,experiments/results/DP_2_2/5mill_C/55.onnx,DP,3,3,5797.034693956375,2750000,1e-05,20,0.1,25,True,10000,True,10000,True,True,True,55
56,131,77,196,109,346,37,0,1,0,33.73,119.0,new,experiments/results/DP_2_2/5mill_C/56.onnx,DP,3,3,5912.920530557632,2800000,1e-05,20,0.1,25,True,10000,True,10000,True,True,True,56
57,137,55,213,80,377,39,0,1,0,42.73,131.0,new,experiments/results/DP_2_2/5mill_C/57.onnx,DP,3,3,6051.5240886211395,2850000,1e-05,20,0.1,25,True,10000,True,10000,True,True,True,57
58,627,145,1053,278,1264,232,0,1,11,12.39,796.0,new,experiments/results/DP_2_2/5mill_C/58.onnx,DP,3,3,6155.14479804039,2900000,1e-05,20,0.1,25,True,10000,True,10000,True,True,True,58
59,147,56,250,74,379,73,0,1,0,57.72,139.0,new,experiments/results/DP_2_2/5mill_C/59.onnx,DP,3,3,6257.862165927887,2950000,1e-05,20,0.1,25,True,10000,True,10000,True,True,True,59
60,268,52,404,72,485,60,0,1,6,133.74,238.0,new,experiments/results/DP_2_2/5mill_C/60.onnx,DP,3,3,6362.982910394669,3000000,1e-05,20,0.1,25,True,10000,True,10000,True,True,True,60
61,1318,192,2239,381,3636,345,1,1,0,123.05,2939.0,new,experiments/results/DP_2_2/5mill_C/61.onnx,DP,3,3,6468.226413488388,3050000,1e-05,20,0.1,25,True,10000,True,10000,True,True,True,61
62,258,175,528,357,598,169,0,1,9,39.27,282.0,new,experiments/results/DP_2_2/5mill_C/62.onnx,DP,3,3,6572.940078496933,3100000,1e-05,20,0.1,25,True,10000,True,10000,True,True,True,62
63,141,44,203,56,350,25,0,1,3,44.72,119.0,new,experiments/results/DP_2_2/5mill_C/63.onnx,DP,3,3,6679.697094678879,3150000,1e-05,20,0.1,25,True,10000,True,10000,True,True,True,63
64,1175,52,2055,77,2503,265,2,1,22,149.49,1844.0,new,experiments/results/DP_2_2/5mill_C/64.onnx,DP,3,3,6788.268392086029,3200000,1e-05,20,0.1,25,True,10000,True,10000,True,True,True,64
65,439,80,803,140,701,77,1,1,73,143.41,388.0,new,experiments/results/DP_2_2/5mill_C/65.onnx,DP,3,3,6897.272023200989,3250000,1e-05,20,0.1,25,True,10000,True,10000,True,True,True,65
66,833,93,1486,155,1575,289,2,1,55,17.98,985.0,new,experiments/results/DP_2_2/5mill_C/66.onnx,DP,3,3,7010.149385213852,3300000,1e-05,20,0.1,25,True,10000,True,10000,True,True,True,66
67,1218,123,2079,223,2665,246,3,1,105,28.72,1963.0,new,experiments/results/DP_2_2/5mill_C/67.onnx,DP,3,3,7129.494841814041,3350000,1e-05,20,0.1,25,True,10000,True,10000,True,True,True,67
68,260,60,433,89,694,72,0,1,0,17.28,364.0,new,experiments/results/DP_2_2/5mill_C/68.onnx,DP,3,3,7262.922465085983,3400000,1e-05,20,0.1,25,True,10000,True,10000,True,True,True,68
69,279,70,468,106,608,50,0,5,0,29.23,343.0,new,experiments/results/DP_2_2/5mill_C/69.onnx,DP,3,3,7400.701733350754,3450000,1e-05,20,0.1,25,True,10000,True,10000,True,True,True,69
70,185,57,319,82,404,55,0,1,0,91.73,181.0,new,experiments/results/DP_2_2/5mill_C/70.onnx,DP,3,3,7526.311767101288,3500000,1e-05,20,0.1,25,True,10000,True,10000,True,True,True,70
71,258,84,433,138,512,66,0,1,0,149.73,266.0,new,experiments/results/DP_2_2/5mill_C/71.onnx,DP,3,3,7628.756779909134,3550000,1e-05,20,0.1,25,True,10000,True,10000,True,True,True,71
72,321,110,593,188,623,101,1,1,34,67.47,325.0,new,experiments/results/DP_2_2/5mill_C/72.onnx,DP,3,3,7730.28527545929,3600000,1e-05,20,0.1,25,True,10000,True,10000,True,True,True,72
73,562,210,1149,426,1187,202,2,1,62,95.16,732.0,new,experiments/results/DP_2_2/5mill_C/73.onnx,DP,3,3,7832.113243818283,3650000,1e-05,20,0.1,25,True,10000,True,10000,True,True,True,73
74,443,97,832,151,805,101,3,1,32,108.63,446.0,new,experiments/results/DP_2_2/5mill_C/74.onnx,DP,3,3,7934.719887971878,3700000,1e-05,20,0.1,25,True,10000,True,10000,True,True,True,74
75,712,103,1224,169,1783,231,1,1,0,80.61,1275.0,new,experiments/results/DP_2_2/5mill_C/75.onnx,DP,3,3,8038.308785676956,3750000,1e-05,20,0.1,25,True,10000,True,10000,True,True,True,75
76,675,188,1267,359,1663,267,2,19,2,113.55,1072.0,new,experiments/results/DP_2_2/5mill_C/76.onnx,DP,3,3,8142.083913326263,3800000,1e-05,20,0.1,25,True,10000,True,10000,True,True,True,76
77,452,187,809,340,984,131,1,51,0,11.83,559.0,new,experiments/results/DP_2_2/5mill_C/77.onnx,DP,3,3,8245.323021411896,3850000,1e-05,20,0.1,25,True,10000,True,10000,True,True,True,77
78,644,84,927,130,1433,82,4,1,0,59.14,1039.0,new,experiments/results/DP_2_2/5mill_C/78.onnx,DP,3,3,8348.804412841797,3900000,1e-05,20,0.1,25,True,10000,True,10000,True,True,True,78
