,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),heuristic time(ms),algorithm,heuristic,problem,n,k,training time,training steps,eta,nnsize,epsilon,nfeatures,target q,reset target freq,experience replay,buffer size,ra feature,labels,idx
0,167,56,293,89,295,75,1,3,25,17.64,56.0,new,experiments/results/DP_2_2/5mill_RA/0.onnx,DP,2,2,1.6617748737335205,0,1e-05,20,0.1,15,True,10000,True,10000,True,False,0
1,172,82,305,142,318,63,0,1,39,18.69,72.0,new,experiments/results/DP_2_2/5mill_RA/1.onnx,DP,2,2,76.14797687530518,50000,1e-05,20,0.1,15,True,10000,True,10000,True,False,1
2,173,35,263,46,265,56,0,1,26,17.68,65.0,new,experiments/results/DP_2_2/5mill_RA/2.onnx,DP,2,2,151.77542924880981,100000,1e-05,20,0.1,15,True,10000,True,10000,True,False,2
3,174,50,303,74,353,45,0,1,28,18.69,96.0,new,experiments/results/DP_2_2/5mill_RA/3.onnx,DP,2,2,228.20720624923706,150000,1e-05,20,0.1,15,True,10000,True,10000,True,False,3
4,152,50,241,74,333,54,1,1,23,13.62,79.0,new,experiments/results/DP_2_2/5mill_RA/4.onnx,DP,2,2,304.34686064720154,200000,1e-05,20,0.1,15,True,10000,True,10000,True,False,4
5,168,52,285,79,300,65,0,1,10,18.71,68.0,new,experiments/results/DP_2_2/5mill_RA/5.onnx,DP,2,2,380.08795714378357,250000,1e-05,20,0.1,15,True,10000,True,10000,True,False,5
6,167,31,243,38,297,35,1,1,12,11.72,65.0,new,experiments/results/DP_2_2/5mill_RA/6.onnx,DP,2,2,452.97105836868286,300000,1e-05,20,0.1,15,True,10000,True,10000,True,False,6
7,62,33,86,46,186,14,0,1,1,19.14,19.0,new,experiments/results/DP_2_2/5mill_RA/7.onnx,DP,2,2,524.1810684204102,350000,1e-05,20,0.1,15,True,10000,True,10000,True,False,7
8,160,67,273,113,261,67,0,1,13,16.65,59.0,new,experiments/results/DP_2_2/5mill_RA/8.onnx,DP,2,2,597.0352334976196,400000,1e-05,20,0.1,15,True,10000,True,10000,True,False,8
9,73,34,109,45,217,25,0,1,5,20.66,24.0,new,experiments/results/DP_2_2/5mill_RA/9.onnx,DP,2,2,668.6085414886475,450000,1e-05,20,0.1,15,True,10000,True,10000,True,False,9
10,53,28,69,36,165,10,0,4,2,18.66,19.0,new,experiments/results/DP_2_2/5mill_RA/10.onnx,DP,2,2,741.7482416629791,500000,1e-05,20,0.1,15,True,10000,True,10000,True,False,10
11,110,25,172,29,240,39,1,1,4,25.62,37.0,new,experiments/results/DP_2_2/5mill_RA/11.onnx,DP,2,2,814.1939861774445,550000,1e-05,20,0.1,15,True,10000,True,10000,True,False,11
12,45,28,59,36,186,6,0,2,1,18.18,16.0,new,experiments/results/DP_2_2/5mill_RA/12.onnx,DP,2,2,886.3845083713531,600000,1e-05,20,0.1,15,True,10000,True,10000,True,False,12
13,132,39,196,55,235,25,0,1,10,26.18,34.0,new,experiments/results/DP_2_2/5mill_RA/13.onnx,DP,2,2,958.8827998638153,650000,1e-05,20,0.1,15,True,10000,True,10000,True,False,13
14,69,36,107,52,192,16,0,1,6,19.62,24.0,new,experiments/results/DP_2_2/5mill_RA/14.onnx,DP,2,2,1030.8427064418793,700000,1e-05,20,0.1,15,True,10000,True,10000,True,False,14
15,47,25,62,29,164,5,0,1,4,17.7,14.0,new,experiments/results/DP_2_2/5mill_RA/15.onnx,DP,2,2,1102.5787253379822,750000,1e-05,20,0.1,15,True,10000,True,10000,True,False,15
16,102,44,159,65,260,34,1,1,3,25.14,39.0,new,experiments/results/DP_2_2/5mill_RA/16.onnx,DP,2,2,1174.8856887817383,800000,1e-05,20,0.1,15,True,10000,True,10000,True,False,16
17,145,48,244,76,243,63,1,1,23,10.63,40.0,new,experiments/results/DP_2_2/5mill_RA/17.onnx,DP,2,2,1246.823383808136,850000,1e-05,20,0.1,15,True,10000,True,10000,True,False,17
18,49,31,65,41,190,7,0,1,3,18.18,22.0,new,experiments/results/DP_2_2/5mill_RA/18.onnx,DP,2,2,1319.8427381515503,900000,1e-05,20,0.1,15,True,10000,True,10000,True,False,18
19,150,45,246,70,235,33,2,1,24,29.62,48.0,new,experiments/results/DP_2_2/5mill_RA/19.onnx,DP,2,2,1392.135241985321,950000,1e-05,20,0.1,15,True,10000,True,10000,True,False,19
20,52,25,69,29,160,5,0,1,2,18.18,16.0,new,experiments/results/DP_2_2/5mill_RA/20.onnx,DP,2,2,1464.650444984436,1000000,1e-05,20,0.1,15,True,10000,True,10000,True,False,20
21,117,60,185,95,224,29,2,2,7,26.18,45.0,new,experiments/results/DP_2_2/5mill_RA/21.onnx,DP,2,2,1536.658950328827,1050000,1e-05,20,0.1,15,True,10000,True,10000,True,False,21
22,59,36,85,52,201,6,0,2,11,18.66,25.0,new,experiments/results/DP_2_2/5mill_RA/22.onnx,DP,2,2,1608.9465835094452,1100000,1e-05,20,0.1,15,True,10000,True,10000,True,False,22
23,85,36,128,52,205,29,0,2,3,22.66,25.0,new,experiments/results/DP_2_2/5mill_RA/23.onnx,DP,2,2,1681.7599499225616,1150000,1e-05,20,0.1,15,True,10000,True,10000,True,False,23
