,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),heuristic time(ms),algorithm,heuristic,problem,n,k
0,4.0,0.0,3.0,0.0,115.0,0.0,0.0,0.0,1.0,0.0,4.0,new,experiments/results/DP_2_2/5mill_RA/50.onnx,DP,1,1
1,5.0,0.0,4.0,0.0,116.0,0.0,0.0,0.0,1.0,0.0,6.0,new,experiments/results/DP_2_2/5mill_RA/50.onnx,DP,1,2
2,6.0,0.0,5.0,0.0,115.0,0.0,0.0,0.0,1.0,0.0,3.0,new,experiments/results/DP_2_2/5mill_RA/50.onnx,DP,1,3
3,7.0,0.0,6.0,0.0,153.0,0.0,0.0,0.0,1.0,0.0,5.0,new,experiments/results/DP_2_2/5mill_RA/50.onnx,DP,1,4
4,8.0,0.0,7.0,0.0,118.0,0.0,0.0,0.0,1.0,0.0,4.0,new,experiments/results/DP_2_2/5mill_RA/50.onnx,DP,1,5
5,9.0,0.0,8.0,0.0,124.0,0.0,0.0,0.0,1.0,0.0,6.0,new,experiments/results/DP_2_2/5mill_RA/50.onnx,DP,1,6
6,10.0,0.0,9.0,0.0,121.0,0.0,0.0,0.0,1.0,0.0,5.0,new,experiments/results/DP_2_2/5mill_RA/50.onnx,DP,1,7
7,11.0,0.0,10.0,0.0,119.0,0.0,0.0,0.0,1.0,0.0,5.0,new,experiments/results/DP_2_2/5mill_RA/50.onnx,DP,1,8
8,12.0,0.0,11.0,0.0,121.0,0.0,0.0,0.0,1.0,0.0,5.0,new,experiments/results/DP_2_2/5mill_RA/50.onnx,DP,1,9
9,13.0,0.0,12.0,0.0,140.0,0.0,0.0,0.0,1.0,0.0,4.0,new,experiments/results/DP_2_2/5mill_RA/50.onnx,DP,1,10
10,14.0,0.0,13.0,0.0,122.0,0.0,0.0,0.0,1.0,0.0,5.0,new,experiments/results/DP_2_2/5mill_RA/50.onnx,DP,1,11
11,15.0,0.0,14.0,0.0,122.0,0.0,0.0,0.0,1.0,0.0,5.0,new,experiments/results/DP_2_2/5mill_RA/50.onnx,DP,1,12
12,16.0,0.0,15.0,0.0,124.0,0.0,0.0,0.0,1.0,0.0,6.0,new,experiments/results/DP_2_2/5mill_RA/50.onnx,DP,1,13
13,17.0,0.0,16.0,0.0,134.0,0.0,0.0,0.0,1.0,0.0,9.0,new,experiments/results/DP_2_2/5mill_RA/50.onnx,DP,1,14
14,18.0,0.0,17.0,0.0,124.0,0.0,0.0,0.0,1.0,0.0,6.0,new,experiments/results/DP_2_2/5mill_RA/50.onnx,DP,1,15
15,32.0,27.0,41.0,36.0,192.0,5.0,0.0,1.0,1.0,17.14,11.0,new,experiments/results/DP_2_2/5mill_RA/50.onnx,DP,2,1
16,41.0,28.0,54.0,36.0,165.0,5.0,0.0,1.0,2.0,17.62,7.0,new,experiments/results/DP_2_2/5mill_RA/50.onnx,DP,2,2
17,52.0,31.0,74.0,39.0,173.0,13.0,0.0,1.0,2.0,19.14,22.0,new,experiments/results/DP_2_2/5mill_RA/50.onnx,DP,2,3
18,62.0,34.0,88.0,43.0,212.0,12.0,0.0,1.0,2.0,19.62,18.0,new,experiments/results/DP_2_2/5mill_RA/50.onnx,DP,2,4
19,54.0,31.0,67.0,35.0,164.0,5.0,0.0,1.0,3.0,18.66,15.0,new,experiments/results/DP_2_2/5mill_RA/50.onnx,DP,2,5
20,63.0,33.0,83.0,37.0,172.0,5.0,0.0,1.0,4.0,19.14,24.0,new,experiments/results/DP_2_2/5mill_RA/50.onnx,DP,2,6
21,87.0,35.0,127.0,39.0,183.0,11.0,0.0,1.0,4.0,21.14,22.0,new,experiments/results/DP_2_2/5mill_RA/50.onnx,DP,2,7
22,93.0,37.0,136.0,41.0,185.0,11.0,0.0,1.0,3.0,21.62,21.0,new,experiments/results/DP_2_2/5mill_RA/50.onnx,DP,2,8
23,103.0,39.0,152.0,43.0,219.0,11.0,0.0,1.0,3.0,22.18,37.0,new,experiments/results/DP_2_2/5mill_RA/50.onnx,DP,2,9
24,115.0,41.0,171.0,45.0,202.0,11.0,0.0,1.0,3.0,23.14,29.0,new,experiments/results/DP_2_2/5mill_RA/50.onnx,DP,2,10
25,202.0,43.0,314.0,47.0,252.0,11.0,0.0,1.0,18.0,27.7,36.0,new,experiments/results/DP_2_2/5mill_RA/50.onnx,DP,2,11
26,234.0,45.0,371.0,49.0,310.0,11.0,0.0,1.0,18.0,29.7,54.0,new,experiments/results/DP_2_2/5mill_RA/50.onnx,DP,2,12
27,261.0,47.0,418.0,51.0,248.0,11.0,0.0,1.0,20.0,11.04,50.0,new,experiments/results/DP_2_2/5mill_RA/50.onnx,DP,2,13
28,298.0,49.0,483.0,53.0,311.0,11.0,0.0,1.0,21.0,13.07,70.0,new,experiments/results/DP_2_2/5mill_RA/50.onnx,DP,2,14
29,338.0,51.0,555.0,55.0,326.0,11.0,0.0,1.0,23.0,17.04,64.0,new,experiments/results/DP_2_2/5mill_RA/50.onnx,DP,2,15
30,452.0,159.0,851.0,289.0,758.0,133.0,5.0,9.0,9.0,46.64,310.0,new,experiments/results/DP_2_2/5mill_RA/50.onnx,DP,3,1
31,316.0,117.0,537.0,220.0,431.0,23.0,0.0,22.0,8.0,62.66,152.0,new,experiments/results/DP_2_2/5mill_RA/50.onnx,DP,3,2
32,404.0,59.0,658.0,87.0,530.0,1.0,0.0,18.0,6.0,89.71,225.0,new,experiments/results/DP_2_2/5mill_RA/50.onnx,DP,3,3
33,756.0,168.0,1429.0,306.0,1070.0,143.0,8.0,53.0,18.0,136.7,519.0,new,experiments/results/DP_2_2/5mill_RA/50.onnx,DP,3,4
34,795.0,259.0,1437.0,485.0,1087.0,123.0,0.0,78.0,21.0,14.61,620.0,new,experiments/results/DP_2_2/5mill_RA/50.onnx,DP,3,5
35,1573.0,262.0,2809.0,476.0,2276.0,170.0,4.0,55.0,45.0,30.7,1687.0,new,experiments/results/DP_2_2/5mill_RA/50.onnx,DP,3,6
36,1781.0,284.0,3479.0,517.0,2972.0,204.0,29.0,59.0,25.0,135.14,2171.0,new,experiments/results/DP_2_2/5mill_RA/50.onnx,DP,3,7
37,2150.0,458.0,4042.0,852.0,3506.0,124.0,20.0,57.0,57.0,83.04,2844.0,new,experiments/results/DP_2_2/5mill_RA/50.onnx,DP,3,8
38,3268.0,312.0,6201.0,597.0,9028.0,168.0,17.0,51.0,29.0,244.83,8284.0,new,experiments/results/DP_2_2/5mill_RA/50.onnx,DP,3,9
