,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),heuristic time(ms),OutOfMem,algorithm,heuristic,problem,n,k,idx
0,4.0,0.0,3.0,0.0,142.0,0.0,0.0,0.0,1.0,0.0,8.0,True,new,experiments/results/DP_2_2/5mill_RR10k_NORA/0.onnx,DP,1,1,0
1,5.0,0.0,4.0,0.0,141.0,0.0,0.0,0.0,1.0,0.0,6.0,True,new,experiments/results/DP_2_2/5mill_RR10k_NORA/0.onnx,DP,1,2,0
2,6.0,0.0,5.0,0.0,153.0,0.0,0.0,0.0,1.0,0.0,8.0,True,new,experiments/results/DP_2_2/5mill_RR10k_NORA/0.onnx,DP,1,3,0
3,7.0,0.0,6.0,0.0,154.0,0.0,0.0,0.0,1.0,0.0,7.0,True,new,experiments/results/DP_2_2/5mill_RR10k_NORA/0.onnx,DP,1,4,0
4,8.0,0.0,7.0,0.0,143.0,0.0,0.0,0.0,1.0,0.0,9.0,True,new,experiments/results/DP_2_2/5mill_RR10k_NORA/0.onnx,DP,1,5,0
5,9.0,0.0,8.0,0.0,148.0,0.0,0.0,0.0,1.0,0.0,9.0,True,new,experiments/results/DP_2_2/5mill_RR10k_NORA/0.onnx,DP,1,6,0
6,10.0,0.0,9.0,0.0,142.0,0.0,0.0,0.0,1.0,0.0,8.0,True,new,experiments/results/DP_2_2/5mill_RR10k_NORA/0.onnx,DP,1,7,0
7,11.0,0.0,10.0,0.0,162.0,0.0,0.0,0.0,1.0,0.0,8.0,True,new,experiments/results/DP_2_2/5mill_RR10k_NORA/0.onnx,DP,1,8,0
8,12.0,0.0,11.0,0.0,141.0,0.0,0.0,0.0,1.0,0.0,8.0,True,new,experiments/results/DP_2_2/5mill_RR10k_NORA/0.onnx,DP,1,9,0
9,13.0,0.0,12.0,0.0,153.0,0.0,0.0,0.0,1.0,0.0,9.0,True,new,experiments/results/DP_2_2/5mill_RR10k_NORA/0.onnx,DP,1,10,0
10,14.0,0.0,13.0,0.0,173.0,0.0,0.0,0.0,1.0,0.0,9.0,True,new,experiments/results/DP_2_2/5mill_RR10k_NORA/0.onnx,DP,1,11,0
11,15.0,0.0,14.0,0.0,143.0,0.0,0.0,0.0,1.0,0.0,9.0,True,new,experiments/results/DP_2_2/5mill_RR10k_NORA/0.onnx,DP,1,12,0
12,16.0,0.0,15.0,0.0,144.0,0.0,0.0,0.0,1.0,0.0,10.0,True,new,experiments/results/DP_2_2/5mill_RR10k_NORA/0.onnx,DP,1,13,0
13,17.0,0.0,16.0,0.0,145.0,0.0,0.0,0.0,1.0,0.0,10.0,True,new,experiments/results/DP_2_2/5mill_RR10k_NORA/0.onnx,DP,1,14,0
14,18.0,0.0,17.0,0.0,164.0,0.0,0.0,0.0,1.0,0.0,9.0,True,new,experiments/results/DP_2_2/5mill_RR10k_NORA/0.onnx,DP,1,15,0
15,126.0,66.0,230.0,116.0,257.0,47.0,2.0,1.0,22.0,26.18,76.0,True,new,experiments/results/DP_2_2/5mill_RR10k_NORA/0.onnx,DP,2,1,0
16,165.0,74.0,293.0,130.0,269.0,53.0,2.0,1.0,32.0,27.62,85.0,True,new,experiments/results/DP_2_2/5mill_RR10k_NORA/0.onnx,DP,2,2,0
17,210.0,82.0,367.0,144.0,299.0,59.0,2.0,1.0,45.0,11.2,102.0,True,new,experiments/results/DP_2_2/5mill_RR10k_NORA/0.onnx,DP,2,3,0
18,227.0,70.0,371.0,102.0,301.0,33.0,3.0,1.0,56.0,28.66,113.0,True,new,experiments/results/DP_2_2/5mill_RR10k_NORA/0.onnx,DP,2,4,0
