,synthesis time(ms),expanded transitions,expanded states,n,k,problem,nfeatures,training time,training steps,avg q,idx,controllable,depth,state unexplorability,state marked,child marked,child goal,child error,child none,child deadlock,uncontrollability child,unexplorability child
0,66.0,140,111,2,2,DP,11,2398.789845943451,3800000,-99.08975581411784,0,0.4817665,-1.0404205,-0.36372143,0.8226346,0.82310915,-2.3841858e-07,-2.0433862,-1.1440171,-0.68979657,-2.0902545,-1.3616527
1,4685.0,1578,1146,3,3,DP,11,2398.789845943451,3800000,-99.08975581411784,0,0.4817665,-1.0404205,-0.36372143,0.8226346,0.82310915,-2.3841858e-07,-2.0433862,-1.1440171,-0.68979657,-2.0902545,-1.3616527
2,92.0,303,175,2,2,DP,11,3280.4606654644012,5000000,-95.9550924346688,1,0.21291631,-1.2279876,-0.5618876,0.49249616,1.0006741,-3.5762787e-07,-1.6597289,-1.0468624,-0.7212082,-1.5998429,-1.354972
3,46139.0,5422,2833,3,3,DP,11,3280.4606654644012,5000000,-95.9550924346688,1,0.21291631,-1.2279876,-0.5618876,0.49249616,1.0006741,-3.5762787e-07,-1.6597289,-1.0468624,-0.7212082,-1.5998429,-1.354972
4,80.0,268,165,2,2,DP,11,1023.4457008838654,1750000,-107.16220430117292,2,-0.09567487,-0.6034319,-0.57312804,0.48715705,0.63148236,-9.536743e-07,-3.2451687,-1.9941274,-0.7643596,-2.360955,-2.7135146
5,12596.0,3102,1584,3,3,DP,11,1023.4457008838654,1750000,-107.16220430117292,2,-0.09567487,-0.6034319,-0.57312804,0.48715705,0.63148236,-9.536743e-07,-3.2451687,-1.9941274,-0.7643596,-2.360955,-2.7135146
6,47.0,167,112,2,2,DP,11,334.2802565097809,600000,-96.25710947740923,3,-0.24693052,-0.37038875,-0.6762636,0.20997827,0.6329134,-9.536743e-07,-3.6737404,-2.450321,-0.67568576,-2.6247885,-3.2131681
7,7984.0,2235,1342,3,3,DP,11,334.2802565097809,600000,-96.25710947740923,3,-0.24693052,-0.37038875,-0.6762636,0.20997827,0.6329134,-9.536743e-07,-3.6737404,-2.450321,-0.67568576,-2.6247885,-3.2131681
8,82.0,258,167,2,2,DP,11,837.8012816905975,1450000,-76.77477716456856,4,0.14158902,-0.5005982,0.41822726,0.253976,0.9748348,-4.7683716e-07,-3.3577125,-1.0357132,-0.13102716,-1.1203867,-1.8953986
9,25968.0,4450,2437,3,3,DP,11,837.8012816905975,1450000,-76.77477716456856,4,0.14158902,-0.5005982,0.41822726,0.253976,0.9748348,-4.7683716e-07,-3.3577125,-1.0357132,-0.13102716,-1.1203867,-1.8953986
10,92.0,259,175,2,2,DP,11,3092.763799905777,4750000,-90.29486786194755,5,0.5268765,-0.7970171,-0.03265427,0.80346596,0.7948721,-3.5762787e-07,-1.5565071,-0.73256,-0.40089557,-1.124236,-0.9841003
11,4652.0,1671,1116,3,3,DP,11,3092.763799905777,4750000,-90.29486786194755,5,0.5268765,-0.7970171,-0.03265427,0.80346596,0.7948721,-3.5762787e-07,-1.5565071,-0.73256,-0.40089557,-1.124236,-0.9841003
12,11.0,53,40,2,2,DP,11,1245.0183753967285,2100000,-103.38032426806322,6,-0.11101143,-0.94739836,-0.1337491,0.9068947,0.46672264,-4.7683716e-07,-2.9476068,-1.4502295,-0.74510413,-2.9375758,-2.1746678
