,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),heuristic time(ms),OutOfMem,algorithm,heuristic,problem,n,k
0,4.0,0.0,3.0,0.0,144.0,0.0,0.0,0.0,1.0,0.0,10.0,True,new,experiments/results/DP_2_2/RRu4k/7.onnx,DP,1,1
1,5.0,0.0,4.0,0.0,144.0,0.0,0.0,0.0,1.0,0.0,10.0,True,new,experiments/results/DP_2_2/RRu4k/7.onnx,DP,1,2
2,6.0,0.0,5.0,0.0,142.0,0.0,0.0,0.0,1.0,0.0,10.0,True,new,experiments/results/DP_2_2/RRu4k/7.onnx,DP,1,3
3,7.0,0.0,6.0,0.0,145.0,0.0,0.0,0.0,1.0,0.0,7.0,True,new,experiments/results/DP_2_2/RRu4k/7.onnx,DP,1,4
4,8.0,0.0,7.0,0.0,155.0,0.0,0.0,0.0,1.0,0.0,8.0,True,new,experiments/results/DP_2_2/RRu4k/7.onnx,DP,1,5
5,9.0,0.0,8.0,0.0,149.0,0.0,0.0,0.0,1.0,0.0,11.0,True,new,experiments/results/DP_2_2/RRu4k/7.onnx,DP,1,6
6,10.0,0.0,9.0,0.0,146.0,0.0,0.0,0.0,1.0,0.0,11.0,True,new,experiments/results/DP_2_2/RRu4k/7.onnx,DP,1,7
7,11.0,0.0,10.0,0.0,127.0,0.0,0.0,0.0,1.0,0.0,10.0,True,new,experiments/results/DP_2_2/RRu4k/7.onnx,DP,1,8
8,12.0,0.0,11.0,0.0,127.0,0.0,0.0,0.0,1.0,0.0,10.0,True,new,experiments/results/DP_2_2/RRu4k/7.onnx,DP,1,9
9,13.0,0.0,12.0,0.0,131.0,0.0,0.0,0.0,1.0,0.0,10.0,True,new,experiments/results/DP_2_2/RRu4k/7.onnx,DP,1,10
10,14.0,0.0,13.0,0.0,147.0,0.0,0.0,0.0,1.0,0.0,10.0,True,new,experiments/results/DP_2_2/RRu4k/7.onnx,DP,1,11
11,15.0,0.0,14.0,0.0,146.0,0.0,0.0,0.0,1.0,0.0,9.0,True,new,experiments/results/DP_2_2/RRu4k/7.onnx,DP,1,12
12,16.0,0.0,15.0,0.0,149.0,0.0,0.0,0.0,1.0,0.0,12.0,True,new,experiments/results/DP_2_2/RRu4k/7.onnx,DP,1,13
13,17.0,0.0,16.0,0.0,148.0,0.0,0.0,0.0,1.0,0.0,15.0,True,new,experiments/results/DP_2_2/RRu4k/7.onnx,DP,1,14
14,18.0,0.0,17.0,0.0,149.0,0.0,0.0,0.0,1.0,0.0,13.0,True,new,experiments/results/DP_2_2/RRu4k/7.onnx,DP,1,15
15,56.0,25.0,66.0,32.0,183.0,5.0,0.0,1.0,1.0,16.0,40.0,True,new,experiments/results/DP_2_2/RRu4k/7.onnx,DP,2,1
16,69.0,28.0,84.0,36.0,176.0,5.0,0.0,1.0,3.0,16.48,45.0,True,new,experiments/results/DP_2_2/RRu4k/7.onnx,DP,2,2
17,84.0,31.0,105.0,40.0,186.0,5.0,0.0,1.0,4.0,16.96,55.0,True,new,experiments/results/DP_2_2/RRu4k/7.onnx,DP,2,3
18,101.0,34.0,126.0,44.0,212.0,5.0,0.0,1.0,3.0,17.44,82.0,True,new,experiments/results/DP_2_2/RRu4k/7.onnx,DP,2,4
19,129.0,37.0,166.0,48.0,232.0,5.0,0.0,1.0,2.0,17.92,81.0,True,new,experiments/results/DP_2_2/RRu4k/7.onnx,DP,2,5
20,150.0,40.0,190.0,52.0,255.0,5.0,0.0,1.0,2.0,18.48,102.0,True,new,experiments/results/DP_2_2/RRu4k/7.onnx,DP,2,6
