,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),heuristic time(ms),algorithm,heuristic,problem,n,k,training time,training steps,eta,nnsize,epsilon,nfeatures,target q,reset target freq,experience replay,buffer size,ra feature,idx
0,175,58,268,84,316,12,0,1,9,13.67,78.0,new,experiments/results/DP_2_2/TB_5mill_bs100/0.onnx,DP,2,2,2.2912437915802,0,1e-05,20,0.1,15,True,10000,True,10000,True,0
1,175,126,311,214,309,36,0,21,37,17.64,90.0,new,experiments/results/DP_2_2/TB_5mill_bs100/1.onnx,DP,2,2,153.82769012451172,50000,1e-05,20,0.1,15,True,10000,True,10000,True,1
2,175,128,313,219,353,53,0,18,39,18.65,105.0,new,experiments/results/DP_2_2/TB_5mill_bs100/2.onnx,DP,2,2,304.7622060775757,100000,1e-05,20,0.1,15,True,10000,True,10000,True,2
3,174,44,289,65,299,48,0,1,32,19.65,68.0,new,experiments/results/DP_2_2/TB_5mill_bs100/3.onnx,DP,2,2,457.57513761520386,150000,1e-05,20,0.1,15,True,10000,True,10000,True,3
4,174,43,298,62,274,52,0,1,23,22.65,79.0,new,experiments/results/DP_2_2/TB_5mill_bs100/4.onnx,DP,2,2,610.7999794483185,200000,1e-05,20,0.1,15,True,10000,True,10000,True,4
5,161,31,242,42,301,50,0,1,11,13.67,76.0,new,experiments/results/DP_2_2/TB_5mill_bs100/5.onnx,DP,2,2,763.880964756012,250000,1e-05,20,0.1,15,True,10000,True,10000,True,5
6,61,28,83,36,186,7,1,1,4,18.66,18.0,new,experiments/results/DP_2_2/TB_5mill_bs100/6.onnx,DP,2,2,908.8063385486603,300000,1e-05,20,0.1,15,True,10000,True,10000,True,6
7,175,56,306,89,285,59,1,1,24,18.7,54.0,new,experiments/results/DP_2_2/TB_5mill_bs100/7.onnx,DP,2,2,1051.5107245445251,350000,1e-05,20,0.1,15,True,10000,True,10000,True,7
8,118,65,198,103,251,59,1,1,1,8.65,32.0,new,experiments/results/DP_2_2/TB_5mill_bs100/8.onnx,DP,2,2,1196.5427136421204,400000,1e-05,20,0.1,15,True,10000,True,10000,True,8
9,100,48,155,76,237,38,0,4,3,24.66,38.0,new,experiments/results/DP_2_2/TB_5mill_bs100/9.onnx,DP,2,2,1342.956680059433,450000,1e-05,20,0.1,15,True,10000,True,10000,True,9
10,95,28,136,36,181,13,3,1,4,21.7,22.0,new,experiments/results/DP_2_2/TB_5mill_bs100/10.onnx,DP,2,2,1486.0395646095276,500000,1e-05,20,0.1,15,True,10000,True,10000,True,10
11,56,25,69,29,164,5,0,1,2,18.18,20.0,new,experiments/results/DP_2_2/TB_5mill_bs100/11.onnx,DP,2,2,1626.8720519542694,550000,1e-05,20,0.1,15,True,10000,True,10000,True,11
12,78,51,128,75,222,31,0,1,0,22.66,35.0,new,experiments/results/DP_2_2/TB_5mill_bs100/12.onnx,DP,2,2,1771.5247094631195,600000,1e-05,20,0.1,15,True,10000,True,10000,True,12
13,69,31,107,42,173,15,0,1,6,19.62,28.0,new,experiments/results/DP_2_2/TB_5mill_bs100/13.onnx,DP,2,2,1915.4372177124023,650000,1e-05,20,0.1,15,True,10000,True,10000,True,13
