,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),heuristic time(ms),algorithm,heuristic,problem,n,k
0,4.0,0.0,3.0,0.0,14.0,0.0,0.0,0.0,1.0,0.0,0.0,new,r,DP,1,1
1,5.0,0.0,4.0,0.0,16.0,0.0,0.0,0.0,1.0,0.0,0.0,new,r,DP,1,2
2,6.0,0.0,5.0,0.0,15.0,0.0,0.0,0.0,1.0,0.0,0.0,new,r,DP,1,3
3,7.0,0.0,6.0,0.0,16.0,0.0,0.0,0.0,1.0,0.0,0.0,new,r,DP,1,4
4,8.0,0.0,7.0,0.0,16.0,0.0,0.0,0.0,1.0,0.0,0.0,new,r,DP,1,5
5,9.0,0.0,8.0,0.0,17.0,0.0,0.0,0.0,1.0,0.0,0.0,new,r,DP,1,6
6,10.0,0.0,9.0,0.0,17.0,0.0,0.0,0.0,1.0,0.0,0.0,new,r,DP,1,7
7,11.0,0.0,10.0,0.0,24.0,0.0,0.0,0.0,1.0,0.0,0.0,new,r,DP,1,8
8,12.0,0.0,11.0,0.0,19.0,0.0,0.0,0.0,1.0,0.0,0.0,new,r,DP,1,9
9,13.0,0.0,12.0,0.0,19.0,0.0,0.0,0.0,1.0,0.0,0.0,new,r,DP,1,10
10,14.0,0.0,13.0,0.0,20.0,0.0,0.0,0.0,1.0,0.0,0.0,new,r,DP,1,11
11,15.0,0.0,14.0,0.0,27.0,0.0,0.0,0.0,1.0,0.0,0.0,new,r,DP,1,12
12,16.0,0.0,15.0,0.0,21.0,0.0,0.0,0.0,1.0,0.0,0.0,new,r,DP,1,13
13,17.0,0.0,16.0,0.0,27.0,0.0,0.0,0.0,1.0,0.0,0.0,new,r,DP,1,14
14,18.0,0.0,17.0,0.0,22.0,0.0,0.0,0.0,1.0,0.0,0.0,new,r,DP,1,15
15,25.0,23.0,29.0,27.0,32.0,4.0,0.0,1.0,1.0,16.18,0.0,new,r,DP,2,1
16,28.0,25.0,32.0,29.0,46.0,4.0,0.0,1.0,1.0,16.66,1.0,new,r,DP,2,2
17,31.0,27.0,35.0,31.0,38.0,4.0,0.0,1.0,1.0,16.66,0.0,new,r,DP,2,3
18,34.0,29.0,38.0,33.0,54.0,4.0,0.0,1.0,1.0,16.66,0.0,new,r,DP,2,4
19,37.0,31.0,41.0,35.0,38.0,4.0,0.0,1.0,1.0,17.14,1.0,new,r,DP,2,5
