,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),heuristic time(ms),algorithm,heuristic,problem,n,k,training time,training steps,eta,nnsize,epsilon,nfeatures,ra feature,avg q,idx,controllable,depth,state unexplorability,state marked,child marked,child goal,child error,child none,child deadlock,uncontrollability child,unexplorability child
0,169,74,297,130,237,46,2,1,33,11.53,66.0,new,base_features0,DP,2,2,10.805318593978882,10000,1e-06,20,0.1,11,False,1.2368425,0,0.32502288,0.50364184,-0.32533324,1.6153401,-0.43307692,-2.9802322e-08,1.8385543,-0.9213102,0.16994448,-0.30935067,1.1929636
1,2757,267,6016,471,15137,884,3,5,459,257.1,12978.0,new,base_features0,DP,3,3,10.805318593978882,10000,1e-06,20,0.1,11,False,1.2368425,0,0.32502288,0.50364184,-0.32533324,1.6153401,-0.43307692,-2.9802322e-08,1.8385543,-0.9213102,0.16994448,-0.30935067,1.1929636
2,167,82,297,143,207,51,2,1,33,13.53,65.0,new,base_features1,DP,2,2,21.24951434135437,20000,1e-06,20,0.1,11,False,0.8566666,1,0.26788798,0.35075092,-0.77581155,1.3262011,-0.5589192,-5.9604645e-08,1.8631968,-0.96240973,0.24720792,-0.34142888,1.232057
3,2662,200,5778,317,14460,756,11,11,472,307.75,12539.0,new,base_features1,DP,3,3,21.24951434135437,20000,1e-06,20,0.1,11,False,0.8566666,1,0.26788798,0.35075092,-0.77581155,1.3262011,-0.5589192,-5.9604645e-08,1.8631968,-0.96240973,0.24720792,-0.34142888,1.232057
4,165,67,291,114,207,47,0,1,32,12.5,77.0,new,base_features2,DP,2,2,31.6959228515625,30000,1e-06,20,0.1,11,False,0.5124469,2,0.18572912,0.16568542,-1.291725,1.0200809,-0.66253835,0.0,1.8346119,-0.9883827,0.3348106,-0.34324467,1.2084825
5,2644,303,6427,601,18857,1329,2,1,452,472.15,14843.0,new,base_features2,DP,3,3,31.6959228515625,30000,1e-06,20,0.1,11,False,0.5124469,2,0.18572912,0.16568542,-1.291725,1.0200809,-0.66253835,0.0,1.8346119,-0.9883827,0.3348106,-0.34324467,1.2084825
6,166,67,292,114,228,51,0,1,33,9.54,57.0,new,base_features3,DP,2,2,42.09054636955261,40000,1e-06,20,0.1,11,False,0.17748351,3,0.12391498,-0.003815174,-1.6888572,0.71190995,-0.7177408,-1.1920929e-07,1.7513738,-1.0065486,0.3880844,-0.39411777,1.1303136
7,2619,85,5225,127,14237,658,1,3,439,333.28,12772.0,new,base_features3,DP,3,3,42.09054636955261,40000,1e-06,20,0.1,11,False,0.17748351,3,0.12391498,-0.003815174,-1.6888572,0.71190995,-0.7177408,-1.1920929e-07,1.7513738,-1.0065486,0.3880844,-0.39411777,1.1303136
8,166,67,292,114,213,52,0,1,33,9.53,71.0,new,base_features4,DP,2,2,52.47909188270569,50000,1e-06,20,0.1,11,False,-0.16875874,4,0.008679527,-0.13155007,-1.937612,0.43207043,-0.78654706,-1.1920929e-07,1.5950933,-1.0742693,0.3535808,-0.42592722,1.0062866
9,2636,56,6026,81,15762,1254,7,1,447,288.3,12454.0,new,base_features4,DP,3,3,52.47909188270569,50000,1e-06,20,0.1,11,False,-0.16875874,4,0.008679527,-0.13155007,-1.937612,0.43207043,-0.78654706,-1.1920929e-07,1.5950933,-1.0742693,0.3535808,-0.42592722,1.0062866
10,169,82,302,143,215,58,0,1,37,15.5,70.0,new,base_features5,DP,2,2,62.85915184020996,60000,1e-06,20,0.1,11,False,-0.5405398,5,-0.086146586,-0.18126523,-2.1253293,0.19720566,-0.8389041,0.0,1.4008453,-1.1511531,0.3218546,-0.48639196,0.8563668
