,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),heuristic time(ms),expansion_budget_exceeded,OutOfMem,algorithm,heuristic,problem,n,k,transitions/ms
0,4,0,3,0,162,0,0,0,1,0.0,11.0,false,False,new,experiments/results/DP_2_2/boolean/70.onnx,DP,1,1,0.018518518518518517
1,5,0,4,0,168,0,0,0,1,0.0,10.0,false,False,new,experiments/results/DP_2_2/boolean/70.onnx,DP,1,2,0.023809523809523808
2,6,0,5,0,183,0,0,0,1,0.0,10.0,false,False,new,experiments/results/DP_2_2/boolean/70.onnx,DP,1,3,0.0273224043715847
3,7,0,6,0,181,0,0,0,1,0.0,11.0,false,False,new,experiments/results/DP_2_2/boolean/70.onnx,DP,1,4,0.03314917127071823
4,8,0,7,0,222,0,0,0,1,0.0,20.0,false,False,new,experiments/results/DP_2_2/boolean/70.onnx,DP,1,5,0.03153153153153153
5,51,32,64,40,244,7,1,1,6,21.14,67.0,false,False,new,experiments/results/DP_2_2/boolean/70.onnx,DP,2,1,0.26229508196721313
6,35,25,39,29,227,4,0,2,1,20.66,58.0,false,False,new,experiments/results/DP_2_2/boolean/70.onnx,DP,2,2,0.17180616740088106
7,45,27,49,31,199,4,0,2,1,20.66,37.0,false,False,new,experiments/results/DP_2_2/boolean/70.onnx,DP,2,3,0.24623115577889448
8,49,29,53,33,206,4,0,2,1,20.66,41.0,false,False,new,experiments/results/DP_2_2/boolean/70.onnx,DP,2,4,0.25728155339805825
9,75,31,80,35,246,4,0,2,1,21.14,67.0,false,False,new,experiments/results/DP_2_2/boolean/70.onnx,DP,2,5,0.3252032520325203
10,111,42,141,55,265,11,3,15,4,23.14,92.0,false,False,new,experiments/results/DP_2_2/boolean/70.onnx,DP,3,1,0.5320754716981132
11,195,75,242,108,350,18,3,16,4,26.66,158.0,false,False,new,experiments/results/DP_2_2/boolean/70.onnx,DP,3,2,0.6914285714285714
12,1318,0,3001,0,1608,478,12,0,104,0.0,824.0,true,False,new,experiments/results/DP_2_2/boolean/70.onnx,DP,3,3,1.8662935323383085
13,1378,0,3001,0,1653,300,7,0,158,0.0,989.0,true,False,new,experiments/results/DP_2_2/boolean/70.onnx,DP,3,4,1.8154869933454325
14,1700,0,3001,0,1652,176,6,0,49,0.0,1153.0,true,False,new,experiments/results/DP_2_2/boolean/70.onnx,DP,3,5,1.8165859564164648
15,870,308,1773,621,1218,241,2,1,2,115.8,703.0,false,False,new,experiments/results/DP_2_2/boolean/70.onnx,DP,4,1,1.4556650246305418
16,561,161,876,298,629,65,2,28,2,64.62,385.0,false,False,new,experiments/results/DP_2_2/boolean/70.onnx,DP,4,2,1.3926868044515104
17,1600,0,3001,0,1977,146,0,0,6,0.0,1442.0,true,False,new,experiments/results/DP_2_2/boolean/70.onnx,DP,4,3,1.5179564997470916
18,1115,173,1586,307,1212,78,2,29,2,24.38,917.0,false,False,new,experiments/results/DP_2_2/boolean/70.onnx,DP,4,4,1.3085808580858085
19,1375,194,1955,339,1478,82,2,30,2,92.0,1160.0,false,False,new,experiments/results/DP_2_2/boolean/70.onnx,DP,4,5,1.3227334235453316
20,1593,0,3001,0,2445,77,24,0,2,0.0,2040.0,true,False,new,experiments/results/DP_2_2/boolean/70.onnx,DP,5,1,1.227402862985685
21,2146,0,3001,0,2954,0,19,0,4,0.0,2668.0,true,False,new,experiments/results/DP_2_2/boolean/70.onnx,DP,5,2,1.0159106296547056
22,2860,0,3001,0,3581,0,0,0,4,0.0,3325.0,true,False,new,experiments/results/DP_2_2/boolean/70.onnx,DP,5,3,0.838034068695895
23,2880,0,3001,0,3417,0,0,0,3,0.0,3170.0,true,False,new,experiments/results/DP_2_2/boolean/70.onnx,DP,5,4,0.8782557799239099
24,2928,0,3001,0,3380,0,0,0,3,0.0,3134.0,true,False,new,experiments/results/DP_2_2/boolean/70.onnx,DP,5,5,0.8878698224852071
