,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),heuristic time(ms),OutOfMem,algorithm,heuristic,problem,n,k
0,4.0,0.0,3.0,0.0,171.0,0.0,0.0,0.0,1.0,0.0,12.0,False,new,experiments/results/DP_2_2/boolean_4/52.onnx,DP,1,1
1,5.0,0.0,4.0,0.0,171.0,0.0,0.0,0.0,1.0,0.0,13.0,False,new,experiments/results/DP_2_2/boolean_4/52.onnx,DP,1,2
2,6.0,0.0,5.0,0.0,171.0,0.0,0.0,0.0,1.0,0.0,12.0,False,new,experiments/results/DP_2_2/boolean_4/52.onnx,DP,1,3
3,7.0,0.0,6.0,0.0,174.0,0.0,0.0,0.0,1.0,0.0,12.0,False,new,experiments/results/DP_2_2/boolean_4/52.onnx,DP,1,4
4,8.0,0.0,7.0,0.0,176.0,0.0,0.0,0.0,1.0,0.0,11.0,False,new,experiments/results/DP_2_2/boolean_4/52.onnx,DP,1,5
5,9.0,0.0,8.0,0.0,170.0,0.0,0.0,0.0,1.0,0.0,12.0,False,new,experiments/results/DP_2_2/boolean_4/52.onnx,DP,1,6
6,10.0,0.0,9.0,0.0,180.0,0.0,0.0,0.0,1.0,0.0,14.0,False,new,experiments/results/DP_2_2/boolean_4/52.onnx,DP,1,7
7,11.0,0.0,10.0,0.0,171.0,0.0,0.0,0.0,1.0,0.0,13.0,False,new,experiments/results/DP_2_2/boolean_4/52.onnx,DP,1,8
8,12.0,0.0,11.0,0.0,181.0,0.0,0.0,0.0,1.0,0.0,14.0,False,new,experiments/results/DP_2_2/boolean_4/52.onnx,DP,1,9
9,13.0,0.0,12.0,0.0,175.0,0.0,0.0,0.0,1.0,0.0,12.0,False,new,experiments/results/DP_2_2/boolean_4/52.onnx,DP,1,10
10,14.0,0.0,13.0,0.0,178.0,0.0,0.0,0.0,1.0,0.0,14.0,False,new,experiments/results/DP_2_2/boolean_4/52.onnx,DP,1,11
11,15.0,0.0,14.0,0.0,171.0,0.0,0.0,0.0,1.0,0.0,11.0,False,new,experiments/results/DP_2_2/boolean_4/52.onnx,DP,1,12
12,16.0,0.0,15.0,0.0,177.0,0.0,0.0,0.0,1.0,0.0,14.0,False,new,experiments/results/DP_2_2/boolean_4/52.onnx,DP,1,13
13,17.0,0.0,16.0,0.0,185.0,0.0,0.0,0.0,1.0,0.0,14.0,False,new,experiments/results/DP_2_2/boolean_4/52.onnx,DP,1,14
14,18.0,0.0,17.0,0.0,174.0,0.0,0.0,0.0,1.0,0.0,15.0,False,new,experiments/results/DP_2_2/boolean_4/52.onnx,DP,1,15
15,38.0,23.0,43.0,27.0,199.0,4.0,1.0,1.0,2.0,16.0,35.0,False,new,experiments/results/DP_2_2/boolean_4/52.onnx,DP,2,1
16,46.0,25.0,51.0,29.0,205.0,4.0,1.0,1.0,2.0,16.48,38.0,False,new,experiments/results/DP_2_2/boolean_4/52.onnx,DP,2,2
17,54.0,27.0,59.0,31.0,212.0,4.0,1.0,1.0,2.0,16.48,40.0,False,new,experiments/results/DP_2_2/boolean_4/52.onnx,DP,2,3
18,62.0,29.0,67.0,33.0,217.0,4.0,1.0,1.0,2.0,16.48,50.0,False,new,experiments/results/DP_2_2/boolean_4/52.onnx,DP,2,4
19,70.0,31.0,75.0,35.0,219.0,4.0,1.0,1.0,2.0,16.48,46.0,False,new,experiments/results/DP_2_2/boolean_4/52.onnx,DP,2,5
20,78.0,33.0,83.0,37.0,235.0,4.0,1.0,1.0,2.0,16.96,66.0,False,new,experiments/results/DP_2_2/boolean_4/52.onnx,DP,2,6
21,86.0,35.0,91.0,39.0,226.0,4.0,1.0,1.0,2.0,16.96,55.0,False,new,experiments/results/DP_2_2/boolean_4/52.onnx,DP,2,7
22,94.0,37.0,99.0,41.0,233.0,4.0,1.0,1.0,2.0,16.96,59.0,False,new,experiments/results/DP_2_2/boolean_4/52.onnx,DP,2,8
23,102.0,39.0,107.0,43.0,243.0,4.0,1.0,1.0,2.0,17.44,65.0,False,new,experiments/results/DP_2_2/boolean_4/52.onnx,DP,2,9
24,110.0,41.0,115.0,45.0,252.0,4.0,1.0,1.0,2.0,17.44,76.0,False,new,experiments/results/DP_2_2/boolean_4/52.onnx,DP,2,10
25,118.0,43.0,123.0,47.0,245.0,4.0,1.0,1.0,2.0,17.44,73.0,False,new,experiments/results/DP_2_2/boolean_4/52.onnx,DP,2,11
26,126.0,45.0,131.0,49.0,250.0,4.0,1.0,1.0,2.0,17.92,75.0,False,new,experiments/results/DP_2_2/boolean_4/52.onnx,DP,2,12
27,134.0,47.0,139.0,51.0,249.0,4.0,1.0,1.0,2.0,17.92,72.0,False,new,experiments/results/DP_2_2/boolean_4/52.onnx,DP,2,13
28,142.0,49.0,147.0,53.0,255.0,4.0,1.0,1.0,2.0,17.92,71.0,False,new,experiments/results/DP_2_2/boolean_4/52.onnx,DP,2,14
29,150.0,51.0,155.0,55.0,269.0,4.0,1.0,1.0,2.0,18.0,91.0,False,new,experiments/results/DP_2_2/boolean_4/52.onnx,DP,2,15
30,79.0,34.0,91.0,42.0,237.0,4.0,1.0,1.0,2.0,17.44,64.0,False,new,experiments/results/DP_2_2/boolean_4/52.onnx,DP,3,1
31,95.0,42.0,107.0,50.0,260.0,4.0,1.0,1.0,2.0,17.44,80.0,False,new,experiments/results/DP_2_2/boolean_4/52.onnx,DP,3,2
32,111.0,47.0,123.0,55.0,264.0,4.0,1.0,1.0,2.0,17.92,83.0,False,new,experiments/results/DP_2_2/boolean_4/52.onnx,DP,3,3
33,127.0,52.0,139.0,60.0,265.0,4.0,1.0,1.0,2.0,18.0,96.0,False,new,experiments/results/DP_2_2/boolean_4/52.onnx,DP,3,4
34,143.0,57.0,155.0,65.0,288.0,4.0,1.0,1.0,2.0,18.48,108.0,False,new,experiments/results/DP_2_2/boolean_4/52.onnx,DP,3,5
35,159.0,62.0,171.0,70.0,275.0,4.0,1.0,1.0,2.0,18.96,95.0,False,new,experiments/results/DP_2_2/boolean_4/52.onnx,DP,3,6
36,175.0,67.0,187.0,75.0,300.0,4.0,1.0,1.0,2.0,19.44,124.0,False,new,experiments/results/DP_2_2/boolean_4/52.onnx,DP,3,7
37,191.0,55.0,203.0,63.0,323.0,4.0,1.0,1.0,2.0,19.44,142.0,False,new,experiments/results/DP_2_2/boolean_4/52.onnx,DP,3,8
38,207.0,58.0,219.0,66.0,303.0,4.0,1.0,1.0,2.0,19.92,115.0,False,new,experiments/results/DP_2_2/boolean_4/52.onnx,DP,3,9
39,223.0,61.0,235.0,69.0,318.0,4.0,1.0,1.0,2.0,20.48,130.0,False,new,experiments/results/DP_2_2/boolean_4/52.onnx,DP,3,10
40,239.0,87.0,251.0,95.0,347.0,4.0,1.0,1.0,2.0,20.48,162.0,False,new,experiments/results/DP_2_2/boolean_4/52.onnx,DP,3,11
41,255.0,92.0,267.0,100.0,343.0,4.0,1.0,1.0,2.0,21.44,158.0,False,new,experiments/results/DP_2_2/boolean_4/52.onnx,DP,3,12
42,271.0,70.0,283.0,78.0,350.0,4.0,1.0,1.0,2.0,21.92,167.0,False,new,experiments/results/DP_2_2/boolean_4/52.onnx,DP,3,13
43,287.0,73.0,299.0,81.0,325.0,4.0,1.0,1.0,2.0,22.48,136.0,False,new,experiments/results/DP_2_2/boolean_4/52.onnx,DP,3,14
44,303.0,76.0,315.0,84.0,366.0,4.0,1.0,1.0,2.0,23.92,173.0,False,new,experiments/results/DP_2_2/boolean_4/52.onnx,DP,3,15
45,300.0,68.0,396.0,106.0,394.0,1.0,6.0,1.0,5.0,16.11,198.0,False,new,experiments/results/DP_2_2/boolean_4/52.onnx,DP,4,1
46,407.0,67.0,509.0,99.0,480.0,1.0,6.0,1.0,5.0,21.17,284.0,False,new,experiments/results/DP_2_2/boolean_4/52.onnx,DP,4,2
47,250.0,62.0,288.0,82.0,341.0,4.0,3.0,1.0,3.0,23.44,154.0,False,new,experiments/results/DP_2_2/boolean_4/52.onnx,DP,4,3
48,334.0,67.0,377.0,87.0,423.0,4.0,2.0,1.0,3.0,8.27,226.0,False,new,experiments/results/DP_2_2/boolean_4/52.onnx,DP,4,4
