,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),heuristic time(ms),expansion_budget_exceeded,OutOfMem,algorithm,heuristic,problem,n,k,transitions/ms
0,4,0,3,0,167,0,0,0,1,0.0,11.0,false,False,new,experiments/results/DP_2_2/boolean_4/52.onnx,DP,1,1,0.017964071856287425
1,5,0,4,0,169,0,0,0,1,0.0,11.0,false,False,new,experiments/results/DP_2_2/boolean_4/52.onnx,DP,1,2,0.023668639053254437
2,6,0,5,0,169,0,0,0,1,0.0,11.0,false,False,new,experiments/results/DP_2_2/boolean_4/52.onnx,DP,1,3,0.029585798816568046
3,7,0,6,0,172,0,0,0,1,0.0,13.0,false,False,new,experiments/results/DP_2_2/boolean_4/52.onnx,DP,1,4,0.03488372093023256
4,8,0,7,0,170,0,0,0,1,0.0,14.0,false,False,new,experiments/results/DP_2_2/boolean_4/52.onnx,DP,1,5,0.041176470588235294
5,9,0,8,0,171,0,0,0,1,0.0,10.0,false,False,new,experiments/results/DP_2_2/boolean_4/52.onnx,DP,1,6,0.04678362573099415
6,10,0,9,0,173,0,0,0,1,0.0,12.0,false,False,new,experiments/results/DP_2_2/boolean_4/52.onnx,DP,1,7,0.05202312138728324
7,11,0,10,0,173,0,0,0,1,0.0,12.0,false,False,new,experiments/results/DP_2_2/boolean_4/52.onnx,DP,1,8,0.057803468208092484
8,12,0,11,0,170,0,0,0,1,0.0,13.0,false,False,new,experiments/results/DP_2_2/boolean_4/52.onnx,DP,1,9,0.06470588235294118
9,13,0,12,0,177,0,0,0,1,0.0,13.0,false,False,new,experiments/results/DP_2_2/boolean_4/52.onnx,DP,1,10,0.06779661016949153
10,14,0,13,0,181,0,0,0,1,0.0,14.0,false,False,new,experiments/results/DP_2_2/boolean_4/52.onnx,DP,1,11,0.0718232044198895
11,15,0,14,0,173,0,0,0,1,0.0,15.0,false,False,new,experiments/results/DP_2_2/boolean_4/52.onnx,DP,1,12,0.08092485549132948
12,16,0,15,0,178,0,0,0,1,0.0,15.0,false,False,new,experiments/results/DP_2_2/boolean_4/52.onnx,DP,1,13,0.08426966292134831
13,17,0,16,0,172,0,0,0,1,0.0,15.0,false,False,new,experiments/results/DP_2_2/boolean_4/52.onnx,DP,1,14,0.09302325581395349
14,18,0,17,0,173,0,0,0,1,0.0,16.0,false,False,new,experiments/results/DP_2_2/boolean_4/52.onnx,DP,1,15,0.09826589595375723
15,38,23,43,27,199,4,1,1,2,16.0,37.0,false,False,new,experiments/results/DP_2_2/boolean_4/52.onnx,DP,2,1,0.21608040201005024
16,46,25,51,29,210,4,1,1,2,16.48,43.0,false,False,new,experiments/results/DP_2_2/boolean_4/52.onnx,DP,2,2,0.24285714285714285
17,54,27,59,31,210,4,1,1,2,16.48,44.0,false,False,new,experiments/results/DP_2_2/boolean_4/52.onnx,DP,2,3,0.28095238095238095
18,62,29,67,33,217,4,1,1,2,15.98,50.0,false,False,new,experiments/results/DP_2_2/boolean_4/52.onnx,DP,2,4,0.3087557603686636
19,70,31,75,35,230,4,1,1,2,16.96,57.0,false,False,new,experiments/results/DP_2_2/boolean_4/52.onnx,DP,2,5,0.32608695652173914
20,78,33,83,37,226,4,1,1,2,16.96,58.0,false,False,new,experiments/results/DP_2_2/boolean_4/52.onnx,DP,2,6,0.3672566371681416
21,86,35,91,39,232,4,1,1,2,16.96,66.0,false,False,new,experiments/results/DP_2_2/boolean_4/52.onnx,DP,2,7,0.3922413793103448
22,94,37,99,41,235,4,1,1,2,17.44,63.0,false,False,new,experiments/results/DP_2_2/boolean_4/52.onnx,DP,2,8,0.42127659574468085
23,102,39,107,43,245,4,1,1,2,16.96,73.0,false,False,new,experiments/results/DP_2_2/boolean_4/52.onnx,DP,2,9,0.43673469387755104
24,110,41,115,45,245,4,1,1,2,17.44,69.0,false,False,new,experiments/results/DP_2_2/boolean_4/52.onnx,DP,2,10,0.46938775510204084
25,118,43,123,47,242,4,1,1,2,17.44,66.0,false,False,new,experiments/results/DP_2_2/boolean_4/52.onnx,DP,2,11,0.5082644628099173
26,126,45,131,49,250,4,1,1,2,17.92,69.0,false,False,new,experiments/results/DP_2_2/boolean_4/52.onnx,DP,2,12,0.524
27,134,47,139,51,256,4,1,1,2,17.92,80.0,false,False,new,experiments/results/DP_2_2/boolean_4/52.onnx,DP,2,13,0.54296875
28,142,49,147,53,257,4,1,1,2,17.92,78.0,false,False,new,experiments/results/DP_2_2/boolean_4/52.onnx,DP,2,14,0.5719844357976653
29,150,51,155,55,256,4,1,1,2,18.48,85.0,false,False,new,experiments/results/DP_2_2/boolean_4/52.onnx,DP,2,15,0.60546875
