,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),heuristic time(ms),expansion_budget_exceeded,OutOfMem,algorithm,heuristic,problem,n,k,transitions/ms
0,4.0,0.0,3.0,0.0,171.0,0.0,0.0,0.0,1.0,0.0,12.0,false,False,new,experiments/results/DP_2_2/boolean_5/50.onnx,DP,1,1,0.017543859649122806
1,5.0,0.0,4.0,0.0,175.0,0.0,0.0,0.0,1.0,0.0,9.0,false,False,new,experiments/results/DP_2_2/boolean_5/50.onnx,DP,1,2,0.022857142857142857
2,6.0,0.0,5.0,0.0,170.0,0.0,0.0,0.0,1.0,0.0,13.0,false,False,new,experiments/results/DP_2_2/boolean_5/50.onnx,DP,1,3,0.029411764705882353
3,7.0,0.0,6.0,0.0,171.0,0.0,0.0,0.0,1.0,0.0,13.0,false,False,new,experiments/results/DP_2_2/boolean_5/50.onnx,DP,1,4,0.03508771929824561
4,8.0,0.0,7.0,0.0,172.0,0.0,0.0,0.0,1.0,0.0,13.0,false,False,new,experiments/results/DP_2_2/boolean_5/50.onnx,DP,1,5,0.040697674418604654
5,9.0,0.0,8.0,0.0,177.0,0.0,0.0,0.0,1.0,0.0,11.0,false,False,new,experiments/results/DP_2_2/boolean_5/50.onnx,DP,1,6,0.04519774011299435
6,10.0,0.0,9.0,0.0,181.0,0.0,0.0,0.0,1.0,0.0,16.0,false,False,new,experiments/results/DP_2_2/boolean_5/50.onnx,DP,1,7,0.049723756906077346
7,11.0,0.0,10.0,0.0,173.0,0.0,0.0,0.0,1.0,0.0,13.0,false,False,new,experiments/results/DP_2_2/boolean_5/50.onnx,DP,1,8,0.057803468208092484
8,12.0,0.0,11.0,0.0,174.0,0.0,0.0,0.0,1.0,0.0,16.0,false,False,new,experiments/results/DP_2_2/boolean_5/50.onnx,DP,1,9,0.06321839080459771
9,13.0,0.0,12.0,0.0,175.0,0.0,0.0,0.0,1.0,0.0,13.0,false,False,new,experiments/results/DP_2_2/boolean_5/50.onnx,DP,1,10,0.06857142857142857
10,14.0,0.0,13.0,0.0,171.0,0.0,0.0,0.0,1.0,0.0,13.0,false,False,new,experiments/results/DP_2_2/boolean_5/50.onnx,DP,1,11,0.07602339181286549
11,15.0,0.0,14.0,0.0,176.0,0.0,0.0,0.0,1.0,0.0,15.0,false,False,new,experiments/results/DP_2_2/boolean_5/50.onnx,DP,1,12,0.07954545454545454
12,16.0,0.0,15.0,0.0,180.0,0.0,0.0,0.0,1.0,0.0,17.0,false,False,new,experiments/results/DP_2_2/boolean_5/50.onnx,DP,1,13,0.08333333333333333
13,17.0,0.0,16.0,0.0,177.0,0.0,0.0,0.0,1.0,0.0,16.0,false,False,new,experiments/results/DP_2_2/boolean_5/50.onnx,DP,1,14,0.0903954802259887
14,18.0,0.0,17.0,0.0,176.0,0.0,0.0,0.0,1.0,0.0,17.0,false,False,new,experiments/results/DP_2_2/boolean_5/50.onnx,DP,1,15,0.09659090909090909
15,41.0,23.0,46.0,27.0,206.0,4.0,0.0,1.0,2.0,15.98,41.0,false,False,new,experiments/results/DP_2_2/boolean_5/50.onnx,DP,2,1,0.22330097087378642
16,50.0,25.0,56.0,29.0,211.0,4.0,1.0,1.0,2.0,16.48,41.0,false,False,new,experiments/results/DP_2_2/boolean_5/50.onnx,DP,2,2,0.26540284360189575
17,48.0,27.0,54.0,31.0,218.0,4.0,1.0,1.0,2.0,16.48,44.0,false,False,new,experiments/results/DP_2_2/boolean_5/50.onnx,DP,2,3,0.24770642201834864
18,55.0,29.0,61.0,33.0,216.0,4.0,1.0,1.0,2.0,15.98,40.0,false,False,new,experiments/results/DP_2_2/boolean_5/50.onnx,DP,2,4,0.2824074074074074
19,62.0,31.0,68.0,35.0,219.0,4.0,1.0,1.0,2.0,16.96,50.0,false,False,new,experiments/results/DP_2_2/boolean_5/50.onnx,DP,2,5,0.3105022831050228
20,82.0,33.0,88.0,37.0,232.0,4.0,1.0,1.0,2.0,16.96,62.0,false,False,new,experiments/results/DP_2_2/boolean_5/50.onnx,DP,2,6,0.3793103448275862
21,90.0,35.0,96.0,39.0,233.0,4.0,1.0,1.0,2.0,17.44,55.0,false,False,new,experiments/results/DP_2_2/boolean_5/50.onnx,DP,2,7,0.41201716738197425
22,98.0,37.0,104.0,41.0,251.0,4.0,1.0,1.0,2.0,17.44,74.0,false,False,new,experiments/results/DP_2_2/boolean_5/50.onnx,DP,2,8,0.41434262948207173
23,106.0,39.0,112.0,43.0,247.0,4.0,1.0,1.0,2.0,17.44,74.0,false,False,new,experiments/results/DP_2_2/boolean_5/50.onnx,DP,2,9,0.4534412955465587
24,114.0,41.0,120.0,45.0,263.0,4.0,1.0,1.0,2.0,17.92,82.0,false,False,new,experiments/results/DP_2_2/boolean_5/50.onnx,DP,2,10,0.45627376425855515
25,122.0,43.0,128.0,47.0,263.0,4.0,1.0,1.0,2.0,17.92,84.0,false,False,new,experiments/results/DP_2_2/boolean_5/50.onnx,DP,2,11,0.4866920152091255
26,130.0,45.0,136.0,49.0,263.0,4.0,1.0,1.0,2.0,17.92,82.0,false,False,new,experiments/results/DP_2_2/boolean_5/50.onnx,DP,2,12,0.5171102661596958
27,138.0,47.0,144.0,51.0,264.0,4.0,1.0,1.0,2.0,18.48,80.0,false,False,new,experiments/results/DP_2_2/boolean_5/50.onnx,DP,2,13,0.5454545454545454
28,146.0,49.0,152.0,53.0,285.0,4.0,1.0,1.0,2.0,18.48,97.0,false,False,new,experiments/results/DP_2_2/boolean_5/50.onnx,DP,2,14,0.5333333333333333
29,154.0,51.0,160.0,55.0,268.0,4.0,1.0,1.0,2.0,18.48,85.0,false,False,new,experiments/results/DP_2_2/boolean_5/50.onnx,DP,2,15,0.5970149253731343
30,212.0,34.0,238.0,42.0,315.0,4.0,5.0,1.0,7.0,20.96,144.0,false,False,new,experiments/results/DP_2_2/boolean_5/50.onnx,DP,3,1,0.7555555555555555
31,124.0,37.0,136.0,45.0,275.0,4.0,0.0,1.0,4.0,18.48,99.0,false,False,new,experiments/results/DP_2_2/boolean_5/50.onnx,DP,3,2,0.49454545454545457
32,184.0,40.0,201.0,48.0,297.0,4.0,0.0,1.0,4.0,19.44,111.0,false,False,new,experiments/results/DP_2_2/boolean_5/50.onnx,DP,3,3,0.6767676767676768
