,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),heuristic time(ms),OutOfMem,algorithm,heuristic,problem,n,k,idx
0,4.0,0.0,3.0,0.0,128.0,0.0,0.0,0.0,1.0,0.0,9.0,True,new,experiments/results/DP_2_2/epsdec_1kk/0.onnx,DP,1,1,0
1,5.0,0.0,4.0,0.0,129.0,0.0,0.0,0.0,1.0,0.0,8.0,True,new,experiments/results/DP_2_2/epsdec_1kk/0.onnx,DP,1,2,0
2,6.0,0.0,5.0,0.0,129.0,0.0,0.0,0.0,1.0,0.0,9.0,True,new,experiments/results/DP_2_2/epsdec_1kk/0.onnx,DP,1,3,0
3,7.0,0.0,6.0,0.0,128.0,0.0,0.0,0.0,1.0,0.0,8.0,True,new,experiments/results/DP_2_2/epsdec_1kk/0.onnx,DP,1,4,0
4,8.0,0.0,7.0,0.0,145.0,0.0,0.0,0.0,1.0,0.0,11.0,True,new,experiments/results/DP_2_2/epsdec_1kk/0.onnx,DP,1,5,0
5,9.0,0.0,8.0,0.0,130.0,0.0,0.0,0.0,1.0,0.0,11.0,True,new,experiments/results/DP_2_2/epsdec_1kk/0.onnx,DP,1,6,0
6,10.0,0.0,9.0,0.0,130.0,0.0,0.0,0.0,1.0,0.0,9.0,True,new,experiments/results/DP_2_2/epsdec_1kk/0.onnx,DP,1,7,0
7,11.0,0.0,10.0,0.0,131.0,0.0,0.0,0.0,1.0,0.0,12.0,True,new,experiments/results/DP_2_2/epsdec_1kk/0.onnx,DP,1,8,0
8,12.0,0.0,11.0,0.0,129.0,0.0,0.0,0.0,1.0,0.0,11.0,True,new,experiments/results/DP_2_2/epsdec_1kk/0.onnx,DP,1,9,0
9,13.0,0.0,12.0,0.0,131.0,0.0,0.0,0.0,1.0,0.0,11.0,True,new,experiments/results/DP_2_2/epsdec_1kk/0.onnx,DP,1,10,0
10,14.0,0.0,13.0,0.0,133.0,0.0,0.0,0.0,1.0,0.0,11.0,True,new,experiments/results/DP_2_2/epsdec_1kk/0.onnx,DP,1,11,0
11,15.0,0.0,14.0,0.0,133.0,0.0,0.0,0.0,1.0,0.0,14.0,True,new,experiments/results/DP_2_2/epsdec_1kk/0.onnx,DP,1,12,0
12,16.0,0.0,15.0,0.0,137.0,0.0,0.0,0.0,1.0,0.0,12.0,True,new,experiments/results/DP_2_2/epsdec_1kk/0.onnx,DP,1,13,0
13,17.0,0.0,16.0,0.0,136.0,0.0,0.0,0.0,1.0,0.0,12.0,True,new,experiments/results/DP_2_2/epsdec_1kk/0.onnx,DP,1,14,0
14,18.0,0.0,17.0,0.0,138.0,0.0,0.0,0.0,1.0,0.0,11.0,True,new,experiments/results/DP_2_2/epsdec_1kk/0.onnx,DP,1,15,0
15,127.0,110.0,230.0,193.0,264.0,55.0,0.0,1.0,20.0,24.96,98.0,True,new,experiments/results/DP_2_2/epsdec_1kk/0.onnx,DP,2,1,0
16,170.0,130.0,303.0,227.0,303.0,68.0,0.0,1.0,34.0,8.69,115.0,True,new,experiments/results/DP_2_2/epsdec_1kk/0.onnx,DP,2,2,0
17,217.0,150.0,379.0,261.0,329.0,67.0,1.0,1.0,47.0,14.83,134.0,True,new,experiments/results/DP_2_2/epsdec_1kk/0.onnx,DP,2,3,0
18,271.0,170.0,465.0,295.0,352.0,68.0,1.0,1.0,65.0,22.89,174.0,True,new,experiments/results/DP_2_2/epsdec_1kk/0.onnx,DP,2,4,0
19,326.0,190.0,549.0,329.0,375.0,70.0,1.0,1.0,79.0,27.06,163.0,True,new,experiments/results/DP_2_2/epsdec_1kk/0.onnx,DP,2,5,0
20,386.0,210.0,640.0,363.0,434.0,72.0,0.0,1.0,95.0,31.11,218.0,True,new,experiments/results/DP_2_2/epsdec_1kk/0.onnx,DP,2,6,0
21,438.0,230.0,717.0,397.0,451.0,76.0,1.0,1.0,104.0,38.02,228.0,True,new,experiments/results/DP_2_2/epsdec_1kk/0.onnx,DP,2,7,0
22,522.0,250.0,852.0,431.0,496.0,82.0,1.0,1.0,131.0,45.09,231.0,True,new,experiments/results/DP_2_2/epsdec_1kk/0.onnx,DP,2,8,0
23,601.0,270.0,987.0,465.0,504.0,75.0,0.0,1.0,156.0,49.14,250.0,True,new,experiments/results/DP_2_2/epsdec_1kk/0.onnx,DP,2,9,0
24,678.0,290.0,1114.0,499.0,533.0,75.0,0.0,1.0,187.0,54.22,290.0,True,new,experiments/results/DP_2_2/epsdec_1kk/0.onnx,DP,2,10,0
25,825.0,310.0,1373.0,533.0,643.0,76.0,0.0,1.0,243.0,64.36,338.0,True,new,experiments/results/DP_2_2/epsdec_1kk/0.onnx,DP,2,11,0
26,910.0,330.0,1523.0,567.0,599.0,77.0,0.0,1.0,271.0,74.29,315.0,True,new,experiments/results/DP_2_2/epsdec_1kk/0.onnx,DP,2,12,0
27,1016.0,350.0,1681.0,601.0,708.0,79.0,0.0,1.0,315.0,84.27,387.0,True,new,experiments/results/DP_2_2/epsdec_1kk/0.onnx,DP,2,13,0
28,1104.0,370.0,1833.0,635.0,656.0,80.0,0.0,1.0,337.0,95.09,353.0,True,new,experiments/results/DP_2_2/epsdec_1kk/0.onnx,DP,2,14,0
29,1225.0,390.0,2003.0,669.0,762.0,80.0,0.0,1.0,384.0,105.17,427.0,True,new,experiments/results/DP_2_2/epsdec_1kk/0.onnx,DP,2,15,0
30,1196.0,952.0,3008.0,2258.0,2625.0,1049.0,1.0,80.0,108.0,128.34,842.0,True,new,experiments/results/DP_2_2/epsdec_1kk/0.onnx,DP,3,1,0
31,,,,,,,,,,,,False,new,experiments/results/DP_2_2/epsdec_1kk/0.onnx,DP,3,2,0
32,,,,,,,,,,,,False,new,experiments/results/DP_2_2/epsdec_1kk/0.onnx,DP,4,1,0
33,4.0,0.0,3.0,0.0,134.0,0.0,0.0,0.0,1.0,0.0,9.0,True,new,experiments/results/DP_2_2/epsdec_1kk/1.onnx,DP,1,1,1
34,5.0,0.0,4.0,0.0,132.0,0.0,0.0,0.0,1.0,0.0,10.0,True,new,experiments/results/DP_2_2/epsdec_1kk/1.onnx,DP,1,2,1
35,6.0,0.0,5.0,0.0,131.0,0.0,0.0,0.0,1.0,0.0,9.0,True,new,experiments/results/DP_2_2/epsdec_1kk/1.onnx,DP,1,3,1
36,7.0,0.0,6.0,0.0,129.0,0.0,0.0,0.0,1.0,0.0,8.0,True,new,experiments/results/DP_2_2/epsdec_1kk/1.onnx,DP,1,4,1
37,8.0,0.0,7.0,0.0,128.0,0.0,0.0,0.0,1.0,0.0,10.0,True,new,experiments/results/DP_2_2/epsdec_1kk/1.onnx,DP,1,5,1
38,9.0,0.0,8.0,0.0,131.0,0.0,0.0,0.0,1.0,0.0,11.0,True,new,experiments/results/DP_2_2/epsdec_1kk/1.onnx,DP,1,6,1
39,10.0,0.0,9.0,0.0,132.0,0.0,0.0,0.0,1.0,0.0,8.0,True,new,experiments/results/DP_2_2/epsdec_1kk/1.onnx,DP,1,7,1
40,11.0,0.0,10.0,0.0,128.0,0.0,0.0,0.0,1.0,0.0,9.0,True,new,experiments/results/DP_2_2/epsdec_1kk/1.onnx,DP,1,8,1
