,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),heuristic time(ms),OutOfMem,algorithm,heuristic,problem,n,k
0,4.0,0.0,3.0,0.0,175.0,0.0,0.0,0.0,1.0,0.0,11.0,False,new,experiments/results/DP_2_2/epsdec_3/13.onnx,DP,1,1
1,5.0,0.0,4.0,0.0,170.0,0.0,0.0,0.0,1.0,0.0,11.0,False,new,experiments/results/DP_2_2/epsdec_3/13.onnx,DP,1,2
2,6.0,0.0,5.0,0.0,175.0,0.0,0.0,0.0,1.0,0.0,11.0,False,new,experiments/results/DP_2_2/epsdec_3/13.onnx,DP,1,3
3,7.0,0.0,6.0,0.0,178.0,0.0,0.0,0.0,1.0,0.0,10.0,False,new,experiments/results/DP_2_2/epsdec_3/13.onnx,DP,1,4
4,8.0,0.0,7.0,0.0,177.0,0.0,0.0,0.0,1.0,0.0,13.0,False,new,experiments/results/DP_2_2/epsdec_3/13.onnx,DP,1,5
5,9.0,0.0,8.0,0.0,176.0,0.0,0.0,0.0,1.0,0.0,12.0,False,new,experiments/results/DP_2_2/epsdec_3/13.onnx,DP,1,6
6,10.0,0.0,9.0,0.0,172.0,0.0,0.0,0.0,1.0,0.0,13.0,False,new,experiments/results/DP_2_2/epsdec_3/13.onnx,DP,1,7
7,11.0,0.0,10.0,0.0,174.0,0.0,0.0,0.0,1.0,0.0,14.0,False,new,experiments/results/DP_2_2/epsdec_3/13.onnx,DP,1,8
8,12.0,0.0,11.0,0.0,171.0,0.0,0.0,0.0,1.0,0.0,14.0,False,new,experiments/results/DP_2_2/epsdec_3/13.onnx,DP,1,9
9,13.0,0.0,12.0,0.0,172.0,0.0,0.0,0.0,1.0,0.0,14.0,False,new,experiments/results/DP_2_2/epsdec_3/13.onnx,DP,1,10
10,14.0,0.0,13.0,0.0,179.0,0.0,0.0,0.0,1.0,0.0,15.0,False,new,experiments/results/DP_2_2/epsdec_3/13.onnx,DP,1,11
11,15.0,0.0,14.0,0.0,174.0,0.0,0.0,0.0,1.0,0.0,13.0,False,new,experiments/results/DP_2_2/epsdec_3/13.onnx,DP,1,12
12,16.0,0.0,15.0,0.0,175.0,0.0,0.0,0.0,1.0,0.0,16.0,False,new,experiments/results/DP_2_2/epsdec_3/13.onnx,DP,1,13
13,17.0,0.0,16.0,0.0,177.0,0.0,0.0,0.0,1.0,0.0,17.0,False,new,experiments/results/DP_2_2/epsdec_3/13.onnx,DP,1,14
14,18.0,0.0,17.0,0.0,177.0,0.0,0.0,0.0,1.0,0.0,16.0,False,new,experiments/results/DP_2_2/epsdec_3/13.onnx,DP,1,15
15,48.0,23.0,62.0,27.0,208.0,4.0,2.0,1.0,11.0,15.47,36.0,False,new,experiments/results/DP_2_2/epsdec_3/13.onnx,DP,2,1
16,68.0,25.0,83.0,29.0,229.0,4.0,2.0,1.0,12.0,16.48,53.0,False,new,experiments/results/DP_2_2/epsdec_3/13.onnx,DP,2,2
17,94.0,27.0,123.0,31.0,238.0,4.0,2.0,1.0,23.0,16.96,68.0,False,new,experiments/results/DP_2_2/epsdec_3/13.onnx,DP,2,3
18,85.0,29.0,109.0,33.0,238.0,4.0,1.0,1.0,20.0,16.96,70.0,False,new,experiments/results/DP_2_2/epsdec_3/13.onnx,DP,2,4
19,110.0,31.0,139.0,35.0,251.0,4.0,1.0,1.0,25.0,17.44,82.0,False,new,experiments/results/DP_2_2/epsdec_3/13.onnx,DP,2,5
20,139.0,33.0,175.0,37.0,263.0,4.0,1.0,1.0,32.0,17.92,84.0,False,new,experiments/results/DP_2_2/epsdec_3/13.onnx,DP,2,6
21,172.0,35.0,214.0,39.0,278.0,4.0,1.0,1.0,39.0,18.48,98.0,False,new,experiments/results/DP_2_2/epsdec_3/13.onnx,DP,2,7
22,209.0,37.0,259.0,41.0,297.0,4.0,1.0,1.0,46.0,19.44,106.0,False,new,experiments/results/DP_2_2/epsdec_3/13.onnx,DP,2,8
23,250.0,39.0,303.0,43.0,311.0,4.0,1.0,1.0,49.0,20.48,127.0,False,new,experiments/results/DP_2_2/epsdec_3/13.onnx,DP,2,9
24,295.0,41.0,354.0,45.0,341.0,4.0,1.0,1.0,52.0,21.44,148.0,False,new,experiments/results/DP_2_2/epsdec_3/13.onnx,DP,2,10
25,344.0,43.0,409.0,47.0,374.0,4.0,1.0,1.0,61.0,22.96,175.0,False,new,experiments/results/DP_2_2/epsdec_3/13.onnx,DP,2,11
26,397.0,45.0,467.0,49.0,391.0,4.0,1.0,1.0,66.0,24.48,193.0,False,new,experiments/results/DP_2_2/epsdec_3/13.onnx,DP,2,12
27,454.0,47.0,530.0,51.0,374.0,4.0,1.0,1.0,72.0,26.96,167.0,False,new,experiments/results/DP_2_2/epsdec_3/13.onnx,DP,2,13
28,515.0,49.0,597.0,53.0,443.0,4.0,1.0,1.0,78.0,16.33,237.0,False,new,experiments/results/DP_2_2/epsdec_3/13.onnx,DP,2,14
29,580.0,51.0,668.0,55.0,456.0,4.0,1.0,1.0,84.0,18.49,253.0,False,new,experiments/results/DP_2_2/epsdec_3/13.onnx,DP,2,15
30,115.0,36.0,155.0,46.0,266.0,4.0,1.0,2.0,0.0,18.48,84.0,False,new,experiments/results/DP_2_2/epsdec_3/13.onnx,DP,3,1
31,172.0,43.0,234.0,57.0,298.0,4.0,1.0,2.0,0.0,19.92,120.0,False,new,experiments/results/DP_2_2/epsdec_3/13.onnx,DP,3,2
32,265.0,74.0,375.0,111.0,364.0,1.0,8.0,4.0,0.0,24.0,164.0,False,new,experiments/results/DP_2_2/epsdec_3/13.onnx,DP,3,3
33,330.0,63.0,467.0,91.0,408.0,4.0,1.0,2.0,0.0,11.18,202.0,False,new,experiments/results/DP_2_2/epsdec_3/13.onnx,DP,3,4
34,435.0,76.0,626.0,114.0,441.0,4.0,1.0,2.0,0.0,19.22,235.0,False,new,experiments/results/DP_2_2/epsdec_3/13.onnx,DP,3,5
35,608.0,107.0,900.0,165.0,573.0,1.0,1.0,4.0,0.0,35.29,369.0,False,new,experiments/results/DP_2_2/epsdec_3/13.onnx,DP,3,6
36,839.0,119.0,1267.0,138.0,658.0,4.0,2.0,2.0,0.0,62.31,434.0,False,new,experiments/results/DP_2_2/epsdec_3/13.onnx,DP,3,7
37,858.0,127.0,1288.0,207.0,720.0,4.0,1.0,2.0,0.0,62.35,489.0,False,new,experiments/results/DP_2_2/epsdec_3/13.onnx,DP,3,8
38,1045.0,148.0,1585.0,246.0,805.0,4.0,1.0,2.0,0.0,91.34,571.0,False,new,experiments/results/DP_2_2/epsdec_3/13.onnx,DP,3,9
39,1305.0,185.0,2007.0,304.0,900.0,1.0,1.0,4.0,0.0,136.36,655.0,False,new,experiments/results/DP_2_2/epsdec_3/13.onnx,DP,3,10
40,1546.0,222.0,2390.0,375.0,1055.0,1.0,1.0,4.0,0.0,47.26,792.0,False,new,experiments/results/DP_2_2/epsdec_3/13.onnx,DP,3,11
41,1723.0,232.0,2665.0,383.0,1185.0,4.0,2.0,2.0,0.0,92.43,923.0,False,new,experiments/results/DP_2_2/epsdec_3/13.onnx,DP,3,12
42,1955.0,252.0,3038.0,442.0,1412.0,4.0,1.0,2.0,0.0,14.16,1140.0,False,new,experiments/results/DP_2_2/epsdec_3/13.onnx,DP,3,13
43,2235.0,283.0,3484.0,501.0,1616.0,4.0,1.0,2.0,0.0,98.0,1346.0,False,new,experiments/results/DP_2_2/epsdec_3/13.onnx,DP,3,14
44,2441.0,316.0,3826.0,564.0,1737.0,4.0,1.0,2.0,0.0,30.37,1478.0,False,new,experiments/results/DP_2_2/epsdec_3/13.onnx,DP,3,15
45,301.0,76.0,464.0,119.0,423.0,7.0,8.0,7.0,0.0,19.14,199.0,False,new,experiments/results/DP_2_2/epsdec_3/13.onnx,DP,4,1
46,280.0,79.0,400.0,117.0,429.0,17.0,2.0,1.0,0.0,18.13,221.0,False,new,experiments/results/DP_2_2/epsdec_3/13.onnx,DP,4,2
47,295.0,85.0,402.0,124.0,465.0,26.0,1.0,1.0,0.0,21.17,238.0,False,new,experiments/results/DP_2_2/epsdec_3/13.onnx,DP,4,3
48,522.0,91.0,770.0,141.0,555.0,53.0,2.0,1.0,0.0,48.28,314.0,False,new,experiments/results/DP_2_2/epsdec_3/13.onnx,DP,4,4
49,2078.0,138.0,2936.0,220.0,1606.0,38.0,23.0,1.0,0.0,45.86,1317.0,False,new,experiments/results/DP_2_2/epsdec_3/13.onnx,DP,4,5
50,745.0,107.0,1086.0,165.0,749.0,85.0,2.0,1.0,0.0,91.27,455.0,False,new,experiments/results/DP_2_2/epsdec_3/13.onnx,DP,4,6
51,3506.0,185.0,4851.0,304.0,2997.0,71.0,31.0,1.0,0.0,146.47,2606.0,False,new,experiments/results/DP_2_2/epsdec_3/13.onnx,DP,4,7
52,913.0,141.0,1246.0,211.0,917.0,103.0,3.0,1.0,0.0,112.32,617.0,False,new,experiments/results/DP_2_2/epsdec_3/13.onnx,DP,4,8
53,654.0,121.0,916.0,166.0,789.0,98.0,2.0,1.0,0.0,113.25,412.0,False,new,experiments/results/DP_2_2/epsdec_3/13.onnx,DP,4,9
54,1073.0,157.0,1482.0,233.0,1035.0,112.0,4.0,1.0,0.0,152.32,687.0,False,new,experiments/results/DP_2_2/epsdec_3/13.onnx,DP,4,10
