,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),heuristic time(ms),OutOfMem,algorithm,heuristic,problem,n,k
0,4.0,0.0,3.0,0.0,140.0,0.0,0.0,0.0,1.0,0.0,5.0,True,new,experiments/results/DP_2_2/focused_1/82.onnx,DP,1,1
1,5.0,0.0,4.0,0.0,141.0,0.0,0.0,0.0,1.0,0.0,8.0,True,new,experiments/results/DP_2_2/focused_1/82.onnx,DP,1,2
2,6.0,0.0,5.0,0.0,139.0,0.0,0.0,0.0,1.0,0.0,7.0,True,new,experiments/results/DP_2_2/focused_1/82.onnx,DP,1,3
3,7.0,0.0,6.0,0.0,141.0,0.0,0.0,0.0,1.0,0.0,7.0,True,new,experiments/results/DP_2_2/focused_1/82.onnx,DP,1,4
4,8.0,0.0,7.0,0.0,142.0,0.0,0.0,0.0,1.0,0.0,8.0,True,new,experiments/results/DP_2_2/focused_1/82.onnx,DP,1,5
5,9.0,0.0,8.0,0.0,144.0,0.0,0.0,0.0,1.0,0.0,8.0,True,new,experiments/results/DP_2_2/focused_1/82.onnx,DP,1,6
6,10.0,0.0,9.0,0.0,159.0,0.0,0.0,0.0,1.0,0.0,7.0,True,new,experiments/results/DP_2_2/focused_1/82.onnx,DP,1,7
7,11.0,0.0,10.0,0.0,143.0,0.0,0.0,0.0,1.0,0.0,9.0,True,new,experiments/results/DP_2_2/focused_1/82.onnx,DP,1,8
8,12.0,0.0,11.0,0.0,144.0,0.0,0.0,0.0,1.0,0.0,9.0,True,new,experiments/results/DP_2_2/focused_1/82.onnx,DP,1,9
9,13.0,0.0,12.0,0.0,144.0,0.0,0.0,0.0,1.0,0.0,10.0,True,new,experiments/results/DP_2_2/focused_1/82.onnx,DP,1,10
10,14.0,0.0,13.0,0.0,142.0,0.0,0.0,0.0,1.0,0.0,6.0,True,new,experiments/results/DP_2_2/focused_1/82.onnx,DP,1,11
11,15.0,0.0,14.0,0.0,144.0,0.0,0.0,0.0,1.0,0.0,8.0,True,new,experiments/results/DP_2_2/focused_1/82.onnx,DP,1,12
12,16.0,0.0,15.0,0.0,143.0,0.0,0.0,0.0,1.0,0.0,7.0,True,new,experiments/results/DP_2_2/focused_1/82.onnx,DP,1,13
13,17.0,0.0,16.0,0.0,144.0,0.0,0.0,0.0,1.0,0.0,10.0,True,new,experiments/results/DP_2_2/focused_1/82.onnx,DP,1,14
14,18.0,0.0,17.0,0.0,160.0,0.0,0.0,0.0,1.0,0.0,8.0,True,new,experiments/results/DP_2_2/focused_1/82.onnx,DP,1,15
15,34.0,23.0,43.0,27.0,183.0,4.0,0.0,1.0,3.0,19.68,39.0,True,new,experiments/results/DP_2_2/focused_1/82.onnx,DP,2,1
16,40.0,25.0,50.0,29.0,176.0,4.0,0.0,1.0,3.0,19.68,25.0,True,new,experiments/results/DP_2_2/focused_1/82.onnx,DP,2,2
17,33.0,27.0,37.0,31.0,195.0,4.0,0.0,1.0,1.0,19.2,39.0,True,new,experiments/results/DP_2_2/focused_1/82.onnx,DP,2,3
18,32.0,29.0,36.0,33.0,162.0,4.0,0.0,1.0,0.0,19.17,23.0,True,new,experiments/results/DP_2_2/focused_1/82.onnx,DP,2,4
19,34.0,31.0,38.0,35.0,162.0,4.0,0.0,1.0,0.0,19.68,23.0,True,new,experiments/results/DP_2_2/focused_1/82.onnx,DP,2,5
20,36.0,33.0,40.0,37.0,164.0,4.0,0.0,1.0,0.0,19.68,27.0,True,new,experiments/results/DP_2_2/focused_1/82.onnx,DP,2,6
