,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),heuristic time(ms),OutOfMem,algorithm,heuristic,problem,n,k,idx
0,4.0,0.0,3.0,0.0,167.0,0.0,0.0,0.0,1.0,0.0,8.0,True,new,experiments/results/DP_2_2/focused_5/0.onnx,DP,1,1,0
1,5.0,0.0,4.0,0.0,168.0,0.0,0.0,0.0,1.0,0.0,8.0,True,new,experiments/results/DP_2_2/focused_5/0.onnx,DP,1,2,0
2,6.0,0.0,5.0,0.0,170.0,0.0,0.0,0.0,1.0,0.0,9.0,True,new,experiments/results/DP_2_2/focused_5/0.onnx,DP,1,3,0
3,7.0,0.0,6.0,0.0,180.0,0.0,0.0,0.0,1.0,0.0,9.0,True,new,experiments/results/DP_2_2/focused_5/0.onnx,DP,1,4,0
4,8.0,0.0,7.0,0.0,166.0,0.0,0.0,0.0,1.0,0.0,9.0,True,new,experiments/results/DP_2_2/focused_5/0.onnx,DP,1,5,0
5,9.0,0.0,8.0,0.0,167.0,0.0,0.0,0.0,1.0,0.0,8.0,True,new,experiments/results/DP_2_2/focused_5/0.onnx,DP,1,6,0
6,10.0,0.0,9.0,0.0,171.0,0.0,0.0,0.0,1.0,0.0,10.0,True,new,experiments/results/DP_2_2/focused_5/0.onnx,DP,1,7,0
7,11.0,0.0,10.0,0.0,169.0,0.0,0.0,0.0,1.0,0.0,9.0,True,new,experiments/results/DP_2_2/focused_5/0.onnx,DP,1,8,0
8,12.0,0.0,11.0,0.0,171.0,0.0,0.0,0.0,1.0,0.0,10.0,True,new,experiments/results/DP_2_2/focused_5/0.onnx,DP,1,9,0
9,13.0,0.0,12.0,0.0,169.0,0.0,0.0,0.0,1.0,0.0,7.0,True,new,experiments/results/DP_2_2/focused_5/0.onnx,DP,1,10,0
10,14.0,0.0,13.0,0.0,172.0,0.0,0.0,0.0,1.0,0.0,7.0,True,new,experiments/results/DP_2_2/focused_5/0.onnx,DP,1,11,0
11,15.0,0.0,14.0,0.0,176.0,0.0,0.0,0.0,1.0,0.0,10.0,True,new,experiments/results/DP_2_2/focused_5/0.onnx,DP,1,12,0
12,16.0,0.0,15.0,0.0,174.0,0.0,0.0,0.0,1.0,0.0,9.0,True,new,experiments/results/DP_2_2/focused_5/0.onnx,DP,1,13,0
13,17.0,0.0,16.0,0.0,155.0,0.0,0.0,0.0,1.0,0.0,12.0,True,new,experiments/results/DP_2_2/focused_5/0.onnx,DP,1,14,0
14,18.0,0.0,17.0,0.0,181.0,0.0,0.0,0.0,1.0,0.0,12.0,True,new,experiments/results/DP_2_2/focused_5/0.onnx,DP,1,15,0
15,31.0,23.0,37.0,27.0,170.0,4.0,0.0,1.0,4.0,14.99,22.0,True,new,experiments/results/DP_2_2/focused_5/0.onnx,DP,2,1,0
16,44.0,25.0,55.0,29.0,176.0,5.0,0.0,1.0,8.0,15.47,25.0,True,new,experiments/results/DP_2_2/focused_5/0.onnx,DP,2,2,0
17,60.0,27.0,75.0,31.0,216.0,5.0,0.0,1.0,11.0,15.47,39.0,True,new,experiments/results/DP_2_2/focused_5/0.onnx,DP,2,3,0
18,80.0,29.0,106.0,33.0,249.0,5.0,0.0,1.0,16.0,15.95,55.0,True,new,experiments/results/DP_2_2/focused_5/0.onnx,DP,2,4,0
19,104.0,31.0,138.0,35.0,229.0,5.0,0.0,1.0,19.0,16.48,50.0,True,new,experiments/results/DP_2_2/focused_5/0.onnx,DP,2,5,0
20,132.0,33.0,177.0,37.0,218.0,5.0,0.0,1.0,23.0,17.44,55.0,True,new,experiments/results/DP_2_2/focused_5/0.onnx,DP,2,6,0
21,164.0,35.0,223.0,39.0,267.0,5.0,0.0,1.0,27.0,17.92,86.0,True,new,experiments/results/DP_2_2/focused_5/0.onnx,DP,2,7,0
22,200.0,37.0,274.0,41.0,284.0,5.0,0.0,1.0,31.0,18.96,91.0,True,new,experiments/results/DP_2_2/focused_5/0.onnx,DP,2,8,0
23,240.0,39.0,332.0,43.0,287.0,5.0,0.0,1.0,33.0,19.92,102.0,True,new,experiments/results/DP_2_2/focused_5/0.onnx,DP,2,9,0
24,284.0,41.0,395.0,45.0,294.0,5.0,0.0,1.0,39.0,20.96,112.0,True,new,experiments/results/DP_2_2/focused_5/0.onnx,DP,2,10,0
25,332.0,43.0,464.0,47.0,313.0,5.0,0.0,1.0,41.0,21.92,117.0,True,new,experiments/results/DP_2_2/focused_5/0.onnx,DP,2,11,0
26,384.0,45.0,540.0,49.0,340.0,5.0,0.0,1.0,48.0,23.44,139.0,True,new,experiments/results/DP_2_2/focused_5/0.onnx,DP,2,12,0
27,440.0,47.0,620.0,51.0,339.0,5.0,0.0,1.0,40.0,24.96,137.0,True,new,experiments/results/DP_2_2/focused_5/0.onnx,DP,2,13,0
28,500.0,49.0,708.0,53.0,383.0,5.0,0.0,1.0,46.0,26.96,182.0,True,new,experiments/results/DP_2_2/focused_5/0.onnx,DP,2,14,0
29,564.0,51.0,926.0,55.0,392.0,5.0,0.0,1.0,56.0,19.23,193.0,True,new,experiments/results/DP_2_2/focused_5/0.onnx,DP,2,15,0
30,1003.0,412.0,2351.0,883.0,1752.0,1023.0,0.0,49.0,69.0,124.0,466.0,True,new,experiments/results/DP_2_2/focused_5/0.onnx,DP,3,1,0
31,1525.0,741.0,3546.0,1685.0,3409.0,1451.0,0.0,79.0,166.0,176.5,685.0,True,new,experiments/results/DP_2_2/focused_5/0.onnx,DP,3,2,0
32,1948.0,654.0,4471.0,1499.0,4420.0,1677.0,1.0,168.0,212.0,218.84,853.0,True,new,experiments/results/DP_2_2/focused_5/0.onnx,DP,3,3,0
33,,,,,,,,,,,,False,new,experiments/results/DP_2_2/focused_5/0.onnx,DP,3,4,0
34,,,,,,,,,,,,False,new,experiments/results/DP_2_2/focused_5/0.onnx,DP,4,1,0
35,4.0,0.0,3.0,0.0,168.0,0.0,0.0,0.0,1.0,0.0,8.0,True,new,experiments/results/DP_2_2/focused_5/1.onnx,DP,1,1,1
36,5.0,0.0,4.0,0.0,180.0,0.0,0.0,0.0,1.0,0.0,9.0,True,new,experiments/results/DP_2_2/focused_5/1.onnx,DP,1,2,1
37,6.0,0.0,5.0,0.0,168.0,0.0,0.0,0.0,1.0,0.0,8.0,True,new,experiments/results/DP_2_2/focused_5/1.onnx,DP,1,3,1
38,7.0,0.0,6.0,0.0,150.0,0.0,0.0,0.0,1.0,0.0,9.0,True,new,experiments/results/DP_2_2/focused_5/1.onnx,DP,1,4,1
39,8.0,0.0,7.0,0.0,166.0,0.0,0.0,0.0,1.0,0.0,9.0,True,new,experiments/results/DP_2_2/focused_5/1.onnx,DP,1,5,1
40,9.0,0.0,8.0,0.0,168.0,0.0,0.0,0.0,1.0,0.0,9.0,True,new,experiments/results/DP_2_2/focused_5/1.onnx,DP,1,6,1
41,10.0,0.0,9.0,0.0,151.0,0.0,0.0,0.0,1.0,0.0,9.0,True,new,experiments/results/DP_2_2/focused_5/1.onnx,DP,1,7,1
42,11.0,0.0,10.0,0.0,166.0,0.0,0.0,0.0,1.0,0.0,8.0,True,new,experiments/results/DP_2_2/focused_5/1.onnx,DP,1,8,1
43,12.0,0.0,11.0,0.0,170.0,0.0,0.0,0.0,1.0,0.0,10.0,True,new,experiments/results/DP_2_2/focused_5/1.onnx,DP,1,9,1
44,13.0,0.0,12.0,0.0,153.0,0.0,0.0,0.0,1.0,0.0,11.0,True,new,experiments/results/DP_2_2/focused_5/1.onnx,DP,1,10,1
45,14.0,0.0,13.0,0.0,160.0,0.0,0.0,0.0,1.0,0.0,10.0,True,new,experiments/results/DP_2_2/focused_5/1.onnx,DP,1,11,1
46,15.0,0.0,14.0,0.0,171.0,0.0,0.0,0.0,1.0,0.0,11.0,True,new,experiments/results/DP_2_2/focused_5/1.onnx,DP,1,12,1
47,16.0,0.0,15.0,0.0,153.0,0.0,0.0,0.0,1.0,0.0,10.0,True,new,experiments/results/DP_2_2/focused_5/1.onnx,DP,1,13,1
48,17.0,0.0,16.0,0.0,185.0,0.0,0.0,0.0,1.0,0.0,12.0,True,new,experiments/results/DP_2_2/focused_5/1.onnx,DP,1,14,1
49,18.0,0.0,17.0,0.0,151.0,0.0,0.0,0.0,1.0,0.0,12.0,True,new,experiments/results/DP_2_2/focused_5/1.onnx,DP,1,15,1
50,128.0,23.0,214.0,27.0,311.0,55.0,3.0,1.0,21.0,23.44,109.0,True,new,experiments/results/DP_2_2/focused_5/1.onnx,DP,2,1,1
51,173.0,25.0,294.0,29.0,311.0,57.0,3.0,1.0,43.0,26.96,98.0,True,new,experiments/results/DP_2_2/focused_5/1.onnx,DP,2,2,1
52,228.0,27.0,372.0,31.0,358.0,59.0,3.0,1.0,64.0,16.79,134.0,True,new,experiments/results/DP_2_2/focused_5/1.onnx,DP,2,3,1
53,293.0,29.0,469.0,33.0,438.0,61.0,3.0,1.0,94.0,20.91,191.0,True,new,experiments/results/DP_2_2/focused_5/1.onnx,DP,2,4,1
54,368.0,31.0,574.0,35.0,413.0,63.0,3.0,1.0,122.0,26.08,170.0,True,new,experiments/results/DP_2_2/focused_5/1.onnx,DP,2,5,1
55,453.0,33.0,693.0,37.0,456.0,65.0,3.0,1.0,154.0,33.24,193.0,True,new,experiments/results/DP_2_2/focused_5/1.onnx,DP,2,6,1
56,548.0,74.0,847.0,109.0,523.0,102.0,3.0,1.0,179.0,49.46,242.0,True,new,experiments/results/DP_2_2/focused_5/1.onnx,DP,2,7,1
57,653.0,37.0,976.0,41.0,563.0,102.0,3.0,1.0,203.0,51.55,242.0,True,new,experiments/results/DP_2_2/focused_5/1.onnx,DP,2,8,1
58,768.0,39.0,1134.0,43.0,554.0,102.0,3.0,1.0,246.0,60.76,246.0,True,new,experiments/results/DP_2_2/focused_5/1.onnx,DP,2,9,1
59,893.0,41.0,1291.0,45.0,699.0,102.0,3.0,1.0,278.0,69.03,382.0,True,new,experiments/results/DP_2_2/focused_5/1.onnx,DP,2,10,1
60,1028.0,43.0,1475.0,47.0,757.0,102.0,3.0,1.0,327.0,78.22,394.0,True,new,experiments/results/DP_2_2/focused_5/1.onnx,DP,2,11,1
61,1173.0,45.0,1654.0,49.0,783.0,102.0,3.0,1.0,361.0,87.22,426.0,True,new,experiments/results/DP_2_2/focused_5/1.onnx,DP,2,12,1
62,1328.0,47.0,1868.0,51.0,887.0,105.0,3.0,1.0,417.0,99.17,460.0,True,new,experiments/results/DP_2_2/focused_5/1.onnx,DP,2,13,1
63,1493.0,49.0,2055.0,53.0,1056.0,109.0,3.0,1.0,435.0,110.22,624.0,True,new,experiments/results/DP_2_2/focused_5/1.onnx,DP,2,14,1
64,1668.0,51.0,2324.0,55.0,1088.0,113.0,3.0,1.0,525.0,127.17,619.0,True,new,experiments/results/DP_2_2/focused_5/1.onnx,DP,2,15,1
65,1201.0,57.0,2352.0,74.0,2083.0,655.0,30.0,1.0,112.0,129.98,670.0,True,new,experiments/results/DP_2_2/focused_5/1.onnx,DP,3,1,1
66,1884.0,243.0,3989.0,387.0,3960.0,1131.0,18.0,19.0,278.0,58.79,1250.0,True,new,experiments/results/DP_2_2/focused_5/1.onnx,DP,3,2,1
67,,,,,,,,,,,,False,new,experiments/results/DP_2_2/focused_5/1.onnx,DP,3,3,1
68,,,,,,,,,,,,False,new,experiments/results/DP_2_2/focused_5/1.onnx,DP,4,1,1
69,4.0,0.0,3.0,0.0,177.0,0.0,0.0,0.0,1.0,0.0,8.0,True,new,experiments/results/DP_2_2/focused_5/2.onnx,DP,1,1,2
70,5.0,0.0,4.0,0.0,167.0,0.0,0.0,0.0,1.0,0.0,9.0,True,new,experiments/results/DP_2_2/focused_5/2.onnx,DP,1,2,2
71,6.0,0.0,5.0,0.0,181.0,0.0,0.0,0.0,1.0,0.0,9.0,True,new,experiments/results/DP_2_2/focused_5/2.onnx,DP,1,3,2
72,7.0,0.0,6.0,0.0,151.0,0.0,0.0,0.0,1.0,0.0,7.0,True,new,experiments/results/DP_2_2/focused_5/2.onnx,DP,1,4,2
73,8.0,0.0,7.0,0.0,186.0,0.0,0.0,0.0,1.0,0.0,9.0,True,new,experiments/results/DP_2_2/focused_5/2.onnx,DP,1,5,2
74,9.0,0.0,8.0,0.0,166.0,0.0,0.0,0.0,1.0,0.0,9.0,True,new,experiments/results/DP_2_2/focused_5/2.onnx,DP,1,6,2
75,10.0,0.0,9.0,0.0,149.0,0.0,0.0,0.0,1.0,0.0,6.0,True,new,experiments/results/DP_2_2/focused_5/2.onnx,DP,1,7,2
76,11.0,0.0,10.0,0.0,169.0,0.0,0.0,0.0,1.0,0.0,10.0,True,new,experiments/results/DP_2_2/focused_5/2.onnx,DP,1,8,2
77,12.0,0.0,11.0,0.0,188.0,0.0,0.0,0.0,1.0,0.0,8.0,True,new,experiments/results/DP_2_2/focused_5/2.onnx,DP,1,9,2
78,13.0,0.0,12.0,0.0,173.0,0.0,0.0,0.0,1.0,0.0,11.0,True,new,experiments/results/DP_2_2/focused_5/2.onnx,DP,1,10,2
79,14.0,0.0,13.0,0.0,153.0,0.0,0.0,0.0,1.0,0.0,10.0,True,new,experiments/results/DP_2_2/focused_5/2.onnx,DP,1,11,2
80,15.0,0.0,14.0,0.0,153.0,0.0,0.0,0.0,1.0,0.0,10.0,True,new,experiments/results/DP_2_2/focused_5/2.onnx,DP,1,12,2
81,16.0,0.0,15.0,0.0,170.0,0.0,0.0,0.0,1.0,0.0,10.0,True,new,experiments/results/DP_2_2/focused_5/2.onnx,DP,1,13,2
82,17.0,0.0,16.0,0.0,172.0,0.0,0.0,0.0,1.0,0.0,11.0,True,new,experiments/results/DP_2_2/focused_5/2.onnx,DP,1,14,2
83,18.0,0.0,17.0,0.0,174.0,0.0,0.0,0.0,1.0,0.0,12.0,True,new,experiments/results/DP_2_2/focused_5/2.onnx,DP,1,15,2
84,66.0,23.0,78.0,27.0,228.0,9.0,2.0,1.0,0.0,16.48,46.0,True,new,experiments/results/DP_2_2/focused_5/2.onnx,DP,2,1,2
85,80.0,25.0,91.0,29.0,227.0,9.0,1.0,1.0,0.0,16.96,57.0,True,new,experiments/results/DP_2_2/focused_5/2.onnx,DP,2,2,2
86,85.0,27.0,94.0,31.0,242.0,7.0,1.0,1.0,0.0,16.96,65.0,True,new,experiments/results/DP_2_2/focused_5/2.onnx,DP,2,3,2
87,99.0,29.0,109.0,33.0,250.0,8.0,1.0,1.0,0.0,16.96,73.0,True,new,experiments/results/DP_2_2/focused_5/2.onnx,DP,2,4,2
88,111.0,31.0,121.0,35.0,255.0,8.0,1.0,1.0,0.0,17.44,69.0,True,new,experiments/results/DP_2_2/focused_5/2.onnx,DP,2,5,2
89,122.0,33.0,132.0,37.0,250.0,8.0,1.0,1.0,0.0,17.44,67.0,True,new,experiments/results/DP_2_2/focused_5/2.onnx,DP,2,6,2
90,134.0,35.0,144.0,39.0,272.0,8.0,1.0,1.0,0.0,17.92,78.0,True,new,experiments/results/DP_2_2/focused_5/2.onnx,DP,2,7,2
91,144.0,37.0,154.0,41.0,258.0,8.0,1.0,1.0,0.0,18.0,79.0,True,new,experiments/results/DP_2_2/focused_5/2.onnx,DP,2,8,2
92,117.0,39.0,123.0,43.0,249.0,4.0,1.0,1.0,0.0,16.96,63.0,True,new,experiments/results/DP_2_2/focused_5/2.onnx,DP,2,9,2
93,124.0,41.0,130.0,45.0,258.0,4.0,1.0,1.0,0.0,16.96,84.0,True,new,experiments/results/DP_2_2/focused_5/2.onnx,DP,2,10,2
94,132.0,43.0,138.0,47.0,240.0,4.0,1.0,1.0,0.0,17.44,67.0,True,new,experiments/results/DP_2_2/focused_5/2.onnx,DP,2,11,2
95,140.0,45.0,146.0,49.0,255.0,4.0,1.0,1.0,0.0,17.44,75.0,True,new,experiments/results/DP_2_2/focused_5/2.onnx,DP,2,12,2
96,148.0,47.0,154.0,51.0,253.0,4.0,1.0,1.0,0.0,17.44,78.0,True,new,experiments/results/DP_2_2/focused_5/2.onnx,DP,2,13,2
97,156.0,49.0,162.0,53.0,271.0,4.0,1.0,1.0,0.0,17.92,95.0,True,new,experiments/results/DP_2_2/focused_5/2.onnx,DP,2,14,2
98,164.0,51.0,170.0,55.0,264.0,4.0,1.0,1.0,0.0,17.92,78.0,True,new,experiments/results/DP_2_2/focused_5/2.onnx,DP,2,15,2
99,359.0,62.0,441.0,70.0,430.0,56.0,6.0,1.0,0.0,35.89,159.0,True,new,experiments/results/DP_2_2/focused_5/2.onnx,DP,3,1,2
100,1166.0,37.0,1676.0,45.0,992.0,267.0,6.0,14.0,0.0,43.08,489.0,True,new,experiments/results/DP_2_2/focused_5/2.onnx,DP,3,2,2
101,1301.0,40.0,1777.0,48.0,1103.0,239.0,14.0,8.0,0.0,31.8,572.0,True,new,experiments/results/DP_2_2/focused_5/2.onnx,DP,3,3,2
102,599.0,43.0,703.0,51.0,630.0,57.0,8.0,1.0,0.0,71.31,277.0,True,new,experiments/results/DP_2_2/focused_5/2.onnx,DP,3,4,2
103,672.0,46.0,777.0,54.0,623.0,61.0,5.0,1.0,0.0,80.41,257.0,True,new,experiments/results/DP_2_2/focused_5/2.onnx,DP,3,5,2
104,708.0,49.0,809.0,57.0,703.0,58.0,6.0,1.0,0.0,76.4,354.0,True,new,experiments/results/DP_2_2/focused_5/2.onnx,DP,3,6,2
105,722.0,52.0,805.0,60.0,566.0,40.0,5.0,1.0,0.0,46.45,287.0,True,new,experiments/results/DP_2_2/focused_5/2.onnx,DP,3,7,2
106,1879.0,55.0,2119.0,63.0,1285.0,103.0,4.0,8.0,0.0,27.38,757.0,True,new,experiments/results/DP_2_2/focused_5/2.onnx,DP,3,8,2
107,443.0,58.0,494.0,66.0,395.0,25.0,1.0,1.0,0.0,27.92,187.0,True,new,experiments/results/DP_2_2/focused_5/2.onnx,DP,3,9,2
108,463.0,61.0,513.0,69.0,433.0,24.0,1.0,1.0,0.0,27.92,234.0,True,new,experiments/results/DP_2_2/focused_5/2.onnx,DP,3,10,2
109,467.0,64.0,516.0,72.0,416.0,23.0,1.0,1.0,0.0,27.92,204.0,True,new,experiments/results/DP_2_2/focused_5/2.onnx,DP,3,11,2
110,490.0,67.0,539.0,75.0,436.0,22.0,1.0,1.0,0.0,27.92,221.0,True,new,experiments/results/DP_2_2/focused_5/2.onnx,DP,3,12,2
111,494.0,70.0,542.0,78.0,446.0,22.0,1.0,1.0,0.0,27.92,240.0,True,new,experiments/results/DP_2_2/focused_5/2.onnx,DP,3,13,2
112,529.0,73.0,577.0,81.0,441.0,22.0,1.0,1.0,0.0,11.59,245.0,True,new,experiments/results/DP_2_2/focused_5/2.onnx,DP,3,14,2
113,550.0,76.0,598.0,84.0,520.0,22.0,1.0,1.0,0.0,16.64,308.0,True,new,experiments/results/DP_2_2/focused_5/2.onnx,DP,3,15,2
114,1621.0,59.0,2137.0,79.0,1535.0,274.0,9.0,1.0,0.0,78.06,861.0,True,new,experiments/results/DP_2_2/focused_5/2.onnx,DP,4,1,2
115,2178.0,78.0,2744.0,98.0,2138.0,319.0,21.0,1.0,0.0,86.86,1273.0,True,new,experiments/results/DP_2_2/focused_5/2.onnx,DP,4,2,2
116,3990.0,57.0,5169.0,77.0,4209.0,529.0,27.0,5.0,0.0,53.14,2587.0,True,new,experiments/results/DP_2_2/focused_5/2.onnx,DP,4,3,2
117,,,,,,,,,,,,False,new,experiments/results/DP_2_2/focused_5/2.onnx,DP,4,4,2
118,,,,,,,,,,,,False,new,experiments/results/DP_2_2/focused_5/2.onnx,DP,5,1,2
119,4.0,0.0,3.0,0.0,167.0,0.0,0.0,0.0,1.0,0.0,7.0,True,new,experiments/results/DP_2_2/focused_5/3.onnx,DP,1,1,3
120,5.0,0.0,4.0,0.0,170.0,0.0,0.0,0.0,1.0,0.0,9.0,True,new,experiments/results/DP_2_2/focused_5/3.onnx,DP,1,2,3
121,6.0,0.0,5.0,0.0,167.0,0.0,0.0,0.0,1.0,0.0,8.0,True,new,experiments/results/DP_2_2/focused_5/3.onnx,DP,1,3,3
122,7.0,0.0,6.0,0.0,174.0,0.0,0.0,0.0,1.0,0.0,9.0,True,new,experiments/results/DP_2_2/focused_5/3.onnx,DP,1,4,3
123,8.0,0.0,7.0,0.0,173.0,0.0,0.0,0.0,1.0,0.0,8.0,True,new,experiments/results/DP_2_2/focused_5/3.onnx,DP,1,5,3
124,9.0,0.0,8.0,0.0,169.0,0.0,0.0,0.0,1.0,0.0,9.0,True,new,experiments/results/DP_2_2/focused_5/3.onnx,DP,1,6,3
125,10.0,0.0,9.0,0.0,176.0,0.0,0.0,0.0,1.0,0.0,10.0,True,new,experiments/results/DP_2_2/focused_5/3.onnx,DP,1,7,3
126,11.0,0.0,10.0,0.0,188.0,0.0,0.0,0.0,1.0,0.0,10.0,True,new,experiments/results/DP_2_2/focused_5/3.onnx,DP,1,8,3
127,12.0,0.0,11.0,0.0,169.0,0.0,0.0,0.0,1.0,0.0,7.0,True,new,experiments/results/DP_2_2/focused_5/3.onnx,DP,1,9,3
128,13.0,0.0,12.0,0.0,168.0,0.0,0.0,0.0,1.0,0.0,8.0,True,new,experiments/results/DP_2_2/focused_5/3.onnx,DP,1,10,3
129,14.0,0.0,13.0,0.0,151.0,0.0,0.0,0.0,1.0,0.0,10.0,True,new,experiments/results/DP_2_2/focused_5/3.onnx,DP,1,11,3
130,15.0,0.0,14.0,0.0,152.0,0.0,0.0,0.0,1.0,0.0,11.0,True,new,experiments/results/DP_2_2/focused_5/3.onnx,DP,1,12,3
131,16.0,0.0,15.0,0.0,172.0,0.0,0.0,0.0,1.0,0.0,11.0,True,new,experiments/results/DP_2_2/focused_5/3.onnx,DP,1,13,3
132,17.0,0.0,16.0,0.0,160.0,0.0,0.0,0.0,1.0,0.0,10.0,True,new,experiments/results/DP_2_2/focused_5/3.onnx,DP,1,14,3
133,18.0,0.0,17.0,0.0,152.0,0.0,0.0,0.0,1.0,0.0,11.0,True,new,experiments/results/DP_2_2/focused_5/3.onnx,DP,1,15,3
134,124.0,72.0,220.0,126.0,274.0,38.0,0.0,1.0,11.0,20.48,76.0,True,new,experiments/results/DP_2_2/focused_5/3.onnx,DP,2,1,3
135,163.0,82.0,276.0,143.0,285.0,38.0,1.0,1.0,12.0,22.48,88.0,True,new,experiments/results/DP_2_2/focused_5/3.onnx,DP,2,2,3
136,76.0,31.0,93.0,39.0,229.0,10.0,0.0,1.0,2.0,16.48,52.0,True,new,experiments/results/DP_2_2/focused_5/3.onnx,DP,2,3,3
137,94.0,34.0,112.0,43.0,234.0,10.0,1.0,1.0,2.0,16.96,61.0,True,new,experiments/results/DP_2_2/focused_5/3.onnx,DP,2,4,3
138,112.0,37.0,131.0,47.0,239.0,10.0,1.0,1.0,2.0,16.96,65.0,True,new,experiments/results/DP_2_2/focused_5/3.onnx,DP,2,5,3
139,132.0,40.0,152.0,51.0,245.0,10.0,1.0,1.0,2.0,17.44,69.0,True,new,experiments/results/DP_2_2/focused_5/3.onnx,DP,2,6,3
140,142.0,43.0,159.0,55.0,227.0,6.0,0.0,1.0,2.0,17.44,70.0,True,new,experiments/results/DP_2_2/focused_5/3.onnx,DP,2,7,3
141,147.0,46.0,171.0,59.0,282.0,14.0,0.0,1.0,2.0,17.92,85.0,True,new,experiments/results/DP_2_2/focused_5/3.onnx,DP,2,8,3
142,194.0,49.0,217.0,63.0,254.0,10.0,1.0,1.0,2.0,17.92,92.0,True,new,experiments/results/DP_2_2/focused_5/3.onnx,DP,2,9,3
143,171.0,52.0,194.0,67.0,266.0,10.0,1.0,1.0,2.0,18.96,89.0,True,new,experiments/results/DP_2_2/focused_5/3.onnx,DP,2,10,3
144,245.0,55.0,270.0,71.0,298.0,10.0,1.0,1.0,2.0,18.96,115.0,True,new,experiments/results/DP_2_2/focused_5/3.onnx,DP,2,11,3
145,176.0,58.0,204.0,75.0,280.0,14.0,0.0,1.0,2.0,18.96,95.0,True,new,experiments/results/DP_2_2/focused_5/3.onnx,DP,2,12,3
146,201.0,61.0,230.0,79.0,263.0,14.0,0.0,1.0,2.0,18.96,92.0,True,new,experiments/results/DP_2_2/focused_5/3.onnx,DP,2,13,3
147,217.0,64.0,247.0,83.0,310.0,14.0,0.0,1.0,2.0,19.44,110.0,True,new,experiments/results/DP_2_2/focused_5/3.onnx,DP,2,14,3
148,245.0,67.0,276.0,87.0,310.0,14.0,0.0,1.0,2.0,19.92,110.0,True,new,experiments/results/DP_2_2/focused_5/3.onnx,DP,2,15,3
149,261.0,91.0,358.0,119.0,349.0,15.0,7.0,1.0,0.0,24.48,152.0,True,new,experiments/results/DP_2_2/focused_5/3.onnx,DP,3,1,3
