,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),heuristic time(ms),OutOfMem,algorithm,heuristic,problem,n,k
0,4.0,0.0,3.0,0.0,159.0,0.0,0.0,0.0,1.0,0.0,6.0,True,new,experiments/results/DP_2_2/multiple_1/47.onnx,DP,1,1
1,5.0,0.0,4.0,0.0,141.0,0.0,0.0,0.0,1.0,0.0,7.0,True,new,experiments/results/DP_2_2/multiple_1/47.onnx,DP,1,2
2,6.0,0.0,5.0,0.0,168.0,0.0,0.0,0.0,1.0,0.0,8.0,True,new,experiments/results/DP_2_2/multiple_1/47.onnx,DP,1,3
3,7.0,0.0,6.0,0.0,142.0,0.0,0.0,0.0,1.0,0.0,8.0,True,new,experiments/results/DP_2_2/multiple_1/47.onnx,DP,1,4
4,8.0,0.0,7.0,0.0,142.0,0.0,0.0,0.0,1.0,0.0,7.0,True,new,experiments/results/DP_2_2/multiple_1/47.onnx,DP,1,5
5,9.0,0.0,8.0,0.0,143.0,0.0,0.0,0.0,1.0,0.0,6.0,True,new,experiments/results/DP_2_2/multiple_1/47.onnx,DP,1,6
6,10.0,0.0,9.0,0.0,163.0,0.0,0.0,0.0,1.0,0.0,8.0,True,new,experiments/results/DP_2_2/multiple_1/47.onnx,DP,1,7
7,11.0,0.0,10.0,0.0,162.0,0.0,0.0,0.0,1.0,0.0,9.0,True,new,experiments/results/DP_2_2/multiple_1/47.onnx,DP,1,8
8,12.0,0.0,11.0,0.0,143.0,0.0,0.0,0.0,1.0,0.0,8.0,True,new,experiments/results/DP_2_2/multiple_1/47.onnx,DP,1,9
9,13.0,0.0,12.0,0.0,144.0,0.0,0.0,0.0,1.0,0.0,8.0,True,new,experiments/results/DP_2_2/multiple_1/47.onnx,DP,1,10
10,14.0,0.0,13.0,0.0,144.0,0.0,0.0,0.0,1.0,0.0,10.0,True,new,experiments/results/DP_2_2/multiple_1/47.onnx,DP,1,11
11,15.0,0.0,14.0,0.0,143.0,0.0,0.0,0.0,1.0,0.0,8.0,True,new,experiments/results/DP_2_2/multiple_1/47.onnx,DP,1,12
12,16.0,0.0,15.0,0.0,144.0,0.0,0.0,0.0,1.0,0.0,9.0,True,new,experiments/results/DP_2_2/multiple_1/47.onnx,DP,1,13
13,17.0,0.0,16.0,0.0,166.0,0.0,0.0,0.0,1.0,0.0,9.0,True,new,experiments/results/DP_2_2/multiple_1/47.onnx,DP,1,14
14,18.0,0.0,17.0,0.0,143.0,0.0,0.0,0.0,1.0,0.0,9.0,True,new,experiments/results/DP_2_2/multiple_1/47.onnx,DP,1,15
15,45.0,27.0,66.0,35.0,199.0,4.0,0.0,1.0,6.0,19.68,29.0,True,new,experiments/results/DP_2_2/multiple_1/47.onnx,DP,2,1
16,59.0,28.0,86.0,35.0,187.0,4.0,0.0,1.0,7.0,20.18,40.0,True,new,experiments/results/DP_2_2/multiple_1/47.onnx,DP,2,2
17,73.0,31.0,110.0,39.0,192.0,5.0,0.0,1.0,4.0,20.18,42.0,True,new,experiments/results/DP_2_2/multiple_1/47.onnx,DP,2,3
18,94.0,34.0,143.0,43.0,250.0,4.0,0.0,1.0,2.0,20.66,98.0,True,new,experiments/results/DP_2_2/multiple_1/47.onnx,DP,2,4
19,104.0,37.0,152.0,47.0,211.0,4.0,0.0,1.0,6.0,21.62,63.0,True,new,experiments/results/DP_2_2/multiple_1/47.onnx,DP,2,5
20,108.0,40.0,158.0,51.0,245.0,4.0,0.0,1.0,9.0,21.62,59.0,True,new,experiments/results/DP_2_2/multiple_1/47.onnx,DP,2,6
21,125.0,43.0,177.0,55.0,242.0,4.0,0.0,1.0,6.0,21.62,96.0,True,new,experiments/results/DP_2_2/multiple_1/47.onnx,DP,2,7
22,131.0,46.0,196.0,59.0,249.0,4.0,0.0,1.0,8.0,21.62,82.0,True,new,experiments/results/DP_2_2/multiple_1/47.onnx,DP,2,8
23,113.0,39.0,151.0,43.0,235.0,4.0,0.0,1.0,8.0,21.14,80.0,True,new,experiments/results/DP_2_2/multiple_1/47.onnx,DP,2,9
24,123.0,41.0,157.0,45.0,235.0,4.0,0.0,1.0,5.0,21.14,63.0,True,new,experiments/results/DP_2_2/multiple_1/47.onnx,DP,2,10
25,129.0,43.0,166.0,47.0,223.0,4.0,0.0,1.0,5.0,21.14,77.0,True,new,experiments/results/DP_2_2/multiple_1/47.onnx,DP,2,11
26,132.0,45.0,167.0,49.0,233.0,4.0,0.0,1.0,5.0,21.62,76.0,True,new,experiments/results/DP_2_2/multiple_1/47.onnx,DP,2,12
27,140.0,47.0,175.0,51.0,223.0,4.0,0.0,1.0,5.0,21.62,67.0,True,new,experiments/results/DP_2_2/multiple_1/47.onnx,DP,2,13
28,152.0,49.0,189.0,53.0,223.0,4.0,0.0,1.0,6.0,22.18,68.0,True,new,experiments/results/DP_2_2/multiple_1/47.onnx,DP,2,14
29,153.0,51.0,190.0,55.0,230.0,4.0,0.0,1.0,6.0,22.18,82.0,True,new,experiments/results/DP_2_2/multiple_1/47.onnx,DP,2,15
30,182.0,68.0,329.0,104.0,409.0,62.0,1.0,1.0,0.0,17.19,208.0,True,new,experiments/results/DP_2_2/multiple_1/47.onnx,DP,3,1
31,389.0,143.0,712.0,264.0,542.0,119.0,1.0,1.0,15.0,52.18,276.0,True,new,experiments/results/DP_2_2/multiple_1/47.onnx,DP,3,2
32,190.0,81.0,295.0,120.0,380.0,53.0,0.0,1.0,0.0,28.66,205.0,True,new,experiments/results/DP_2_2/multiple_1/47.onnx,DP,3,3
33,222.0,53.0,344.0,72.0,356.0,39.0,0.0,1.0,0.0,9.37,142.0,True,new,experiments/results/DP_2_2/multiple_1/47.onnx,DP,3,4
34,249.0,52.0,387.0,67.0,445.0,44.0,0.0,1.0,0.0,17.32,242.0,True,new,experiments/results/DP_2_2/multiple_1/47.onnx,DP,3,5
35,239.0,63.0,377.0,78.0,401.0,45.0,0.0,1.0,0.0,16.37,217.0,True,new,experiments/results/DP_2_2/multiple_1/47.onnx,DP,3,6
36,255.0,71.0,395.0,101.0,353.0,46.0,0.0,1.0,0.0,19.33,157.0,True,new,experiments/results/DP_2_2/multiple_1/47.onnx,DP,3,7
37,362.0,55.0,533.0,63.0,550.0,105.0,0.0,1.0,0.0,39.47,292.0,True,new,experiments/results/DP_2_2/multiple_1/47.onnx,DP,3,8
38,468.0,58.0,754.0,66.0,654.0,201.0,1.0,1.0,0.0,91.4,251.0,True,new,experiments/results/DP_2_2/multiple_1/47.onnx,DP,3,9
39,648.0,94.0,1078.0,125.0,774.0,126.0,1.0,1.0,0.0,87.32,458.0,True,new,experiments/results/DP_2_2/multiple_1/47.onnx,DP,3,10
40,769.0,112.0,1303.0,156.0,887.0,157.0,2.0,1.0,0.0,130.57,495.0,True,new,experiments/results/DP_2_2/multiple_1/47.onnx,DP,3,11
41,436.0,93.0,605.0,114.0,648.0,106.0,1.0,1.0,0.0,67.41,338.0,True,new,experiments/results/DP_2_2/multiple_1/47.onnx,DP,3,12
42,762.0,178.0,1641.0,276.0,748.0,9.0,0.0,57.0,0.0,53.59,513.0,True,new,experiments/results/DP_2_2/multiple_1/47.onnx,DP,3,13
43,562.0,103.0,922.0,126.0,658.0,223.0,0.0,1.0,0.0,83.32,327.0,True,new,experiments/results/DP_2_2/multiple_1/47.onnx,DP,3,14
44,611.0,108.0,1007.0,132.0,687.0,250.0,0.0,1.0,0.0,98.37,333.0,True,new,experiments/results/DP_2_2/multiple_1/47.onnx,DP,3,15
45,301.0,83.0,536.0,136.0,510.0,100.0,0.0,1.0,6.0,38.32,229.0,True,new,experiments/results/DP_2_2/multiple_1/47.onnx,DP,4,1
46,298.0,70.0,522.0,105.0,477.0,80.0,0.0,1.0,0.0,30.37,262.0,True,new,experiments/results/DP_2_2/multiple_1/47.onnx,DP,4,2
47,410.0,88.0,649.0,133.0,575.0,76.0,1.0,1.0,0.0,41.31,312.0,True,new,experiments/results/DP_2_2/multiple_1/47.onnx,DP,4,3
48,560.0,97.0,943.0,155.0,718.0,87.0,2.0,1.0,0.0,68.54,435.0,True,new,experiments/results/DP_2_2/multiple_1/47.onnx,DP,4,4
49,558.0,112.0,942.0,176.0,711.0,151.0,0.0,1.0,0.0,77.34,408.0,True,new,experiments/results/DP_2_2/multiple_1/47.onnx,DP,4,5
50,687.0,116.0,1169.0,185.0,931.0,103.0,1.0,1.0,0.0,103.61,561.0,True,new,experiments/results/DP_2_2/multiple_1/47.onnx,DP,4,6
51,1028.0,168.0,1776.0,287.0,1318.0,211.0,0.0,1.0,0.0,82.81,780.0,True,new,experiments/results/DP_2_2/multiple_1/47.onnx,DP,4,7
52,1007.0,77.0,1636.0,97.0,1437.0,138.0,5.0,1.0,0.0,26.09,743.0,True,new,experiments/results/DP_2_2/multiple_1/47.onnx,DP,4,8
53,1468.0,121.0,2363.0,171.0,1796.0,304.0,6.0,1.0,0.0,117.11,1017.0,True,new,experiments/results/DP_2_2/multiple_1/47.onnx,DP,4,9
54,639.0,112.0,1003.0,162.0,906.0,191.0,0.0,1.0,0.0,125.8,469.0,True,new,experiments/results/DP_2_2/multiple_1/47.onnx,DP,4,10
55,701.0,117.0,1110.0,168.0,1001.0,217.0,0.0,1.0,0.0,11.12,541.0,True,new,experiments/results/DP_2_2/multiple_1/47.onnx,DP,4,11
56,586.0,184.0,895.0,295.0,706.0,84.0,0.0,1.0,0.0,83.03,365.0,True,new,experiments/results/DP_2_2/multiple_1/47.onnx,DP,4,12
57,711.0,234.0,1118.0,393.0,913.0,96.0,0.0,1.0,0.0,115.31,530.0,True,new,experiments/results/DP_2_2/multiple_1/47.onnx,DP,4,13
58,880.0,131.0,1403.0,166.0,1073.0,75.0,0.0,1.0,0.0,124.32,681.0,True,new,experiments/results/DP_2_2/multiple_1/47.onnx,DP,4,14
59,1269.0,148.0,2155.0,197.0,1620.0,324.0,0.0,1.0,0.0,86.62,947.0,True,new,experiments/results/DP_2_2/multiple_1/47.onnx,DP,4,15
60,262.0,96.0,439.0,165.0,431.0,53.0,0.0,22.0,0.0,25.42,245.0,True,new,experiments/results/DP_2_2/multiple_1/47.onnx,DP,5,1
61,1351.0,170.0,2298.0,304.0,1858.0,240.0,8.0,1.0,0.0,142.51,1121.0,True,new,experiments/results/DP_2_2/multiple_1/47.onnx,DP,5,2
62,851.0,231.0,1378.0,422.0,1068.0,98.0,7.0,59.0,0.0,110.15,687.0,True,new,experiments/results/DP_2_2/multiple_1/47.onnx,DP,5,3
63,598.0,108.0,891.0,175.0,753.0,83.0,4.0,1.0,0.0,83.81,412.0,True,new,experiments/results/DP_2_2/multiple_1/47.onnx,DP,5,4
64,1979.0,459.0,3470.0,808.0,3836.0,434.0,7.0,1.0,0.0,72.61,2114.0,True,new,experiments/results/DP_2_2/multiple_1/47.onnx,DP,5,5
65,981.0,323.0,1600.0,537.0,1290.0,258.0,8.0,1.0,0.0,93.73,732.0,True,new,experiments/results/DP_2_2/multiple_1/47.onnx,DP,5,6
66,1304.0,230.0,2159.0,352.0,1853.0,209.0,3.0,1.0,0.0,123.23,1063.0,True,new,experiments/results/DP_2_2/multiple_1/47.onnx,DP,5,7
67,1159.0,279.0,1707.0,479.0,1459.0,269.0,5.0,1.0,0.0,24.95,835.0,True,new,experiments/results/DP_2_2/multiple_1/47.onnx,DP,5,8
68,1134.0,298.0,1752.0,478.0,1671.0,269.0,4.0,16.0,0.0,67.7,949.0,True,new,experiments/results/DP_2_2/multiple_1/47.onnx,DP,5,9
69,2605.0,614.0,4718.0,1087.0,4165.0,659.0,14.0,1.0,0.0,92.83,2777.0,True,new,experiments/results/DP_2_2/multiple_1/47.onnx,DP,5,10
70,6228.0,1597.0,14206.0,2962.0,87868.0,2694.0,19.0,1.0,0.0,357.97,19889.0,True,new,experiments/results/DP_2_2/multiple_1/47.onnx,DP,5,11
71,9774.0,269.0,21587.0,418.0,351568.0,7054.0,64.0,1.0,0.0,270.0,54365.0,True,new,experiments/results/DP_2_2/multiple_1/47.onnx,DP,5,12
72,3216.0,229.0,5606.0,366.0,13636.0,1263.0,17.0,27.0,0.0,124.55,4660.0,True,new,experiments/results/DP_2_2/multiple_1/47.onnx,DP,5,13
73,6383.0,1063.0,11999.0,1930.0,31822.0,2241.0,26.0,1.0,0.0,98.05,20358.0,True,new,experiments/results/DP_2_2/multiple_1/47.onnx,DP,5,14
74,11135.0,2975.0,22974.0,6014.0,415550.0,5763.0,51.0,1.0,0.0,173.05,79304.0,True,new,experiments/results/DP_2_2/multiple_1/47.onnx,DP,5,15
75,247.0,144.0,456.0,302.0,527.0,30.0,1.0,89.0,0.0,22.45,298.0,True,new,experiments/results/DP_2_2/multiple_1/47.onnx,DP,6,1
76,903.0,186.0,1555.0,367.0,1267.0,114.0,5.0,100.0,0.0,21.34,815.0,True,new,experiments/results/DP_2_2/multiple_1/47.onnx,DP,6,2
77,2067.0,161.0,4000.0,324.0,3269.0,162.0,6.0,9.0,0.0,95.37,2641.0,True,new,experiments/results/DP_2_2/multiple_1/47.onnx,DP,6,3
78,6401.0,396.0,13282.0,742.0,31854.0,73.0,7.0,8.0,0.0,93.53,30742.0,True,new,experiments/results/DP_2_2/multiple_1/47.onnx,DP,6,4
79,3267.0,324.0,5317.0,602.0,6484.0,375.0,13.0,81.0,0.0,154.98,4990.0,True,new,experiments/results/DP_2_2/multiple_1/47.onnx,DP,6,5
80,3114.0,294.0,4899.0,547.0,5838.0,207.0,11.0,28.0,0.0,108.47,4796.0,True,new,experiments/results/DP_2_2/multiple_1/47.onnx,DP,6,6
81,3826.0,323.0,6000.0,584.0,8642.0,274.0,11.0,19.0,0.0,130.69,7377.0,True,new,experiments/results/DP_2_2/multiple_1/47.onnx,DP,6,7
82,15291.0,698.0,32122.0,1165.0,202032.0,457.0,81.0,29.0,0.0,93.94,194914.0,True,new,experiments/results/DP_2_2/multiple_1/47.onnx,DP,6,8
83,,,,,,,,,,,,False,new,experiments/results/DP_2_2/multiple_1/47.onnx,DP,6,9
84,2520.0,535.0,4960.0,1145.0,7040.0,689.0,64.0,1.0,0.0,149.99,4553.0,True,new,experiments/results/DP_2_2/multiple_1/47.onnx,DP,7,1
85,6008.0,331.0,13033.0,801.0,40349.0,1802.0,77.0,1.0,0.0,113.86,29803.0,True,new,experiments/results/DP_2_2/multiple_1/47.onnx,DP,7,2
86,7127.0,656.0,15328.0,1530.0,50032.0,184.0,18.0,167.0,0.0,79.68,46854.0,True,new,experiments/results/DP_2_2/multiple_1/47.onnx,DP,7,3
87,13374.0,903.0,29533.0,2004.0,183445.0,495.0,84.0,218.0,0.0,124.34,173427.0,True,new,experiments/results/DP_2_2/multiple_1/47.onnx,DP,7,4
88,7846.0,627.0,14085.0,1272.0,50454.0,999.0,215.0,298.0,0.0,155.88,37960.0,True,new,experiments/results/DP_2_2/multiple_1/47.onnx,DP,7,5
89,,,,,,,,,,,,False,new,experiments/results/DP_2_2/multiple_1/47.onnx,DP,7,6
90,,,,,,,,,,,,False,new,experiments/results/DP_2_2/multiple_1/47.onnx,DP,8,1
