,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),heuristic time(ms),OutOfMem,algorithm,heuristic,problem,n,k
0,4.0,0.0,3.0,0.0,169.0,0.0,0.0,0.0,1.0,0.0,10.0,False,new,experiments/results/DP_2_2/no_TB/13.onnx,DP,1,1
1,5.0,0.0,4.0,0.0,171.0,0.0,0.0,0.0,1.0,0.0,11.0,False,new,experiments/results/DP_2_2/no_TB/13.onnx,DP,1,2
2,6.0,0.0,5.0,0.0,174.0,0.0,0.0,0.0,1.0,0.0,12.0,False,new,experiments/results/DP_2_2/no_TB/13.onnx,DP,1,3
3,7.0,0.0,6.0,0.0,172.0,0.0,0.0,0.0,1.0,0.0,12.0,False,new,experiments/results/DP_2_2/no_TB/13.onnx,DP,1,4
4,8.0,0.0,7.0,0.0,172.0,0.0,0.0,0.0,1.0,0.0,12.0,False,new,experiments/results/DP_2_2/no_TB/13.onnx,DP,1,5
5,9.0,0.0,8.0,0.0,170.0,0.0,0.0,0.0,1.0,0.0,12.0,False,new,experiments/results/DP_2_2/no_TB/13.onnx,DP,1,6
6,10.0,0.0,9.0,0.0,171.0,0.0,0.0,0.0,1.0,0.0,13.0,False,new,experiments/results/DP_2_2/no_TB/13.onnx,DP,1,7
7,11.0,0.0,10.0,0.0,174.0,0.0,0.0,0.0,1.0,0.0,13.0,False,new,experiments/results/DP_2_2/no_TB/13.onnx,DP,1,8
8,12.0,0.0,11.0,0.0,177.0,0.0,0.0,0.0,1.0,0.0,15.0,False,new,experiments/results/DP_2_2/no_TB/13.onnx,DP,1,9
9,13.0,0.0,12.0,0.0,178.0,0.0,0.0,0.0,1.0,0.0,14.0,False,new,experiments/results/DP_2_2/no_TB/13.onnx,DP,1,10
10,14.0,0.0,13.0,0.0,181.0,0.0,0.0,0.0,1.0,0.0,15.0,False,new,experiments/results/DP_2_2/no_TB/13.onnx,DP,1,11
11,15.0,0.0,14.0,0.0,176.0,0.0,0.0,0.0,1.0,0.0,14.0,False,new,experiments/results/DP_2_2/no_TB/13.onnx,DP,1,12
12,16.0,0.0,15.0,0.0,177.0,0.0,0.0,0.0,1.0,0.0,16.0,False,new,experiments/results/DP_2_2/no_TB/13.onnx,DP,1,13
13,17.0,0.0,16.0,0.0,181.0,0.0,0.0,0.0,1.0,0.0,14.0,False,new,experiments/results/DP_2_2/no_TB/13.onnx,DP,1,14
14,18.0,0.0,17.0,0.0,181.0,0.0,0.0,0.0,1.0,0.0,15.0,False,new,experiments/results/DP_2_2/no_TB/13.onnx,DP,1,15
15,56.0,23.0,69.0,27.0,217.0,8.0,2.0,1.0,6.0,16.96,41.0,False,new,experiments/results/DP_2_2/no_TB/13.onnx,DP,2,1
16,70.0,25.0,85.0,29.0,230.0,8.0,2.0,1.0,6.0,17.44,53.0,False,new,experiments/results/DP_2_2/no_TB/13.onnx,DP,2,2
17,54.0,27.0,62.0,31.0,220.0,4.0,1.0,1.0,4.0,16.48,48.0,False,new,experiments/results/DP_2_2/no_TB/13.onnx,DP,2,3
18,62.0,29.0,70.0,33.0,222.0,4.0,1.0,1.0,4.0,16.48,50.0,False,new,experiments/results/DP_2_2/no_TB/13.onnx,DP,2,4
19,70.0,31.0,78.0,35.0,235.0,4.0,1.0,1.0,4.0,16.96,57.0,False,new,experiments/results/DP_2_2/no_TB/13.onnx,DP,2,5
20,78.0,33.0,86.0,37.0,230.0,4.0,1.0,1.0,4.0,16.96,53.0,False,new,experiments/results/DP_2_2/no_TB/13.onnx,DP,2,6
21,86.0,35.0,94.0,39.0,232.0,4.0,1.0,1.0,4.0,16.96,58.0,False,new,experiments/results/DP_2_2/no_TB/13.onnx,DP,2,7
22,94.0,37.0,102.0,41.0,236.0,4.0,1.0,1.0,4.0,17.44,70.0,False,new,experiments/results/DP_2_2/no_TB/13.onnx,DP,2,8
23,102.0,39.0,110.0,43.0,251.0,4.0,1.0,1.0,4.0,17.44,70.0,False,new,experiments/results/DP_2_2/no_TB/13.onnx,DP,2,9
