,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),heuristic time(ms),OutOfMem,algorithm,heuristic,problem,n,k,idx
0,4.0,0.0,3.0,0.0,127.0,0.0,0.0,0.0,1.0,0.0,8.0,True,new,experiments/results/DP_2_2/pytorch_adamL2/0.onnx,DP,1,1,0
1,5.0,0.0,4.0,0.0,129.0,0.0,0.0,0.0,1.0,0.0,9.0,True,new,experiments/results/DP_2_2/pytorch_adamL2/0.onnx,DP,1,2,0
2,6.0,0.0,5.0,0.0,130.0,0.0,0.0,0.0,1.0,0.0,10.0,True,new,experiments/results/DP_2_2/pytorch_adamL2/0.onnx,DP,1,3,0
3,7.0,0.0,6.0,0.0,129.0,0.0,0.0,0.0,1.0,0.0,10.0,True,new,experiments/results/DP_2_2/pytorch_adamL2/0.onnx,DP,1,4,0
4,8.0,0.0,7.0,0.0,131.0,0.0,0.0,0.0,1.0,0.0,10.0,True,new,experiments/results/DP_2_2/pytorch_adamL2/0.onnx,DP,1,5,0
5,9.0,0.0,8.0,0.0,131.0,0.0,0.0,0.0,1.0,0.0,11.0,True,new,experiments/results/DP_2_2/pytorch_adamL2/0.onnx,DP,1,6,0
6,10.0,0.0,9.0,0.0,130.0,0.0,0.0,0.0,1.0,0.0,9.0,True,new,experiments/results/DP_2_2/pytorch_adamL2/0.onnx,DP,1,7,0
7,11.0,0.0,10.0,0.0,131.0,0.0,0.0,0.0,1.0,0.0,12.0,True,new,experiments/results/DP_2_2/pytorch_adamL2/0.onnx,DP,1,8,0
8,12.0,0.0,11.0,0.0,132.0,0.0,0.0,0.0,1.0,0.0,11.0,True,new,experiments/results/DP_2_2/pytorch_adamL2/0.onnx,DP,1,9,0
9,13.0,0.0,12.0,0.0,133.0,0.0,0.0,0.0,1.0,0.0,13.0,True,new,experiments/results/DP_2_2/pytorch_adamL2/0.onnx,DP,1,10,0
10,14.0,0.0,13.0,0.0,132.0,0.0,0.0,0.0,1.0,0.0,11.0,True,new,experiments/results/DP_2_2/pytorch_adamL2/0.onnx,DP,1,11,0
11,15.0,0.0,14.0,0.0,132.0,0.0,0.0,0.0,1.0,0.0,12.0,True,new,experiments/results/DP_2_2/pytorch_adamL2/0.onnx,DP,1,12,0
12,16.0,0.0,15.0,0.0,137.0,0.0,0.0,0.0,1.0,0.0,13.0,True,new,experiments/results/DP_2_2/pytorch_adamL2/0.onnx,DP,1,13,0
13,17.0,0.0,16.0,0.0,137.0,0.0,0.0,0.0,1.0,0.0,12.0,True,new,experiments/results/DP_2_2/pytorch_adamL2/0.onnx,DP,1,14,0
14,18.0,0.0,17.0,0.0,132.0,0.0,0.0,0.0,1.0,0.0,12.0,True,new,experiments/results/DP_2_2/pytorch_adamL2/0.onnx,DP,1,15,0
15,118.0,49.0,205.0,80.0,254.0,35.0,15.0,1.0,18.0,22.96,94.0,True,new,experiments/results/DP_2_2/pytorch_adamL2/0.onnx,DP,2,1,0
16,159.0,55.0,276.0,89.0,287.0,64.0,3.0,4.0,30.0,27.44,110.0,True,new,experiments/results/DP_2_2/pytorch_adamL2/0.onnx,DP,2,2,0
17,197.0,61.0,340.0,98.0,316.0,72.0,3.0,5.0,35.0,17.75,122.0,True,new,experiments/results/DP_2_2/pytorch_adamL2/0.onnx,DP,2,3,0
18,239.0,67.0,412.0,107.0,342.0,80.0,3.0,6.0,45.0,22.8,133.0,True,new,experiments/results/DP_2_2/pytorch_adamL2/0.onnx,DP,2,4,0
19,284.0,73.0,490.0,116.0,375.0,88.0,3.0,7.0,55.0,28.88,151.0,True,new,experiments/results/DP_2_2/pytorch_adamL2/0.onnx,DP,2,5,0
20,330.0,79.0,570.0,125.0,393.0,94.0,3.0,8.0,63.0,35.9,152.0,True,new,experiments/results/DP_2_2/pytorch_adamL2/0.onnx,DP,2,6,0
21,379.0,158.0,663.0,250.0,420.0,99.0,3.0,17.0,71.0,43.98,163.0,True,new,experiments/results/DP_2_2/pytorch_adamL2/0.onnx,DP,2,7,0
22,430.0,170.0,753.0,268.0,496.0,106.0,3.0,19.0,80.0,51.97,217.0,True,new,experiments/results/DP_2_2/pytorch_adamL2/0.onnx,DP,2,8,0
23,483.0,182.0,848.0,286.0,511.0,117.0,2.0,20.0,89.0,60.93,216.0,True,new,experiments/results/DP_2_2/pytorch_adamL2/0.onnx,DP,2,9,0
24,538.0,194.0,947.0,304.0,584.0,125.0,2.0,22.0,98.0,70.94,250.0,True,new,experiments/results/DP_2_2/pytorch_adamL2/0.onnx,DP,2,10,0
25,594.0,206.0,1048.0,322.0,599.0,128.0,2.0,24.0,106.0,81.98,255.0,True,new,experiments/results/DP_2_2/pytorch_adamL2/0.onnx,DP,2,11,0
26,653.0,218.0,1155.0,340.0,637.0,136.0,2.0,26.0,115.0,94.96,261.0,True,new,experiments/results/DP_2_2/pytorch_adamL2/0.onnx,DP,2,12,0
27,714.0,230.0,1266.0,358.0,698.0,142.0,2.0,28.0,124.0,109.01,284.0,True,new,experiments/results/DP_2_2/pytorch_adamL2/0.onnx,DP,2,13,0
28,777.0,242.0,1381.0,376.0,737.0,150.0,2.0,30.0,133.0,122.99,300.0,True,new,experiments/results/DP_2_2/pytorch_adamL2/0.onnx,DP,2,14,0
29,842.0,254.0,1500.0,394.0,792.0,156.0,2.0,32.0,142.0,138.06,316.0,True,new,experiments/results/DP_2_2/pytorch_adamL2/0.onnx,DP,2,15,0
30,1133.0,858.0,2726.0,1847.0,3183.0,1252.0,39.0,63.0,103.0,79.89,763.0,True,new,experiments/results/DP_2_2/pytorch_adamL2/0.onnx,DP,3,1,0
31,,,,,,,,,,,,False,new,experiments/results/DP_2_2/pytorch_adamL2/0.onnx,DP,3,2,0
32,,,,,,,,,,,,False,new,experiments/results/DP_2_2/pytorch_adamL2/0.onnx,DP,4,1,0
33,4.0,0.0,3.0,0.0,128.0,0.0,0.0,0.0,1.0,0.0,8.0,True,new,experiments/results/DP_2_2/pytorch_adamL2/1.onnx,DP,1,1,1
34,5.0,0.0,4.0,0.0,134.0,0.0,0.0,0.0,1.0,0.0,10.0,True,new,experiments/results/DP_2_2/pytorch_adamL2/1.onnx,DP,1,2,1
35,6.0,0.0,5.0,0.0,135.0,0.0,0.0,0.0,1.0,0.0,8.0,True,new,experiments/results/DP_2_2/pytorch_adamL2/1.onnx,DP,1,3,1
36,7.0,0.0,6.0,0.0,129.0,0.0,0.0,0.0,1.0,0.0,10.0,True,new,experiments/results/DP_2_2/pytorch_adamL2/1.onnx,DP,1,4,1
37,8.0,0.0,7.0,0.0,128.0,0.0,0.0,0.0,1.0,0.0,8.0,True,new,experiments/results/DP_2_2/pytorch_adamL2/1.onnx,DP,1,5,1
38,9.0,0.0,8.0,0.0,130.0,0.0,0.0,0.0,1.0,0.0,10.0,True,new,experiments/results/DP_2_2/pytorch_adamL2/1.onnx,DP,1,6,1
39,10.0,0.0,9.0,0.0,131.0,0.0,0.0,0.0,1.0,0.0,8.0,True,new,experiments/results/DP_2_2/pytorch_adamL2/1.onnx,DP,1,7,1
40,11.0,0.0,10.0,0.0,132.0,0.0,0.0,0.0,1.0,0.0,12.0,True,new,experiments/results/DP_2_2/pytorch_adamL2/1.onnx,DP,1,8,1
41,12.0,0.0,11.0,0.0,131.0,0.0,0.0,0.0,1.0,0.0,11.0,True,new,experiments/results/DP_2_2/pytorch_adamL2/1.onnx,DP,1,9,1
42,13.0,0.0,12.0,0.0,132.0,0.0,0.0,0.0,1.0,0.0,10.0,True,new,experiments/results/DP_2_2/pytorch_adamL2/1.onnx,DP,1,10,1
43,14.0,0.0,13.0,0.0,133.0,0.0,0.0,0.0,1.0,0.0,12.0,True,new,experiments/results/DP_2_2/pytorch_adamL2/1.onnx,DP,1,11,1
44,15.0,0.0,14.0,0.0,134.0,0.0,0.0,0.0,1.0,0.0,11.0,True,new,experiments/results/DP_2_2/pytorch_adamL2/1.onnx,DP,1,12,1
45,16.0,0.0,15.0,0.0,132.0,0.0,0.0,0.0,1.0,0.0,11.0,True,new,experiments/results/DP_2_2/pytorch_adamL2/1.onnx,DP,1,13,1
46,17.0,0.0,16.0,0.0,134.0,0.0,0.0,0.0,1.0,0.0,10.0,True,new,experiments/results/DP_2_2/pytorch_adamL2/1.onnx,DP,1,14,1
47,18.0,0.0,17.0,0.0,133.0,0.0,0.0,0.0,1.0,0.0,13.0,True,new,experiments/results/DP_2_2/pytorch_adamL2/1.onnx,DP,1,15,1
48,128.0,72.0,232.0,126.0,274.0,60.0,1.0,2.0,21.0,24.48,111.0,True,new,experiments/results/DP_2_2/pytorch_adamL2/1.onnx,DP,2,1,1
49,170.0,130.0,306.0,227.0,289.0,57.0,3.0,2.0,36.0,27.92,111.0,True,new,experiments/results/DP_2_2/pytorch_adamL2/1.onnx,DP,2,2,1
50,223.0,150.0,394.0,261.0,349.0,73.0,1.0,2.0,50.0,16.81,148.0,True,new,experiments/results/DP_2_2/pytorch_adamL2/1.onnx,DP,2,3,1
51,285.0,170.0,489.0,295.0,370.0,72.0,3.0,2.0,73.0,22.96,174.0,True,new,experiments/results/DP_2_2/pytorch_adamL2/1.onnx,DP,2,4,1
52,356.0,112.0,600.0,194.0,370.0,74.0,1.0,2.0,97.0,25.12,172.0,True,new,experiments/results/DP_2_2/pytorch_adamL2/1.onnx,DP,2,5,1
53,438.0,210.0,724.0,363.0,425.0,86.0,3.0,2.0,122.0,33.24,190.0,True,new,experiments/results/DP_2_2/pytorch_adamL2/1.onnx,DP,2,6,1
54,532.0,132.0,859.0,228.0,431.0,83.0,1.0,2.0,148.0,37.47,204.0,True,new,experiments/results/DP_2_2/pytorch_adamL2/1.onnx,DP,2,7,1
55,630.0,142.0,997.0,245.0,476.0,90.0,7.0,2.0,173.0,44.65,236.0,True,new,experiments/results/DP_2_2/pytorch_adamL2/1.onnx,DP,2,8,1
56,744.0,270.0,1163.0,465.0,509.0,89.0,9.0,2.0,205.0,51.7,239.0,True,new,experiments/results/DP_2_2/pytorch_adamL2/1.onnx,DP,2,9,1
57,865.0,162.0,1340.0,279.0,622.0,104.0,6.0,2.0,246.0,59.67,330.0,True,new,experiments/results/DP_2_2/pytorch_adamL2/1.onnx,DP,2,10,1
58,998.0,310.0,1530.0,533.0,674.0,93.0,9.0,2.0,288.0,68.62,388.0,True,new,experiments/results/DP_2_2/pytorch_adamL2/1.onnx,DP,2,11,1
59,1139.0,182.0,1722.0,313.0,684.0,122.0,6.0,2.0,322.0,85.64,360.0,True,new,experiments/results/DP_2_2/pytorch_adamL2/1.onnx,DP,2,12,1
60,1292.0,350.0,1916.0,601.0,881.0,101.0,9.0,2.0,343.0,93.7,557.0,True,new,experiments/results/DP_2_2/pytorch_adamL2/1.onnx,DP,2,13,1
61,1452.0,370.0,2138.0,635.0,888.0,131.0,6.0,2.0,391.0,109.73,527.0,True,new,experiments/results/DP_2_2/pytorch_adamL2/1.onnx,DP,2,14,1
62,1626.0,212.0,2381.0,364.0,925.0,122.0,9.0,2.0,442.0,119.59,581.0,True,new,experiments/results/DP_2_2/pytorch_adamL2/1.onnx,DP,2,15,1
63,1193.0,200.0,2908.0,341.0,1995.0,803.0,12.0,1.0,91.0,22.19,712.0,True,new,experiments/results/DP_2_2/pytorch_adamL2/1.onnx,DP,3,1,1
64,1860.0,185.0,4498.0,328.0,3531.0,1140.0,9.0,1.0,240.0,70.65,1251.0,True,new,experiments/results/DP_2_2/pytorch_adamL2/1.onnx,DP,3,2,1
