,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),heuristic time(ms),algorithm,heuristic,problem,n,k,training time,training steps,eta,nnsize,epsilon,nfeatures,ra feature,avg q,idx,ra 1,ra 2,controllable,depth,state unexplorability,state marked,child marked,child goal,child error,child none,child deadlock,uncontrollability child,unexplorability child
0,68,31,80,38,189,7,0,2,2,20.18,23.0,new,ra_feature0,DP,2,2,12.504666566848755,10000,1e-06,20,0.1,13,True,0.3919426,0,-1.9031259,1.1797013,0.829555,0.17636213,-1.0954978,0.31795442,-0.44148856,-1.7881393e-07,-0.02364166,-1.3232203,-0.19269061,0.26391262,0.36744225
1,2781,348,6312,775,17802,1179,1,1,423,175.7,13917.0,new,ra_feature0,DP,3,3,12.504666566848755,10000,1e-06,20,0.1,13,True,0.3919426,0,-1.9031259,1.1797013,0.829555,0.17636213,-1.0954978,0.31795442,-0.44148856,-1.7881393e-07,-0.02364166,-1.3232203,-0.19269061,0.26391262,0.36744225
2,57,25,65,29,190,4,0,2,1,18.66,20.0,new,ra_feature1,DP,2,2,24.45844841003418,20000,1e-06,20,0.1,13,True,-0.011132169,1,-2.1389234,0.81709933,0.6653034,0.27863836,-1.4821619,0.21755469,-0.09838092,-1.7881393e-07,0.023066327,-1.3433228,-0.1769262,0.02565574,0.043115616
3,2735,133,6643,225,19711,2137,4,1,372,195.63,11540.0,new,ra_feature1,DP,3,3,24.45844841003418,20000,1e-06,20,0.1,13,True,-0.011132169,1,-2.1389234,0.81709933,0.6653034,0.27863836,-1.4821619,0.21755469,-0.09838092,-1.7881393e-07,0.023066327,-1.3433228,-0.1769262,0.02565574,0.043115616
4,57,25,66,29,160,4,0,1,5,18.66,17.0,new,ra_feature2,DP,2,2,36.257258892059326,30000,1e-06,20,0.1,13,True,-0.4487047,2,-2.2281294,0.42224377,0.5008613,0.29435754,-1.7412164,0.14120507,0.21068805,-1.1920929e-07,0.019532472,-1.3311416,-0.15654804,-0.15753114,-0.19662207
5,2749,347,6702,848,19359,2098,11,1,418,334.49,9727.0,new,ra_feature2,DP,3,3,36.257258892059326,30000,1e-06,20,0.1,13,True,-0.4487047,2,-2.2281294,0.42224377,0.5008613,0.29435754,-1.7412164,0.14120507,0.21068805,-1.1920929e-07,0.019532472,-1.3311416,-0.15654804,-0.15753114,-0.19662207
6,62,28,79,36,194,5,0,1,7,19.14,24.0,new,ra_feature3,DP,2,2,47.937010049819946,40000,1e-06,20,0.1,13,True,-0.9729877,3,-2.268792,0.19285059,0.34737605,0.25094408,-1.8781815,0.09912902,0.32168797,-1.7881393e-07,-0.09458727,-1.3795826,-0.08333283,-0.3076407,-0.37837777
7,2765,762,6481,1790,13835,1027,3,1,420,189.96,9965.0,new,ra_feature3,DP,3,3,47.937010049819946,40000,1e-06,20,0.1,13,True,-0.9729877,3,-2.268792,0.19285059,0.34737605,0.25094408,-1.8781815,0.09912902,0.32168797,-1.7881393e-07,-0.09458727,-1.3795826,-0.08333283,-0.3076407,-0.37837777
8,167,75,296,127,288,27,3,1,33,13.68,53.0,new,ra_feature4,DP,2,2,59.65514278411865,50000,1e-06,20,0.1,13,True,-1.6267112,4,-2.285592,0.06592542,0.19753651,0.19117625,-1.9405262,0.06631151,0.38337457,0.0,-0.18628328,-1.4327865,-0.018394137,-0.43319616,-0.5322228
9,2781,851,6578,2011,14624,484,97,1,539,297.89,12437.0,new,ra_feature4,DP,3,3,59.65514278411865,50000,1e-06,20,0.1,13,True,-1.6267112,4,-2.285592,0.06592542,0.19753651,0.19117625,-1.9405262,0.06631151,0.38337457,0.0,-0.18628328,-1.4327865,-0.018394137,-0.43319616,-0.5322228
