,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),heuristic time(ms),algorithm,heuristic,problem,n,k,training time,training steps,eta,nnsize,epsilon,nfeatures,ra feature,idx
0,173,98,320,160,274,59,4,1,36,19.69,52.0,new,experiments/results/DP_2_2/ra_feature2_2h/0.onnx,DP,2,2,0.049645423889160156,0,1e-05,20,0.1,17,True,0
1,175,44,283,65,305,44,0,1,18,17.72,77.0,new,experiments/results/DP_2_2/ra_feature2_2h/1.onnx,DP,2,2,73.37323522567749,50000,1e-05,20,0.1,17,True,1
2,175,56,310,89,301,70,0,1,26,19.71,63.0,new,experiments/results/DP_2_2/ra_feature2_2h/2.onnx,DP,2,2,141.39614582061768,100000,1e-05,20,0.1,17,True,2
3,172,31,260,38,336,34,1,1,11,11.69,76.0,new,experiments/results/DP_2_2/ra_feature2_2h/3.onnx,DP,2,2,210.6491823196411,150000,1e-05,20,0.1,17,True,3
4,64,28,91,35,170,15,1,1,8,19.62,17.0,new,experiments/results/DP_2_2/ra_feature2_2h/4.onnx,DP,2,2,278.82752203941345,200000,1e-05,20,0.1,17,True,4
5,58,28,84,36,180,11,0,1,6,19.14,15.0,new,experiments/results/DP_2_2/ra_feature2_2h/5.onnx,DP,2,2,347.2088327407837,250000,1e-05,20,0.1,17,True,5
6,50,25,60,29,158,4,0,1,4,18.18,16.0,new,experiments/results/DP_2_2/ra_feature2_2h/6.onnx,DP,2,2,415.4848384857178,300000,1e-05,20,0.1,17,True,6
7,48,25,57,29,158,4,1,1,4,18.18,12.0,new,experiments/results/DP_2_2/ra_feature2_2h/7.onnx,DP,2,2,484.38593435287476,350000,1e-05,20,0.1,17,True,7
8,156,51,247,75,322,52,1,1,13,11.67,70.0,new,experiments/results/DP_2_2/ra_feature2_2h/8.onnx,DP,2,2,553.0909674167633,400000,1e-05,20,0.1,17,True,8
9,46,25,55,29,196,4,0,1,4,17.62,17.0,new,experiments/results/DP_2_2/ra_feature2_2h/9.onnx,DP,2,2,621.54620885849,450000,1e-05,20,0.1,17,True,9
10,167,59,265,88,273,48,0,1,23,13.68,50.0,new,experiments/results/DP_2_2/ra_feature2_2h/10.onnx,DP,2,2,690.0761859416962,500000,1e-05,20,0.1,17,True,10
11,44,25,60,29,162,5,0,3,10,17.62,15.0,new,experiments/results/DP_2_2/ra_feature2_2h/11.onnx,DP,2,2,758.4855880737305,550000,1e-05,20,0.1,17,True,11
12,141,34,223,44,249,50,0,1,12,9.7,39.0,new,experiments/results/DP_2_2/ra_feature2_2h/12.onnx,DP,2,2,827.4805037975311,600000,1e-05,20,0.1,17,True,12
13,175,55,290,89,272,59,0,1,28,19.68,67.0,new,experiments/results/DP_2_2/ra_feature2_2h/13.onnx,DP,2,2,896.6617023944855,650000,1e-05,20,0.1,17,True,13
14,50,25,66,29,192,5,0,1,2,18.18,15.0,new,experiments/results/DP_2_2/ra_feature2_2h/14.onnx,DP,2,2,966.0623278617859,700000,1e-05,20,0.1,17,True,14
15,136,37,211,51,222,34,1,2,5,28.18,38.0,new,experiments/results/DP_2_2/ra_feature2_2h/15.onnx,DP,2,2,1034.9816598892212,750000,1e-05,20,0.1,17,True,15
16,41,25,50,29,184,5,0,1,3,17.62,19.0,new,experiments/results/DP_2_2/ra_feature2_2h/16.onnx,DP,2,2,1103.4141907691956,800000,1e-05,20,0.1,17,True,16
17,175,73,283,102,289,33,0,2,34,16.69,61.0,new,experiments/results/DP_2_2/ra_feature2_2h/17.onnx,DP,2,2,1171.8583521842957,850000,1e-05,20,0.1,17,True,17
18,108,37,155,51,216,25,5,2,1,26.66,40.0,new,experiments/results/DP_2_2/ra_feature2_2h/18.onnx,DP,2,2,1239.6127471923828,900000,1e-05,20,0.1,17,True,18
19,62,36,91,52,167,18,0,1,3,19.14,21.0,new,experiments/results/DP_2_2/ra_feature2_2h/19.onnx,DP,2,2,1308.4791374206543,950000,1e-05,20,0.1,17,True,19
20,145,34,208,44,290,38,1,2,6,8.68,68.0,new,experiments/results/DP_2_2/ra_feature2_2h/20.onnx,DP,2,2,1376.8767430782318,1000000,1e-05,20,0.1,17,True,20
21,43,31,63,42,186,14,0,2,0,18.66,23.0,new,experiments/results/DP_2_2/ra_feature2_2h/21.onnx,DP,2,2,1446.250552892685,1050000,1e-05,20,0.1,17,True,21
22,36,31,47,42,176,6,0,4,0,17.63,13.0,new,experiments/results/DP_2_2/ra_feature2_2h/22.onnx,DP,2,2,1514.7204101085663,1100000,1e-05,20,0.1,17,True,22
23,47,28,69,35,171,15,0,2,3,18.66,18.0,new,experiments/results/DP_2_2/ra_feature2_2h/23.onnx,DP,2,2,1583.157265663147,1150000,1e-05,20,0.1,17,True,23
24,31,28,39,35,155,4,0,6,0,17.14,11.0,new,experiments/results/DP_2_2/ra_feature2_2h/24.onnx,DP,2,2,1651.5287432670593,1200000,1e-05,20,0.1,17,True,24
25,37,25,47,29,184,4,0,1,5,17.62,15.0,new,experiments/results/DP_2_2/ra_feature2_2h/25.onnx,DP,2,2,1720.152961730957,1250000,1e-05,20,0.1,17,True,25
26,52,25,73,29,185,4,0,2,13,18.18,11.0,new,experiments/results/DP_2_2/ra_feature2_2h/26.onnx,DP,2,2,1788.2217345237732,1300000,1e-05,20,0.1,17,True,26
27,133,43,199,58,270,34,0,1,5,29.14,49.0,new,experiments/results/DP_2_2/ra_feature2_2h/27.onnx,DP,2,2,1856.3209164142609,1350000,1e-05,20,0.1,17,True,27
