,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),heuristic time(ms),algorithm,heuristic,problem,n,k,training time,training steps,eta,nnsize,epsilon,nfeatures,ra feature,idx
0,2827,620,7454,1426,13561,1394,36,1,145,235.7,2677.0,new,experiments/results/DP_2_2/ra_feature2opt_2h/0.onnx,DP,3,3,0.0065419673919677734,0,1e-05,20,0.1,15,True,0
1,973,219,1712,386,1735,188,6,14,0,78.7,1172.0,new,experiments/results/DP_2_2/ra_feature2opt_2h/5.onnx,DP,3,3,318.26369857788086,250000,1e-05,20,0.1,15,True,5
2,358,256,733,567,682,70,1,200,0,118.69,331.0,new,experiments/results/DP_2_2/ra_feature2opt_2h/10.onnx,DP,3,3,631.1854310035706,500000,1e-05,20,0.1,15,True,10
3,154,105,255,177,342,44,2,22,0,24.7,108.0,new,experiments/results/DP_2_2/ra_feature2opt_2h/15.onnx,DP,3,3,963.7389843463898,750000,1e-05,20,0.1,15,True,15
4,615,97,929,143,1004,18,3,32,0,129.56,641.0,new,experiments/results/DP_2_2/ra_feature2opt_2h/20.onnx,DP,3,3,1353.1640887260437,1000000,1e-05,20,0.1,15,True,20
5,968,146,1659,243,1916,142,3,23,7,17.09,1415.0,new,experiments/results/DP_2_2/ra_feature2opt_2h/25.onnx,DP,3,3,1743.7406876087189,1250000,1e-05,20,0.1,15,True,25
6,832,342,1698,721,1849,473,0,29,0,143.02,1171.0,new,experiments/results/DP_2_2/ra_feature2opt_2h/30.onnx,DP,3,3,2107.604995250702,1500000,1e-05,20,0.1,15,True,30
7,2188,444,4863,997,10495,1630,2,2,180,351.62,3686.0,new,experiments/results/DP_2_2/ra_feature2opt_2h/35.onnx,DP,3,3,2472.2820291519165,1750000,1e-05,20,0.1,15,True,35
8,2748,132,5908,221,15981,1609,1,6,381,272.43,11100.0,new,experiments/results/DP_2_2/ra_feature2opt_2h/40.onnx,DP,3,3,2848.9530308246613,2000000,1e-05,20,0.1,15,True,40
9,886,220,1556,385,1603,125,5,86,23,47.69,1051.0,new,experiments/results/DP_2_2/ra_feature2opt_2h/45.onnx,DP,3,3,3253.473691225052,2250000,1e-05,20,0.1,15,True,45
10,2752,2005,6800,4884,15515,2665,2,201,273,448.86,7614.0,new,experiments/results/DP_2_2/ra_feature2opt_2h/50.onnx,DP,3,3,3685.032722234726,2500000,1e-05,20,0.1,15,True,50
11,1769,358,4055,766,5425,1371,0,1,89,221.91,2696.0,new,experiments/results/DP_2_2/ra_feature2opt_2h/55.onnx,DP,3,3,4092.3310527801514,2750000,1e-05,20,0.1,15,True,55
12,2650,520,6436,1260,13451,2055,12,1,245,248.1,6175.0,new,experiments/results/DP_2_2/ra_feature2opt_2h/60.onnx,DP,3,3,4482.073635101318,3000000,1e-05,20,0.1,15,True,60
13,2333,361,5264,784,10814,2124,9,1,159,286.05,4349.0,new,experiments/results/DP_2_2/ra_feature2opt_2h/65.onnx,DP,3,3,4814.906415224075,3250000,1e-05,20,0.1,15,True,65
14,2076,407,4595,931,8086,1585,5,1,107,270.26,3450.0,new,experiments/results/DP_2_2/ra_feature2opt_2h/70.onnx,DP,3,3,5128.732311487198,3500000,1e-05,20,0.1,15,True,70
15,2828,459,7127,1077,17663,2988,0,1,268,371.22,7062.0,new,experiments/results/DP_2_2/ra_feature2opt_2h/75.onnx,DP,3,3,5442.288665771484,3750000,1e-05,20,0.1,15,True,75
16,2257,424,5121,993,8053,1428,10,1,43,148.74,4248.0,new,experiments/results/DP_2_2/ra_feature2opt_2h/80.onnx,DP,3,3,5755.692712545395,4000000,1e-05,20,0.1,15,True,80
17,2750,508,6852,1243,17191,2765,2,1,142,268.22,7076.0,new,experiments/results/DP_2_2/ra_feature2opt_2h/85.onnx,DP,3,3,6070.170268058777,4250000,1e-05,20,0.1,15,True,85
18,2638,425,6287,1002,10799,1997,8,1,148,254.92,3954.0,new,experiments/results/DP_2_2/ra_feature2opt_2h/90.onnx,DP,3,3,6384.607528448105,4500000,1e-05,20,0.1,15,True,90
19,2294,611,5457,1508,8556,1533,4,19,51,166.69,4388.0,new,experiments/results/DP_2_2/ra_feature2opt_2h/95.onnx,DP,3,3,6697.972239017487,4750000,1e-05,20,0.1,15,True,95
20,2237,183,4726,371,8444,1179,3,13,51,379.1,5930.0,new,experiments/results/DP_2_2/ra_feature2opt_2h/100.onnx,DP,3,3,7009.8587210178375,5000000,1e-05,20,0.1,15,True,100
