,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),heuristic time(ms),expansion_budget_exceeded,OutOfMem,algorithm,heuristic,problem,n,k,transitions/ms
0,4,0,3,0,182,0,0,0,1,0.0,9.0,false,False,new,experiments/results/DP_2_2/sample3NoFeature/77.onnx,DP,1,1,0.016483516483516484
1,5,0,4,0,163,0,0,0,1,0.0,10.0,false,False,new,experiments/results/DP_2_2/sample3NoFeature/77.onnx,DP,1,2,0.024539877300613498
2,6,0,5,0,165,0,0,0,1,0.0,12.0,false,False,new,experiments/results/DP_2_2/sample3NoFeature/77.onnx,DP,1,3,0.030303030303030304
3,7,0,6,0,169,0,0,0,1,0.0,11.0,false,False,new,experiments/results/DP_2_2/sample3NoFeature/77.onnx,DP,1,4,0.03550295857988166
4,8,0,7,0,172,0,0,0,1,0.0,12.0,false,False,new,experiments/results/DP_2_2/sample3NoFeature/77.onnx,DP,1,5,0.040697674418604654
5,9,0,8,0,166,0,0,0,1,0.0,11.0,false,False,new,experiments/results/DP_2_2/sample3NoFeature/77.onnx,DP,1,6,0.04819277108433735
6,10,0,9,0,170,0,0,0,1,0.0,12.0,false,False,new,experiments/results/DP_2_2/sample3NoFeature/77.onnx,DP,1,7,0.052941176470588235
7,11,0,10,0,191,0,0,0,1,0.0,12.0,false,False,new,experiments/results/DP_2_2/sample3NoFeature/77.onnx,DP,1,8,0.05235602094240838
8,12,0,11,0,168,0,0,0,1,0.0,13.0,false,False,new,experiments/results/DP_2_2/sample3NoFeature/77.onnx,DP,1,9,0.06547619047619048
9,13,0,12,0,169,0,0,0,1,0.0,10.0,false,False,new,experiments/results/DP_2_2/sample3NoFeature/77.onnx,DP,1,10,0.07100591715976332
10,14,0,13,0,173,0,0,0,1,0.0,12.0,false,False,new,experiments/results/DP_2_2/sample3NoFeature/77.onnx,DP,1,11,0.07514450867052024
11,15,0,14,0,168,0,0,0,1,0.0,13.0,false,False,new,experiments/results/DP_2_2/sample3NoFeature/77.onnx,DP,1,12,0.08333333333333333
12,16,0,15,0,174,0,0,0,1,0.0,15.0,false,False,new,experiments/results/DP_2_2/sample3NoFeature/77.onnx,DP,1,13,0.08620689655172414
13,17,0,16,0,187,0,0,0,1,0.0,15.0,false,False,new,experiments/results/DP_2_2/sample3NoFeature/77.onnx,DP,1,14,0.0855614973262032
14,18,0,17,0,173,0,0,0,1,0.0,15.0,false,False,new,experiments/results/DP_2_2/sample3NoFeature/77.onnx,DP,1,15,0.09826589595375723
15,25,23,29,27,188,4,0,1,1,20.18,30.0,false,False,new,experiments/results/DP_2_2/sample3NoFeature/77.onnx,DP,2,1,0.15425531914893617
16,28,25,32,29,193,4,0,1,1,20.18,28.0,false,False,new,experiments/results/DP_2_2/sample3NoFeature/77.onnx,DP,2,2,0.16580310880829016
17,31,27,35,31,218,4,0,1,1,20.66,32.0,false,False,new,experiments/results/DP_2_2/sample3NoFeature/77.onnx,DP,2,3,0.16055045871559634
18,34,29,38,33,203,4,0,1,1,20.66,44.0,false,False,new,experiments/results/DP_2_2/sample3NoFeature/77.onnx,DP,2,4,0.18719211822660098
19,37,31,41,35,198,4,0,1,1,20.66,37.0,false,False,new,experiments/results/DP_2_2/sample3NoFeature/77.onnx,DP,2,5,0.20707070707070707
20,40,33,44,37,200,4,0,1,1,20.66,34.0,false,False,new,experiments/results/DP_2_2/sample3NoFeature/77.onnx,DP,2,6,0.22
21,43,35,47,39,204,4,0,1,1,20.66,40.0,false,False,new,experiments/results/DP_2_2/sample3NoFeature/77.onnx,DP,2,7,0.23039215686274508
22,46,37,50,41,202,4,0,1,1,20.66,40.0,false,False,new,experiments/results/DP_2_2/sample3NoFeature/77.onnx,DP,2,8,0.24752475247524752
23,49,39,53,43,205,4,0,1,1,20.66,47.0,false,False,new,experiments/results/DP_2_2/sample3NoFeature/77.onnx,DP,2,9,0.25853658536585367
24,52,41,56,45,209,4,0,1,1,21.14,47.0,false,False,new,experiments/results/DP_2_2/sample3NoFeature/77.onnx,DP,2,10,0.2679425837320574
25,55,43,59,47,232,4,0,1,1,21.14,50.0,false,False,new,experiments/results/DP_2_2/sample3NoFeature/77.onnx,DP,2,11,0.2543103448275862
26,58,45,62,49,226,4,0,1,1,21.14,61.0,false,False,new,experiments/results/DP_2_2/sample3NoFeature/77.onnx,DP,2,12,0.2743362831858407
27,61,47,65,51,214,4,0,1,1,21.14,49.0,false,False,new,experiments/results/DP_2_2/sample3NoFeature/77.onnx,DP,2,13,0.3037383177570093
28,64,49,68,53,219,4,0,1,1,21.14,52.0,false,False,new,experiments/results/DP_2_2/sample3NoFeature/77.onnx,DP,2,14,0.3105022831050228
29,67,51,71,55,217,4,0,1,1,21.17,53.0,false,False,new,experiments/results/DP_2_2/sample3NoFeature/77.onnx,DP,2,15,0.3271889400921659
30,808,220,1796,477,1703,519,0,1,35,45.52,1043.0,false,False,new,experiments/results/DP_2_2/sample3NoFeature/77.onnx,DP,3,1,1.0546095126247799
31,121,46,162,61,284,7,0,15,2,23.7,112.0,false,False,new,experiments/results/DP_2_2/sample3NoFeature/77.onnx,DP,3,2,0.5704225352112676
32,147,52,200,70,301,9,0,17,2,25.14,121.0,false,False,new,experiments/results/DP_2_2/sample3NoFeature/77.onnx,DP,3,3,0.6644518272425249
33,173,58,238,79,355,12,0,18,2,26.66,145.0,false,False,new,experiments/results/DP_2_2/sample3NoFeature/77.onnx,DP,3,4,0.6704225352112676
34,199,64,276,88,361,15,0,19,2,27.62,177.0,false,False,new,experiments/results/DP_2_2/sample3NoFeature/77.onnx,DP,3,5,0.7645429362880887
35,225,70,314,97,397,18,0,20,2,12.53,205.0,false,False,new,experiments/results/DP_2_2/sample3NoFeature/77.onnx,DP,3,6,0.7909319899244333
36,251,76,352,106,383,21,0,21,2,18.6,190.0,false,False,new,experiments/results/DP_2_2/sample3NoFeature/77.onnx,DP,3,7,0.9190600522193212
37,277,82,390,115,426,24,0,22,2,20.64,239.0,false,False,new,experiments/results/DP_2_2/sample3NoFeature/77.onnx,DP,3,8,0.9154929577464789
38,303,88,428,124,432,27,0,23,2,23.6,246.0,false,False,new,experiments/results/DP_2_2/sample3NoFeature/77.onnx,DP,3,9,0.9907407407407407
39,329,94,466,133,447,30,0,24,2,24.71,247.0,false,False,new,experiments/results/DP_2_2/sample3NoFeature/77.onnx,DP,3,10,1.0425055928411633
40,355,100,504,142,526,33,0,25,2,28.63,327.0,false,False,new,experiments/results/DP_2_2/sample3NoFeature/77.onnx,DP,3,11,0.9581749049429658
41,381,106,542,151,513,36,0,26,2,31.69,301.0,false,False,new,experiments/results/DP_2_2/sample3NoFeature/77.onnx,DP,3,12,1.0565302144249513
42,407,112,580,160,562,39,0,27,2,34.73,357.0,false,False,new,experiments/results/DP_2_2/sample3NoFeature/77.onnx,DP,3,13,1.0320284697508897
43,433,118,618,169,543,42,0,28,2,37.77,331.0,false,False,new,experiments/results/DP_2_2/sample3NoFeature/77.onnx,DP,3,14,1.138121546961326
44,459,124,656,178,542,45,0,29,2,41.8,332.0,false,False,new,experiments/results/DP_2_2/sample3NoFeature/77.onnx,DP,3,15,1.2103321033210332
45,5406,0,15001,0,80141,4262,11,0,35,0.0,56142.0,true,False,new,experiments/results/DP_2_2/sample3NoFeature/77.onnx,DP,4,1,0.1871825906839196
46,5393,0,15001,0,75120,3856,5,0,33,0.0,54006.0,true,False,new,experiments/results/DP_2_2/sample3NoFeature/77.onnx,DP,4,2,0.19969382321618742
47,5412,0,15001,0,57366,2948,6,0,60,0.0,43010.0,true,False,new,experiments/results/DP_2_2/sample3NoFeature/77.onnx,DP,4,3,0.2614963567269811
48,5452,0,15001,0,38226,1964,4,0,93,0.0,29831.0,true,False,new,experiments/results/DP_2_2/sample3NoFeature/77.onnx,DP,4,4,0.3924292366452153
49,5520,0,15001,0,29568,1444,4,0,155,0.0,23839.0,true,False,new,experiments/results/DP_2_2/sample3NoFeature/77.onnx,DP,4,5,0.5073390151515151
50,5501,0,15001,0,25889,1324,4,0,182,0.0,18433.0,true,False,new,experiments/results/DP_2_2/sample3NoFeature/77.onnx,DP,4,6,0.5794352813936421
51,5418,0,15001,0,31052,1510,4,0,6,0.0,22476.0,true,False,new,experiments/results/DP_2_2/sample3NoFeature/77.onnx,DP,4,7,0.48309287646528404
52,5609,0,15001,0,37454,1734,4,0,6,0.0,27497.0,true,False,new,experiments/results/DP_2_2/sample3NoFeature/77.onnx,DP,4,8,0.40051796870828216
53,5982,0,15001,0,36177,1661,4,0,6,0.0,26663.0,true,False,new,experiments/results/DP_2_2/sample3NoFeature/77.onnx,DP,4,9,0.4146557204853913
54,5857,0,15001,0,47435,2414,4,0,6,0.0,35389.0,true,False,new,experiments/results/DP_2_2/sample3NoFeature/77.onnx,DP,4,10,0.31624328027827553
55,5896,0,15001,0,46035,2136,4,0,6,0.0,34410.0,true,False,new,experiments/results/DP_2_2/sample3NoFeature/77.onnx,DP,4,11,0.32586075811882265
56,6053,0,15001,0,52963,2398,4,0,6,0.0,40924.0,true,False,new,experiments/results/DP_2_2/sample3NoFeature/77.onnx,DP,4,12,0.2832354662689047
57,6124,0,15001,0,57354,2684,4,0,4,0.0,44301.0,true,False,new,experiments/results/DP_2_2/sample3NoFeature/77.onnx,DP,4,13,0.2615510688007811
58,6124,0,15001,0,58658,2627,4,0,1,0.0,45846.0,true,False,new,experiments/results/DP_2_2/sample3NoFeature/77.onnx,DP,4,14,0.2557366429131576
59,6107,0,15001,0,62151,2738,4,0,1,0.0,48736.0,true,False,new,experiments/results/DP_2_2/sample3NoFeature/77.onnx,DP,4,15,0.24136377532139466
60,5657,0,15001,0,70415,2694,36,0,4,0.0,58316.0,true,False,new,experiments/results/DP_2_2/sample3NoFeature/77.onnx,DP,5,1,0.21303699495846057
61,5882,0,15001,0,72678,2798,38,0,13,0.0,59119.0,true,False,new,experiments/results/DP_2_2/sample3NoFeature/77.onnx,DP,5,2,0.2064035884311621
62,6225,0,15001,0,66733,2043,37,0,3,0.0,54303.0,true,False,new,experiments/results/DP_2_2/sample3NoFeature/77.onnx,DP,5,3,0.22479133262403908
63,6475,0,15001,0,64326,1869,38,0,4,0.0,52175.0,true,False,new,experiments/results/DP_2_2/sample3NoFeature/77.onnx,DP,5,4,0.233202748499829
64,7844,0,15001,0,37407,0,43,0,5,0.0,35229.0,true,False,new,experiments/results/DP_2_2/sample3NoFeature/77.onnx,DP,5,5,0.40102119924078383
65,6932,0,15001,0,47686,518,36,0,4,0.0,42991.0,true,False,new,experiments/results/DP_2_2/sample3NoFeature/77.onnx,DP,5,6,0.31457870234450364
66,6843,0,15001,0,53640,1169,12,0,4,0.0,43532.0,true,False,new,experiments/results/DP_2_2/sample3NoFeature/77.onnx,DP,5,7,0.2796607009694258
67,7817,0,15001,0,52485,423,31,0,4,0.0,48049.0,true,False,new,experiments/results/DP_2_2/sample3NoFeature/77.onnx,DP,5,8,0.2858149947604077
68,8148,0,15001,0,50057,138,96,0,3,0.0,46410.0,true,False,new,experiments/results/DP_2_2/sample3NoFeature/77.onnx,DP,5,9,0.2996783666620053
69,8334,0,15001,0,53115,138,102,0,3,0.0,49077.0,true,False,new,experiments/results/DP_2_2/sample3NoFeature/77.onnx,DP,5,10,0.28242492704509087
70,8533,0,15001,0,57200,0,31,0,4,0.0,52929.0,true,False,new,experiments/results/DP_2_2/sample3NoFeature/77.onnx,DP,5,11,0.26225524475524475
71,8650,0,15001,0,56664,42,114,0,3,0.0,52326.0,true,False,new,experiments/results/DP_2_2/sample3NoFeature/77.onnx,DP,5,12,0.2647359875758859
72,8131,0,15001,0,93573,2206,12,0,4,0.0,76830.0,true,False,new,experiments/results/DP_2_2/sample3NoFeature/77.onnx,DP,5,13,0.16031333824928132
