,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),heuristic time(ms),algorithm,heuristic,problem,n,k
0,5.0,5.0,6.0,6.0,14.0,2.0,0.0,1.0,0.0,14.66,0.0,RAsola,r,BW,1,1
1,5.0,5.0,6.0,6.0,15.0,2.0,0.0,1.0,0.0,14.66,0.0,RAsola,r,BW,1,2
2,5.0,5.0,6.0,6.0,15.0,2.0,0.0,1.0,0.0,14.67,0.0,RAsola,r,BW,1,3
3,5.0,5.0,6.0,6.0,18.0,2.0,0.0,1.0,0.0,15.14,0.0,RAsola,r,BW,1,4
4,5.0,5.0,6.0,6.0,18.0,2.0,0.0,1.0,0.0,15.15,0.0,RAsola,r,BW,1,5
5,5.0,5.0,6.0,6.0,19.0,2.0,0.0,1.0,0.0,15.15,0.0,RAsola,r,BW,1,6
6,5.0,5.0,6.0,6.0,20.0,2.0,0.0,1.0,0.0,15.15,0.0,RAsola,r,BW,1,7
7,5.0,5.0,6.0,6.0,20.0,2.0,0.0,1.0,0.0,15.62,0.0,RAsola,r,BW,1,8
8,5.0,5.0,6.0,6.0,21.0,2.0,0.0,1.0,0.0,15.62,0.0,RAsola,r,BW,1,9
9,5.0,5.0,6.0,6.0,23.0,2.0,0.0,1.0,0.0,15.62,0.0,RAsola,r,BW,1,10
10,5.0,5.0,6.0,6.0,24.0,2.0,0.0,1.0,0.0,15.7,0.0,RAsola,r,BW,1,11
11,5.0,5.0,6.0,6.0,23.0,2.0,0.0,1.0,0.0,16.18,0.0,RAsola,r,BW,1,12
12,5.0,5.0,6.0,6.0,23.0,2.0,0.0,1.0,0.0,16.18,0.0,RAsola,r,BW,1,13
13,5.0,5.0,6.0,6.0,24.0,2.0,0.0,1.0,0.0,16.66,0.0,RAsola,r,BW,1,14
14,5.0,5.0,6.0,6.0,26.0,2.0,0.0,1.0,0.0,16.66,0.0,RAsola,r,BW,1,15
15,17.0,14.0,29.0,23.0,23.0,8.0,0.0,1.0,0.0,15.15,0.0,RAsola,r,BW,2,1
16,33.0,26.0,64.0,49.0,35.0,19.0,0.0,1.0,0.0,16.66,0.0,RAsola,r,BW,2,2
17,53.0,45.0,113.0,91.0,69.0,39.0,0.0,1.0,0.0,19.14,4.0,RAsola,r,BW,2,3
18,77.0,65.0,181.0,139.0,69.0,73.0,0.0,1.0,0.0,24.18,1.0,RAsola,r,BW,2,4
19,105.0,86.0,256.0,193.0,103.0,109.0,0.0,1.0,0.0,10.59,1.0,RAsola,r,BW,2,5
20,137.0,117.0,342.0,268.0,126.0,151.0,0.0,1.0,0.0,24.64,3.0,RAsola,r,BW,2,6
21,173.0,146.0,445.0,344.0,155.0,205.0,0.0,1.0,0.0,42.67,4.0,RAsola,r,BW,2,7
22,213.0,185.0,561.0,441.0,231.0,267.0,0.0,1.0,0.0,66.74,2.0,RAsola,r,BW,2,8
23,257.0,222.0,683.0,539.0,280.0,330.0,0.0,1.0,0.0,104.84,0.0,RAsola,r,BW,2,9
24,305.0,269.0,826.0,658.0,387.0,409.0,0.0,1.0,0.0,9.7,3.0,RAsola,r,BW,2,10
25,357.0,317.0,992.0,783.0,485.0,506.0,0.0,1.0,0.0,81.97,3.0,RAsola,r,BW,2,11
26,413.0,366.0,1148.0,914.0,632.0,588.0,0.0,1.0,0.0,25.44,4.0,RAsola,r,BW,2,12
27,473.0,422.0,1340.0,1061.0,779.0,701.0,0.0,1.0,0.0,13.7,5.0,RAsola,r,BW,2,13
28,537.0,485.0,1522.0,1224.0,990.0,799.0,0.0,1.0,0.0,142.91,5.0,RAsola,r,BW,2,14
29,605.0,546.0,1723.0,1388.0,1228.0,911.0,0.0,1.0,0.0,173.06,7.0,RAsola,r,BW,2,15
30,65.0,26.0,145.0,39.0,65.0,25.0,0.0,1.0,0.0,18.18,2.0,RAsola,r,BW,3,1
31,209.0,125.0,574.0,321.0,148.0,133.0,0.0,1.0,0.0,33.65,2.0,RAsola,r,BW,3,2
32,421.0,173.0,1248.0,422.0,536.0,305.0,0.0,1.0,0.0,27.66,4.0,RAsola,r,BW,3,3
33,709.0,313.0,2228.0,841.0,879.0,617.0,0.0,1.0,0.0,141.7,11.0,RAsola,r,BW,3,4
34,1081.0,292.0,3476.0,768.0,1873.0,1035.0,0.0,1.0,0.0,160.29,5.0,RAsola,r,BW,3,5
35,1545.0,324.0,5106.0,811.0,4167.0,1625.0,0.0,1.0,0.0,151.41,13.0,RAsola,r,BW,3,6
