,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),heuristic time(ms),expansion_budget_exceeded,OutOfMem,algorithm,heuristic,problem,n,k,transitions/ms
0,6,6,8,8,28,2,0,1,0,14.68,1.0,false,False,new,mock,AT,1,1,0.2857142857142857
1,7,6,10,8,32,2,0,1,0,14.68,1.0,false,False,new,mock,AT,1,2,0.3125
2,8,6,12,8,28,2,0,1,0,15.16,2.0,false,False,new,mock,AT,1,3,0.42857142857142855
3,9,6,14,8,34,2,0,1,0,15.15,1.0,false,False,new,mock,AT,1,4,0.4117647058823529
4,10,6,16,8,30,2,0,1,0,15.15,2.0,false,False,new,mock,AT,1,5,0.5333333333333333
5,11,6,18,8,33,2,0,1,0,15.15,1.0,false,False,new,mock,AT,1,6,0.5454545454545454
6,12,6,20,8,39,2,0,1,0,15.14,3.0,false,False,new,mock,AT,1,7,0.5128205128205128
7,13,6,22,8,35,2,0,1,0,15.14,0.0,false,False,new,mock,AT,1,8,0.6285714285714286
8,14,6,24,8,31,2,0,1,0,15.14,3.0,false,False,new,mock,AT,1,9,0.7741935483870968
9,10,6,12,8,34,2,0,1,0,15.14,2.0,false,False,new,mock,AT,1,10,0.35294117647058826
10,16,6,27,8,43,2,0,1,0,15.14,5.0,false,False,new,mock,AT,1,11,0.627906976744186
11,17,6,28,8,32,2,0,1,0,15.63,0.0,false,False,new,mock,AT,1,12,0.875
12,18,6,32,8,40,2,0,1,0,15.63,2.0,false,False,new,mock,AT,1,13,0.8
13,19,7,32,9,33,2,0,1,0,15.62,2.0,false,False,new,mock,AT,1,14,0.9696969696969697
14,18,6,26,8,36,2,0,1,0,15.62,3.0,false,False,new,mock,AT,1,15,0.7222222222222222
15,4,0,3,0,30,0,0,0,1,0.0,1.0,false,False,new,mock,AT,2,1,0.1
16,31,22,56,36,47,16,0,1,0,15.63,4.0,false,False,new,mock,AT,2,2,1.1914893617021276
17,43,27,89,45,39,6,0,1,0,15.62,3.0,false,False,new,mock,AT,2,3,2.282051282051282
18,57,24,114,35,57,15,0,1,0,16.66,6.0,false,False,new,mock,AT,2,4,2.0
19,72,30,153,43,54,8,0,1,0,17.14,8.0,false,False,new,mock,AT,2,5,2.8333333333333335
20,90,30,210,49,77,34,0,1,0,20.18,13.0,false,False,new,mock,AT,2,6,2.727272727272727
21,105,32,212,42,67,6,0,1,0,17.62,15.0,false,False,new,mock,AT,2,7,3.1641791044776117
22,132,27,314,41,105,49,0,1,0,25.62,25.0,false,False,new,mock,AT,2,8,2.9904761904761905
23,146,30,298,44,108,33,0,1,0,22.66,30.0,false,False,new,mock,AT,2,9,2.759259259259259
24,180,25,476,36,151,58,0,1,0,13.96,30.0,false,False,new,mock,AT,2,10,3.152317880794702
25,211,55,624,87,190,115,0,1,0,45.06,25.0,false,False,new,mock,AT,2,11,3.2842105263157895
26,241,31,725,51,245,118,0,1,0,55.26,25.0,false,False,new,mock,AT,2,12,2.9591836734693877
27,256,24,576,34,158,35,0,1,0,10.29,35.0,false,False,new,mock,AT,2,13,3.6455696202531644
28,300,25,805,39,180,77,0,1,0,36.46,36.0,false,False,new,mock,AT,2,14,4.472222222222222
29,343,43,1085,69,289,145,0,1,0,87.71,38.0,false,False,new,mock,AT,2,15,3.754325259515571
30,15,0,14,0,31,0,0,0,1,0.0,4.0,false,False,new,mock,AT,3,1,0.45161290322580644
31,80,0,110,0,42,3,0,0,3,0.0,6.0,false,False,new,mock,AT,3,2,2.619047619047619
32,218,129,497,221,162,109,0,1,0,24.84,31.0,false,False,new,mock,AT,3,3,3.067901234567901
33,341,146,888,266,375,228,0,1,0,91.06,40.0,false,False,new,mock,AT,3,4,2.368
34,512,164,1452,304,578,406,0,1,0,78.09,39.0,false,False,new,mock,AT,3,5,2.5121107266435985
35,724,163,2172,279,805,221,0,1,0,152.32,59.0,false,False,new,mock,AT,3,6,2.698136645962733
36,910,192,2274,291,1015,436,0,1,0,85.96,73.0,false,False,new,mock,AT,3,7,2.2403940886699507
37,1304,204,3951,331,3053,1066,0,1,0,92.46,156.0,false,False,new,mock,AT,3,8,1.2941369145103176
38,1698,156,5622,275,2545,671,0,1,0,193.83,166.0,false,False,new,mock,AT,3,9,2.2090373280943028
39,2189,238,8215,413,14829,2725,0,1,0,50.8,324.0,false,False,new,mock,AT,3,10,0.553982062175467
40,2669,163,8454,251,10369,1610,0,1,0,267.46,473.0,false,False,new,mock,AT,3,11,0.8153148808949754
41,3364,282,13626,483,54657,3649,0,1,0,357.05,653.0,false,False,new,mock,AT,3,12,0.24930018112959
42,3979,313,13222,510,13476,1984,0,1,0,74.95,748.0,false,False,new,mock,AT,3,13,0.9811516770555061
43,4672,0,15001,0,1972,0,0,0,0,0.0,960.0,true,False,new,mock,AT,3,14,7.606997971602434
44,6,0,5,0,31,0,0,0,1,0.0,3.0,false,False,new,mock,AT,4,1,0.16129032258064516
45,162,0,214,0,78,3,0,0,7,0.0,21.0,false,False,new,mock,AT,4,2,2.7435897435897436
46,791,0,1538,0,341,214,0,0,23,0.0,29.0,false,False,new,mock,AT,4,3,4.510263929618769
47,1858,927,5156,1852,4362,1337,0,1,0,232.14,156.0,false,False,new,mock,AT,4,4,1.182026593305823
48,3187,875,9681,1675,16954,3328,0,1,0,52.65,343.0,false,False,new,mock,AT,4,5,0.5710156895127994
49,5091,0,15001,0,40678,3567,0,0,0,0.0,1239.0,true,False,new,mock,AT,4,6,0.36877427602143664
50,23,0,23,0,36,0,0,0,1,0.0,4.0,false,False,new,mock,AT,5,1,0.6388888888888888
51,349,0,403,0,91,0,0,0,13,0.0,40.0,false,False,new,mock,AT,5,2,4.428571428571429
52,2150,0,3458,0,1003,278,0,0,54,0.0,265.0,false,False,new,mock,AT,5,3,3.44765702891326
53,7142,0,15001,0,23266,2545,0,0,111,0.0,2371.0,true,False,new,mock,AT,5,4,0.6447605948594516
54,27,0,26,0,33,0,0,0,1,0.0,3.0,false,False,new,mock,AT,6,1,0.7878787878787878
55,490,0,575,0,168,0,0,0,17,0.0,90.0,false,False,new,mock,AT,6,2,3.4226190476190474
56,5108,0,7470,0,1601,0,0,0,121,0.0,1278.0,false,False,new,mock,AT,6,3,4.665833853841349
57,38,0,37,0,40,0,0,0,1,0.0,10.0,false,False,new,mock,AT,7,1,0.925
58,277,0,290,0,84,0,0,0,9,0.0,33.0,false,False,new,mock,AT,7,2,3.4523809523809526
59,11003,0,15001,0,10826,130,0,0,274,0.0,9365.0,true,False,new,mock,AT,7,3,1.3856456678366895
60,23,0,22,0,47,0,0,0,1,0.0,6.0,false,False,new,mock,AT,8,1,0.46808510638297873
61,456,0,476,0,206,0,0,0,10,0.0,119.0,false,False,new,mock,AT,8,2,2.3106796116504853
62,103,0,104,0,112,0,0,0,1,0.0,59.0,false,False,new,mock,AT,9,1,0.9285714285714286
63,1045,0,1110,0,355,0,0,0,23,0.0,236.0,false,False,new,mock,AT,9,2,3.1267605633802815
64,8,0,7,0,44,0,0,0,1,0.0,2.0,false,False,new,mock,AT,10,1,0.1590909090909091
65,677,0,702,0,256,0,0,0,12,0.0,166.0,false,False,new,mock,AT,10,2,2.7421875
66,45,0,44,0,62,0,0,0,1,0.0,18.0,false,False,new,mock,AT,11,1,0.7096774193548387
67,348,0,348,0,196,0,0,0,3,0.0,124.0,false,False,new,mock,AT,11,2,1.7755102040816326
68,30,0,29,0,50,0,0,0,1,0.0,15.0,false,False,new,mock,AT,12,1,0.58
69,791,0,804,0,354,0,0,0,10,0.0,273.0,false,False,new,mock,AT,12,2,2.2711864406779663
70,12,0,11,0,42,0,0,0,1,0.0,10.0,false,False,new,mock,AT,13,1,0.2619047619047619
71,5938,0,6163,0,7477,0,0,0,68,0.0,7023.0,false,False,new,mock,AT,13,2,0.8242610672729704
72,42,0,42,0,51,0,0,0,1,0.0,19.0,false,False,new,mock,AT,14,1,0.8235294117647058
73,1017,0,1030,0,375,0,0,0,8,0.0,265.0,false,False,new,mock,AT,14,2,2.7466666666666666
74,80,0,80,0,99,0,0,0,1,0.0,56.0,false,False,new,mock,AT,15,1,0.8080808080808081
75,4808,0,4884,0,6970,0,0,0,50,0.0,6470.0,false,False,new,mock,AT,15,2,0.7007173601147776
