,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),heuristic time(ms),OutOfMem,algorithm,heuristic,problem,n,k
0,5.0,5.0,6.0,6.0,20.0,1.0,0.0,1.0,0.0,14.66,2.0,True,new,mock,BW,1,1
1,6.0,5.0,7.0,6.0,21.0,1.0,0.0,1.0,0.0,14.66,1.0,True,new,mock,BW,1,2
2,6.0,5.0,7.0,6.0,22.0,1.0,0.0,1.0,0.0,14.66,2.0,True,new,mock,BW,1,3
3,6.0,5.0,7.0,6.0,21.0,1.0,0.0,1.0,0.0,14.66,0.0,True,new,mock,BW,1,4
4,10.0,5.0,16.0,6.0,24.0,3.0,0.0,1.0,0.0,14.67,1.0,True,new,mock,BW,1,5
5,10.0,5.0,16.0,6.0,23.0,7.0,0.0,1.0,0.0,14.66,1.0,True,new,mock,BW,1,6
6,8.0,5.0,11.0,6.0,22.0,1.0,0.0,1.0,0.0,14.66,2.0,True,new,mock,BW,1,7
7,5.0,5.0,6.0,6.0,24.0,1.0,0.0,1.0,0.0,14.66,2.0,True,new,mock,BW,1,8
8,7.0,5.0,8.0,6.0,22.0,2.0,0.0,1.0,0.0,14.66,1.0,True,new,mock,BW,1,9
9,7.0,5.0,10.0,6.0,22.0,1.0,0.0,1.0,0.0,14.66,1.0,True,new,mock,BW,1,10
10,5.0,5.0,6.0,6.0,22.0,1.0,0.0,1.0,0.0,14.66,1.0,True,new,mock,BW,1,11
11,6.0,5.0,8.0,6.0,22.0,2.0,0.0,1.0,0.0,14.66,2.0,True,new,mock,BW,1,12
12,6.0,5.0,7.0,6.0,21.0,1.0,0.0,1.0,0.0,14.66,1.0,True,new,mock,BW,1,13
13,7.0,5.0,10.0,6.0,22.0,3.0,0.0,1.0,0.0,14.66,0.0,True,new,mock,BW,1,14
14,8.0,5.0,10.0,6.0,22.0,3.0,0.0,1.0,0.0,14.66,1.0,True,new,mock,BW,1,15
15,17.0,14.0,29.0,23.0,26.0,9.0,0.0,1.0,0.0,14.67,3.0,True,new,mock,BW,2,1
16,37.0,33.0,81.0,65.0,34.0,27.0,0.0,1.0,0.0,16.18,3.0,True,new,mock,BW,2,2
17,65.0,23.0,150.0,36.0,45.0,50.0,0.0,1.0,0.0,18.66,7.0,True,new,mock,BW,2,3
18,93.0,70.0,230.0,156.0,79.0,98.0,0.0,1.0,0.0,26.18,12.0,True,new,mock,BW,2,4
19,131.0,54.0,305.0,108.0,77.0,114.0,0.0,1.0,0.0,29.7,13.0,True,new,mock,BW,2,5
20,172.0,102.0,423.0,231.0,108.0,160.0,0.0,1.0,0.0,21.49,13.0,True,new,mock,BW,2,6
21,246.0,190.0,677.0,462.0,225.0,337.0,0.0,1.0,0.0,95.54,18.0,True,new,mock,BW,2,7
22,317.0,174.0,846.0,414.0,294.0,407.0,0.0,1.0,0.0,139.59,11.0,True,new,mock,BW,2,8
23,388.0,238.0,1050.0,578.0,449.0,522.0,0.0,1.0,0.0,104.41,20.0,True,new,mock,BW,2,9
24,462.0,91.0,1293.0,180.0,577.0,647.0,0.0,1.0,0.0,82.87,26.0,True,new,mock,BW,2,10
25,457.0,290.0,1235.0,707.0,615.0,607.0,0.0,1.0,0.0,112.65,16.0,True,new,mock,BW,2,11
26,582.0,352.0,1572.0,865.0,864.0,823.0,0.0,1.0,0.0,39.4,29.0,True,new,mock,BW,2,12
27,692.0,454.0,1889.0,1140.0,1416.0,1000.0,0.0,1.0,0.0,170.55,17.0,True,new,mock,BW,2,13
28,867.0,721.0,2556.0,1862.0,2800.0,1410.0,0.0,1.0,0.0,156.52,33.0,True,new,mock,BW,2,14
29,1002.0,844.0,2957.0,2192.0,3960.0,1612.0,0.0,1.0,0.0,14.38,23.0,True,new,mock,BW,2,15
30,65.0,26.0,151.0,39.0,42.0,25.0,0.0,1.0,0.0,17.14,8.0,True,new,mock,BW,3,1
31,217.0,83.0,662.0,178.0,178.0,232.0,0.0,1.0,0.0,61.72,18.0,True,new,mock,BW,3,2
