,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),heuristic time(ms),expansion_budget_exceeded,OutOfMem,algorithm,heuristic,problem,n,k,transitions/ms
0,9,7,10,8,31,2,0,1,2,14.67,1.0,false,False,new,mock,TL,1,1,0.3225806451612903
1,26,7,42,8,42,7,0,1,6,15.15,1.0,false,False,new,mock,TL,1,2,1.0
2,44,7,71,8,51,15,0,1,5,15.63,6.0,false,False,new,mock,TL,1,3,1.392156862745098
3,33,10,50,12,46,11,0,1,0,15.16,8.0,false,False,new,mock,TL,1,4,1.0869565217391304
4,89,13,150,16,67,16,0,1,3,16.66,14.0,false,False,new,mock,TL,1,5,2.2388059701492535
5,141,22,300,38,105,71,0,1,16,23.14,17.0,false,False,new,mock,TL,1,6,2.857142857142857
6,136,13,228,16,71,34,0,1,0,18.66,19.0,false,False,new,mock,TL,1,7,3.211267605633803
7,165,23,329,36,113,82,0,1,0,25.14,20.0,false,False,new,mock,TL,1,8,2.911504424778761
8,28,7,41,8,38,6,0,1,0,15.16,5.0,false,False,new,mock,TL,1,9,1.0789473684210527
9,35,10,54,12,43,8,0,1,0,15.14,3.0,false,False,new,mock,TL,1,10,1.255813953488372
10,82,14,151,22,68,37,0,1,0,17.62,15.0,false,False,new,mock,TL,1,11,2.2205882352941178
11,19,7,26,8,41,3,0,1,0,15.15,3.0,false,False,new,mock,TL,1,12,0.6341463414634146
12,41,9,62,10,46,10,0,1,0,15.62,7.0,false,False,new,mock,TL,1,13,1.3478260869565217
13,372,21,770,34,185,183,0,11,0,31.9,38.0,false,False,new,mock,TL,1,14,4.162162162162162
14,35,7,41,8,43,2,0,1,0,15.15,5.0,false,False,new,mock,TL,1,15,0.9534883720930233
15,20,9,26,10,46,3,0,1,9,15.15,4.0,false,False,new,mock,TL,2,1,0.5652173913043478
16,129,9,200,10,89,20,0,1,29,18.18,19.0,false,False,new,mock,TL,2,2,2.247191011235955
17,425,22,828,28,243,173,0,3,70,45.02,35.0,false,False,new,mock,TL,2,3,3.4074074074074074
18,397,20,597,26,138,38,0,1,22,26.66,35.0,false,False,new,mock,TL,2,4,4.326086956521739
19,584,25,1080,36,346,226,0,1,10,70.06,80.0,false,False,new,mock,TL,2,5,3.121387283236994
20,706,14,1208,18,350,183,0,1,4,70.4,78.0,false,False,new,mock,TL,2,6,3.4514285714285715
21,50,9,58,10,48,2,0,1,0,15.62,12.0,false,False,new,mock,TL,2,7,1.2083333333333333
22,1150,25,2096,32,751,395,0,1,0,105.66,160.0,false,False,new,mock,TL,2,8,2.7909454061251666
23,2867,14,5511,18,3184,1202,0,1,1,233.15,497.0,false,False,new,mock,TL,2,9,1.7308417085427135
24,97,12,132,14,62,9,0,1,0,16.18,12.0,false,False,new,mock,TL,2,10,2.129032258064516
25,564,22,957,30,274,188,0,1,0,51.24,66.0,false,False,new,mock,TL,2,11,3.4927007299270074
26,1016,23,1814,29,651,357,0,1,0,37.41,136.0,false,False,new,mock,TL,2,12,2.7864823348694316
27,983,33,1682,50,438,238,0,1,0,117.37,122.0,false,False,new,mock,TL,2,13,3.8401826484018264
28,573,19,896,27,191,85,0,1,0,24.54,72.0,false,False,new,mock,TL,2,14,4.69109947643979
29,2350,38,4528,58,2272,978,0,27,0,19.36,353.0,false,False,new,mock,TL,2,15,1.9929577464788732
30,74,27,104,40,60,6,0,1,32,16.18,11.0,false,False,new,mock,TL,3,1,1.7333333333333334
31,281,25,430,32,132,27,0,1,44,24.66,45.0,false,False,new,mock,TL,3,2,3.257575757575758
32,521,11,728,12,215,42,0,1,24,13.51,83.0,false,False,new,mock,TL,3,3,3.386046511627907
33,2228,29,3581,40,1346,339,0,1,96,51.3,407.0,false,False,new,mock,TL,3,4,2.6604754829123327
34,7865,0,15001,0,27564,2858,0,0,349,0.0,5671.0,true,False,new,mock,TL,3,5,0.5442243506022348
35,72,13,94,14,61,2,0,1,16,16.18,14.0,false,False,new,mock,TL,4,1,1.540983606557377
36,1827,22,3033,27,1378,355,0,1,325,151.58,292.0,false,False,new,mock,TL,4,2,2.2010159651669086
37,7638,86,12846,144,18681,1478,0,1,785,184.5,5902.0,false,False,new,mock,TL,4,3,0.687650554038863
38,5645,58,8791,90,7221,731,0,9,293,124.12,3356.0,false,False,new,mock,TL,4,4,1.2174214097770393
39,380,37,598,54,205,49,0,1,133,20.98,36.0,false,False,new,mock,TL,5,1,2.9170731707317072
40,2053,31,3373,43,1120,94,0,1,283,134.65,403.0,false,False,new,mock,TL,5,2,3.0116071428571427
41,8925,0,15001,0,24938,1716,0,0,651,0.0,9532.0,true,False,new,mock,TL,5,3,0.6015317988611757
42,1022,152,1710,274,855,229,0,1,347,60.1,119.0,false,False,new,mock,TL,6,1,2.0
43,6344,25,10328,30,9715,464,0,1,982,38.86,3645.0,false,False,new,mock,TL,6,2,1.063098301595471
44,1223,111,2015,188,792,132,0,1,347,51.68,140.0,false,False,new,mock,TL,7,1,2.544191919191919
45,9315,0,15001,0,21023,708,0,0,1161,0.0,9356.0,true,False,new,mock,TL,7,2,0.713551824192551
46,3336,199,5771,364,4241,559,0,1,1038,106.51,605.0,false,False,new,mock,TL,8,1,1.3607639707616128
47,5032,248,8459,426,5929,176,0,1,1414,89.31,1381.0,false,False,new,mock,TL,9,1,1.4267161410018554
48,7897,331,13350,625,13928,108,0,1,2096,257.48,3953.0,false,False,new,mock,TL,10,1,0.9585008615738082
49,8795,0,15001,0,15936,152,0,0,2256,0.0,5421.0,true,False,new,mock,TL,11,1,0.9413278112449799
